Epoch,AverageReturn,StdEsReturn,MinEsReturn,StdReturn,AverageQ,MinReturn,AverageQLoss,AverageY,AverageAbsY,AverageDiscountedReturn,AverageEsReturn,MaxReturn,AverageAbsQYDiff,PolicyRegParamNorm,Iteration,AverageAbsQ,MaxEsReturn,QFunRegParamNorm,AverageAction,AveragePolicySurr
25,139.865084242,22.8572184415,88.1827415748,9.31829590429,13.6389,114.773807948,1.39777,13.6475936363,13.6542565437,120.381083295,147.105069654,161.136313784,0.774123932274,18.5328,25,13.649,185.107563123,37.7986,1.0,-13.9127
26,139.369137864,20.4714851974,65.6173732956,10.1770307611,13.3572,110.152985829,1.43816,13.3619831196,13.3680421178,119.998703676,145.244900141,162.124290801,0.760047586972,18.5329,26,13.3687,186.876993491,39.4087,1.0,-13.6427
27,138.992534615,18.4364162726,98.9764663539,9.72539030075,13.0443,110.909908007,1.46041,13.0522491173,13.0562036196,119.723396677,146.307479236,162.113957583,0.762688904035,18.5328,27,13.0515,177.740740471,41.1704,1.0,-13.3245
28,139.742334399,19.163822464,93.6665979727,9.71363316249,12.7797,111.859340402,1.33774,12.7865858554,12.7881637866,120.2922898,148.05023481,159.161734648,0.740155262423,18.5329,28,12.7849,178.932203318,42.7231,1.0,-13.0867
29,138.878395201,23.2955071696,80.4238844434,9.79828587595,12.5996,109.461293261,1.23969,12.6054718047,12.6068889425,119.626108479,147.991414918,160.275725298,0.704470434349,18.5329,29,12.6042,189.447587988,44.2524,1.0,-12.8954
30,139.856826817,23.653204132,48.6341711706,9.31458131095,12.3459,111.326715103,1.26518,12.3532955292,12.3545424704,120.384992086,143.944253642,160.860647024,0.704874503857,18.9481,30,12.3492,182.283554987,45.7449,1.0,-12.6661
31,139.327818265,16.071917562,94.2168788415,9.41679521486,12.0907,112.398141245,1.24111,12.097652414,12.0983793885,119.973726926,145.514997967,162.76526561,0.696621250397,18.9481,31,12.0944,166.100334979,47.153,1.0,-12.4139
32,138.857579837,28.4915139058,29.0616713626,9.5793972926,11.9573,114.185743204,1.12131,11.9641245363,11.9647209975,119.637825658,143.134476158,157.078370628,0.67654433628,18.9481,32,11.96,182.669172775,48.5407,1.0,-12.2841
33,139.536282526,27.3111773262,9.88509040596,9.38791552581,11.6351,115.071787729,1.15943,11.6414520615,11.6415745967,120.128443616,145.098552479,160.826502434,0.663549744743,18.9481,33,11.6363,180.263555368,49.9335,1.0,-11.9601
34,138.435907818,22.7963841675,66.2618647739,9.0573810622,11.4177,115.136599101,1.02863,11.4238238607,11.4238866657,119.310889968,143.531365411,160.182688432,0.637340668562,18.9481,34,11.4191,185.494526222,51.2315,1.0,-11.7324
35,139.543289664,26.7106984057,33.8918608708,9.7323796522,11.2529,112.49257805,0.958209,11.2586163403,11.2587977972,120.130389533,146.01658287,161.817536433,0.611464192136,18.9481,35,11.2543,182.044139177,52.4701,1.0,-11.5304
36,139.045377165,26.8254820978,49.2127913191,9.81895550674,10.9931,115.255974791,0.827829,10.9978446273,10.9978784901,119.738676481,149.388226928,158.286882217,0.571506697216,18.9481,36,10.9942,180.345228356,53.7899,1.0,-11.2466
37,139.39475521,18.5168344865,103.212376378,9.4392665912,10.7348,112.113131974,0.899296,10.7391953545,10.7392327785,120.042394099,149.353253906,162.63591601,0.573553319868,18.9481,37,10.7355,178.701085651,55.0139,1.0,-10.9676
38,138.94403144,23.3106981953,48.4333894076,10.2786095995,10.4626,112.885884569,0.822877,10.4674811905,10.4675834235,119.676739036,142.747698607,163.567354097,0.559439109649,18.9481,38,10.464,175.241014298,56.1359,1.0,-10.6625
39,139.474419883,29.0264342398,38.8014099697,9.51339755802,10.0914,112.51942659,0.697992,10.0961071754,10.0961481738,120.094086239,141.650738319,161.140464649,0.518802231542,18.9481,39,10.0922,187.344456489,57.0461,1.0,-10.2626
40,139.478044696,19.0531058958,85.8900313494,10.0209964913,9.77813,113.608888959,0.601114,9.7815012622,9.78151974688,120.081165325,144.33222978,163.451554425,0.482425385941,18.9481,40,9.7788,176.553945279,57.9761,1.0,-9.94096
41,139.766811173,28.21118437,14.4658081365,9.70591346096,9.47797,111.751355547,0.601248,9.4812886527,9.48136447671,120.312787727,148.764607781,161.257297891,0.47058095982,18.9481,41,9.47853,192.594092884,58.8541,1.0,-9.62287
42,139.767752296,19.8317709543,85.9018881989,9.16106570446,9.1058,111.101102689,0.496876,9.11075081456,9.11082059608,120.313524193,143.689049384,158.300521242,0.432278918354,18.9481,42,9.10649,182.112687505,59.7363,1.0,-9.23556
43,139.513330761,24.1774809929,52.4701381765,9.97896966192,8.86705,107.204336807,0.476365,8.8712159007,8.87126092167,120.114391286,145.713188336,161.659406185,0.413719786042,18.9481,43,8.86789,184.490051639,60.6338,1.0,-8.98985
44,140.358245442,24.7247945916,85.3489434116,9.9935890029,8.55344,112.189276333,0.380867,8.55669245588,8.55677631431,120.735366206,146.768132522,162.017450506,0.378015652162,18.9481,44,8.55417,191.687882538,61.4653,1.0,-8.64827
45,139.637605677,21.2052076049,70.008972981,9.56843290364,8.36173,110.429333826,0.322351,8.36499510515,8.36507591658,120.206605749,144.566451623,160.51798524,0.360481741639,18.9481,45,8.362,169.809099325,62.2622,1.0,-8.44409
46,140.166619898,18.2742323918,102.821634809,9.45724532922,8.06104,112.421317087,0.295282,8.06498823119,8.06502550496,120.614679346,146.530217435,163.575383357,0.341574393443,18.9481,46,8.06129,187.396141333,63.0168,1.0,-8.12603
47,140.138208091,17.8696019568,102.391807133,10.4653263483,7.8387,115.415053893,0.279908,7.84108441694,7.84109597361,120.581665621,151.486335942,162.212989077,0.330000610084,18.9481,47,7.83886,200.133632055,63.837,1.0,-7.89178
