AverageAbsQYDiff,MinForwardProgress,MinEsReturn,AverageQLoss,AverageAbsQ,AverageAction,AverageQ,PolicyRegParamNorm,StdForwardProgress,MaxReturn,AverageAbsY,AverageForwardProgress,MinReturn,AverageReturn,AverageDiscountedReturn,Epoch,MaxEsReturn,QFunRegParamNorm,StdReturn,AverageY,MaxForwardProgress,StdEsReturn,AverageEsReturn,AveragePolicySurr
0.00765118551621,-0.143910172374,-158.43478752,0.000116821,0.012186,0.999026,0.00461866,13.3865,0.0413457113056,-72.29839096,0.013979884895,-0.0605373469976,-89.0424104167,-80.7228693601,-31.4033544456,10,141.315636671,9.22946,4.12828927823,0.00454676269172,0.024153556697,57.044853554,-23.039033465,-0.00837987
0.00360833608877,-0.141151299923,-76.0616625814,2.56747e-05,0.0118398,0.999983,0.00768661,13.5543,0.032639341303,-75.3243906663,0.0123627719884,-0.0743174824417,-88.8649638314,-82.1774122008,-32.5627908901,11,-21.4638053852,9.44176,3.26267305471,0.00767167005799,-0.00598332426639,19.5734945319,-51.3389436778,-0.0134602
0.00299761364501,-0.154814013382,-68.4003231174,1.74519e-05,0.014635,0.999999,0.0116359,13.6491,0.0372092697206,-73.680594056,0.0149661004,-0.0717703104571,-90.2213460666,-81.9208235381,-32.3020903041,12,-54.0035259259,9.64534,3.71616700471,0.0116320827519,0.0105719525024,6.48806116175,-61.7035078366,-0.0168895
0.00281319815773,-0.132662275829,-78.1720233002,1.56177e-05,0.0167738,1.0,0.0132188,13.6587,0.0308237434671,-77.0775022544,0.0170353116444,-0.0752923002566,-88.0203701956,-82.2779635843,-32.5798084691,13,-41.1477264211,9.87898,3.08234454863,0.013217867489,-0.0232938552531,15.5330783736,-59.5019678499,-0.015807
0.00275061891491,-0.299116854114,-103.113192362,1.53265e-05,0.0181773,0.9634,0.0130987,13.7098,0.0576118418673,-78.1626070274,0.01842167018,-0.185905810852,-105.059627808,-94.0104813747,-36.1672643234,14,-74.0933818013,10.1401,5.75077059637,0.0131016607358,-0.0226782868581,11.8556626478,-83.166675311,-0.0139603
0.0029035044638,-0.292455014267,-131.648957296,1.76697e-05,0.0188089,0.976793,0.0104708,14.0287,0.0522257588824,-85.8547101054,0.0190379976925,-0.185989525476,-105.955137195,-95.4685461044,-37.1413443497,15,-68.2551645209,10.4168,5.12532695677,0.0104714574358,-0.0916065166109,22.6124729625,-102.947853043,-0.00909773
0.00304909743013,-0.0984785979666,-137.689508467,2.00328e-05,0.0188508,0.999232,0.00643899,14.2962,0.0397368784099,-69.6544659436,0.0190755298924,-0.0349032487156,-84.7522597297,-78.403536936,-30.1904035375,16,-7.91990727719,10.6022,3.97051624108,0.00644004495625,0.0528789497334,46.4380894046,-78.3026686288,-0.00378299
0.00313968154482,-0.114130407915,-67.8150148065,2.17003e-05,0.0187137,0.999997,0.00173791,14.4172,0.0380423198874,-68.6656456039,0.0189948836356,-0.0250158564737,-86.3655295573,-77.4680333025,-29.4768736198,17,-44.3391338817,10.8223,3.80768226659,0.0017417692095,0.0629804704235,9.35959937195,-57.0187463852,0.0014135
0.00317479667634,-0.0913119338074,-77.4919444732,2.28556e-05,0.019261,1.0,-0.00269719,14.4254,0.0261337583029,-71.4769906705,0.0195185867865,-0.0173220595798,-84.11406109,-76.6961254666,-28.8209041178,18,-23.0107872031,11.0391,2.61425247425,-0.00269205860511,0.0345008221138,21.8558923266,-50.5199344375,0.00573973
0.00325074526555,-0.0969223719209,-47.2174745247,2.43854e-05,0.0205462,1.0,-0.00660785,14.4267,0.0344925813961,-70.7114932293,0.0208175956159,-0.0219077046171,-84.6708775082,-77.1634105908,-29.1231177265,19,-17.5888757876,11.2725,3.45119856857,-0.00660128975228,0.0424275882819,11.8912656433,-31.5144992279,0.00943758
0.00349147382406,-0.0835944058527,-76.7126537801,2.83737e-05,0.0223867,1.0,-0.0103794,14.4254,0.0323649803748,-70.167078121,0.0226880553084,-0.0185501866209,-83.3382628247,-76.8272966339,-28.8955134448,20,-36.7207424376,11.509,3.23872060257,-0.0103773179723,0.0478331237535,15.0274514317,-52.3298497196,0.0129303
0.00353823425288,-0.113529158382,-61.700114497,2.97467e-05,0.0244864,1.0,-0.0139331,14.4258,0.034336356178,-66.4669196383,0.0247646079782,-0.0153153756451,-86.3077013574,-76.49663596,-28.6463324236,21,-18.1153101473,11.7215,3.43352493297,-0.0139322010245,0.0850818704255,17.3386440561,-34.08543251,0.0163518
0.00355653603308,-0.08208778182,-53.6686548611,3.06712e-05,0.0261995,1.0,-0.0172745,14.4251,0.027679279396,-72.935995157,0.0265054755409,-0.0254683339126,-83.1734032775,-77.5135564469,-29.4552708228,22,-42.3495144122,11.9223,2.76995934932,-0.0172739918111,0.0203895307135,4.54748780444,-48.4790933092,0.0195681
0.00374138209514,-0.11273851824,-57.7327936717,3.42299e-05,0.0283269,1.0,-0.0203395,14.4246,0.0395416071192,-69.8531633067,0.0285816104669,-0.0214931247798,-86.2527835847,-77.1166804137,-29.1130852446,23,-37.4271379634,12.0822,3.95805496281,-0.0203355650335,0.0513847065509,8.29244155099,-51.6997560898,0.0220793
0.00371646568283,-0.0645832031703,-63.8768840039,3.37532e-05,0.030318,0.999985,-0.0230044,14.5239,0.0375101162635,-64.7063270772,0.0305526897749,0.00525279567608,-81.4550551133,-74.504319542,-27.3324896211,24,-32.5745544238,12.2603,3.74563483833,-0.0230002151709,0.103246893524,11.1941031228,-49.5760498317,0.0231965
