AverageReturn,StdReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQ,AverageDiscountedReturn,AverageAbsY,MaxEsReturn,AverageAction,MinEsReturn,AverageQLoss,MaxReturn,MinReturn,AveragePolicySurr,AverageY,Epoch,AverageAbsQYDiff,AverageQ,AverageEsReturn,Iteration,PolicyRegParamNorm
-2.84993862865,2.03439454041,3.96817476507,11.4911,1.15042,-1.22237615291,2.71165993695,21.5378591786,0.200794,-16.8452088666,19.8605,4.00790041708,-5.11597340527,0.529335,2.7038568492,9,3.79886517497,-1.09501,-4.36137134299,9,11.7096
-8.09370773654,0.0632795381178,2.89026527739,11.7209,1.56943,-7.81637160917,1.60198051762,1.45175170643,0.999947,-17.9869705653,0.44568,-7.92919550315,-8.24701680851,-2.07084,1.58280563681,10,0.4017464996,1.55655,-7.99557368309,10,12.1661
-8.092875712,0.0643053672823,1.76163009106,11.8239,1.29744,-7.81558005365,1.30121020632,-1.25919923254,0.999986,-12.730897244,0.0551968,-7.93939704823,-8.26081136954,-1.52028,1.27988861414,11,0.172893889511,1.27487,-7.31133114376,11,12.1979
-8.09189205971,0.0648787043399,1.8408811536,11.9027,1.18419,-7.81463718322,1.18444126601,-3.9495030034,0.999991,-15.5495876772,0.0237714,-7.93359108732,-8.25061709645,-1.17313,1.14790942809,12,0.115827179651,1.14622,-7.41138036307,12,12.2068
-14.8895869994,0.161800603287,1.66490784208,11.9685,0.945013,-13.9446482048,0.946618786166,-3.62740668633,0.988553,-14.9433594731,0.0178648,-14.4322949974,-15.3440047503,-0.719159,0.814105306804,13,0.101153177784,0.813484,-7.42552942322,13,12.2062
-2.30575254878,4.57395315587,14.2303589769,12.0552,0.849173,-0.507570864636,0.850407236829,35.9348481115,0.833304,-31.9500006128,0.0130913,12.5200133876,-8.28609803635,-1.04771,0.697455562145,14,0.0862774106381,0.696635,-11.0866690177,14,12.8803
-8.99620930947,1.28551735833,8.86907784244,12.2107,0.969704,-5.52890249354,0.971255105095,-3.90078109331,0.959149,-35.618450173,0.0106208,-6.21016946078,-11.7829790043,-1.26688,0.896655584733,15,0.0752756558698,0.89581,-14.4792296459,15,13.405
77.1455439907,20.8592326093,116.418089819,12.4012,1.07072,56.8080641229,1.07256166608,380.378993599,0.58945,-47.5571350861,0.0110209,135.469533347,42.7330281604,-1.38178,1.00608847202,16,0.0759959003793,1.00558,14.6186129677,16,14.0918
-18.8430716243,2.35827324705,97.0843358327,12.6658,1.24438,-7.64452971861,1.24526714296,248.920260915,0.7269,-22.5698842798,0.0126982,-14.1895899593,-25.850557373,-1.58234,1.1955067996,17,0.0797669559771,1.19468,77.2855159115,17,14.5688
157.596178124,116.196340068,17.9673854187,13.0346,1.38447,74.0177375422,1.38605382821,8.29142246539,0.876966,-51.9856796172,0.0146653,436.36810533,-6.41825069283,-1.74426,1.34538082449,18,0.0814646763848,1.34473,-20.9976591687,18,15.5057
171.878628592,114.575310464,166.841370873,13.448,1.56523,75.8609861002,1.5675146206,468.042726289,0.898674,5.46856126218,0.0171535,378.922466312,-10.1502899032,-1.94367,1.53494546812,19,0.0892682311092,1.53433,132.530282805,19,16.5182
48.8744824818,22.7343514879,160.186732004,13.9498,1.73454,42.4213932102,1.73714792042,398.079780495,0.931727,1.97691883821,0.0190243,134.75840396,20.3232699438,-2.08612,1.70665406553,20,0.0922418938348,1.70555,165.737206587,20,17.2693
67.8278087688,10.7042403119,74.1699459779,14.4985,1.87467,53.8348020522,1.87719286909,249.402033123,0.893462,43.3283041045,0.0217495,102.090386619,54.4897890481,-2.18046,1.84474375978,21,0.0931970196661,1.844,107.171582556,21,17.8385
78.7376000673,10.3742772848,159.86728113,15.0279,1.97915,58.0512268109,1.98101024165,457.497663873,0.988684,-7.18455316394,0.0222102,106.612249144,59.4116771492,-2.26614,1.94538680961,22,0.0904363341781,1.94481,106.862902581,22,18.2206
264.615696966,135.730420571,148.324263763,15.5262,2.08187,103.423535199,2.08346605226,365.178678092,0.93501,7.85122001233,0.0205711,999.211492324,50.9404713134,-2.35536,2.0443464591,23,0.0872643688973,2.04384,132.816784302,23,18.6428
292.519301032,66.8892991959,106.988177591,15.9716,2.16369,119.667538609,2.16506734882,298.188374789,0.93205,-33.5080760818,0.0217301,492.513522794,77.9940627346,-2.42865,2.12007606379,24,0.0885971950295,2.11947,60.2602074568,24,18.9464
307.071333749,201.427163372,125.82400528,16.4049,2.24294,94.3227231931,2.24415011562,383.836693466,0.878121,-27.8193773016,0.0199885,591.053287983,50.8776370833,-2.50338,2.1960573322,25,0.090888494999,2.1956,64.9784543127,25,19.3165
267.153875943,52.1641684624,126.383795784,16.8452,2.31862,108.239561585,2.3197086704,377.605866771,0.91608,7.75364532774,0.0225541,395.435366693,73.8564841751,-2.57456,2.271577636,26,0.0940248168016,2.27089,113.150856586,26,19.7488
