AverageReturn,AverageQ,MinReturn,AverageAbsQ,MaxReturn,AverageAbsQYDiff,MaxEsReturn,Iteration,AveragePolicySurr,QFunRegParamNorm,StdEsReturn,AverageAction,AverageEsReturn,Epoch,AverageAbsY,AverageQLoss,StdReturn,AverageY,MinEsReturn,AverageDiscountedReturn,PolicyRegParamNorm
-0.941644001855,0.0117743,-0.953999016513,0.0347447,-0.927412129927,0.0345164460382,93.9288124227,9,-0.0401327,10.3168,53.3802713048,0.00942587,2.67836361196,9,0.0298472142694,0.0020236,0.00897213586232,0.0298472142694,-34.036884905,-0.0940547362727,10.2592
-98.7502942978,0.0237907,-99.2956760731,0.0247797,-97.1816234776,0.00915645457384,84.4990892544,10,-0.0263232,11.125,55.268806623,0.988491,29.2302826314,10,0.0249892504967,0.0238918,0.551453704383,0.0248425350241,-26.0385239916,-9.88643441863,11.4228
-95.3693371163,0.0426483,-99.5333899573,0.0428104,-86.9884972723,0.0168918919425,-24.2994750342,11,-0.0410254,12.7606,0.0,0.954648,-24.2994750342,11,0.0427318630085,0.0383198,4.71950035851,0.0427272882515,-24.2994750342,-9.44690064021,12.418
-0.817388238682,0.0433116,-0.818416994692,0.0433595,-0.816357257591,0.0104708664062,66.3992794884,12,-0.044282,13.6671,64.9394913092,0.00818206,1.45978817924,12,0.0433778890682,0.0161888,0.000516916194189,0.0433728121209,-63.47970313,-0.0818267557331,12.8628
-0.0805471363874,0.0392622,-0.0807178600759,0.0395465,-0.0803260068431,0.012209464047,89.1491544738,13,-0.0441425,15.4359,48.1328372608,0.000806278,51.9050004264,13,0.0394276552875,0.0185968,0.000105679145401,0.0394202576694,-16.0608682648,-0.00806774679459,13.0917
-0.3589981098,0.0372984,-0.360547137031,0.0377898,-0.358372764933,0.00980678944302,93.7578308248,14,-0.0429892,16.0259,43.5234629021,0.00359357,59.8620661594,14,0.0373621559506,0.00940499,0.000762872069844,0.0373232133542,-1.58014825952,-0.0359124171891,13.7324
-0.254835950885,0.0415145,-0.255005882748,0.0421379,-0.254772762807,0.00879476676189,-13.991930531,15,-0.0471635,16.6941,0.0,0.00255091,-13.991930531,15,0.0416981573233,0.00491349,7.94808043692e-05,0.0415590592484,-13.991930531,-0.0255145203735,14.0898
-2.29065774329,0.046792,-2.30423458383,0.0473371,-2.28141319692,0.00620885364312,-25.160504274,16,-0.0523971,17.0782,1.66460768948,0.0229295,-26.8251119634,16,0.0470523351569,0.00147334,0.00756591914131,0.0468500985309,-28.4897196529,-0.228935540939,14.4837
-0.573012667236,0.0524517,-0.581364529374,0.0532224,-0.569668585046,0.00615521429904,76.3982884886,17,-0.0583369,17.3217,38.2388886938,0.00573586,38.1593997948,17,0.0527705324334,0.000958615,0.00445049074943,0.0524700353015,-0.0794888990082,-0.0572902917835,14.6696
-5.76632585681,0.0577347,-5.76667222099,0.0590901,-5.76596534394,0.00672056542759,77.589736928,18,-0.0634352,17.9435,39.6939342083,0.057721,37.8958027197,18,0.0583786676104,0.00145196,0.000264637302306,0.0577264699055,-1.79813148856,-0.577185387367,15.2602
-10.1614349973,0.0723854,-10.1895012776,0.0736298,-10.1210379009,0.0080710460356,94.7950808072,19,-0.0783301,18.5454,46.7237676227,0.101716,58.2681477858,19,0.0729843368671,0.0023825,0.0266049411151,0.0724750903172,-7.68182692513,-1.01942068792,16.107
-1.12090337074,0.0795064,-1.16078334092,0.0805681,-1.09996310536,0.00726526763599,80.4830658554,20,-0.0848401,19.312,47.2186441436,0.0112203,33.2644217118,20,0.0799978342539,0.00190658,0.0190115545425,0.0794997523096,-13.9542224317,-0.111429530381,17.0043
-0.064805201453,0.0913445,-0.173319144877,0.0931113,-0.0150712108738,0.00818071267453,95.5569494808,21,-0.0981012,20.1501,40.5781962436,0.000648701,71.3910544467,21,0.0924191305176,0.00310635,0.0566329176255,0.0914247483086,-9.54148439264,-0.00264284891046,18.0226
-0.183074146328,0.106144,-0.303241438592,0.108267,-0.0814393994755,0.00809584344326,-0.0687644036979,22,-0.11326,20.9235,0.0,0.00183257,-0.0687644036979,22,0.107450528827,0.00222641,0.0883415299926,0.106169939965,-0.0687644036979,-0.010046535768,18.9113
-0.330804291347,0.118379,-0.369519084849,0.121408,-0.301479630938,0.0115470829753,92.37262061,23,-0.125462,22.2313,59.860663228,0.00331135,32.511957382,23,0.119959563999,0.00504582,0.0238947657597,0.118353550594,-27.348705846,-0.0346337353349,19.7747
43.5691454364,0.11628,-1.01330458531,0.118449,97.1933161306,0.00820093899875,84.0973286255,24,-0.123396,22.8153,54.9214264311,0.0200594,29.1759021944,24,0.117592304419,0.00288949,48.5820380486,0.116303112247,-25.7455242367,-0.0484569785788,20.5281
26.4320652384,0.141809,-0.406820752329,0.143288,97.5584617567,0.00840644366803,90.2662873861,25,-0.15045,23.711,42.8233861156,0.00864798,64.9803776014,25,0.142608112339,0.00286684,43.4426513474,0.141811541382,-9.18849534431,-0.00603148113685,21.4837
96.3817386975,0.173057,93.2004398494,0.177508,97.1818272391,0.0162231043823,95.6944620825,26,-0.182466,24.183,3.93777724643,0.0470646,91.8584922235,26,0.173633824999,0.0157903,1.22850901079,0.173027102947,85.4647976779,0.055440028102,22.1198
64.2960976455,0.188059,-0.534795464806,0.189849,97.2735698646,0.0115932996826,95.9159422469,27,-0.199695,25.0641,3.05270653935,0.0281568,91.5789721939,27,0.188810618607,0.0030083,45.6427616864,0.18811066331,88.2410327773,0.0478699432565,22.9708
71.8002593136,0.220596,-1.51045522305,0.224452,97.2724390782,0.0177115589157,88.3926358311,28,-0.233724,25.7195,44.4591345171,0.0372821,54.5994630281,28,0.221499568803,0.0212665,41.9154412823,0.220578394646,-8.2148548826,0.00856336843256,24.1219
96.5759728623,0.2303,93.9343539128,0.232452,97.3450800865,0.0126084645212,94.048828927,29,-0.244058,26.2125,37.7324000982,0.0469826,72.8890328212,29,0.231467592657,0.00854447,1.052863849,0.230348420051,-2.48103411959,0.222848177639,25.1631
60.4067042972,0.293818,-4.53363635315,0.296507,96.425625514,0.0169707479494,97.2217396162,30,-0.308843,27.1027,5.57898284364,0.0505832,91.9304953013,30,0.295242643278,0.0156928,47.1018653057,0.293851591868,81.1753641003,0.0238787655985,26.0216
53.4809393577,0.319932,-2.24296469208,0.323671,96.2665307445,0.0127401511909,93.9664700116,31,-0.336151,27.7822,1.97103720118,0.0474473,92.0109220641,31,0.322656750844,0.00793082,48.2040609701,0.319906260901,88.6948219186,0.139180907484,26.6155
95.2471928405,0.350256,90.6641104722,0.355895,96.6991668733,0.0215759886978,94.7948276842,32,-0.369278,28.6083,37.608762263,0.0936698,71.9659165993,32,0.35378017033,0.0248564,1.84088265379,0.350284599962,-3.04298615215,1.22956553824,27.0203
94.398806422,0.387838,92.2040588781,0.391406,95.4824157955,0.0161287148718,99.4110773156,33,-0.41147,29.3602,6.0420987448,0.120244,91.8544371845,33,0.390805970196,0.0104153,0.73147951652,0.387807536978,84.6216521372,1.78121197504,27.7532
90.4945079164,0.439304,-0.208341096466,0.44268,96.9911331307,0.016366648139,94.6432875598,34,-0.465654,29.983,2.61414093021,0.0567472,91.4271400663,34,0.441911772336,0.014514,22.7496896447,0.439287862637,86.9377790622,0.509372849239,28.7048
90.4187603152,0.475288,-0.160218052812,0.478149,96.8854527704,0.0223072058678,88.5328730761,35,-0.503158,30.7965,38.6856245448,0.061964,64.4290281769,35,0.477311812061,0.0208019,22.6605405364,0.475238476844,-2.5003479465,0.464001681557,29.4689
95.1305604216,0.525859,91.1661750781,0.527839,96.220388777,0.0217802703336,99.891784725,36,-0.558901,31.4729,3.7913150518,0.135909,93.180144623,36,0.527543322887,0.0303096,1.37774140682,0.525884558961,88.7247444205,4.77360616298,30.265
93.9079735645,0.574188,86.6440853341,0.57555,95.6274548223,0.0225021104554,98.5288221591,37,-0.609072,32.1614,5.11121605073,0.174402,92.0728697545,37,0.575278916892,0.0275649,1.91317710884,0.574081050881,84.0216230192,5.82708314337,31.0953
93.3703906865,0.627085,84.9631841812,0.628119,95.0872260432,0.0214843985641,94.699688419,38,-0.666157,32.7569,4.34267141039,0.222119,89.7580553887,38,0.627942062095,0.024364,2.07650000827,0.627048367434,83.4627526889,7.98235020355,31.7301
96.1520105228,0.708198,95.0927438323,0.709312,96.7279370455,0.0181520135196,98.0311495953,39,-0.750146,33.4719,3.04335563785,0.0816983,92.6388939719,39,0.709184271265,0.0146896,0.495675546786,0.70833273557,89.1021940851,2.42584613705,32.2225
95.1137408933,0.777787,94.1973356952,0.7788,95.8729783084,0.0224586752845,99.4475403082,40,-0.826468,34.1448,4.00165669141,0.145194,93.2458764824,40,0.778563080367,0.0271214,0.542951927459,0.7777716304,85.3262330236,6.61329855808,32.8212
94.1066940328,0.844204,91.2052183212,0.845146,95.3867226234,0.0197345080921,99.0229770087,41,-0.896817,34.8272,2.46201862759,0.182756,93.6647651387,41,0.844960393426,0.011797,1.17838092619,0.844202693426,90.6565570885,8.12816705452,33.6183
80.5933442898,0.911548,-9.6805189109,0.912647,95.3216486495,0.0340026352362,95.9911425322,42,-0.967967,35.4611,5.28678154607,0.143105,89.7857730931,42,0.912513157358,0.0434559,33.8070666998,0.911545387793,80.5095036954,11.6240586252,34.1649
89.3054492236,1.00292,-5.55333980665,1.00409,95.6350957018,0.0233887163372,99.0520089739,43,-1.06651,35.8815,3.92531383465,0.109976,93.2011376385,43,1.00397361741,0.018787,21.7853295666,1.0030140602,85.8398786085,4.03700509896,34.6513
82.0084365267,1.11124,-0.052325182288,1.11241,95.6805824595,0.0273218309014,95.2800098065,44,-1.18126,36.4242,2.26562948778,0.0696853,92.3490673169,44,1.11240507585,0.0224191,32.1953155458,1.11135821917,89.3361669218,0.968141457509,35.1474
9.87348976204,1.20362,-6.95387800633,1.20461,94.8391870819,0.0429016373248,99.6734767572,45,-1.28403,36.9752,2.81390139601,0.0783,93.2673925773,45,1.20490673464,0.0568453,37.6203042969,1.20401944893,91.0242468474,2.60016581562,35.4881
