Iteration,AverageAbsQ,Epoch,AverageEsReturn,AverageAction,AveragePolicySurr,AverageQ,StdEsReturn,PolicyRegParamNorm,MinEsReturn,AverageReturn,MinReturn,AverageY,AverageAbsY,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,AverageQLoss,MaxReturn,AverageDiscountedReturn,MaxEsReturn
19,10.0062,19,64.531808641,0.660872,-11.3135,9.99361,38.2812606793,15.6498,12.9571552,99.0077528767,96.9933448661,9.99550032501,10.0024572536,0.29576377448,3.87963610531,20.6984,0.351445,150.789108426,75.6820354925,178.148593963
20,11.582,20,117.858551562,0.415446,-13.0818,11.5702,53.6940145691,16.758,42.3367846927,163.733490193,160.936934725,11.572718189,11.5781018339,0.374941963926,2.26229492717,21.6186,0.579281,172.418766013,107.351388793,246.191651505
21,13.2895,21,161.266069814,0.427001,-14.9291,13.2769,21.129032148,17.3966,124.996777042,173.752012976,171.652241166,13.2795343148,13.2847177852,0.445339187291,1.15069494842,22.61,0.897872,176.690749763,112.182584023,200.552997401
22,15.0113,22,147.791148022,0.439532,-16.7638,14.9948,54.2306632946,18.2541,4.82813145551,263.655093173,232.605223138,14.9977910183,15.0049822136,0.492882704552,47.0461780141,23.6656,1.15361,382.512284396,146.268024619,196.058129031
23,16.8528,23,220.342368848,0.43578,-18.7244,16.8359,72.4643547102,19.1921,138.179547561,174.967502579,171.200333475,16.8393722911,16.8466212227,0.570287205245,3.11439341277,24.7377,1.59736,189.589367768,112.49478718,371.595128239
24,18.7292,24,165.201922999,0.457496,-20.7436,18.7123,85.7974628746,19.9379,19.1051675838,181.420065563,166.714994357,18.716534931,18.7230188803,0.629021725315,31.6242836007,25.8231,1.98161,318.274635359,114.516152504,269.150679079
25,20.8258,25,226.134420618,0.604636,-22.8891,20.8087,110.553956491,20.7423,35.5763073524,229.953075856,218.70235827,20.8135778434,20.8195664685,0.693346905601,5.24855149644,26.9159,2.55384,239.411807436,134.41230334,375.220339119
26,22.8622,26,199.046940171,0.600164,-25.0052,22.8435,81.2396063013,21.336,108.299663013,382.28522411,365.873185231,22.8464695846,22.8517808509,0.753498715941,8.64116888376,28.0283,3.0252,393.957252747,181.901058148,370.706683524
27,24.9851,27,186.951474699,0.613274,-27.2193,24.9656,88.1249681867,22.0231,12.131523861,377.03456519,369.906261107,24.9722991815,24.976964556,0.824391437808,5.30865551131,29.0661,3.73199,394.326729574,182.219772269,334.487334968
28,26.9981,28,234.168559895,0.599319,-29.2806,26.9778,101.829333278,22.5597,17.7495858837,280.465325928,148.195981593,26.9823926818,26.9867918034,0.8734224066,90.1744147523,30.0406,3.99141,371.308096598,148.512668143,418.508754031
