MaxEsReturn,AveragePolicySurr,AverageY,Iteration,AverageQ,PolicyRegParamNorm,AverageDiscountedReturn,AverageAction,AverageReturn,StdEsReturn,MinReturn,AverageAbsY,AverageEsReturn,MinEsReturn,AverageAbsQYDiff,Epoch,MaxReturn,AverageAbsQ,AverageQLoss,StdReturn,QFunRegParamNorm
57.7132046031,-0.0227387,1.46675991129,9,-0.229345,11.2294,8.78132212829,0.219722,9.20446462754,6.62744686725,9.08445155649,1.46675991129,9.65486007239,2.32672390882,1.69610479703,9,9.33814817465,0.295712,3.25589,0.0481444052468,11.1302
22.5863490123,-1.24022,1.17160815526,10,1.16232,12.222,5.10912951503,0.919724,5.26771595581,3.27389013996,5.08185324943,1.18301926984,5.3775024516,2.43129430483,0.118806724114,10,5.3696150386,1.17067,0.0526667,0.0410674584521,11.4351
17.8419650664,-1.34244,1.34844447819,11,1.34792,12.5117,5.13590505175,0.999908,5.29699248241,2.88195819086,5.07342917873,1.36569832231,7.14500633222,4.59382067353,0.0659306474344,11,5.40907646029,1.36588,0.0109473,0.0430359551591,11.8147
81.8685857589,-2.16528,1.88199845764,12,1.88101,12.7535,34.4907822342,1.0,38.8125074701,12.147391286,36.6202558939,1.90825754927,38.8207462056,5.7347193309,0.0913858171414,12,40.7094418393,1.90825,0.0325215,0.926146029916,12.5492
162.614525451,-3.27561,2.88861503155,13,2.88703,13.2663,81.9046563604,0.691637,109.536351479,32.8584947826,100.625789169,2.91306386168,59.556478759,28.4620367625,0.144481709301,13,117.457326389,2.91219,0.0987318,3.92353059795,13.8104
174.514215473,-4.50782,3.99451109242,14,3.99297,15.1543,110.467852002,0.7093,170.015016392,47.9682710618,162.426655633,4.01694921273,120.603186968,33.0677713405,0.185126561744,14,173.394618838,4.01683,0.178624,2.38250879154,15.2056
177.158638431,-5.94866,5.29077510714,15,5.2886,16.7868,99.6387455425,0.682155,144.82479252,40.1248769726,130.50609275,5.30760338757,141.167927433,16.2038774986,0.238209033205,15,162.285389832,5.30725,0.296688,7.90772322258,16.5069
186.482397065,-7.52724,6.73488725051,16,6.73251,18.6134,110.482583621,0.674877,170.033298562,58.7592417106,164.074225402,6.74926117405,126.363076275,13.8549407582,0.282282424836,16,173.879250551,6.75026,0.445758,2.34976474476,17.7705
198.743827858,-9.19494,8.2805885345,17,8.27852,20.0671,109.951556328,0.799619,169.053134814,69.9175096262,38.2510135639,8.29313021965,129.550725151,10.5920044152,0.343497150126,17,175.795391345,8.29469,0.666789,21.1726629405,19.1342
177.812746696,-10.9272,9.88398870813,18,9.88163,21.0993,111.078592817,0.810245,171.476995585,59.463731389,168.563010319,9.89606604211,127.694222042,36.4484388437,0.37946052561,18,174.005540709,9.8983,0.870562,0.988242751592,20.4108
178.822710188,-12.6789,11.5459050423,19,11.5431,22.0088,112.306053734,0.851218,173.538732507,45.9317295656,168.832001415,11.5571110752,141.638340664,37.8941237417,0.418286080732,19,176.928763092,11.5602,1.03878,1.78812823029,21.6841
188.599447625,-14.5125,13.2965021413,20,13.2937,22.7735,111.538818473,0.765591,172.029435664,21.9548823615,169.700431214,13.3051525271,167.27592751,97.9393628518,0.4569487316,20,174.754475074,13.3088,1.17411,1.05536537269,23.0739
177.016371289,-16.4268,15.1062193195,21,15.1038,23.9188,111.229880563,0.700848,171.416666457,60.2098188522,167.427735407,15.1163376857,124.264637483,38.5763532935,0.471982317599,21,174.278222794,15.121,1.29028,1.29288580371,24.2407
181.283889764,-18.2687,16.8800258552,22,16.8759,24.9627,110.773334952,0.803284,170.089494887,36.3289541341,164.906316267,16.8890059511,152.209131117,57.6978561441,0.537492347978,22,173.212931901,16.8935,1.55874,1.6464615845,25.519
203.742589646,-20.1873,18.7084045178,23,18.7046,25.7507,110.61768624,0.787863,169.680755081,48.4568283913,164.324282735,18.7151486569,157.208250845,8.50337297437,0.577531777575,23,172.145815695,18.7207,1.85655,1.55984899636,26.7583
190.443081405,-22.0715,20.5210818253,24,20.5172,26.5257,111.410102004,0.864061,171.617411868,28.9798715334,164.974502202,20.528627282,157.039589669,87.1001929974,0.560167935545,24,175.571601008,20.5348,1.68177,1.84922540094,27.8307
189.571262167,-23.9726,22.3976799675,25,22.3945,26.977,110.965372918,0.752492,170.375932805,30.2973589741,166.551513803,22.4040893915,157.747240697,73.7741560385,0.589528398954,25,173.535055728,22.4112,1.83722,1.47966580009,28.8666
176.321778091,-25.7631,24.1464033094,26,24.1422,27.5007,110.85187325,0.698423,170.316349509,46.3719803892,162.98249293,24.1534156505,141.089906755,38.0535726907,0.616874805833,26,173.575121467,24.1608,1.97949,1.80386858718,29.8691
176.756170679,-27.6451,25.9646257238,27,25.9606,28.0045,111.266720632,0.734775,170.868410656,40.7204638962,155.10312389,25.9708806564,143.057880906,45.6440389122,0.640445151117,27,176.241482905,25.9768,2.32038,3.01541819208,30.749
185.459594473,-29.3356,27.5924119486,28,27.5881,28.5014,111.807370571,0.714757,172.078517424,53.1485260156,168.478690551,27.5985139601,130.138305933,16.0675221561,0.678804182585,28,175.138964403,27.6061,2.54068,1.45161350625,31.6124
187.744357875,-31.0931,29.3392555464,29,29.3355,28.9936,114.88334673,0.641174,179.472904474,52.4903281043,171.099429444,29.3447240042,136.207173387,51.8194447835,0.69816222079,29,185.081302195,29.3564,2.75419,2.84440213331,32.5441
