AverageQ,StdEsReturn,AverageDiscountedReturn,MinEsReturn,AverageAction,AverageEsReturn,AverageAbsQYDiff,MaxReturn,Epoch,AverageQLoss,AveragePolicySurr,MinReturn,PolicyRegParamNorm,AverageAbsQ,StdReturn,AverageY,AverageReturn,MaxEsReturn,QFunRegParamNorm,Iteration,AverageAbsY
1.6129,35.7393634702,-0.0514701519213,-2.12423959467,0.00425916,33.6151238755,0.0830604639386,-0.39455442305,28,0.28433,-1.71726,-0.480309661097,22.1511,1.83696,0.0313652941208,1.61378726314,-0.425489860902,69.3544873457,71.0685,28,1.83455972945
1.84316,39.8728776295,-0.0971705997241,-0.747367370772,0.00929816,68.1745245311,0.0970296248158,-0.902171653538,29,0.32324,-1.96548,-0.953729584357,22.5145,2.04145,0.0170201340527,1.84357446884,-0.92888645032,95.289305771,72.9863,29,2.0379021598
2.11402,43.9862147238,-0.305862350005,-11.376595462,0.0307346,64.6688289667,0.112802411271,-3.05754478781,30,0.697279,-2.25349,-3.08141249475,22.833,2.29207,0.00742411918024,2.11454000036,-3.07038618483,92.7073478114,75.3987,30,2.2861462815
2.35446,37.5968876386,-0.185552868663,-1.99680220514,0.0182674,73.1052264571,0.125621496579,-1.79042378402,31,0.67227,-2.5094,-1.88636704394,23.1781,2.52046,0.0322162702188,2.35512084249,-1.82491115479,94.8144332476,77.0113,31,2.51313151616
2.6438,45.93699832,-0.0434236547912,-3.25098241372,0.00388398,42.6860159063,0.150792542961,-0.308649515203,32,0.96143,-2.82129,-0.552199187478,23.5063,2.80575,0.0784120564361,2.64470522815,-0.388010042474,88.6230142262,78.8029,32,2.79594974
2.93754,47.3837996983,-0.0511219135752,-18.1995493598,0.00880653,63.8503715284,0.160779367921,-0.406386411126,33,0.624066,-3.13418,-1.85462024328,23.8455,3.10444,0.453200912468,2.93786017004,-0.879771897562,92.8710153449,80.366,33,3.09177022141
3.14035,43.3035744639,0.314222620445,-9.2854981315,0.0995156,65.484669366,0.186652000019,95.9421645917,34,0.768456,-3.3575,-4.35250584823,24.4067,3.32068,23.7322385535,3.13983580405,87.2653165596,93.8822781144,81.3773,34,3.304032534
3.65113,1.387104109,22.3716549315,90.1018792924,0.338096,92.4941487313,0.223738030497,95.7084795491,35,1.36118,-3.88696,87.3730624281,24.8984,3.84363,2.23716443104,3.65091774996,93.548630193,94.0085499233,82.6419,35,3.82402438268
4.11097,4.56682764764,-4.491387856,82.9864309296,0.557326,92.6820614069,0.257357921476,83.9140631548,36,1.93366,-4.35469,-58.6269225251,25.0903,4.34224,64.4461326098,4.10965111835,1.71781547792,98.5337957228,83.4982,36,4.30784041235
4.77373,37.3332931396,-3.29734114128,-4.11080348637,0.347951,70.3331440002,0.22032187741,-33.9520012175,37,1.08595,-5.07009,-35.1255941004,25.2835,5.04815,0.384060214007,4.77394702538,-34.7602727958,93.5737160612,84.6639,37,5.02348729314
5.06807,36.1445826087,32.697103238,-7.0878595069,0.824979,73.5819523396,0.262584600595,93.0416412199,38,1.77617,-5.40118,86.1045355282,25.5166,5.40315,2.20631292454,5.06996062501,91.6289342337,93.6708835047,85.3572,38,5.37438930787
5.63823,2.53883143062,31.8550848994,90.3346576438,0.636919,93.9874926572,0.321186127933,93.9890962058,39,2.36411,-5.99622,87.6655139253,25.7535,6.02273,1.33947308728,5.63859179994,93.1459264898,98.0939991704,85.6532,39,5.98240919305
6.23579,5.82490105838,-3.1876781631,76.0352824135,0.322346,89.1467145128,0.283355510796,-32.1787539395,40,1.84787,-6.64704,-32.2191525135,25.9772,6.63266,0.00955185106998,6.2372469924,-32.2023475685,94.3256587715,86.379,40,6.60798997019
