MinReturn,StdReturn,AverageEsReturn,MaxReturn,AverageQLoss,AverageAbsY,AverageAbsQ,Epoch,QFunRegParamNorm,MaxEsReturn,AverageY,AverageQ,AverageDiscountedReturn,Iteration,AverageReturn,PolicyRegParamNorm,AverageAbsQYDiff,MinEsReturn,AveragePolicySurr,StdEsReturn,AverageAction
204.662028121,3.44131818415,168.637050133,219.098902482,2.41673,25.5345408631,25.5397,26,30.7891,195.69166647,25.5126765877,25.5069,124.095328139,26,211.462533778,23.817,0.721493680956,58.0692789474,-26.9788,35.1277054394,0.637803
189.019523889,7.20596843027,145.251262504,216.705466996,2.98463,27.4990072118,27.5032,27,31.749,217.811254452,27.4778228691,27.4707,122.980922191,27,204.611182491,24.3913,0.783722309755,23.7179162672,-29.0484,62.4415699815,0.592165
194.058925231,3.47302306788,166.878916129,209.147771619,3.16752,29.4925904089,29.5005,28,32.6968,246.190622915,29.4723387808,29.4684,122.635504777,28,202.377849851,25.0218,0.813454061349,88.7333039969,-31.1148,48.8896771518,0.562562
192.121047114,8.98964110308,150.96305133,232.338149036,4.12668,31.4692986095,31.4745,29,33.6321,255.932681364,31.4493406754,31.4409,122.979227924,29,207.180544994,25.6882,0.911909327452,25.6260744168,-33.1483,64.1516453357,0.587492
164.903133806,22.1511389953,169.758261086,252.217855279,4.6049,33.4931060623,33.4993,30,34.5534,224.907248541,33.4647255571,33.4575,115.021701748,30,187.047328554,26.2668,0.945827434148,56.0177440288,-35.272,46.6605804347,0.634854
224.587150403,10.7276517994,165.317292939,274.39656534,4.88417,35.5984290657,35.605,31,35.3686,256.215909105,35.579534502,35.5707,139.168448505,31,253.85081628,26.8339,0.989101671425,44.3617194297,-37.4341,60.3181966803,0.591054
218.121002138,7.25605217105,166.777896386,250.577324245,5.70063,37.684122668,37.6918,32,36.301,258.297229545,37.664631774,37.6571,134.795303855,32,233.642177474,27.3492,1.04353902489,11.590303743,-39.588,84.4741308077,0.485832
163.492436078,12.567662906,162.743786768,217.463395934,6.48143,39.7304367202,39.7383,33,37.1862,314.246990654,39.7129084843,39.7031,118.016101515,33,195.447393914,27.7299,1.11757686779,11.173021106,-41.7329,96.9368840967,0.507094
131.743466046,21.9403675404,170.389249792,209.793417765,7.48414,41.8517411864,41.8625,34,38.0466,297.944471203,41.8279313106,41.8224,103.294211108,34,163.560647769,28.0966,1.19011675597,57.1470222641,-43.8963,79.6028713894,0.481648
143.565299894,19.8019853825,222.508299521,206.267365647,8.1202,44.075778517,44.0861,35,38.8283,344.766519825,44.0509218811,44.0406,107.428299519,35,175.722236959,28.5005,1.23767835133,81.8898004882,-46.1757,76.3422221043,0.486807
132.331634844,95.2730400897,175.675653878,457.725366308,9.18862,46.1737216157,46.1871,36,39.6977,339.857370463,46.1490105438,46.137,126.795897243,36,231.667493793,28.8253,1.31299229724,21.6026521667,-48.3487,97.3015961674,0.488453
291.20564864,14.0268174954,150.89741854,347.137813156,10.0479,48.3364960589,48.3562,37,40.5217,312.064324734,48.2923596049,48.2801,158.098240447,37,316.873430997,29.1314,1.38410908222,19.6497773386,-50.5005,93.6504804466,0.45427
314.898357644,21.7866153213,228.100171525,502.562316195,10.3849,50.4647503637,50.4847,38,41.2732,371.952036905,50.4243460526,50.4156,183.645391523,38,401.636384418,29.5767,1.41708407998,18.8920550614,-52.6198,124.563251173,0.5887
142.703588912,64.5950121082,300.227413671,496.624879512,11.3952,52.7182943967,52.7479,39,42.0052,449.362911386,52.6629166118,52.6564,172.61354476,39,392.5236951,29.9726,1.48442988458,130.128459493,-54.8384,110.757034103,0.539464
262.146962655,27.4521772114,299.744898084,439.854319777,12.5505,55.1085388732,55.1275,40,42.6983,580.018374976,55.0628202528,55.0497,177.273588587,40,385.60586252,30.4279,1.53323354212,117.709822365,-57.3018,175.735427878,0.59583
187.612915227,31.9574635832,228.419144489,399.678381354,13.6115,57.4147015677,57.4354,41,43.4249,616.957744475,57.3682714609,57.3574,177.742820179,41,373.304715047,30.8959,1.60550009041,28.9979614082,-59.5927,162.859385159,0.697365
169.059418784,71.6229856792,159.001422897,415.211371004,15.6603,59.445063703,59.4803,42,44.2003,388.187850352,59.401974645,59.3933,171.162390425,42,349.538185282,31.4098,1.67846715645,8.36262975799,-61.6327,131.37905362,0.720449
