AverageY,AverageEsReturn,StdReturn,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,MaxEsReturn,Epoch,StdEsReturn,AveragePolicySurr,AverageQLoss,AverageReturn,AverageAbsY,MaxReturn,AverageAbsQYDiff,MinEsReturn,QFunRegParamNorm,Iteration,AverageQ,AverageAction,AverageAbsQ
33.4377552973,183.566957371,22.582764073,122.465030517,180.447402875,26.5868,332.183558867,33,79.5927026263,-35.3425,4.77528,199.371974342,33.4420065388,407.354140455,0.942670848401,73.5464618417,33.0553,33,33.4334,0.598943,33.4504
35.3907409167,273.162609058,3.7817957285,152.790962632,285.955737699,26.8407,420.566008734,34,92.5307418238,-37.3566,4.35204,293.231510218,35.3946673935,302.899506644,0.94703170757,117.342175916,33.7214,34,35.3841,0.530834,35.4003
37.2502105297,175.466797241,6.68408759841,153.776361204,278.050719505,27.1946,350.847071307,35,117.806142937,-39.2168,5.11526,294.442619132,37.2549861232,316.192612403,1.00175320554,7.48510414813,34.2624,35,37.243,0.558655,37.2652
39.0481870782,226.72979258,61.3358417997,167.971390535,200.982048846,27.401,343.424883863,36,97.2376653109,-41.064,6.84463,331.534362183,39.0564042417,397.40494027,1.0903799947,60.8588201366,34.8742,36,39.0397,0.51504,39.0626
40.7554014354,256.047356171,4.32527546939,174.170768361,345.685685206,27.6922,538.43879452,37,153.344428492,-42.8642,7.06496,354.022965308,40.7615881713,364.009423655,1.14638943092,17.761119795,35.4974,37,40.7483,0.533605,40.7691
43.003305351,310.719097753,5.75019378236,146.114190914,278.460967587,27.9386,528.218512234,38,115.13088106,-45.1973,8.3051,289.256594709,43.0087727975,303.532617311,1.21783701916,178.29530373,36.1325,38,42.9936,0.549622,43.0142
44.7965438233,268.61247931,2.97102322737,179.038278688,364.945524603,28.209,517.584334611,39,125.029497035,-47.0256,8.29212,370.325240278,44.8013715919,380.878493033,1.21648398967,111.62339663,36.7559,39,44.7853,0.466935,44.8058
46.7590333371,302.040916633,12.9005102659,146.889948124,284.673942704,28.557,593.035626064,40,156.009616276,-48.9715,8.35834,301.612681221,46.7623656373,343.245577843,1.21894734116,97.3160049162,37.3312,40,46.7496,0.584227,46.7671
48.8419192147,281.505149743,71.029830993,186.544445005,240.466788195,28.9401,454.153756421,41,138.945361582,-51.0578,10.6491,400.847053527,48.8442576325,521.746436869,1.36039526293,18.8024866121,38.0333,41,48.8347,0.608959,48.8521
51.0370590785,262.137261022,515.771466192,196.424542945,144.195925978,29.1754,660.360948082,42,185.260970043,-53.2954,11.9805,635.79764252,51.0394054288,2524.99837985,1.44635709528,22.1706696559,38.7197,42,51.024,0.623421,51.0386
53.128308828,360.806549236,100.242162921,153.141713203,177.908696439,29.3863,745.932525112,43,209.466463316,-55.4688,12.3835,323.693878598,53.1309493553,420.702664994,1.43253308358,59.938800527,39.3007,43,53.1215,0.60059,53.1393
55.1715724907,383.267727762,31.1004186731,181.577731456,267.41202645,29.7188,811.979798484,44,299.444270767,-57.6476,13.5139,380.778169525,55.1734132882,427.137852271,1.50400984758,67.5724751191,39.9548,44,55.1622,0.569717,55.1764
57.5051302078,249.638258987,5.98910820729,180.790435695,360.336447883,30.0561,398.832496708,45,104.390718152,-59.9916,15.1653,376.611207362,57.5069568142,389.196462728,1.62025078945,72.2611399246,40.6163,45,57.4931,0.613487,57.5101
59.5976102177,309.645151297,34.8478850517,182.976864896,152.287644823,30.3176,503.782256241,46,159.341989665,-62.1464,16.6137,385.736786232,59.5997514713,415.95314122,1.68359323041,60.8801420857,41.2814,46,59.5872,0.625379,59.6121
61.639443353,245.662388652,5.64015465858,182.615301071,371.358890585,30.6012,475.298012657,47,135.429942731,-64.2538,18.6979,382.942016865,61.6422844799,397.971630998,1.73235170519,62.4561172842,41.9347,47,61.6308,0.686703,61.6522
64.1776728823,414.256839196,4.52225989119,181.084239152,374.501583306,30.8958,892.60648932,48,261.645700314,-66.8405,17.8784,383.062540018,64.1793110599,391.19193055,1.76726167005,108.940510244,42.5627,48,64.1611,0.606668,64.183
66.0654200596,289.193279306,212.827049591,228.768135464,456.679889164,31.2414,472.300738267,49,126.475117715,-68.8511,21.2733,788.082161999,66.0675846027,1422.900375,1.85537795222,96.9027463045,43.1529,49,66.0535,0.617411,66.077
68.4363532074,222.57750822,193.8472246,188.412531042,175.860011779,31.5607,420.687940442,50,129.425162232,-71.2685,22.7823,483.215090348,68.4380655532,1222.15423498,1.91197913576,47.1030890157,43.7608,50,68.4217,0.615471,68.4474
70.8951184868,287.846466009,42.6897619694,191.371682756,382.678512064,31.7903,417.217046341,51,106.386966809,-73.7338,22.7292,427.320572341,70.8971805374,669.839524442,1.90932537821,60.508339099,44.4676,51,70.887,0.627638,70.9093
72.8736017096,246.537151746,11.84316692,182.776771608,359.915555626,32.0848,603.910641906,52,200.853996397,-75.8159,24.7995,387.340347193,72.8762489689,405.046828957,2.03897130667,10.4268395538,45.1315,52,72.8561,0.661643,72.8803
75.7099565644,288.642948742,140.540549924,189.223658311,378.951631613,32.3839,414.543455427,53,120.0179673,-78.6665,24.3139,426.199081565,75.7128199089,1199.31483285,2.05435180688,105.360772087,45.7005,53,75.6969,0.667484,75.7242
77.7552882459,330.589629225,403.793362014,218.197455276,418.021471423,32.7144,557.545461785,54,139.09654887,-80.847,26.617,755.714373282,77.7572085766,2217.33620876,2.14446615978,93.512503418,46.468,54,77.7353,0.692128,77.7685
80.2452339375,383.875329942,299.922309363,224.176759915,389.18821906,33.0467,529.2459801,55,107.313802628,-83.4061,27.7458,733.473220671,80.2467755686,1638.13361485,2.19458678675,170.292153696,47.0623,55,80.2246,0.672949,80.2523
82.5414478145,309.38710927,15.1869613086,188.256636788,387.043493947,33.3732,529.917909813,56,154.914713735,-85.7665,27.4542,402.856575592,82.5433070711,450.329526143,2.19090910785,74.6339514015,47.693,56,82.5296,0.712919,82.555
84.9251290655,229.812638302,192.719918372,204.052229269,322.138339806,33.6479,379.879477573,57,117.797026946,-88.2022,25.0703,541.813863494,84.926854337,929.464858235,2.18842616141,54.8460374163,48.2915,57,84.9084,0.64769,84.9395
87.3801908441,288.628981528,5.82697469794,185.582734737,387.348040323,33.9794,523.514381634,58,141.41140473,-90.6998,34.9292,394.839192089,87.3820607611,410.317601769,2.48187611521,67.6651893571,49.0526,58,87.3571,0.74518,87.3839
89.5453436783,298.977273766,8.13744639672,187.121998162,388.936563853,34.2968,469.620187483,59,108.184975708,-92.837,36.6811,400.122616855,89.5469307469,429.803361247,2.46011191239,119.93983352,49.765,59,89.5222,0.695317,89.5535
92.1786230447,257.611988154,14.82207321,185.899081883,387.220053357,34.6345,630.499895181,60,170.083543648,-95.5867,35.6977,400.91825467,92.180782539,462.237323133,2.52585711368,14.2253502904,50.5055,60,92.161,0.683236,92.1949
94.5499230094,215.648622652,2.11204544656,184.953106147,385.100639207,34.9256,370.935092256,61,134.540308376,-97.9444,36.4036,389.291398883,94.552748424,393.543201185,2.51192589242,21.9511537253,51.0928,61,94.5292,0.696082,94.5647
96.7533570632,325.288825618,5.97026788256,184.609547492,375.22169401,35.202,402.490295489,62,70.4150212679,-100.05,39.1784,388.244283608,96.7572424136,406.061736107,2.6254094022,144.353055336,51.7127,62,96.732,0.68631,96.7714
98.6021719762,221.890535578,3.26227295734,182.793572767,379.374503115,35.4491,391.819262319,63,126.093878152,-102.078,37.0158,387.16273505,98.6051005188,393.920773583,2.59111018858,18.016191369,52.3455,63,98.5865,0.690716,98.6319
100.687479847,276.832599961,2.19760382631,178.312863413,364.905184287,35.7748,361.553139182,64,70.6549187433,-104.053,40.5405,368.849969351,100.692171839,379.057009343,2.64586794874,151.697787042,52.9222,64,100.67,0.669637,100.723
103.427523135,271.76128439,8.36358105286,179.844522597,358.020101996,36.0186,400.687913637,65,93.0901921093,-106.805,40.4914,375.065407457,103.438656155,399.706773804,2.70599913737,103.918593169,53.4731,65,103.41,0.728498,103.465
105.381942064,198.15714117,4.25994640925,181.580932664,367.848406117,36.3458,378.862467217,66,138.571120986,-108.784,43.6068,377.842972844,105.389328452,389.263644726,2.8748876025,23.1532684751,54.143,66,105.359,0.727026,105.414
107.428735426,210.192344192,31.8977747766,184.397266755,373.310515154,36.5832,382.085390819,67,107.172958322,-110.916,46.0729,398.027919529,107.43867926,592.32398545,2.82493332639,56.2952553513,54.7334,67,107.402,0.712206,107.459
109.37367007,215.242475237,6.57280467856,182.180606898,370.866321717,36.8417,478.139007187,68,140.44991517,-113.106,49.485,383.11415218,109.381987422,410.742409607,2.98769206899,4.99930395931,55.3952,68,109.362,0.698476,109.424
111.665816432,337.153707637,3.21387684488,180.944489973,367.95531227,37.0797,607.473500467,69,114.714503614,-115.191,45.3564,376.346953688,111.678184291,382.807945497,2.90775519108,174.109477022,55.9496,69,111.646,0.715736,111.717
113.536211327,240.923615862,6.5627020779,166.496955678,307.356067636,37.3406,538.986945286,70,162.963382637,-117.137,48.6408,329.439308038,113.551054931,344.767045155,3.04661622098,10.5085121111,56.5098,70,113.509,0.724372,113.579
115.999996906,266.597518374,5.21186848283,175.248505108,350.081878309,37.5825,522.380895059,71,141.158402972,-119.593,51.5366,356.954222639,116.022879213,378.394005468,3.12290050424,82.1874925708,57.1856,71,115.975,0.678574,116.049
118.037327505,234.333988431,3.73693720513,169.609301056,329.507976813,37.8228,325.763233925,72,78.4906882778,-121.732,47.8286,342.882340923,118.047760022,349.682696784,2.97132614917,82.2362164683,57.7262,72,118.021,0.768802,118.082
120.329497467,238.502424271,6.6675886662,182.215471788,355.419299918,38.0499,396.372506909,73,120.854316117,-124.06,58.4905,376.106852217,120.339902639,383.398057666,3.19915264317,15.4193025101,58.3358,73,120.312,0.689126,120.362
122.518071528,246.070573021,6.25067254654,181.729974802,363.913200738,38.2463,607.695839263,74,182.513743839,-126.171,63.9399,373.50782175,122.537060523,393.797888811,3.23532313893,19.9951367194,58.9005,74,122.495,0.72816,122.558
124.065042587,250.679905005,12.3997601678,180.852025465,329.923324661,38.5341,375.798930335,75,104.088935654,-127.756,59.7045,372.352484953,124.082227975,400.178660397,3.23311740654,76.9812481569,59.5088,75,124.038,0.714108,124.109
126.39162718,315.765096403,36.0484627731,160.281204127,179.752823144,38.7889,454.3409611,76,122.603059295,-130.154,60.9079,314.995122101,126.404843336,424.422177153,3.23928265773,97.5682074852,60.0739,76,126.379,0.717142,126.461
128.717087795,215.885224403,38.8599419871,167.820065884,297.540515581,39.0187,380.001412757,77,128.324348467,-132.64,56.4911,355.976786824,128.726112572,625.953240394,3.1516400337,5.13193053111,60.6849,77,128.701,0.663356,128.767
130.915723395,192.056628609,19.4589422116,176.676129008,351.589218205,39.191,335.502449411,78,93.8605927512,-134.731,60.865,379.078529114,130.928299975,488.59893299,3.28568406565,67.1703778038,61.1916,78,130.896,0.711796,130.962
132.817142029,212.500905113,12.3148140706,173.555182083,347.577044197,39.4365,374.914628562,79,92.7255939725,-136.68,58.6518,367.957883148,132.831940693,407.727428659,3.27237750999,116.964830439,61.7512,79,132.793,0.725177,132.86
134.861630686,287.279669599,48.1387993229,162.481526667,205.254753907,39.5731,529.984317526,80,172.206758609,-138.827,56.5677,327.157232487,134.880701951,384.418550691,3.26460286349,17.119928452,62.3186,80,134.846,0.727691,134.926
136.433778296,354.787280596,17.228257887,177.447054883,293.014831989,39.7267,543.830677704,81,125.682204333,-140.436,69.1957,373.773243654,136.449840362,393.645881645,3.52617502407,111.321020245,62.952,81,136.403,0.704453,136.478
138.978744228,177.261650399,17.9104013835,166.956800814,304.027691317,39.8953,367.391327831,82,117.933338864,-143.007,62.0698,335.900882284,138.995606919,375.189189535,3.34116395432,28.6009874025,63.5627,82,138.961,0.70788,139.041
141.015470549,227.079257121,23.8360143444,181.847901566,221.518451621,40.0505,466.780581624,83,142.744024773,-145.131,64.807,372.529886348,141.036330994,382.882381374,3.522687022,16.9747041825,64.235,83,140.99,0.70127,141.068
143.092022723,213.307652724,33.5380590037,151.982078266,230.428475233,40.2194,379.472377343,84,132.043990969,-147.159,73.4282,283.874308207,143.100843757,384.110694365,3.53944424233,45.1321619769,64.8477,84,143.07,0.781667,143.144
144.943484944,209.373451572,24.3368611799,185.314417472,375.308672728,40.3742,374.805378666,85,139.734158533,-149.133,75.8557,394.172208817,144.968351925,534.938395822,3.54880767439,10.1615778653,65.3983,85,144.935,0.710202,145.029
146.644401228,204.911590871,56.2470809804,165.678649755,215.149012212,40.5966,515.026827183,86,151.994389566,-151.038,70.1184,323.39705054,146.665396335,378.728804959,3.64065964713,13.2791719467,65.9669,86,146.614,0.751242,146.716
149.395293337,269.416472556,3.46882412599,180.510061918,366.139427533,40.7672,389.319187216,87,101.548748762,-153.738,79.4816,375.217758927,149.415516249,382.384148976,3.67050059054,87.4313957856,66.5623,87,149.371,0.773728,149.444
150.788543308,244.422556628,2.16630214251,182.462267881,368.522749193,40.9082,444.85271499,88,115.213821099,-155.092,84.952,375.279474702,150.81515148,381.092272228,3.80828536218,82.4483799098,67.0866,88,150.763,0.759607,150.855
152.428508762,282.656097556,1.62532644926,184.784696309,378.151710341,41.0568,415.016045329,89,99.8658969831,-156.771,66.148,383.324213131,152.46135537,386.757291206,3.6047173845,87.894987748,67.5222,89,152.406,0.723796,152.512
154.93539307,200.455040501,2.18168717986,185.106777048,380.006090035,41.1666,377.366378197,90,157.774173142,-159.263,81.275,387.84284336,154.970977948,393.11734242,3.84508578038,14.3212445915,68.1094,90,154.914,0.74567,155.013
156.824167791,180.613480504,3.06867034501,183.416359949,374.6970339,41.3135,400.675682455,91,130.994415199,-161.172,76.6974,381.259938831,156.853190316,391.302507021,3.81078287,36.4928407781,68.6502,91,156.793,0.747327,156.906
158.34159789,212.547659561,2.54310238767,182.299934996,374.564751142,41.4148,422.209918345,92,147.312746543,-162.888,86.5298,380.998513628,158.382831478,387.606083821,3.87170929767,27.205752597,69.0648,92,158.325,0.754495,158.449
160.638800575,188.280299274,3.75065465313,180.900184606,363.023443159,41.59,406.931300705,93,137.905583314,-165.101,80.488,375.718057853,160.667298805,381.854224669,3.9060874136,35.1315919283,69.7051,93,160.615,0.766254,160.72
163.29356104,294.300273015,2.09038760239,183.974505746,376.44424164,41.7479,664.2772285,94,201.259178825,-167.495,84.4992,382.075842102,163.31573018,386.506633299,3.8338078146,46.2827907593,70.0488,94,163.271,0.737914,163.368
164.570839943,255.041396287,3.30696853996,182.575562561,369.126204089,41.9168,397.287210572,95,129.254861638,-169.149,89.9635,379.139564056,164.606016641,384.733215164,4.05134691768,51.6127736973,70.5078,95,164.55,0.703085,164.658
166.554896043,204.076859624,29.9350815361,203.76191188,382.41491058,42.1088,450.368114504,96,135.859811296,-171.078,88.1091,471.728560388,166.593677435,505.041730716,4.01086679751,22.4557875648,71.085,96,166.536,0.703512,166.649
168.676675031,234.059405357,63.2534136339,195.17643648,337.463822412,42.291,418.913915777,97,118.610511,-173.306,94.8118,445.010628802,168.720846317,510.039629273,4.05561361284,25.819891206,71.5846,97,168.646,0.707453,168.756
170.576950935,247.033070374,14.6091573466,200.036206735,419.209122758,42.4502,456.596323454,98,149.090249469,-175.302,93.068,454.053009789,170.608163011,485.338164616,4.04596215984,24.9813995108,72.1088,98,170.565,0.749161,170.669
172.512193434,180.867690702,53.351366425,196.600017183,332.004735125,42.5705,556.659514494,99,158.47907571,-177.099,104.468,436.200094941,172.53787536,528.214116087,4.24760796422,8.69120249289,72.5172,99,172.489,0.744605,172.596
174.587316587,211.329366872,35.9893971328,193.352125301,363.244135572,42.7195,342.470655904,100,109.246926944,-179.143,94.9698,427.743977958,174.633188582,522.543471503,4.15590108123,57.7419181221,72.934,100,174.575,0.735099,174.703
176.26506529,214.346789594,28.1881089736,214.145290105,453.141184395,42.8712,457.519133144,101,130.414155026,-180.72,94.3032,510.658520192,176.303310902,571.663605549,4.11099876808,70.2295620735,73.3529,101,176.228,0.68876,176.339
177.288267824,171.428732197,14.2800548649,200.494453825,431.678590405,42.9615,529.54103691,102,138.606305057,-181.839,112.65,456.514434064,177.32271908,532.916448029,4.3578411991,28.9987772714,73.759,102,177.276,0.740934,177.395
178.880521032,179.653010096,52.8048574732,197.575324311,334.096193138,43.0938,370.348040725,103,132.863044044,-183.618,96.3918,452.012886675,178.894886202,558.840394354,4.18080490077,8.58154021316,74.2699,103,178.862,0.705163,178.951
180.712261045,193.339863329,45.7501995041,184.647859214,308.293408004,43.2274,365.398481537,104,119.390792526,-185.435,96.1659,392.166247749,180.730335813,464.574785018,4.2100940884,44.3034719826,74.7156,104,180.689,0.758691,180.78
182.232890534,237.569009828,18.6981080879,212.048371573,454.234852388,43.333,762.752879388,105,218.110097776,-186.959,112.809,507.557462472,182.255891421,565.027584899,4.28953690546,28.7614911631,75.1149,105,182.22,0.77108,182.32
184.213719773,217.173262294,20.280894613,205.730287061,457.186123857,43.4741,614.097200797,106,165.471196468,-188.788,91.7831,480.773500305,184.231845699,573.128557467,4.11347640183,9.71378759611,75.4921,106,184.198,0.762211,184.289
185.552576213,155.031365113,11.0105068452,203.252656317,440.645067932,43.5509,292.793261458,107,107.396327709,-190.176,98.9367,468.337982251,185.572645228,500.239499717,4.23752443709,20.7115304724,76.012,107,185.535,0.725787,185.635
187.040657859,203.578307635,42.9728623927,205.702062421,333.821326031,43.6889,390.843023853,108,144.718048483,-191.717,110.13,486.14732647,187.06348483,632.071374249,4.34919343205,17.3066475337,76.4228,108,187.008,0.768729,187.104
187.99242744,167.869699251,22.1733378034,209.391950144,440.976499466,43.7809,397.670992076,109,119.133994037,-192.836,120.337,493.060889694,188.022464261,527.673085648,4.51428973275,45.3063789927,76.8533,109,187.984,0.718985,188.098
190.583721001,200.886739363,35.5331284802,211.997251779,451.489487336,43.9169,412.601420014,110,126.598200554,-195.23,115.259,513.179793093,190.602048908,680.820498573,4.43687093019,42.6217060409,77.2239,110,190.551,0.74027,190.636
192.143644372,341.393722011,18.9242149223,200.989129686,424.000551947,44.0148,681.907394199,111,181.906189619,-196.885,105.086,456.318419398,192.173394642,552.184333113,4.34175812487,153.15544631,77.6801,111,192.139,0.745603,192.252
193.305216675,311.508174341,32.515111539,208.273811448,445.179511714,44.1592,798.455503849,112,246.691707911,-198.09,129.047,496.305115125,193.330601908,550.918032368,4.58803519576,53.7162061014,78.1562,112,193.281,0.725768,193.402
194.807221091,178.579375721,16.0549447218,203.014260904,437.783408146,44.2867,311.456709632,113,86.2728434049,-199.527,139.522,471.02568737,194.835277884,500.503591475,4.75741640603,55.5451009382,78.4956,113,194.771,0.73907,194.898
196.536681367,199.708141241,18.6651287703,209.656366095,467.637936625,44.4115,356.28358301,114,128.212729624,-201.165,123.894,496.374488033,196.560680491,548.133031243,4.51316864531,28.0550128791,78.8625,114,196.514,0.753363,196.63
197.691082719,229.955761723,29.4113555627,230.807874136,574.227453337,44.5801,708.732162703,115,204.289338931,-202.367,112.962,643.350965162,197.710642406,705.391710044,4.43832913736,45.4653076904,79.2914,115,197.68,0.66196,197.789
198.86499398,210.435054784,46.9536577325,215.007195905,473.352023272,44.736,337.293538482,116,106.211408901,-203.485,113.285,529.236172754,198.887045325,674.183492875,4.41097177293,33.4930334664,79.6831,116,198.852,0.693142,198.953
200.52856285,228.018292364,25.3227636222,223.832761251,493.862156022,44.9028,499.200153965,117,122.442487746,-205.24,111.974,585.330316462,200.549112551,636.551562858,4.44523575929,56.7132743278,80.053,117,200.514,0.6344,200.623
201.655726984,231.721133569,58.0414580456,176.580679423,276.713533707,44.9993,501.750090344,118,143.698954389,-206.232,101.547,367.756435272,201.675244532,506.964056825,4.41545506341,11.7939786733,80.4756,118,201.633,0.723603,201.751
203.111415672,181.633486462,116.669461332,192.530384134,303.388417327,45.0732,376.798662713,119,121.190536462,-207.719,119.756,438.088753728,203.132721599,673.044482654,4.54195574747,10.5326152891,80.8948,119,203.09,0.703168,203.221
204.314819026,265.187268741,68.4258812612,216.505789795,421.442268813,45.188,539.925845257,120,162.34961857,-208.908,124.086,545.447458444,204.337813456,687.793922038,4.56003380541,43.1577951987,81.2065,120,204.295,0.703955,204.412
205.903597202,233.675652898,117.25291096,210.78960745,374.375273257,45.3551,501.530357875,121,163.815527704,-210.525,115.499,522.938359938,205.919762793,695.457620757,4.47231878461,17.1255304257,81.6446,121,205.893,0.677932,206.007
206.92663026,216.483758813,245.939162622,244.612011326,631.341602737,45.4685,655.602570245,122,170.778452149,-211.621,116.654,899.358756412,206.952446487,1365.52514788,4.53589262175,23.0111665908,81.9823,122,206.915,0.641674,207.026
207.970194483,203.013366945,117.380441671,210.535672207,359.89518697,45.6139,482.76032871,123,129.232460453,-212.661,137.458,529.958741904,207.989134812,733.782392128,4.68416628467,9.11793613007,82.3049,123,207.938,0.707349,208.049
209.168387821,226.73867792,65.3068127003,173.404807602,151.74918729,45.7376,382.659501683,124,140.157111692,-213.958,129.758,361.818649882,209.182570104,658.768446582,4.52380252942,8.42722228846,82.598,124,209.147,0.690131,209.256
210.248910459,316.138425552,100.961297191,201.519197817,331.494293218,45.9046,740.983169039,125,210.961674794,-215.023,117.925,482.740942683,210.267757669,644.396977586,4.52247470929,71.0694119322,83.0878,125,210.23,0.692204,210.329
211.925077834,242.069951976,78.6577999222,227.150382089,401.054214935,46.0857,602.510375414,126,226.074678548,-216.668,123.275,602.246918153,211.947224075,815.259275908,4.55354215649,29.8830780048,83.4098,126,211.91,0.697977,212.011
213.537654689,250.246810445,400.716511231,231.539366185,437.637618004,46.2555,466.771060766,127,154.034847503,-218.357,136.937,854.744438792,213.57260057,2068.1591326,4.68761574914,18.0459828149,83.7302,127,213.511,0.697509,213.628
214.160625589,320.021566823,723.129473806,234.084369431,529.833383501,46.3871,870.680574793,128,249.311658708,-219.151,152.253,905.113556201,214.191622578,3165.23157855,4.89716810043,13.8091506189,84.1065,128,214.144,0.682626,214.282
