AverageY,AverageEsReturn,StdReturn,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,MaxEsReturn,Epoch,StdEsReturn,AveragePolicySurr,AverageQLoss,AverageReturn,AverageAbsY,MaxReturn,AverageAbsQYDiff,MinEsReturn,QFunRegParamNorm,Iteration,AverageQ,AverageAction,AverageAbsQ
1.52811030239,9.81672402041,0.0481756602063,8.77351503996,9.08983265611,11.2302,57.0977736856,9,6.87459980972,-0.048379,3.26659,9.19617568187,1.52811030239,9.32461969463,1.69217600113,1.43157060948,11.1295,9,-0.164066,0.220546,0.234405
1.1802784017,3.8674756076,0.0175991589353,3.03729773619,3.05048090341,11.6092,33.0816252558,10,2.48937136462,-1.23464,0.0592332,3.08649925388,1.19150940602,3.12134168274,0.129698485283,2.41809339359,11.3726,10,1.17012,0.999738,1.17868
1.3796721325,27.0360667748,0.968710639419,34.4469919723,36.5475492347,12.0687,65.0424741924,11,19.5607837383,-1.50436,0.015091,38.7579016441,1.39902535318,40.7679050327,0.0713706924519,2.26674867176,11.6463,11,1.37876,1.0,1.39899
2.07834210536,40.7929348472,0.914133965221,34.4466864687,36.7429227697,12.0841,56.1957033848,12,4.44335352958,-2.3315,0.0525699,38.7549516287,2.10542572205,40.659361384,0.1124566235,28.8399239131,12.2677,12,2.07657,1.0,2.10458
3.0273767702,42.5989862409,0.966723904185,34.4491822964,36.5653757358,12.0793,79.0364193095,13,7.67094213395,-3.35158,0.124801,38.7612996686,3.05484176805,40.8011411495,0.167637240994,27.2763413307,13.3581,13,3.02487,1.0,3.05424
4.12451249426,40.1517326613,0.936460821941,34.4984353717,36.6817677327,12.0767,50.8965050446,14,5.72330439033,-4.54332,0.211004,38.8239890061,4.1466448388,40.7317081147,0.217892522944,7.38901084427,14.6581,14,4.12189,1.0,4.14521
5.28644127274,58.7330331076,0.677499032779,67.5808083224,83.557695136,13.5916,95.6685254972,15,15.543047438,-5.83171,0.290766,85.3899506331,5.30466170629,86.8196520886,0.261193328799,39.5743334126,15.8169,15,5.2842,0.732555,5.30441
6.45742053245,80.9834300902,3.99184622879,112.240243441,132.982939605,15.0888,122.247853195,16,27.1519689327,-7.12769,0.319915,173.343553808,6.47621441483,177.413612976,0.282372381857,29.7963161013,16.9361,16,6.45531,0.735666,6.47688
7.6525584985,154.314945727,2.5923743811,109.574510106,162.916784678,16.5082,181.810366749,17,31.7710539743,-8.42354,0.353858,168.753701191,7.66966572625,173.123046509,0.297657443099,70.4679315613,17.9783,17,7.64973,0.726406,7.66997
9.01655021142,165.607078622,1.2284278215,110.960590754,168.854105674,17.6971,203.653913936,18,26.5112966823,-9.95846,0.496881,171.912899572,9.0303819542,173.932401165,0.351394949689,103.424029659,19.0389,18,9.01488,0.691098,9.03224
10.4876995276,159.140102144,1.04549474249,111.520779256,168.86710267,19.0515,179.81005611,19,45.7153887749,-11.5217,0.623836,172.601643884,10.499786284,174.749797407,0.384804110498,7.7970096931,20.0288,19,10.4834,0.893866,10.5
12.0283130975,148.626972876,1.50790250304,109.379817744,163.293331383,19.9501,173.924249452,20,30.4791813602,-13.2466,0.820154,167.686537139,12.040540301,169.783030455,0.423512805531,93.8444521557,20.9431,20,12.0266,0.893213,12.0436
13.6280622301,144.083960793,1.43396469969,109.8805619,163.885666876,20.5293,190.024800782,21,46.1813221292,-14.9402,1.02033,168.787820842,13.6408774258,172.002112646,0.477519700629,38.6392759084,21.8596,21,13.6249,0.867732,13.6429
15.3915705642,146.149436981,1.09375593532,109.760688114,164.066232309,21.1435,177.64900665,22,39.67093307,-16.759,1.31672,168.126932797,15.404933132,170.355524648,0.526113613893,62.8563056513,22.9054,22,15.3874,0.729778,15.4066
17.0782563269,127.622047472,1.01263881075,109.796841691,166.004570814,21.8239,181.853707295,23,51.6118938992,-18.5587,1.79742,168.177672431,17.0893135553,170.019295725,0.604844997452,3.87849629051,23.9368,23,17.0748,0.625165,17.0924
18.8111989018,154.898566771,1.38483717915,108.667836455,160.980614888,22.4183,177.747764305,24,23.5605479498,-20.3809,1.98472,165.994260896,18.8205776415,168.482710951,0.647287249477,116.52004383,25.0572,24,18.8076,0.645051,18.8247
20.5363942032,142.489989248,1.35204677115,109.651648195,163.717373456,23.0317,170.863619967,25,45.7653767446,-22.1463,2.10168,167.887950145,20.5443817738,170.906071359,0.661185605703,10.3378662077,26.1007,25,20.5335,0.716287,20.5481
22.1958368512,135.972257816,1.55818934144,109.198288062,161.774863681,23.5564,218.272707853,26,52.2286477897,-23.8027,2.41964,167.054853126,22.2040352019,170.698249867,0.709041137315,32.8630233891,27.129,26,22.1919,0.666302,22.2081
23.9611346682,135.043539811,1.1986965539,109.519427399,164.475799064,24.1586,210.108322528,27,56.7439422738,-25.638,2.47631,167.60897846,23.9685961186,170.187303549,0.715227506403,16.7168641126,28.0264,27,23.9572,0.647716,23.9725
25.5110078422,144.23986407,4.44311977507,109.933074984,160.880303771,24.7189,184.117839357,28,53.0013385629,-27.2323,2.53461,169.471288358,25.5157861969,179.429079078,0.726201332142,31.3545562422,28.915,28,25.507,0.579946,25.5197
27.1572584184,136.953119985,3.30458123782,111.003709878,165.369171949,25.2734,180.823241358,29,56.3295894597,-28.9047,2.74411,172.016208262,27.1618177873,178.485500681,0.75636973948,21.1528181651,29.8367,29,27.1547,0.597602,27.1676
28.8314818611,150.835683593,2.12535079392,109.231493848,161.092803417,25.8215,190.811826522,30,47.111834212,-30.664,3.15743,166.998211859,28.8345104057,171.205990363,0.820318214063,18.5640106811,30.705,30,28.8272,0.66835,28.8394
30.3613911063,144.389624673,3.61873496552,110.229422467,159.76250934,26.3197,179.26487106,31,47.3660857867,-32.2099,3.59654,169.544290518,30.364409217,176.857068615,0.839085873824,28.6020158001,31.5678,31,30.3568,0.636042,30.3692
31.9857232887,155.411509043,2.84058895011,110.3880767,164.294598229,26.5061,181.530738393,32,35.8500776867,-33.797,4.17465,170.547251674,31.9893943882,177.895421467,0.890031973016,44.9310839752,32.3202,32,31.978,0.715802,31.9928
