StdEsReturn,Iteration,QFunRegParamNorm,Epoch,MaxReturn,AverageReturn,AverageEsReturn,AverageAbsQYDiff,StdReturn,AverageAction,MinEsReturn,PolicyRegParamNorm,AveragePolicySurr,MaxEsReturn,AverageY,MinReturn,AverageQLoss,AverageAbsY,AverageDiscountedReturn,AverageAbsQ,AverageQ
37.1802556441,9,11.4927,9,0.445514818279,-2.9845512778,-296.56336728,3.14484376486,7.35910665388,0.00137748,-371.066762687,11.7092,0.0274979,-241.340632352,2.5238523976,-24.9670468619,15.8384,2.53000099035,-1.86461673348,1.20421,-0.601665
0.0,10,12.0566,10,-577.693145582,-579.095201283,-285.366386663,0.411709778864,1.11125597668,0.960017,-285.366386663,12.1187,-2.01514,-285.366386663,0.970019741302,-581.24135867,0.351855,1.04602426907,-60.7778999851,1.01147,0.957253
0.0,11,12.8577,11,-1049.92597477,-1066.71845047,-357.2380307,0.268796312016,12.1017052449,0.933001,-357.2380307,13.1398,-1.71955,-357.2380307,1.02029315246,-1086.29655729,0.129775,1.09903384505,-107.304351805,1.0715,1.0166
0.0,12,13.7036,12,-559.681402777,-563.936627291,-428.661028573,0.276183290376,2.21054391819,0.973705,-428.661028573,14.9892,-1.87066,-428.661028573,1.1316743478,-567.535704028,0.137608,1.27342298413,-51.1503275947,1.23802,1.13222
0.0,13,14.3918,13,-384.272161546,-405.244707177,-390.960336019,0.286045495805,10.4426121736,0.643643,-390.960336019,15.4658,-1.80811,-390.960336019,1.23695986438,-419.583935989,0.149045,1.36306375292,-38.2807477022,1.33323,1.23553
0.0,14,15.1943,14,-185.136157344,-235.46435958,-367.509358352,0.304329493071,32.087242177,0.592405,-367.509358352,15.8161,-1.76721,-367.509358352,1.31724110695,-280.620191557,0.168101,1.47071965856,-2.47154269288,1.4376,1.31648
0.0,15,16.0876,15,-255.862025164,-297.946236712,-216.622075708,0.325800515657,26.4792087458,0.536762,-216.622075708,16.1837,-1.75822,-216.622075708,1.35811776326,-354.905980922,0.198255,1.56275402214,-4.87359013177,1.52733,1.35833
0.0,16,17.0199,16,-138.547196635,-152.820911431,-231.294307517,0.336395693266,8.31917979902,0.320344,-231.294307517,16.6192,-1.8126,-231.294307517,1.39439786567,-166.243389634,0.208743,1.6305373506,8.67258712207,1.59166,1.39379
0.0,17,17.9435,17,-160.613275593,-182.346672253,-235.761941081,0.351387180641,30.2934293546,0.352293,-235.761941081,17.0698,-1.95963,-235.761941081,1.49924984105,-270.651392106,0.230541,1.74236564377,4.69574607008,1.70417,1.49856
0.0,18,18.7471,18,-142.047024737,-147.946103766,-235.766643381,0.358156021377,3.65612717353,0.333801,-235.766643381,17.6521,-2.1329,-235.766643381,1.64213256393,-152.0549113,0.239597,1.87801905864,2.40939290829,1.84091,1.64129
0.0,19,19.5881,19,-2.3542668506,-20.2552617938,-208.653311704,0.367512853022,9.49294358579,0.297174,-208.653311704,18.3014,-2.30748,-208.653311704,1.80912452998,-36.5755105165,0.25976,2.01546017713,18.2423897701,1.98111,1.80741
0.0,20,20.3087,20,-72.1780859503,-169.873492195,-145.869830997,0.374618778677,68.8005011064,0.503687,-145.869830997,18.8215,-2.48394,-145.869830997,1.97863568535,-260.908123751,0.272955,2.16390630678,-2.11559319685,2.13351,1.97725
0.0,21,20.9835,21,-72.4258754398,-149.976537786,-155.472011957,0.379861041664,45.2805555605,0.514752,-155.472011957,19.3002,-2.68995,-155.472011957,2.18208046402,-222.936474284,0.285422,2.34536527039,2.81444606211,2.31833,2.17952
0.0,22,21.614,22,-34.6081769674,-54.05368606,-128.701426742,0.38853419479,12.2967082731,0.17881,-128.701426742,19.8637,-2.89883,-128.701426742,2.36145861219,-74.700780392,0.299114,2.50793060559,9.4352786433,2.48152,2.35939
0.0,23,22.2478,23,-81.3425845217,-121.277933044,-185.831238148,0.396203681865,27.4489644432,0.489116,-185.831238148,20.3373,-3.10708,-185.831238148,2.57007531095,-169.12748019,0.313381,2.70565812604,10.0995057598,2.67884,2.56755
0.0,24,22.8182,24,-46.3587665336,-83.2224512928,-110.317465444,0.406705446373,28.1731057481,0.34693,-110.317465444,20.8678,-3.34198,-110.317465444,2.79468576442,-135.987096428,0.338533,2.91524459963,-7.06564265363,2.89036,2.7922
0.0,25,23.3763,25,124.78265129,40.2507079467,-138.651069175,0.421634251273,46.3351264661,0.526781,-138.651069175,21.4766,-3.5294,-138.651069175,2.99533961608,-38.5024901317,0.36649,3.10386440624,12.4763858977,3.07845,2.99214
