AverageAbsQ,AverageAbsY,MaxReturn,AverageY,AverageReturn,MaxEsReturn,AveragePolicySurr,StdEsReturn,PolicyRegParamNorm,AverageDiscountedReturn,AverageAction,Iteration,QFunRegParamNorm,MinReturn,AverageQ,Epoch,AverageEsReturn,StdReturn,AverageQLoss,MinEsReturn,AverageAbsQYDiff
1.11922,2.34890119163,0.371348344869,2.34890119163,-6.87159591883,-264.016670449,0.167025,20.9346460116,11.711,-3.59038203711,0.00416291,9,11.4929,-33.5998641787,-0.715077,9,-310.984058488,10.6504268913,12.315,-334.517957198,3.06397830406
1.20428,1.22180115942,-598.450378352,1.22179569021,-600.4268858,-343.273072709,-1.75652,0.0,12.1366,-62.2436181087,0.996413,10,11.636,-602.737559025,1.20279,10,-343.273072709,1.22795089377,0.266823,-343.273072709,0.33970992589
1.17922,1.18661859014,-598.21087079,1.18660809252,-599.879277167,-352.215333269,-1.48112,0.0,12.2405,-60.8569595111,0.998261,11,11.7003,-601.465505886,1.17922,11,-352.215333269,1.02733268697,0.0430917,-352.215333269,0.157746414282
1.20031,1.20204368156,-129.711956798,1.20203331381,-149.406061349,-337.141398306,-1.20167,0.0,12.812,-18.6403586113,0.967285,12,11.6994,-163.434173251,1.20031,12,-337.141398306,12.3848699479,0.0190377,-337.141398306,0.104609406483
1.06816,1.06887303618,-590.259633444,1.06886672573,-598.491542937,-386.510140486,-1.07082,0.0,13.4574,-59.215758917,0.998848,13,11.6657,-601.967063684,1.06816,13,-386.510140486,3.38639213457,0.0117308,-386.510140486,0.0816903812872
1.04198,1.04290409217,-575.566878875,1.04289977076,-592.077558806,-324.903161046,-1.06353,0.0,14.4144,-53.3240120291,0.999255,14,11.6361,-601.924654647,1.04198,14,-324.903161046,7.45511234321,0.00669243,-324.903161046,0.0614047573588
1.05445,1.05511330801,-183.161816667,1.05510587973,-224.618911936,-315.242327671,-1.08602,0.0,15.5001,-20.6440977797,0.987001,15,11.616,-351.472296716,1.05445,15,-315.242327671,44.3272297707,0.00508554,-315.242327671,0.0507372973668
1.07561,1.0763336888,-642.938607527,1.07632620916,-775.137310304,-537.62502829,-1.11231,0.0,15.8979,-65.972693804,0.998769,16,11.5973,-837.210629071,1.07561,16,-537.62502829,54.7674244851,0.00367029,-537.62502829,0.0416625278456
1.08527,1.08590210249,-684.054239437,1.08589431283,-848.698155275,-686.979499935,-1.1082,0.0,16.2525,-57.2692199668,0.999495,17,11.575,-926.895569135,1.08527,17,-686.979499935,66.95191941,0.00299831,-686.979499935,0.0364983679875
1.07952,1.08000743464,-852.916838848,1.07999851704,-937.251252708,-714.819572243,-1.09382,0.0,16.2931,-97.9273113033,0.998767,18,11.5605,-997.008728946,1.07952,18,-714.819572243,40.7499217162,0.00240361,-714.819572243,0.0297101014349
1.07498,1.07531523645,-577.567752294,1.07530614308,-635.611236542,-602.580735056,-1.08036,0.0,16.4986,-71.6559101417,0.999852,19,11.5841,-920.291465085,1.07498,19,-602.580735056,95.8771901827,0.00215565,-602.580735056,0.025538346362
1.06032,1.06057156063,-599.323920659,1.06056363797,-602.268336135,-483.597741496,-1.0604,0.0,16.7054,-62.380163421,1.0,20,11.6151,-605.623055385,1.06032,20,-483.597741496,1.74455970131,0.00180867,-483.597741496,0.0216170976258
1.04592,1.04614043636,-600.526722773,1.04613109984,-602.186778205,-377.108440533,-1.04653,0.0,16.7861,-62.3053917418,1.0,21,11.666,-603.619876507,1.04592,21,-377.108440533,0.992761718194,0.00134584,-377.108440533,0.0173692718607
1.02777,1.02795935606,-601.628302025,1.02795320973,-603.200914194,-411.758086009,-1.02698,0.0,16.9109,-63.1798697481,1.0,22,11.739,-605.168125088,1.02777,22,-411.758086009,1.1880497572,0.00115158,-411.758086009,0.0150509525218
1.00566,1.00584851898,-600.888661327,1.00583407399,-602.96867882,-375.127417609,-1.00464,0.0,16.9903,-62.9773855683,1.0,23,11.9595,-605.766515301,1.00566,23,-375.127417609,1.52849555915,0.00168096,-375.127417609,0.0157221394138
0.982401,0.982516860235,-601.101727323,0.982508142629,-603.723938008,-386.710159585,-0.980373,0.0,16.9931,-63.7167884198,1.0,24,12.242,-608.661377588,0.982401,24,-386.710159585,2.34656058185,0.00128329,-386.710159585,0.0138789165415
0.959629,0.959765027587,-601.477632676,0.959755681896,-603.716286142,-359.290951879,-0.95702,0.0,16.9931,-63.6611032115,1.0,25,12.5944,-607.114386044,0.959629,25,-359.290951879,1.76135662591,0.00115194,-359.290951879,0.0129974405009
0.938655,0.938740912612,-601.252602725,0.938733617406,-602.839425748,-383.757764426,-0.93858,0.0,16.9931,-62.8579446831,1.0,26,12.9175,-604.609951591,0.938655,26,-383.757764426,0.906399623178,0.00103791,-383.757764426,0.0121693311197
0.92129,0.921367855382,-601.187744175,0.921360531588,-603.20621263,-362.115403358,-0.921239,0.0,16.9932,-63.2189808475,1.0,27,13.305,-608.091029081,0.92129,27,-362.115403358,1.97133211189,0.000931438,-362.115403358,0.0117615664017
0.902011,0.90213708121,-601.265129868,0.902128583494,-603.542401756,-341.900222617,-0.901374,0.0,16.9932,-63.5285663248,1.0,28,13.6739,-607.455487272,0.902011,28,-341.900222617,2.10848585424,0.00079579,-341.900222617,0.0111406843225
0.883999,0.884087956917,-600.874970618,0.884081865945,-604.237369685,-380.179392976,-0.882974,0.0,16.9927,-64.2049567313,1.0,29,13.967,-608.754412328,0.883999,29,-380.179392976,2.49530870275,0.00071865,-380.179392976,0.0106659407846
0.867828,0.867919606321,-600.762549216,0.867912070195,-602.666504033,-385.039415862,-0.867086,0.0,16.9914,-62.6780484443,1.0,30,14.343,-604.794430579,0.867828,30,-385.039415862,1.2588823344,0.000720502,-385.039415862,0.0104910578855
0.852194,0.852255057675,-600.963634449,0.852245510874,-603.734918395,-363.55401556,-0.851202,0.0,16.9927,-63.6854059727,1.0,31,14.692,-607.09279687,0.852168,31,-363.55401556,2.04324049163,0.000781807,-363.55401556,0.0106085063297
0.83656,0.836601986918,-592.415989172,0.836594164383,-594.505642479,-341.951718369,-0.835683,0.0,17.2697,-54.9546008242,0.999202,32,14.9719,-596.317812159,0.836524,32,-341.951718369,1.12609383389,0.000583808,-341.951718369,0.00979356216933
0.823341,0.823441516973,-601.608456775,0.823431698495,-605.501469894,-375.228159976,-0.837718,0.0,17.5917,-61.7423735664,0.999892,33,15.2871,-609.218726401,0.823325,33,-375.228159976,2.56482460564,0.000730222,-375.228159976,0.0104795970519
0.81983,0.819931790743,-595.185371718,0.819924987817,-599.032246399,-452.524997985,-0.824925,0.0,17.6923,-60.5122039472,0.997282,34,15.5904,-601.569106765,0.81983,34,-452.524997985,2.02916017519,0.000682458,-452.524997985,0.0103511797573
