MinEsReturn,PolicyRegParamNorm,AverageReturn,AverageDiscountedReturn,MinReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageAbsY,MaxReturn,Epoch,Iteration,AverageAction,StdReturn,AverageQLoss,StdEsReturn,AverageEsReturn,AverageAbsQ,AverageQ,MaxEsReturn,AverageY
115.775003352,18.3803,175.068536464,112.657629611,173.279149737,-11.2103,0.29996776416,21.362,9.93447379288,177.2462972,19,19,0.651029,0.882265434506,0.375754,20.7292859243,165.080009961,9.9369,9.92078,180.398261115,9.92296765531
123.077432337,19.3838,175.213810876,112.915089192,173.154577145,-12.8535,0.32712117657,22.4421,11.4472775092,178.022130407,20,20,0.696564,1.14163461299,0.447816,17.871102045,167.475350586,11.45,11.4368,183.69581963,11.4388802396
114.106990064,20.2319,174.440367869,112.554143679,170.403768177,-14.5231,0.378483757765,23.5716,13.0072658579,176.992406182,21,21,0.832933,1.15314225846,0.668703,21.6641925576,171.294655876,13.0103,12.9955,189.910525823,12.9982216357
153.604793006,20.9889,174.81522227,112.585257316,170.859178273,-16.2929,0.419077514899,24.6848,14.6606797101,178.039990171,22,22,0.925265,1.34166520205,0.819751,11.9361223483,178.163089455,14.6639,14.6498,203.994758573,14.652774415
29.1503126629,21.6425,175.075951891,112.571821333,170.207226821,-18.0671,0.46389232022,25.7828,16.364642385,180.408523092,23,23,0.907516,2.57543312092,1.08527,45.8940064621,168.430264958,16.3691,16.3551,220.516314711,16.3582142298
125.12058736,22.4327,173.859649684,111.649949851,166.472196095,-19.8305,0.486844066902,26.835,18.0214219399,184.901655093,24,24,0.8799,3.7170248875,1.15009,19.4312913088,174.547274085,18.0266,18.0125,193.476553342,18.0148704094
73.1358745302,23.1368,192.972776612,118.280625328,184.60740488,-21.6216,0.518354843705,27.7882,19.7798591243,200.731929546,25,25,0.728571,3.90212359076,1.27214,32.6676371668,166.885732774,19.7851,19.7711,188.796598695,19.7742506622
81.011912358,23.8881,181.474460321,114.299212317,167.483920026,-23.3874,0.561382272712,28.7535,21.5583473992,196.746378642,26,26,0.754669,6.55637507975,1.52604,30.5642423029,167.785438111,21.5654,21.5486,197.886881484,21.5518514003
45.2065622469,24.6941,161.962950381,105.763077955,155.450900342,-25.1321,0.585737526029,29.6878,23.2358170521,180.403216978,27,27,0.663144,3.8143977634,1.72452,46.0114218671,154.983545407,23.244,23.2287,197.936004507,23.2310777668
29.9331046725,25.4257,180.516137403,113.655229798,175.02299006,-26.8245,0.603955003602,30.6121,24.8730321758,187.567356408,28,28,0.743328,3.03492211869,1.84239,45.9374132357,150.605371258,24.8812,24.8645,203.511607871,24.8679462256
