AverageReturn,Epoch,StdReturn,QFunRegParamNorm,Iteration,PolicyRegParamNorm,AverageQ,AveragePolicySurr,AverageQLoss,MaxEsReturn,MinReturn,AverageEsReturn,AverageAction,AverageAbsQ,MinEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageAbsY,MaxReturn,StdEsReturn,AverageY
728.801693751,24,412.746632538,22.6911,24,21.4454,4.86337,-5.58424,0.549922,-140.371239053,176.644911485,-140.371239053,0.729893,5.13304,-140.371239053,0.529704688221,103.255724726,5.16998347795,1565.30817039,0.0,4.86741925963
116.491454162,25,66.2890270703,23.3039,25,21.8989,5.18513,-5.92232,0.586777,34.3204985992,26.1661272672,34.3204985992,0.640296,5.46388,34.3204985992,0.545621637726,13.6613960209,5.50248597991,244.840577152,0.0,5.1898603742
551.996584005,26,572.527097846,23.8173,26,22.2963,5.58981,-6.34903,0.626208,35.3062246933,72.9052562484,35.3062246933,0.751839,5.86207,35.3062246933,0.562429873438,94.754696753,5.89841475554,1764.44139882,0.0,5.59370379149
236.132486667,27,46.3561220758,24.3861,27,22.7494,6.06102,-6.86915,0.665669,126.073334335,169.069525703,126.073334335,0.738518,6.31143,126.073334335,0.582272734622,33.4181233301,6.34719825424,330.575313231,0.0,6.06560269483
826.393751994,28,858.848281474,24.9153,28,23.2323,6.62925,-7.47931,0.712681,204.498448334,-183.200261815,204.498448334,0.758642,6.83467,204.498448334,0.599962996615,74.2460670074,6.86850499849,1734.87663019,0.0,6.63301019586
1281.18627486,29,623.185810388,25.4076,29,23.7135,7.16335,-8.05476,0.771402,139.300568206,10.244546459,139.300568206,0.796215,7.3297,139.300568206,0.630435450444,118.879532015,7.36141011046,1736.12405693,0.0,7.16855535513
339.102017352,30,353.240429213,25.9109,30,24.0938,7.92134,-8.84149,0.864577,107.215133976,24.0544672461,107.215133976,0.741101,8.03937,107.215133976,0.658505950459,69.6694701592,8.06908292331,1294.59897736,0.0,7.92709149846
254.109556826,31,76.0519879573,26.4018,31,24.5071,8.5404,-9.49394,0.915303,388.249864638,148.302527715,388.249864638,0.743399,8.62383,388.249864638,0.674061100963,48.0517157508,8.65023470673,372.468783794,0.0,8.54640920506
271.319453595,32,222.794120033,26.8974,32,24.8782,9.36152,-10.3616,1.02176,253.183806066,41.0124528619,253.183806066,0.737075,9.41541,253.183806066,0.700637552478,80.0753345652,9.43972065306,824.635081681,0.0,9.36869244962
1159.15741724,33,751.722330297,27.3718,33,25.2488,10.0841,-11.1035,1.04362,500.685394347,145.024280435,500.685394347,0.770762,10.118,500.685394347,0.719914966157,110.774450941,10.1377720235,2058.20405812,0.0,10.0898434749
1794.92502287,34,552.83436976,27.8315,34,25.7052,10.6799,-11.6849,1.10732,213.963689064,211.435960539,213.963689064,0.81044,10.7011,213.963689064,0.735953066657,161.905695016,10.7185271956,2185.9331398,0.0,10.6863980017
1911.4873524,35,45.6441405096,28.2695,35,26.1276,11.4004,-12.4028,1.15164,329.201458416,1848.34234244,329.201458416,0.811259,11.4129,329.201458416,0.750499098883,163.977252008,11.427695095,1992.95038938,0.0,11.4074514482
1415.3776591,36,38.2335625534,28.7099,36,26.4534,12.161,-13.1833,1.23418,110.579178242,1345.04157891,110.579178242,0.737319,12.1676,110.579178242,0.77537944106,129.568542857,12.180725221,1473.01431948,0.0,12.1682894002
1887.9536815,37,282.261330943,29.1662,37,26.7631,13.0844,-14.1034,1.33021,396.141403986,1216.74596046,396.141403986,0.830816,13.088,396.141403986,0.798885428173,173.042154597,13.0974494036,2175.27121195,0.0,13.0898355052
775.830043806,38,773.736966295,29.5677,38,27.0652,14.0538,-15.096,1.3986,371.965053807,96.8572266486,371.965053807,0.775747,14.0557,371.965053807,0.808206734817,119.797568474,14.0667379603,2507.74191427,0.0,14.0612204433
2228.05428165,39,46.5506291729,29.9951,39,27.418,15.264,-16.3008,1.50302,1194.48248185,2132.65169358,1194.48248185,0.845649,15.2652,1194.48248185,0.836684672549,188.45125824,15.2743435804,2288.21396489,0.0,15.2708483776
2264.56679003,40,36.7826527797,30.3728,40,27.7689,16.155,-17.189,1.49885,278.63816113,2202.28408377,278.63816113,0.845691,16.1555,278.63816113,0.841479907973,202.533324027,16.1639569567,2342.51971902,0.0,16.1622868747
2505.25434987,41,46.8309150491,30.7831,41,28.079,17.238,-18.285,1.62743,608.275060068,2441.20586209,608.275060068,0.824174,17.2384,608.275060068,0.863312683565,215.550887538,17.2459737264,2582.14641243,0.0,17.2446995259
1313.34387522,42,674.813557905,31.1653,42,28.362,18.4231,-19.4745,1.66798,912.47533744,480.507973624,912.47533744,0.780267,18.4236,912.47533744,0.884542474654,188.963641906,18.431344914,2362.9021916,0.0,18.4303581236
1079.67864476,43,750.924856357,31.5534,43,28.6716,19.4279,-20.4845,1.72062,769.701246883,407.853362422,769.701246883,0.787895,19.428,769.701246883,0.900281357169,186.985792606,19.4361241029,2718.55891467,0.0,19.4351983337
1120.87196448,44,636.502042186,31.9341,44,29.0344,20.5843,-21.6832,1.74832,760.36673523,409.614563325,760.36673523,0.771911,20.5843,760.36673523,0.91291905796,211.385407463,20.5917387854,2498.1684882,0.0,20.5911494788
1340.82747517,45,657.86186296,32.3226,45,29.3603,21.827,-22.9711,1.9491,864.292902644,484.954305187,864.292902644,0.768524,21.8271,864.292902644,0.943695450589,190.010771276,21.836086578,2684.21520469,0.0,21.8354173444
970.311013894,46,405.737783859,32.7029,46,29.7472,23.0933,-24.2683,2.10024,1645.03709882,606.489098522,1645.03709882,0.73378,23.0933,1645.03709882,0.968468767013,175.745153141,23.1023629005,1959.55761881,0.0,23.1018102896
1064.85627435,47,728.277918322,33.114,47,30.0092,24.2635,-25.4724,2.36296,336.457716412,600.020464816,336.457716412,0.759068,24.2635,336.457716412,0.988740032068,201.718665937,24.2715849743,3206.129905,0.0,24.2710958158
897.63130815,48,264.114837856,33.4363,48,30.3198,25.8044,-27.0209,2.28089,1337.65066628,465.103600287,1337.65066628,0.73692,25.8044,1337.65066628,0.997324214288,197.496705812,25.8130869863,1363.28034294,0.0,25.8126644283
1121.50366646,49,601.568060106,33.8976,49,30.612,27.4512,-28.655,2.69099,1616.83972057,486.905932861,1616.83972057,0.727396,27.4512,1616.83972057,1.03119626363,178.597798263,27.460228984,2701.34219836,0.0,27.4596444537
2445.32613993,50,985.864081511,34.2766,50,30.9139,29.4015,-30.6262,2.77601,2111.52533634,481.173259033,2111.52533634,0.802102,29.4015,2111.52533634,1.05690110941,244.20755108,29.4118772939,3253.3536231,0.0,29.4114226001
947.46338945,51,372.003955569,34.6178,51,31.1686,31.1824,-32.4408,2.48083,2123.98119967,685.145559533,2123.98119967,0.685385,31.1824,2123.98119967,1.05157979255,204.582376057,31.1912102185,1967.21542422,0.0,31.1908032243
2674.55072329,52,1077.14524675,35.0263,52,31.4987,32.1642,-33.4098,3.09186,741.540239585,954.515106849,741.540239585,0.79733,32.1642,741.540239585,1.08788620235,302.469859095,32.173675184,3979.14450797,0.0,32.1731180879
1407.67248426,53,844.168349561,35.4773,53,31.8073,32.9664,-34.2676,3.25978,386.962566068,552.369095035,386.962566068,0.721703,32.9664,386.962566068,1.09658270111,236.647184378,32.9753509399,3343.73889721,0.0,32.9748083557
1103.28496066,54,894.346812653,35.8755,54,32.085,34.07,-35.3999,3.29418,528.110851456,497.943935077,528.110851456,0.722113,34.07,528.110851456,1.1094758991,224.730671343,34.0800906507,3499.70637789,0.0,34.0795932567
