AverageAction,StdEsReturn,AverageDiscountedReturn,AverageAbsQYDiff,AverageReturn,AverageAbsY,AverageEsReturn,MaxReturn,Iteration,AveragePolicySurr,PolicyRegParamNorm,AverageAbsQ,QFunRegParamNorm,AverageY,AverageQ,Epoch,MinReturn,StdReturn,MinEsReturn,AverageQLoss,MaxEsReturn
0.327588,10.1394257584,99.6069167752,0.0544589693585,839.0,1.75522893363,12.2891566265,1000.0,32,-1.98801,49.108,1.75676,40.9867,1.75522893363,1.75523,32,335.0,229.43190711,3.0,0.0172687,58.0
0.306459,8.84526328957,99.9956828753,0.0567055773084,1000.0,1.83881965499,10.6063829787,1000.0,33,-2.08138,49.7398,1.84007,41.5541,1.83881746274,1.83863,33,1000.0,0.0,2.0,0.0168711,58.0
0.331024,9.58754889166,91.4593765557,0.0617346823792,346.933333333,1.91509894315,12.4375,953.0,34,-2.16001,50.3159,1.91694,42.1602,1.91509882944,1.91487,34,127.0,192.221735388,3.0,0.019961,46.0
0.282484,12.1341795206,99.9956828753,0.0634779376829,1000.0,1.99363031343,13.6081081081,1000.0,35,-2.2423,50.7209,1.99543,42.8667,1.99361854706,1.99337,35,1000.0,0.0,3.0,0.022775,57.0
0.563053,8.9415109061,45.4916372245,0.0705382824296,60.7939393939,2.04418651988,12.3333333333,83.0,36,-2.31309,51.3068,2.04729,43.7257,2.04416449107,2.04412,36,43.0,9.12837532074,3.0,0.029011,44.0
0.696961,11.2228357796,40.0582404372,0.0696129695067,50.9746192893,2.1264494531,12.9078947368,59.0,37,-2.40583,51.8673,2.12966,44.3876,2.12643989308,2.12651,37,45.0,3.19809040139,3.0,0.0279318,47.0
0.711009,11.425156222,40.0148736285,0.070116899597,51.2448979592,2.20260576865,15.1343283582,70.0,38,-2.49963,52.2232,2.20448,44.7926,2.20259717318,2.20216,38,22.0,8.68679648391,3.0,0.0279228,48.0
0.755138,16.1822338185,40.7314927116,0.0728157396408,52.7105263158,2.28425686037,21.8444444444,125.0,39,-2.57662,52.5089,2.28682,45.3204,2.28424311968,2.28404,39,40.0,12.0050601058,3.0,0.0312704,67.0
0.75518,16.3654383334,32.7062010317,0.0769588463555,39.4409448819,2.3548630084,20.7346938776,44.0,40,-2.64454,52.8003,2.35814,46.0368,2.35483745291,2.35473,40,30.0,2.39307907384,3.0,0.0355206,61.0
0.655557,16.684609683,33.7541690664,0.0777416561535,40.9836065574,2.42414013033,18.3518518519,45.0,41,-2.7264,53.0408,2.42761,46.5704,2.4241122092,2.42398,41,38.0,1.41701375306,3.0,0.0345944,66.0
0.684699,11.748000778,32.2789173072,0.0808020669722,38.7906976744,2.48903249079,13.6351351351,43.0,42,-2.7956,53.3326,2.4927,47.1203,2.48895264408,2.48862,42,36.0,1.31287257454,3.0,0.0389658,51.0
0.724707,14.3432809579,37.2659953629,0.081024973809,46.4305555556,2.57277629659,15.564516129,54.0,43,-2.88095,53.7289,2.5757,47.6636,2.57265346718,2.57257,43,40.0,2.72926385182,3.0,0.0398609,68.0
0.776741,14.8930690168,74.6685158855,0.0829823308821,675.8,2.63487042569,17.5762711864,1000.0,44,-2.95474,53.9925,2.63756,48.1433,2.63469408324,2.63435,44,23.0,458.493504134,3.0,0.0426132,63.0
0.812508,17.2513067339,53.3308530417,0.0885383716708,364.821428571,2.68942539626,17.0508474576,1000.0,45,-3.01322,54.3032,2.69349,48.6864,2.68932977137,2.68918,45,22.0,451.170228689,3.0,0.0473674,75.0
0.707377,19.6662735171,38.4208489243,0.085751004289,48.3140096618,2.76096843077,17.7636363636,61.0,46,-3.09985,54.7366,2.76476,49.2687,2.76080204098,2.7607,46,41.0,3.80477031624,2.0,0.0444263,86.0
0.934093,14.8575979354,66.3757616858,0.0917107043482,321.606060606,2.83623876696,17.3620689655,1000.0,47,-3.17452,55.1405,2.8403,49.7634,2.83614725748,2.83573,47,48.0,379.071348477,3.0,0.0508893,62.0
0.900249,30.1802588783,99.9956828753,0.098297777381,1000.0,2.90378840934,23.5813953488,1000.0,48,-3.24051,55.3169,2.90762,50.1748,2.90369758772,2.90346,48,1000.0,0.0,3.0,0.0614185,169.0
0.871274,23.5481377799,99.9956828753,0.0953265929933,1000.0,2.96824626177,19.1538461538,1000.0,49,-3.3022,55.5468,2.97237,50.6169,2.96814942423,2.96789,49,1000.0,0.0,3.0,0.0594044,108.0
0.879832,20.6413710355,90.2170928541,0.0943414619344,842.25,3.03326363583,17.8269230769,1000.0,50,-3.37184,56.0033,3.03828,50.8355,3.03317669972,3.03329,50,44.0,352.761044004,3.0,0.0578515,91.0
0.914302,33.9380796834,99.9956828753,0.0959014152269,1000.0,3.09072553799,30.9705882353,1000.0,51,-3.43965,56.2582,3.0954,51.2278,3.09059003945,3.09025,51,1000.0,0.0,3.0,0.0548642,114.0
0.837986,12.6004298868,99.8759609923,0.0979548938349,879.75,3.14024953635,14.0833333333,1000.0,52,-3.49636,56.5675,3.14448,51.6153,3.14017090085,3.13986,52,497.0,194.683129298,3.0,0.0584819,63.0
0.830274,19.8278835906,99.3371654646,0.0965787493563,808.769230769,3.21242770048,17.3684210526,1000.0,53,-3.56141,56.8403,3.21644,52.0461,3.21208836224,3.21206,53,276.0,259.626700608,3.0,0.062048,95.0
0.945596,19.6832667025,91.4852251199,0.0996214460951,776.214285714,3.27268669221,20.0196078431,1000.0,54,-3.6277,57.2008,3.27698,52.5212,3.27257361374,3.27251,54,82.0,371.901711011,3.0,0.0629714,90.0
0.405877,20.0236546505,99.9956828753,0.104285718189,1000.0,3.32223817243,18.7692307692,1000.0,55,-3.68687,57.4712,3.32766,52.9664,3.322114477,3.32191,55,1000.0,0.0,3.0,0.0704192,97.0
0.443409,16.3711617864,99.9956828753,0.107143504379,1000.0,3.36519772343,17.3220338983,1000.0,56,-3.73182,57.7106,3.36967,53.3505,3.3650942596,3.36474,56,1000.0,0.0,3.0,0.0770859,80.0
0.444321,19.7890450822,99.9956828753,0.102212063362,1000.0,3.43318345271,19.6274509804,1000.0,57,-3.79976,57.9016,3.43798,53.8551,3.43307975267,3.43278,57,1000.0,0.0,3.0,0.0653196,104.0
0.684856,17.296346435,73.0487725838,0.102492099513,196.392156863,3.51820318497,19.42,1000.0,58,-3.88356,57.9508,3.52308,54.1974,3.51806624089,3.51778,58,57.0,215.087039238,3.0,0.0698801,80.0
0.399735,15.4095853993,99.9956828753,0.104113254653,1000.0,3.55068118812,19.4528301887,1000.0,59,-3.92655,58.1552,3.55629,54.3842,3.55052673199,3.5505,59,1000.0,0.0,3.0,0.0726901,74.0
0.37506,18.2929091924,99.9956828753,0.113397873795,1000.0,3.63350996384,18.3921568627,1000.0,60,-4.00737,58.394,3.63905,54.8409,3.63310652418,3.63297,60,1000.0,0.0,2.0,0.083579,92.0
0.292359,19.4803858793,99.9956828753,0.111415781571,1000.0,3.67652060664,18.1206896552,1000.0,61,-4.06267,58.7319,3.68201,55.3039,3.67612257726,3.67586,61,1000.0,0.0,3.0,0.0838144,88.0
0.412766,13.1524986894,99.9956828753,0.117342843722,1000.0,3.73031767765,16.8305084746,1000.0,62,-4.12776,58.9239,3.73767,55.7012,3.72979308669,3.72951,62,1000.0,0.0,3.0,0.0929139,63.0
0.196365,20.7499397589,99.9956828753,0.104689898058,1000.0,3.80797245443,21.8,1000.0,63,-4.21183,59.1769,3.81273,56.104,3.80736036168,3.80755,63,1000.0,0.0,3.0,0.0747996,76.0
0.220602,16.0024819039,99.9956828753,0.112668516201,1000.0,3.85762965214,21.5625,1000.0,64,-4.27945,59.4128,3.86339,56.5637,3.85743137002,3.857,64,1000.0,0.0,3.0,0.0866988,66.0
0.407286,16.7199777498,99.9956828753,0.116243019722,1000.0,3.94867365367,20.9130434783,1000.0,65,-4.34133,59.6015,3.95594,56.9068,3.94825142476,3.94803,65,1000.0,0.0,3.0,0.0919861,72.0
0.339321,15.7523607892,99.9956828753,0.115326598643,1000.0,3.99661136945,19.6862745098,1000.0,66,-4.40361,59.7886,4.0025,57.2454,3.99630096694,3.99614,66,1000.0,0.0,3.0,0.0920428,76.0
0.407508,23.3135628067,99.9956828753,0.115585225326,1000.0,4.06287462167,22.9772727273,1000.0,67,-4.47108,59.9664,4.0699,57.7373,4.06242938311,4.06223,67,1000.0,0.0,3.0,0.0923294,103.0
0.380307,15.7464317666,99.9956828753,0.120375731122,1000.0,4.11909611027,24.0476190476,1000.0,68,-4.53039,60.111,4.12547,58.2225,4.11877737628,4.11867,68,1000.0,0.0,4.0,0.102889,69.0
0.2255,17.9689955923,99.9956828753,0.117670676269,1000.0,4.18965702956,23.3720930233,1000.0,69,-4.60983,60.0945,4.19691,58.5461,4.18936921184,4.18904,69,1000.0,0.0,4.0,0.0990148,79.0
0.333486,15.6079937037,99.9956828753,0.120048511541,1000.0,4.26001299433,18.9230769231,1000.0,70,-4.67792,60.421,4.26762,59.1289,4.2597040269,4.25955,70,1000.0,0.0,3.0,0.0982244,74.0
0.263238,12.0846761122,99.9956828753,0.115099454402,1000.0,4.31841140214,17.8245614035,1000.0,71,-4.73369,60.5833,4.3247,59.4772,4.3180099319,4.31768,71,1000.0,0.0,4.0,0.096861,61.0
0.204482,12.6137455168,99.9956828753,0.124645713364,1000.0,4.36804308679,15.8571428571,1000.0,72,-4.79882,60.7848,4.37503,59.924,4.36781362055,4.36765,72,1000.0,0.0,3.0,0.109882,65.0
0.0910279,10.0626678347,99.9956828753,0.126340149679,1000.0,4.44211865814,11.1777777778,1000.0,73,-4.85589,61.0436,4.44917,60.4155,4.44164993597,4.44124,73,1000.0,0.0,3.0,0.110237,47.0
0.0762625,12.0922587103,99.9956828753,0.126531522109,1000.0,4.48348756281,12.4556962025,1000.0,74,-4.92169,61.2737,4.49072,60.5341,4.48313043672,4.48303,74,1000.0,0.0,3.0,0.115757,70.0
0.217563,10.6555667619,99.9956828753,0.128105108106,1000.0,4.56245533644,16.3225806452,1000.0,75,-4.99771,61.5465,4.56946,60.9593,4.56202428007,4.562,75,1000.0,0.0,4.0,0.116683,55.0
0.215573,10.6001105537,99.9956828753,0.130521808904,1000.0,4.62874402988,12.6125,1000.0,76,-5.05785,61.8049,4.63762,61.2031,4.6277111956,4.62746,76,1000.0,0.0,3.0,0.114522,73.0
0.282134,11.5824283783,99.9956828753,0.138255912504,1000.0,4.67326189429,16.2459016393,1000.0,77,-5.11969,61.9958,4.68307,61.5483,4.6718157902,4.67194,77,1000.0,0.0,2.0,0.133253,60.0
0.22572,12.0604942979,99.9956828753,0.128252224623,1000.0,4.73790661525,16.2295081967,1000.0,78,-5.18655,62.104,4.74457,61.9231,4.73710190708,4.73623,78,1000.0,0.0,3.0,0.119046,70.0
0.290076,9.81780942907,99.9956828753,0.132106232497,1000.0,4.80256818718,12.9102564103,1000.0,79,-5.25622,62.3026,4.80986,62.2189,4.80141872051,4.80121,79,1000.0,0.0,3.0,0.122545,47.0
