AverageAbsQYDiff,MinEsReturn,QFunRegParamNorm,StdEsReturn,AverageAbsY,AverageReturn,AveragePolicySurr,Epoch,AverageAction,Iteration,StdReturn,PolicyRegParamNorm,MinReturn,AverageQLoss,AverageAbsQ,MaxReturn,AverageQ,AverageY,AverageEsReturn,MaxEsReturn,AverageDiscountedReturn
0.0471058799659,-182.039433187,17.7537,0.0,0.304172735903,-157.364657175,-0.276761,29,0.641113,29,16.605279828,21.3687,-179.069218315,0.00433828,0.300187,-135.218144993,0.217377,0.217487677852,-182.039433187,-182.039433187,-8.39320869005
0.0479021964561,-194.302259499,18.1143,0.0,0.325648305137,0.81785247892,-0.303387,30,0.663568,30,27.3863794631,21.7263,-37.9839808462,0.00449486,0.321518,46.6922903568,0.240494,0.240729469868,-194.302259499,-194.302259499,-4.03827489518
0.0489984753744,-74.8600875333,18.4623,0.0,0.356115773168,-58.423079659,-0.334414,31,0.672213,31,22.0232698536,22.1259,-93.276889233,0.00485468,0.351341,-20.3636740027,0.272274,0.272433561534,-74.8600875333,-74.8600875333,7.15668181058
0.0483904618171,-117.849398818,18.7709,0.0,0.379721103664,-22.0534758304,-0.360853,32,0.679343,32,24.9475666439,22.4512,-68.8963105481,0.0046402,0.375454,16.7699455843,0.299093,0.299258777085,-117.849398818,-117.849398818,15.6563519471
0.0477270635881,-149.544002236,19.0471,0.0,0.405653579784,-61.7804947277,-0.387349,33,0.703926,33,14.9929820257,22.7564,-82.9608220229,0.00445704,0.401047,-35.557312329,0.326287,0.326443555897,-149.544002236,-149.544002236,0.175060573988
0.0478619721273,-70.7018798592,19.3146,0.0,0.429146722067,121.421179562,-0.411328,34,0.672885,34,27.0538251951,23.1405,80.3061015859,0.00471712,0.424754,184.99457015,0.350544,0.350720414606,-70.7018798592,-70.7018798592,15.8080188172
0.0477790356999,-101.441291659,19.6131,0.0,0.439351449307,238.399463433,-0.417082,35,0.82199,35,24.5677610273,23.4573,200.571238966,0.00470636,0.434526,279.690856201,0.361848,0.362044922532,-101.441291659,-101.441291659,27.7030577446
0.0500300060203,35.4021410147,19.9029,0.0,0.460192270627,270.412276477,-0.444294,36,0.826734,36,24.9789268893,23.8601,214.643956251,0.00531632,0.455265,305.969080022,0.38885,0.389005001186,35.4021410147,35.4021410147,28.3839340313
0.0495713597192,65.4326716005,20.1555,0.0,0.47946826985,198.3909139,-0.470987,37,0.834011,37,40.6461612958,24.2499,94.7151267957,0.00516584,0.474672,250.971314536,0.414443,0.414613270931,65.4326716005,65.4326716005,10.5088062442
0.0503197905552,43.8963996288,20.431,0.0,0.494091131563,378.469090732,-0.49237,38,0.748685,38,19.8246159496,24.6136,353.39368776,0.00508985,0.488924,413.065091404,0.43509,0.435317713614,43.8963996288,43.8963996288,28.0349113408
0.0512541119509,103.284035854,20.7199,0.0,0.510905238428,388.173708225,-0.518641,39,0.819012,39,20.9775285953,25.0574,358.558139553,0.00521552,0.506185,426.284776066,0.459823,0.46009850106,103.284035854,103.284035854,40.705778806
0.0520666823317,96.502838185,21.0039,0.0,0.534023960991,395.158646289,-0.552934,40,0.831231,40,16.3439273174,25.4115,374.819725992,0.00580222,0.528957,420.981883106,0.492976,0.493243160822,96.502838185,96.502838185,38.6737955555
0.0535117649377,181.862298294,21.3022,0.0,0.550710980912,467.516503044,-0.584053,41,0.866248,41,28.6804103846,25.824,430.271620913,0.00602115,0.546315,524.187970892,0.520559,0.520721968854,181.862298294,181.862298294,33.50719952
0.054683783397,186.467427668,21.5884,0.0,0.57656626722,440.412585233,-0.615939,42,0.841143,42,29.4683218215,26.2365,380.502427883,0.00619642,0.572478,498.79220214,0.554178,0.554515054637,186.467427668,186.467427668,28.8500724439
0.0563240310456,236.578263272,21.8268,0.0,0.613540286314,382.45874079,-0.662183,43,0.797951,43,34.0315857539,26.6514,338.326299476,0.00674114,0.610025,436.573926619,0.597373,0.597598809652,236.578263272,236.578263272,29.0673612299
0.0561407331195,227.424526988,22.0943,0.0,0.636185023538,603.777857718,-0.693619,44,0.854847,44,40.8079042543,26.8709,524.471004824,0.00660223,0.633707,654.158435107,0.626059,0.626271686624,227.424526988,227.424526988,45.5911480748
0.0567536330485,253.914096629,22.3305,0.0,0.683003853155,592.579948786,-0.752885,45,0.827261,45,41.6744031295,27.1306,522.129143841,0.00696186,0.681107,658.151349947,0.676929,0.677275320368,253.914096629,253.914096629,43.8176621115
0.0567530634167,252.36827626,22.5609,0.0,0.720463462903,507.23306502,-0.792771,46,0.797441,46,34.4791824524,27.3933,443.716202998,0.00681833,0.718873,567.376858689,0.716582,0.716949417202,252.36827626,252.36827626,47.7265900541
0.058385680204,257.683996471,22.7985,0.0,0.783466682609,530.121718705,-0.858455,47,0.88492,47,209.47804774,27.7322,-90.5675726795,0.00776989,0.782254,653.553667833,0.780762,0.781059680197,257.683996471,257.683996471,39.8812648165
0.058581660359,359.217702976,22.9945,0.0,0.827268317509,500.571647067,-0.90289,48,0.816704,48,31.6995182418,28.0728,458.353339191,0.00709691,0.826409,576.647838185,0.825839,0.826147516761,359.217702976,359.217702976,36.8292823574
0.0597337773061,276.107891303,23.2162,0.0,0.888659087312,502.761578698,-0.96621,49,0.869563,49,60.0678743587,28.3672,342.203748734,0.00804852,0.8879,568.437224066,0.887426,0.887787619798,276.107891303,276.107891303,20.4046355992
0.0602426516252,296.262100657,23.4626,0.0,0.93621788045,-305.95704198,-1.0122,50,0.865288,50,48.1693922503,28.7154,-383.009222476,0.00851874,0.935584,-232.26604361,0.935304,0.935697689946,296.262100657,296.262100657,-36.0812127419
0.0600781421092,366.915058402,23.6538,0.0,0.998084614805,613.31957793,-1.07617,51,0.882632,51,24.4886951654,28.956,569.666977349,0.00776528,0.997506,654.861778107,0.997378,0.997790200095,366.915058402,366.915058402,43.1530835409
0.0613927918799,293.584148121,23.8788,0.0,1.04950628645,77.0291385697,-1.12637,52,0.86958,52,351.938016591,29.2557,-488.359779479,0.00824415,1.04885,473.96680222,1.04872,1.04915144994,293.584148121,293.584148121,-37.3161868832
0.0619924506283,323.56078307,24.0596,0.0,1.1155742261,619.886613111,-1.19277,53,0.899564,53,57.8528241111,29.4646,513.8877406,0.0080688,1.11492,680.822289747,1.11486,1.11528761011,323.56078307,323.56078307,22.4887028692
0.0650628913393,288.930591089,24.3007,0.0,1.17387820301,450.401763036,-1.2484,54,0.902949,54,70.8116634581,29.6551,301.187807872,0.0104927,1.17341,566.853450626,1.17334,1.17374150778,288.930591089,288.930591089,-1.13950427665
0.0643911793624,254.692164031,24.511,0.0,1.22392399647,542.519439845,-1.30124,55,0.938517,55,89.4161281188,29.8936,403.811643012,0.00951456,1.22319,661.254973088,1.22318,1.22382203324,254.692164031,254.692164031,8.948589457
0.0649678517159,278.655691491,24.7114,0.0,1.29613689614,-675.532687493,-1.37381,56,0.871963,56,28.5049922144,30.093,-724.035204158,0.0098147,1.2956,-638.673623011,1.29555,1.29599540585,278.655691491,278.655691491,-63.7552364837
0.0652992497479,255.507329087,24.8924,0.0,1.36208798579,276.233159342,-1.43756,57,0.821077,57,215.770932951,30.2527,-216.634495361,0.00960469,1.3615,491.510206657,1.36148,1.36199162518,255.507329087,255.507329087,-20.5211400574
0.0660816863452,22.2696252085,25.0835,0.0,1.42090285158,294.244423776,-1.49719,58,0.88775,58,67.058535292,30.4636,195.837299137,0.0102963,1.42037,422.540437603,1.42037,1.42081313469,22.2696252085,22.2696252085,3.58696516121
0.0652681678596,134.70178161,25.3149,0.0,1.47581327673,454.527014057,-1.54719,59,0.866063,59,88.8984886103,30.6556,229.400794344,0.0097963,1.47529,551.834184511,1.47529,1.47573687921,134.70178161,134.70178161,-2.28446943594
0.0663826626772,249.11120758,25.5394,0.0,1.51856228383,-99.7324263175,-1.58665,60,0.814441,60,507.850121899,30.8464,-523.608771885,0.0111031,1.51799,689.078265088,1.51798,1.51849661257,249.11120758,249.11120758,-10.0875067996
0.0653769659874,360.021427663,25.699,0.0,1.5773499518,30.1455008632,-1.64815,61,0.779989,61,271.851317417,31.0972,-254.5394158,0.0104028,1.5768,548.298459751,1.5768,1.57728216018,360.021427663,360.021427663,-11.9794523404
0.0656584915303,-115.19431098,25.8764,0.0,1.62768621819,524.023772024,-1.69596,62,0.908121,62,114.815659768,31.2299,278.804978942,0.00992764,1.6271,685.918740952,1.6271,1.627632517,-115.19431098,-115.19431098,4.2334408652
0.0667472289377,324.066453352,26.093,0.0,1.69111320311,79.1099825538,-1.75601,63,0.829893,63,35.9478504171,31.4817,34.0702091252,0.0114661,1.69063,144.426993674,1.69062,1.6910485081,324.066453352,324.066453352,-2.19652514484
