AverageQ,StdReturn,AverageAbsQYDiff,AverageY,StdEsReturn,AverageQLoss,Iteration,QFunRegParamNorm,AveragePolicySurr,AverageAbsY,MinEsReturn,PolicyRegParamNorm,AverageAction,AverageAbsQ,MaxReturn,AverageDiscountedReturn,AverageEsReturn,Epoch,AverageReturn,MinReturn,MaxEsReturn
-0.151408,0.0488889177029,0.919232533219,0.767824096743,6.50237486317,1.2257,9,11.1303,-0.0533629,0.767824096743,1.60141528393,11.2286,0.221324,0.222169,9.35865978712,8.79269698062,9.75444235503,9,9.21671849516,9.09944863975,55.1003918655
0.434244,0.0178088977764,0.099707655844,0.437808130177,0.762118823568,0.0339964,10,11.2772,-0.53779,0.438720456134,2.40166852893,11.6721,0.999974,0.435315,3.12192823663,3.03589162012,3.73051153329,10,3.08505587696,3.04965322574,6.99772311563
0.406581,0.0176957460261,0.0439075924982,0.406882855124,0.666336261249,0.00562134,11,11.3902,-0.434132,0.407714445356,2.72645184315,11.7298,0.999991,0.409692,3.12186594873,3.03683606432,3.64429009686,11,3.08602334519,3.04863761264,7.45868217728
0.412977,0.0593997579874,0.0277943067624,0.413054108445,1.10123237949,0.00195932,12,11.4714,-0.413035,0.41436861508,2.9197875227,12.2997,1.0,0.417215,6.01067876579,5.6782044192,3.98781333742,12,5.83695969098,5.69619561918,9.47681463274
0.425758,0.0602850091743,0.0241895355742,0.425759464688,2.29000992203,0.00135427,13,11.5732,-0.456267,0.428113993434,5.32804638568,12.3014,1.0,0.430253,6.00513346658,5.67532069464,6.92714227419,13,5.83416443801,5.69488469535,25.5287280802
0.46112,0.919488593364,0.0255551951595,0.461251434088,16.7487650572,0.00204685,14,11.7023,-0.546095,0.463587707334,4.61583322069,12.5435,1.0,0.464974,40.7261689831,34.4529445809,23.8745304852,14,38.7635511477,36.663758774,52.278431435
0.615655,0.944728189354,0.0330814652467,0.615956300898,4.8897437246,0.00433816,15,12.0318,-0.723723,0.617632820365,26.4858216219,12.5436,1.0,0.618823,40.6881753568,34.4547404747,42.0611047088,15,38.7644797576,36.6049271599,54.7997172951
0.752169,0.954741705923,0.0369378405262,0.75244651643,5.04802546695,0.00558263,16,12.501,-0.860433,0.753971554567,16.7014795467,12.5436,1.0,0.755141,40.6084158954,34.4748809466,41.1872212482,16,38.79310313,36.69480832,56.4500885678
0.88555,0.914721611871,0.0405006981894,0.885843470851,5.60887652124,0.006322,17,12.9639,-1.00993,0.887154951333,7.43514046317,12.543,1.0,0.888358,40.7823274252,34.4533557527,40.2226341656,17,38.7632680775,36.6150663281,46.0448028722
1.02228,0.926093493084,0.0412842421308,1.02248680995,7.21637720172,0.00646801,18,13.466,-1.16672,1.02363528743,5.15513281706,12.5427,1.0,1.02437,41.9859301051,34.4669075351,41.6952113839,18,38.7824947479,36.6040463599,55.3954960905
