MaxReturn,Epoch,AverageDiscountedReturn,Iteration,QFunRegParamNorm,AverageY,MaxEsReturn,StdReturn,MinReturn,AverageQ,AverageAbsQYDiff,StdEsReturn,MinEsReturn,AverageEsReturn,AverageAction,PolicyRegParamNorm,AverageAbsQ,AverageQLoss,AveragePolicySurr,AverageReturn,AverageAbsY
16.4697951454,9,14.1804378267,9,11.097,0.303847909708,152.388769626,0.292534400214,14.134917282,-0.721333,1.0251804863,16.7831987222,2.92873815427,17.3460670415,0.0410019,11.1935,0.721333,1.27712,0.488606,15.270795172,0.318452509682
51.0202273762,10,23.8747228024,10,11.111,0.201591146116,46.2468443931,21.0151146769,6.27847644075,0.199541,0.0538505114605,3.85713799516,1.96552406424,4.6279174961,0.88952,12.7707,0.212074,0.0110516,-0.261364,27.3296442415,0.211839366974
19.2159999266,11,16.9553200883,11,11.2262,0.273765140986,123.82211758,0.782057841651,16.8303907822,0.27331,0.0414585319078,29.342309689,4.61680649854,39.8756926613,0.81935,14.0158,0.284424,0.00461344,-0.334663,18.1886389845,0.284400978161
124.878419845,12,86.5902087199,12,11.475,0.413990278357,100.068724197,2.42610184481,114.880135829,0.413391,0.0403327794038,26.3440016252,6.98061677284,39.3586675924,0.871601,14.7525,0.417048,0.00501012,-0.479628,119.759091327,0.416525940438
170.01015959,13,108.010891881,13,11.819,0.567986253502,142.363201485,2.59908785479,154.569308298,0.567478,0.0395750692047,40.6718662081,10.1911878264,76.078383725,0.93144,15.3263,0.570395,0.00518508,-0.648735,164.215951249,0.569836048994
90.358928353,14,68.6256423179,14,12.2781,0.740405754818,175.802290718,1.47218369537,83.450628281,0.739707,0.0426955144307,38.1804857157,37.115832122,100.268230489,0.977322,16.4549,0.742137,0.00669013,-0.833303,86.9245260076,0.741796879061
175.924261938,15,111.268304317,15,12.7782,0.910960346461,192.442798158,2.2889121155,165.613383618,0.910459,0.0465732598098,54.6778459675,11.2873560203,122.757549171,0.89228,17.5245,0.912826,0.00879943,-1.00577,171.646683536,0.912299680979
177.541440187,16,112.306449794,16,13.2902,1.08629863002,183.249462252,1.66163837063,171.269982413,1.08577,0.0502855648348,43.4322303856,38.2571100166,149.089036717,0.946826,18.218,1.08815,0.0106852,-1.19191,174.335025356,1.08753006838
177.542996764,17,112.597339589,17,13.932,1.25772719898,183.768561174,1.44212196866,172.139138984,1.2572,0.0577557963838,22.7279835904,106.19160407,164.385402708,0.899316,19.1582,1.25919,0.0145043,-1.37451,174.536989387,1.25871534249
179.437799455,18,112.35776917,18,14.5374,1.43784067096,179.578660889,2.73637933521,167.496776685,1.43723,0.0636708140909,53.7580063265,19.5890424591,131.740013515,0.932935,20.1712,1.43907,0.0179831,-1.55501,173.568055375,1.43870246653
178.998608836,19,113.135776661,19,15.2069,1.61830613805,187.137404952,1.50044492264,172.125855937,1.61776,0.0674483851118,43.5108941944,22.6635528912,160.597750975,0.955236,21.2684,1.61962,0.0194648,-1.73876,175.808693721,1.61897982826
178.022649158,20,110.849472788,20,15.8929,1.80694526185,182.960408514,3.28211911165,160.858972938,1.80621,0.0694533909753,39.4285587854,34.8006271209,160.890427116,0.913618,22.0065,1.80783,0.0219115,-1.92874,170.279277854,1.80754698018
187.765846717,21,116.723392817,21,16.4765,1.97857352345,197.678156508,1.83195571417,179.378096051,1.97782,0.0707164574303,40.4561345341,54.1734231022,153.136084346,0.764037,22.9709,1.97961,0.0221067,-2.10527,183.825751933,1.97907741794
