MaxReturn,Epoch,AverageDiscountedReturn,Iteration,QFunRegParamNorm,AverageY,MaxEsReturn,StdReturn,MinReturn,AverageQ,AverageAbsQYDiff,StdEsReturn,MinEsReturn,AverageEsReturn,AverageAction,PolicyRegParamNorm,AverageAbsQ,AverageQLoss,AveragePolicySurr,AverageReturn,AverageAbsY
182.555753563,22,113.943151368,22,17.1956,2.15441748348,204.277361075,2.07537328705,173.183731739,2.15356,0.0785229138349,59.8613571427,21.4441074785,130.051077707,0.840437,23.9039,2.15574,0.0262939,-2.2803,177.876542125,2.15496213222
181.473474664,23,113.120349873,23,17.8268,2.34028732279,186.579707845,1.70620220468,173.458832674,2.33959,0.0762942888291,54.1157736931,22.8044596214,138.239712649,0.891219,24.8442,2.34192,0.0253093,-2.47026,176.139090292,2.3409376731
176.932434729,24,111.196162713,24,18.4726,2.51522383021,191.820074284,2.78559021655,164.326406871,2.51433,0.0850724769801,53.5414129334,37.6296784323,155.707877358,0.753042,25.6947,2.51684,0.031677,-2.65013,171.024020834,2.51586043332
187.682278022,25,115.880915617,25,19.0227,2.69682261021,249.355840481,1.84826695322,179.714861261,2.69578,0.0857645415274,29.9786539487,115.802084678,174.387551953,0.735963,26.8299,2.69834,0.0326147,-2.84249,183.385579043,2.69739201763
193.508933714,26,116.615251554,26,19.6128,2.87643560112,194.487019737,3.63117263055,179.072287885,2.87562,0.0907699369,58.8651905791,40.346515348,140.051893076,0.760287,27.5774,2.87826,0.0388058,-3.02759,184.906861818,2.876999539
191.29877287,27,116.000020616,27,20.1881,3.04938284246,195.998821004,4.02394840731,172.817320496,3.04845,0.0951274057424,25.7687659929,101.068617471,173.228875025,0.747449,28.2307,3.05157,0.0426205,-3.1948,183.022168437,3.05001283916
185.462168621,28,111.324523259,28,20.7247,3.22428147122,203.28694771,7.43447072405,155.847890689,3.2234,0.0910132336181,40.5087656067,69.3341134009,164.322722773,0.693784,28.842,3.226,0.0396831,-3.37205,171.789040815,3.22503548502
193.956176223,29,118.277380874,29,21.2586,3.38511470724,198.944243777,4.54721824447,169.551028134,3.38405,0.0976591084904,59.6635708361,16.8756825404,138.815309039,0.762893,29.6005,3.38706,0.0468989,-3.52928,188.819980898,3.38580195623
193.521419664,30,116.964884912,30,21.8301,3.56960381351,201.169636095,1.67863778125,181.344084401,3.56852,0.0989055919467,55.1002268352,21.6536727225,158.010322089,0.726092,30.1513,3.57155,0.0432637,-3.71373,185.357210085,3.57011068184
194.272518489,31,117.435641142,31,22.2743,3.71592560474,192.362208579,3.70306622775,180.725303902,3.71532,0.0971256375639,20.6801557508,110.798196092,175.51322504,0.779461,30.7025,3.71842,0.0444466,-3.86028,186.425306129,3.71656669964
183.031643231,32,113.11315756,32,22.7377,3.89908115755,204.818936522,3.60227362313,167.68443873,3.89823,0.104137514574,44.1297268419,68.443652326,152.70358096,0.731464,31.3055,3.90122,0.0521104,-4.04836,176.065352336,3.89970392231
196.838688761,33,119.037116407,33,23.2512,4.03920732864,194.130085734,2.26405222541,185.124611593,4.03814,0.111101964987,58.102018045,40.3905375873,141.897908309,0.792628,32.0691,4.04128,0.0620246,-4.19282,190.842555133,4.03990770269
183.296363853,34,110.430007422,34,23.7805,4.21262253244,203.485259902,10.24194979,147.543370359,4.21194,0.102865578485,25.7293430257,119.948106996,173.57535294,0.75601,32.7938,4.21524,0.0491144,-4.37198,169.07815789,4.21326952177
185.975677302,35,111.631234644,35,24.2571,4.38311134737,202.225228191,8.62614952274,152.837254952,4.38211,0.107246491667,42.3336451812,57.7145798295,146.019965598,0.724643,33.4201,4.38551,0.0516848,-4.54527,172.381528568,4.38371677158
194.623711125,36,118.91172141,36,24.7195,4.53075721293,210.379939812,1.59134878013,186.92243768,4.53001,0.116080491868,61.5877598702,11.8119433804,132.548043487,0.763791,33.9243,4.53334,0.0680882,-4.69747,191.063619077,4.5315372553
193.470797246,37,118.399322645,37,25.1281,4.69237769092,198.359278832,2.31189256742,178.746328974,4.69135,0.117361135458,53.4147138139,36.311675526,144.180569536,0.806967,34.3413,4.6952,0.0682561,-4.86813,189.478367075,4.69339576417
197.508908673,38,119.318138539,38,25.5628,4.8640885577,227.342759657,2.14859341971,186.741408263,4.86307,0.117364401688,73.9870794071,5.43268602527,143.362054194,0.792595,34.8967,4.86623,0.0674744,-5.03785,192.189275255,4.86502668139
195.827064022,39,118.454648636,39,25.9404,5.01509566062,197.0346105,1.85962500822,185.281978025,5.0137,0.1187524281,55.6140673392,18.3448282563,142.746564513,0.819084,35.319,5.01755,0.0688603,-5.19364,190.211243077,5.01607379939
191.333403405,40,116.264604816,40,26.3704,5.18937643748,210.504619471,3.61981659152,176.226910254,5.18867,0.133306095582,55.2891357884,32.5786320255,151.163201065,0.817692,35.8906,5.19267,0.0906176,-5.37629,184.234979752,5.19043713057
186.81482827,41,115.84899714,41,26.8134,5.33350732939,204.716689172,1.79388570921,178.537392637,5.33252,0.130213122234,42.0018917953,70.2468519672,165.431225693,0.785668,36.3403,5.33603,0.0933884,-5.52663,183.027810271,5.33428078492
195.516306852,42,117.945425636,42,27.2088,5.48571980143,188.029681482,5.20746550504,173.255268808,5.48488,0.13139756508,44.746933154,51.7388464876,136.429115979,0.807584,36.7105,5.48865,0.0844162,-5.68317,188.240996084,5.48667638641
193.097263458,43,117.298019183,43,27.6346,5.66587680697,189.269472056,3.8357813782,175.28040341,5.66493,0.13246767685,49.5955670514,36.2260401787,152.882257251,0.770202,37.254,5.66867,0.0967281,-5.86763,186.126874362,5.66662549826
190.799307849,44,116.266722717,44,27.9783,5.81726365026,190.1005278,4.97891976493,169.321492421,5.81589,0.141914959055,41.2882330354,76.7855967529,143.932973966,0.705375,37.5874,5.82074,0.108994,-6.00832,183.927190894,5.81811251627
189.703278211,45,113.273211738,45,28.3537,5.97893160937,188.930681533,7.45972244127,161.449537147,5.97778,0.134211338084,44.0122968814,57.4878679712,142.419102811,0.730016,37.8831,5.9815,0.0934691,-6.17002,176.733429074,5.97971658151
184.907266722,46,113.469018733,46,28.7451,6.11067119423,212.521112201,4.98032402309,167.107575571,6.10984,0.137496236375,55.6488491701,50.6039524704,153.11956744,0.736124,38.242,6.11427,0.0978746,-6.30349,177.127521851,6.1112486864
178.07305688,47,106.231697827,47,29.1445,6.23914146955,211.162376135,12.9020115824,131.937317399,6.23832,0.145810023276,48.8049947103,49.7896633033,141.555387745,0.677065,38.6723,6.24325,0.109331,-6.43776,159.362565498,6.24028165905
176.840257373,48,110.08002314,48,29.435,6.38916846502,214.244433647,5.5247444475,150.956345047,6.38808,0.143589091571,67.3614321739,6.4927391281,127.789252556,0.809702,39.0596,6.39115,0.10686,-6.58624,169.016825886,6.38967310477
177.030762968,49,110.844816901,49,29.7454,6.50936719725,207.918112707,4.10118635642,159.416500057,6.5082,0.148821863206,51.7744441287,32.4053672069,143.561153295,0.794379,39.4189,6.51265,0.117114,-6.71141,170.484421248,6.50990895097
177.234821544,50,109.179240522,50,30.1284,6.62326426899,179.430875665,3.64188063447,158.055197485,6.62243,0.154084437252,61.1909503105,9.05700667798,108.077184075,0.77273,39.7307,6.62704,0.147342,-6.80922,165.989033098,6.62371540684
182.517487384,51,112.592461694,51,30.4262,6.75133604831,191.872667607,4.0185545821,165.295068907,6.75031,0.151367070104,70.2510493065,10.2844877157,126.10507952,0.806798,40.0108,6.75459,0.130646,-6.94417,174.320962641,6.75198850096
176.332362786,52,108.960398962,52,30.6975,6.84907234876,184.820080774,5.02304542507,155.724184397,6.8477,0.156069324254,52.6383745658,13.5519406788,137.246388445,0.839586,40.3578,6.85267,0.142633,-7.04001,165.632303498,6.84978555139
183.668377255,53,112.239794533,53,31.0097,6.97453285418,216.5797089,5.38324607742,160.836126759,6.97349,0.156618293213,51.905255876,36.3161816548,158.582657248,0.805053,40.5657,6.97747,0.137231,-7.16592,173.031422159,6.97522714301
166.531997469,54,104.326575316,54,31.3314,7.06853036916,213.141348148,4.7587113323,144.586264344,7.06759,0.159375068666,32.4109916073,81.1381655662,160.990543928,0.773503,40.8376,7.07175,0.146618,-7.27016,153.554380619,7.06901516071
195.265602783,55,116.194294331,55,31.622,7.17845328505,192.153309079,5.04802781677,167.393095846,7.17714,0.164172578121,40.7528553598,38.3467589755,155.374930224,0.850451,41.1459,7.18162,0.157147,-7.37882,182.860579875,7.17879158317
185.287203053,56,113.339423844,56,31.8693,7.29934685826,192.653185308,4.49189340041,164.478638912,7.29769,0.155767444156,62.1651053224,4.19480670459,137.984293053,0.839154,41.3934,7.3016,0.148166,-7.49416,174.764572075,7.29962371382
192.608362265,57,115.91697122,57,32.11,7.39916523865,194.901645139,5.25440024191,172.043512285,7.3987,0.152763698124,62.0931617401,15.1104786682,138.925357365,0.884791,41.6774,7.40299,0.135491,-7.58872,182.633503344,7.39957231729
196.657739569,58,115.287400451,58,32.3337,7.46784655088,200.061141117,4.61969348088,170.930959752,7.46671,0.166199255971,43.0378717888,61.2035607926,161.063080672,0.859243,41.8854,7.47116,0.162165,-7.66242,182.368060977,7.46820600043
192.053437225,59,118.741263212,59,32.5872,7.59963557498,187.982690827,1.81796938477,182.512108268,7.59871,0.159726898873,44.3963122916,12.1249298295,147.774617968,0.873773,42.1387,7.60289,0.152169,-7.79016,188.983884929,7.59990508738
199.011569417,60,118.363575318,60,32.85,7.70418292762,199.291159363,4.17434326042,179.587088426,7.70331,0.155368915405,61.6733219523,10.0692399263,147.173087183,0.851812,42.3036,7.70841,0.144928,-7.89708,189.595395002,7.70466744408
195.718490798,61,114.66591367,61,33.1564,7.76914327882,215.613116506,7.19666951777,164.280454928,7.76852,0.162248094216,65.3008459754,14.7006421717,143.706694418,0.841931,42.5669,7.77244,0.156753,-7.95537,179.340624468,7.76932462356
205.851366553,62,121.22100583,62,33.4401,7.84695452128,212.585693689,8.47158513584,170.504633005,7.84564,0.15963022737,49.9656425741,19.7042259683,175.823635442,0.882945,42.8405,7.84947,0.161821,-8.03476,195.907155377,7.84728088775
186.18630741,63,116.161917791,63,33.6742,7.95863899417,197.704995205,2.20007021788,169.669948824,7.95786,0.160462713995,60.4763456413,11.2177879021,137.397115215,0.825874,42.9952,7.96241,0.157715,-8.14946,182.191222019,7.95901650255
210.116585334,64,118.710463616,64,33.9543,8.03658087285,201.662544749,7.61422732516,178.73651454,8.0355,0.160136257026,62.9538017066,6.1624706717,147.506134434,0.873268,43.1922,8.04053,0.155704,-8.22705,191.92845401,8.03701445778
197.194272144,65,111.687203014,65,34.2506,8.10109577485,208.305881723,7.51787148636,159.302406388,8.10016,0.168753328785,70.760167713,6.57877572711,155.992911173,0.839627,43.3798,8.10533,0.182856,-8.27795,171.603482771,8.10142112306
196.467068745,66,111.982972766,66,34.455,8.15935589829,222.088265418,9.19411391684,157.72614893,8.15854,0.167031846562,73.7660037352,8.1389441505,109.450299296,0.819882,43.6036,8.1646,0.182473,-8.36069,172.218957406,8.15970461714
195.203218541,67,109.901157706,67,34.7051,8.2633719248,215.870164367,8.8728387497,154.691054279,8.26233,0.161994635501,67.3268941795,10.4080037104,129.389625795,0.82174,43.7719,8.26622,0.172658,-8.45319,167.009735426,8.26368139532
183.47345956,68,93.4323061401,68,34.9201,8.35737946017,201.945199226,8.55095765399,125.738258748,8.35687,0.158769228889,71.8148305694,3.63748129065,97.587878948,0.816741,44.0211,8.36105,0.158731,-8.54627,130.773014009,8.35763308033
193.327835143,69,110.944663521,69,35.1588,8.3695915276,212.026876601,9.24170916406,151.750219149,8.36819,0.173877223773,65.091766291,8.10927113233,134.324149718,0.86755,44.2752,8.37412,0.191936,-8.56346,171.029608703,8.37009191998
198.799760301,70,116.166235684,70,35.4009,8.43698589833,208.243384376,5.21620751363,175.093268295,8.43591,0.167777161287,56.5666184495,30.2441258551,159.402501479,0.876995,44.425,8.44008,0.184562,-8.6334,184.761692403,8.43760167324
211.709376072,71,122.821518829,71,35.5752,8.54208724976,208.319850746,3.97402584207,194.533882147,8.54132,0.1813908552,50.4130368156,46.4919701221,138.077707408,0.857913,44.623,8.54776,0.217352,-8.73144,203.079041784,8.54281519585
219.03863067,72,114.058615151,72,35.8302,8.60549338515,230.559529305,16.3063055665,151.209645055,8.60487,0.168109130933,59.7442829272,14.3455547545,159.548779045,0.896487,44.8116,8.61065,0.189814,-8.79774,185.680159824,8.60624765619
212.681717467,73,122.67250151,73,36.0605,8.66001891801,215.363917646,5.48786702454,191.059679179,8.65856,0.171868216828,59.8298874792,11.0221119238,159.455133954,0.874553,44.9481,8.6634,0.182876,-8.85357,204.753000274,8.66061143776
209.137683544,74,118.327474771,74,36.2377,8.7440369125,203.939549391,8.13234888482,181.859004874,8.74317,0.174424799413,60.1171303689,15.7395688373,153.413552907,0.87641,45.1094,8.74777,0.188259,-8.94477,194.507290281,8.74449294918
203.728004042,75,112.543266418,75,36.4396,8.79301836765,196.146034756,11.6119009054,158.528128242,8.7917,0.1792442583,69.5045452173,12.0105038519,123.039915192,0.944228,45.3027,8.79756,0.208062,-8.9843,180.481253827,8.79378460016
181.834829288,76,106.162883832,76,36.6603,8.85527421593,190.901364468,11.7418347192,142.346803486,8.85474,0.175121463323,39.1857267057,48.7901222431,146.837973932,0.88265,45.541,8.85981,0.194931,-9.05445,164.077313861,8.85615082113
201.365935447,77,115.913817773,77,36.8775,8.92319557421,191.259455995,10.8967685928,162.272146901,8.92236,0.173784805152,53.1557675203,8.9885870336,132.207728056,0.90403,45.7438,8.92851,0.187108,-9.12095,187.435333629,8.92469863397
189.807247768,78,105.051269535,78,37.1134,8.9914072516,225.136021934,10.8932714259,140.747513089,8.99035,0.182997276681,71.0781882707,10.0510495325,131.299258831,0.889478,45.8922,8.99925,0.222476,-9.19246,159.553690804,8.99301897104
207.469056325,79,118.664693482,79,37.3597,9.06370191338,207.79494877,5.76165289739,178.781648096,9.06267,0.189804095998,71.0575966722,10.4360509694,124.85470742,0.862377,46.1161,9.06868,0.221897,-9.27522,192.74350826,9.06496401025
183.538250738,80,107.089632596,80,37.6367,9.09947297467,197.600312677,10.0379211262,142.133884956,9.09823,0.190845964353,65.8176578378,9.45326666643,136.678182906,0.88364,46.3175,9.106,0.222232,-9.3063,163.758202163,9.10058389658
209.70464807,81,112.673160712,81,37.826,9.21355028284,189.525400417,14.163158841,158.611297719,9.21323,0.180574632247,64.5082129871,3.19646204433,143.089055827,0.880135,46.5208,9.2186,0.210236,-9.42781,177.324171224,9.2145422624
169.918204108,82,105.378049377,82,38.0048,9.22919876051,204.784737444,6.24975940754,143.754195888,9.22827,0.180208530364,75.3218778271,7.42717477743,96.7392437653,0.82111,46.6335,9.23522,0.216141,-9.44603,158.128352588,9.23046172586
212.126876855,83,121.823841729,83,38.258,9.26767453978,212.208782501,5.6609518247,187.466476041,9.26602,0.187408662233,51.9566194413,67.6246800183,157.988872267,0.86846,46.862,9.27227,0.222706,-9.48033,201.016161395,9.2691108743
211.11148818,84,124.393049028,84,38.488,9.32100587558,199.223034221,3.17825028871,195.53361138,9.32041,0.179967864173,68.1130597416,8.53882762897,127.344964346,0.860758,47.0244,9.32711,0.219271,-9.52671,205.377780729,9.32209155391
198.27362877,85,117.715619155,85,38.6905,9.40857014387,205.407977013,4.64438196882,182.186840144,9.4073,0.192463307412,69.5102554366,8.38879286038,142.092506601,0.82336,47.1831,9.41352,0.25074,-9.62485,190.718271913,9.40943116706
211.789754418,86,123.014404466,86,38.8464,9.44521923033,212.529819347,4.50514718989,191.173367592,9.44423,0.183513431569,74.2597514122,10.7175907315,135.463800624,0.836431,47.2846,9.44992,0.216525,-9.66184,205.440317355,9.44589654377
213.078444873,87,124.668929672,87,39.0641,9.43915328146,202.529380157,1.99337633187,203.403661799,9.43828,0.178121024951,39.9576357442,80.9204348279,166.872407419,0.808273,47.4262,9.44473,0.192995,-9.66269,207.230742277,9.44004976017
207.336772111,88,119.798404499,88,39.2479,9.53577788664,213.543420258,8.73601359461,172.061722721,9.5348,0.177765775046,74.677075169,10.1300801935,150.081228663,0.836501,47.5554,9.54054,0.210417,-9.74239,195.302463483,9.536582921
213.256285043,89,124.394284758,89,39.4415,9.53938889133,210.479523149,4.59720849553,193.636495567,9.53739,0.195834955001,63.723382862,10.0378584143,143.634478976,0.852122,47.7983,9.5434,0.253659,-9.75896,206.277179908,9.54020622143
207.390454502,90,120.452869487,90,39.6062,9.61453230708,215.340650226,7.59615804306,177.98411157,9.6142,0.182801327774,61.5718121577,14.5265792423,150.884073355,0.867415,48.0341,9.61883,0.234444,-9.82337,195.047055657,9.61496502455
201.538369035,91,120.062976462,91,39.7772,9.66761931259,206.58234194,2.65463355892,188.580029783,9.66629,0.169602850525,55.8717787808,44.9074299579,158.109056316,0.883687,48.2401,9.67225,0.196021,-9.87874,193.857737394,9.66821088357
194.401963109,92,117.921346405,92,39.9609,9.66044306812,221.598509303,3.02639720136,178.509026306,9.65964,0.187640598309,43.3656604853,81.7494642989,163.992316788,0.871005,48.4573,9.66572,0.266884,-9.86447,188.090547955,9.66108255921
200.631140199,93,116.859879271,93,40.2001,9.67596709941,223.457460509,7.83931219753,169.766499237,9.67521,0.18199285641,43.8135743887,41.8422993736,172.748847598,0.838177,48.5995,9.68172,0.223923,-9.88015,186.551447162,9.67647640753
190.756423608,94,116.403681279,94,40.3852,9.70488148039,206.104670701,3.19174130288,175.48128171,9.7039,0.177714793456,56.5233118186,12.790571521,162.23972372,0.900874,48.7843,9.70896,0.22895,-9.90312,183.959197772,9.70554154917
195.856120526,95,118.767480841,95,40.5095,9.71335584503,189.314647193,3.30872972754,183.001739968,9.71272,0.175037015928,46.394237367,10.4880174728,168.735669981,0.885563,48.911,9.71806,0.200208,-9.90035,190.057916504,9.71450175711
193.122435242,96,117.595993588,96,40.7277,9.72406265749,207.381576137,3.06512458608,181.071844368,9.72331,0.174834240907,78.5580685406,11.4943236916,100.803596567,0.919147,49.0688,9.72954,0.21615,-9.9178,187.23730227,9.72509118029
202.710603382,97,122.871601603,97,40.9149,9.76327938102,210.356398598,2.0669725056,193.355629914,9.7622,0.186110310807,75.1432275078,3.65346921086,144.149992768,0.902965,49.2159,9.76835,0.232111,-9.95917,199.029278167,9.76414615109
213.404233147,98,122.436931466,98,41.1221,9.75831140575,216.705331329,5.3734203661,188.172274622,9.75717,0.199048110148,66.6478726654,10.6190827917,151.799777001,0.926372,49.3433,9.76455,0.281066,-9.9626,198.559879209,9.75961891051
199.313397578,99,119.431946208,99,41.2662,9.79770658864,204.070114981,3.84756794613,180.015589641,9.79688,0.173829869436,70.5734989562,11.7662676137,142.719110292,0.892681,49.4891,9.80319,0.2208,-9.99844,192.112123396,9.79897899818
201.154519875,100,120.241734628,100,41.4652,9.82359019608,214.728279956,3.82038937616,182.119603461,9.82292,0.17686576812,49.8474590603,29.4174980836,167.865521916,0.918396,49.6532,9.82905,0.219196,-10.0184,194.523060786,9.82461365154
203.616358626,101,120.968669142,101,41.6262,9.78749182105,193.791688345,5.55691717352,175.896064386,9.78666,0.184228768114,50.5582706564,37.1384288697,137.905123095,0.908376,49.831,9.79355,0.253514,-9.99243,196.376260437,9.78877017436
196.296842033,102,117.37091922,102,41.8195,9.82032624122,201.232010395,4.42485451854,174.37841746,9.81894,0.181525634966,72.9428793916,8.65422112128,120.154964572,0.887499,50.0518,9.82625,0.236585,-10.0106,187.698509867,9.82136634775
205.896480972,103,121.713179007,103,42.0015,9.7762845889,202.832479048,4.88289511401,183.782409114,9.77579,0.178311643307,57.2077532913,4.80537528264,160.479668852,0.895741,50.2119,9.78248,0.214123,-9.97106,197.94263858,9.77750865106
202.382574605,104,118.07733412,104,42.1957,9.85308071028,216.150184006,5.82494069904,177.057105937,9.85186,0.18422601764,41.2490304701,83.8674405196,159.46904913,0.884424,50.3239,9.85716,0.236834,-10.0479,189.850648814,9.85382587687
202.932430551,105,121.823900125,105,42.3894,9.90066270206,219.522256534,2.43117476204,192.938696499,9.89976,0.179445464731,51.1825407606,18.5952377725,168.479589842,0.905303,50.4648,9.9055,0.229874,-10.0957,199.055816853,9.90115993321
220.324940423,106,122.7604823,106,42.57,9.91073543053,228.265458444,9.54301859085,184.782130076,9.91002,0.182707447251,66.1929693271,10.5240328049,157.931971983,0.901107,50.647,9.91648,0.22303,-10.1144,200.969363698,9.91168624893
205.636410204,107,120.780323485,107,42.7411,9.86551533045,230.755133402,4.45680447454,187.631087789,9.86442,0.182636483074,73.9941161956,10.5594216588,122.139150774,0.876965,50.8075,9.86998,0.236595,-10.0555,195.403258949,9.86669049238
217.053645301,108,127.163985646,108,42.9108,9.92828482218,242.367942451,2.93749885849,202.780113176,9.92767,0.180508163251,64.1811333471,52.3385504561,164.072501081,0.878677,50.968,9.93235,0.216712,-10.1082,210.26290714,9.92886301446
225.62948776,109,130.08552845,109,43.1191,9.91547852696,227.103752978,2.6689912402,212.324172831,9.91476,0.181930208404,72.427596288,9.36905669231,154.321127433,0.889255,51.1402,9.9201,0.228146,-10.0995,218.41359461,9.91591421497
239.579732689,110,133.672126364,110,43.2968,9.92189397141,226.596482062,5.10307089901,213.725844257,9.92073,0.1780519221,70.2736976171,11.1990933949,148.238364874,0.899892,51.2731,9.92631,0.222056,-10.092,229.6489837,9.9227222271
213.921537954,111,121.962039057,111,43.5012,9.92786135668,220.448163385,5.72852576755,189.120697012,9.92724,0.1847144025,83.114061491,9.00742006734,139.667557552,0.892585,51.4646,9.93359,0.225566,-10.103,198.329791199,9.92854660851
218.579138492,112,127.675306429,112,43.653,9.91620775854,208.397543507,2.70671139196,204.563569494,9.91548,0.180611882283,64.1928248292,8.17981230939,153.992948879,0.869073,51.5917,9.92219,0.227865,-10.0887,212.31125875,9.9172240318
208.397518337,113,123.319821267,113,43.7838,9.92532279062,215.423060084,4.14546976776,193.120427286,9.92399,0.184435718302,72.8780265713,10.6104129226,158.440010937,0.89774,51.7432,9.92932,0.254917,-10.115,200.68674076,9.92589642018
222.644069427,114,127.817938311,114,43.9281,9.95241972565,220.40830376,3.1907727118,203.016262403,9.95165,0.175883111507,81.5536852675,7.12735338356,122.250180812,0.856094,51.8392,9.95757,0.227229,-10.1306,212.707588222,9.95275380787
233.799965821,115,132.866629195,115,44.0881,9.99773413858,229.53276844,3.35271294201,217.779075355,9.99715,0.175642288522,80.5619327631,10.5116612867,137.832435585,0.905695,51.9613,10.0031,0.219004,-10.1833,225.978074744,9.99854383246
229.856503233,116,130.366929017,116,44.2063,9.94012999851,224.47822079,3.48390122532,210.045523932,9.93924,0.177854366568,78.8843580275,11.1882668585,156.789235301,0.903728,52.0888,9.94423,0.203948,-10.1194,219.380344167,9.94074841125
232.663439578,117,132.633578849,117,44.2941,10.0019181856,226.43239168,3.95467597343,215.775707036,10.0015,0.180597219143,81.5738038944,10.4067901004,148.223662408,0.870228,52.1851,10.0067,0.250694,-10.1806,225.632369632,10.0024492211
205.907309836,118,123.19714047,118,44.4353,9.99394720318,228.391622896,3.3152472134,174.96149926,9.99387,0.169900500065,64.2581841407,8.02910278345,172.410474035,0.846069,52.344,9.99939,0.20123,-10.1774,199.838874272,9.99431418483
224.490772424,119,129.581040264,119,44.582,9.99229808351,215.693403726,2.70795143953,211.187828157,9.99099,0.181859183816,78.1864474231,5.03114746662,127.793219858,0.9004,52.4134,9.99566,0.224886,-10.1685,217.800911043,9.99315713068
211.745414072,120,125.716093339,120,44.7494,10.0117248331,246.58669642,2.16437269907,199.541276516,10.0113,0.181029173671,75.6850454765,12.7080188344,154.980329951,0.874197,52.5652,10.0174,0.241585,-10.1976,206.564650302,10.0127118692
210.23814861,121,111.186445945,121,44.9313,10.0237110451,228.458508258,6.04947690804,164.556933701,10.0225,0.177510378396,66.4045058587,12.2047862059,167.039123261,0.840211,52.6953,10.0286,0.217002,-10.1943,172.506462827,10.0244672533
223.404076878,122,128.940739668,122,45.0386,10.0279527063,217.509403704,4.6683309925,206.511748877,10.0271,0.174927763524,68.9316158344,20.9060222011,158.920118328,0.847994,52.7643,10.0319,0.230692,-10.2125,215.949209095,10.0285045343
201.954304583,123,120.299773348,123,45.1755,10.0845345284,224.624741522,3.19668163777,183.596214117,10.0837,0.166266691924,70.6990222541,9.08014822777,162.007638238,0.8663,52.8796,10.088,0.208444,-10.2533,194.768684513,10.0850578801
