QFunRegParamNorm,AverageAction,StdEsReturn,StdReturn,MinReturn,MinEsReturn,AverageDiscountedReturn,MaxReturn,AverageAbsQYDiff,AverageAbsY,MaxEsReturn,PolicyRegParamNorm,Epoch,AverageAbsQ,Iteration,AverageY,AverageEsReturn,AverageQLoss,AverageReturn,AveragePolicySurr,AverageQ
11.0404,0.00302791,7.46901098916,0.379936518399,22.6957885052,1.47288074337,20.4328331669,24.5250799401,0.586488956835,0.616917931595,105.416583112,13.3356,9,0.386946,9,0.357005919619,10.8728933453,0.602202,23.5735284077,-0.308865,0.386946
12.236,0.999995,3.34851565,0.060027613414,5.69328463531,6.23776955383,5.67690267239,6.02779813216,0.161661488496,0.800165028557,33.8071591034,13.8463,10,0.768578,10,0.594485599206,12.5511883146,0.052161,5.83572120179,-1.29409,0.590698
13.1876,1.0,2.45637698315,0.0594886376147,5.70271271388,1.84801639246,5.67476586783,6.0131456745,0.129955928681,1.36566656274,18.0739038745,13.9793,11,1.35249,11,1.18953632778,9.8208868719,0.0369813,5.83347403036,-1.87388,1.18845
14.1791,1.0,1.53774129379,0.0605988928235,5.69430846388,6.54860261919,5.67721406881,6.01503323421,0.145492072667,1.94145227441,14.8487236814,14.0174,12,1.9306,12,1.77768798327,9.18733143042,0.0511555,5.83601477189,-2.46689,1.77656
15.1943,1.0,5.38288363783,0.0597211628929,5.6993893745,7.85081896005,5.67779882158,6.03284045047,0.149373005675,2.49732076673,46.051871288,14.0218,13,2.48765,13,2.32814437066,14.3576421668,0.055598,5.83656834742,-3.04099,2.32786
16.0392,1.0,3.01893811077,0.061831593615,5.69588453816,2.80494199344,5.67710936866,6.0359711701,0.150044185077,3.00085069943,21.0007695556,14.0271,14,2.99297,14,2.81517570871,12.7645122225,0.0529541,5.83594146033,-3.53492,2.81517
16.9559,1.0,0.71236235121,0.0602091408532,5.69789844211,7.22703118519,5.675944003,6.01280507768,0.151557341563,3.44096756212,10.7649891706,14.0294,15,3.43474,15,3.22834547868,9.81389078967,0.0547865,5.83475045967,-3.95345,3.22837
17.7429,1.0,0.699378689166,0.0607494082278,5.6975571458,7.53133265086,5.67857238749,6.01421312261,0.149617233732,3.79323212586,10.8459056134,14.0317,16,3.78919,16,3.55179800437,9.45575549783,0.0495563,5.8373865687,-4.226,3.55186
18.5065,1.0,0.792067888839,0.0610334307043,5.69337653135,3.70950620486,5.67828689039,6.033396407,0.151014867217,3.99175252438,9.96786976581,14.0332,17,3.98785,17,3.69416982624,7.69194815627,0.0570104,5.83715517017,-4.24787,3.69435
19.2126,1.0,0.437928262026,0.0608354786658,5.70242612373,7.47065317191,5.67600695864,6.01345760823,0.140302036894,4.03938195157,9.76399503587,14.0348,18,4.03577,18,3.67535309022,7.71503271369,0.0475176,5.83474530673,-4.04588,3.67574
19.871,1.0,0.2871011874,0.0614973615341,5.69791704972,7.45689837567,5.67600400473,6.01277880669,0.13867193677,3.86187055776,9.46431539686,14.0376,19,3.85856,19,3.41874513642,7.65795536375,0.0478445,5.83480412345,-3.56098,3.41927
20.5052,1.0,0.629281098841,0.0605305592668,5.70189039052,7.48074621577,5.67636889888,6.01097179113,0.137018986369,3.53489856445,9.93234121223,14.0413,20,3.53221,20,2.97992525259,8.39473250457,0.0454158,5.83513131835,-2.95977,2.98059
21.0195,1.0,0.326283866651,0.0617856230179,5.69397056505,8.38439823339,5.6793948599,6.03190814843,0.133260665777,3.15950982523,9.93852944118,14.044,21,3.15758,21,2.48120096304,8.9700629091,0.0453197,5.8382021874,-2.45538,2.48177
21.4729,1.0,0.316958355598,0.059241786866,5.69473200171,8.01943860739,5.67821132914,5.9973073659,0.123554146408,2.83517082762,10.142349958,14.045,22,2.83291,22,2.09832543841,8.94712284225,0.0387942,5.83706782192,-2.20596,2.09868
21.807,1.0,0.46097219919,0.0605997769548,5.69323921343,5.59214347199,5.67591614163,6.01542875163,0.111600732285,2.59786008253,9.03038279546,14.0471,23,2.59527,23,1.84860091142,8.31793270671,0.0307175,5.83473974576,-2.06932,1.8486
22.1337,1.0,0.277759965108,0.0611249309197,5.70203569863,7.77525736665,5.6756967468,6.02294144559,0.103439403161,2.41653594178,9.76526834587,14.0479,24,2.41385,24,1.68505701025,8.25730411933,0.027689,5.83435738588,-1.96008,1.68525
22.4479,1.0,0.519434186336,0.0616269911115,5.70239625516,4.61034428754,5.6762565135,6.01543879251,0.0979557814142,2.28153501497,8.69475777874,14.0495,25,2.2786,25,1.57861648524,8.03219359672,0.0263164,5.83495293609,-1.89437,1.5785
22.7591,1.0,0.551473841649,0.0600201433375,5.70260261909,3.74187156525,5.68023210204,6.03190599085,0.090889724337,2.17708384438,8.13586667662,14.05,26,2.17405,26,1.5121209906,7.59161291567,0.0248485,5.83911131612,-1.84368,1.51205
23.0146,1.0,0.276899699324,0.0620891137038,5.69913814645,7.46096220422,5.6760006393,6.01988025162,0.0825534332175,2.07379637565,9.49124719597,14.0508,27,2.07102,27,1.42416150805,7.6311058285,0.0197786,5.83472889049,-1.7586,1.42411
23.3341,1.0,0.309496517239,0.0619932054467,5.70063483492,7.4347186884,5.6779024081,6.01623346212,0.0821171510668,1.98832360442,9.69913598706,14.0516,28,1.98563,28,1.36237166845,7.65412966303,0.0201908,5.83665353214,-1.70013,1.36232
23.6798,1.0,0.34086484333,0.0588493045907,5.70287272267,7.43600443892,5.67375049442,5.99306562242,0.0768067720154,1.92950093221,9.96195227081,14.0527,29,1.92658,29,1.30898047756,7.64790346774,0.0182339,5.83250876572,-1.68753,1.30891
