AverageDiscountedReturn,AveragePolicySurr,AverageY,AverageForwardProgress,MaxEsReturn,AverageReturn,MinForwardProgress,AverageQLoss,AverageAction,AverageEsReturn,QFunRegParamNorm,StdReturn,AverageQ,MaxReturn,PolicyRegParamNorm,MaxForwardProgress,AverageAbsY,MinEsReturn,MinReturn,Epoch,StdEsReturn,AverageAbsQ,AverageAbsQYDiff,StdForwardProgress
21.0097325603,-0.0425726,0.0407319898094,0.141861632475,44.4316586648,27.9775951667,-0.506357022589,3.71414e-05,0.999993,25.1027161546,22.6638,13.2231239897,0.0407857,60.5778672121,17.6666,0.421945536183,0.0533392981539,13.7438396092,-26.9454509298,23,8.50559642743,0.0530908,0.00330538346651,0.146828424471
20.1083955168,-0.0428296,0.042759839839,0.136929037393,39.4795593648,26.78211933,-0.57144613754,4.80987e-05,1.0,19.7545546935,23.1683,13.0986160059,0.0427891,66.7495185291,17.7362,0.429619299229,0.055673700305,-21.4222931904,-40.8427380836,24,15.1677014833,0.0554858,0.00373838941814,0.139428484366
19.7964041681,-0.0460518,0.045083778515,0.130422187619,36.7942125986,26.3639842778,-0.546829751875,5.18053e-05,1.0,24.2431487735,23.6383,12.6167660461,0.0451369,51.1605968266,17.7376,0.332459296244,0.0582456058263,-13.8537077337,-33.170975533,25,14.06323959,0.0578993,0.00371579738834,0.147745887775
18.4150063081,-0.0506034,0.0489005593761,0.108075530334,39.9022972857,23.7777845778,-0.508624498134,5.77802e-05,1.0,28.7515912564,24.2039,13.8739729392,0.0489947,47.0675527212,17.7377,0.348817725541,0.0618567918035,13.2921201148,-33.5228496189,26,8.37823923381,0.0615503,0.00396062500379,0.157290814715
19.0138639285,-0.052593,0.0517224545922,0.118444973,46.8598039287,25.018166939,-0.527297597734,6.38687e-05,1.0,13.943103347,24.621,12.7801883246,0.0517973,53.0162093833,17.7381,0.373651446508,0.0650222730286,-26.5235085141,-28.1349214646,27,19.8951688528,0.0646429,0.00399184537356,0.15057316558
18.3303689723,-0.0578903,0.056418353744,0.108954744855,38.3168254962,24.3363295803,-0.558506720553,6.68629e-05,1.0,22.2538429878,25.2012,13.6059849016,0.0564829,51.0203376134,17.7524,0.358387005539,0.0703441864743,-1.72624106213,-36.1487966453,28,11.7644363737,0.0699909,0.00423873424518,0.154419830717
18.2725020152,-0.0613473,0.0595148405849,0.111195334179,39.8104723769,24.4075899143,-0.481766304803,5.83005e-05,1.0,27.1873565228,25.6955,12.5273561554,0.0596376,64.1746050938,17.7524,0.450551164916,0.0737558217997,13.8801642032,-22.9515219667,29,9.29675268689,0.0734974,0.00407604034779,0.139181289536
18.6826352064,-0.0648331,0.0633651124448,0.122182709549,42.3867417409,25.135381893,-0.455790084081,5.7589e-05,1.0,27.6683408854,26.2775,11.1555486149,0.063447,45.0065479887,17.7524,0.330807518513,0.0777701874961,1.43564860367,-21.0100341935,30,11.2631022811,0.0775521,0.00415500980469,0.122414672076
17.7181759863,-0.0680233,0.0665688808295,0.0997244676791,42.225902833,23.269938952,-0.576300113499,6.18027e-05,1.0,30.6556695443,26.6102,14.9498394101,0.0666843,47.237870448,17.7524,0.329146096932,0.0811685992306,13.2726497808,-34.3871133789,31,8.16158047436,0.0809364,0.00416857525742,0.170145443814
18.7888027578,-0.071128,0.0699300355103,0.110226210146,40.5984899256,24.2481425228,-0.561107263397,6.01495e-05,1.0,22.0983246203,26.9706,13.6084217219,0.0700087,44.3818408926,17.7523,0.307095170594,0.0848771509788,-27.8553157847,-31.3359378352,32,18.5759889635,0.0846714,0.00429761237751,0.159650033541
17.2092598889,-0.0741985,0.0724575411536,0.0925244124651,36.9761363733,22.0795689906,-0.572782137702,6.62715e-05,1.0,19.7355982972,27.4421,12.9918130491,0.0725918,53.1057591977,17.7522,0.398498011245,0.0878076952554,-25.008483958,-26.0898571767,33,14.6077956601,0.0875506,0.00435696079745,0.149618936231
17.9400595868,-0.0772975,0.0757506682199,0.110605650929,42.7540211602,23.9797390714,-0.56598700907,5.79102e-05,1.0,23.8348800105,28.0368,12.6180893488,0.0758696,49.7099559464,17.7522,0.336172946689,0.0913487923907,15.6652330747,-33.3996322485,34,8.00876090871,0.0911497,0.00414504492814,0.134913743464
18.1110338297,-0.0794217,0.0782742954057,0.104794812884,44.3129692976,23.6825865113,-0.509903158443,8.51847e-05,1.0,20.7871017988,28.4339,13.1636330276,0.0784289,53.4149717559,17.7522,0.34919662769,0.094080435608,-26.5471039687,-29.6538982319,35,15.8111512251,0.0937534,0.00462894679795,0.149924812391
18.2671965725,-0.0813892,0.080529053283,0.109230936125,42.0243335548,24.4936833984,-0.530352058106,7.23453e-05,1.0,21.8353373583,28.9293,12.4000373989,0.080649,48.1752899235,17.7522,0.360287061398,0.0967215481362,0.249218466947,-27.3878498792,36,12.6412645428,0.0964788,0.00461094333066,0.14377194756
19.2216452589,-0.0842441,0.0832162481843,0.125441753541,45.7258876232,25.5144802245,-0.508737185111,6.38186e-05,1.0,27.0884720195,29.3384,12.5514919213,0.0833385,51.0559414821,17.7522,0.35611230722,0.0992566567251,6.37188764302,-26.5420892543,37,11.1653747608,0.0990348,0.00444134086042,0.141002492198
18.2981646292,-0.0865514,0.0855673201005,0.109455799591,44.1073699748,24.2377884491,-0.516598959673,6.92083e-05,1.0,24.5852401634,29.7647,13.6692288356,0.0856966,52.1099171858,17.7522,0.355606877094,0.101807878373,6.57058649551,-26.2421474628,38,10.1324099532,0.101576,0.00450526848183,0.156956943575
17.8545519349,-0.0878544,0.0874560015886,0.103516099714,42.6591103286,23.6983221584,-0.548898674818,0.000108065,1.0,23.168895809,30.3783,14.7196514348,0.0875785,55.911524187,17.7521,0.389434747464,0.104024739597,0.440388994343,-33.289627279,39,11.3035433558,0.103727,0.00515854383358,0.164381522866
18.0923732901,-0.0910531,0.0904597976453,0.105332965905,38.6230104471,23.6632540066,-0.591164990104,7.55387e-05,1.0,28.1551557231,30.8583,14.7425156519,0.0905665,45.1604851523,17.7522,0.319964457538,0.106563591758,16.1982487972,-31.668977609,40,6.56274010025,0.106324,0.00482371204291,0.167423704031
19.3985524965,-0.093404,0.0928792189435,0.130916082685,38.0366355569,25.75526363,-0.478112086715,8.5326e-05,1.0,24.0332695528,31.3482,10.3078881222,0.0929848,46.879894623,17.7522,0.333903749639,0.109009489457,0.69858846923,-21.5258013546,41,10.7014784293,0.10872,0.00511830398285,0.114166912722
18.3986309663,-0.0943492,0.0935995481848,0.111912529119,48.0879908662,24.5214249734,-0.530970511546,9.31901e-05,1.0,26.6658366934,31.7632,13.7483011038,0.0937372,51.8072886459,17.7522,0.366277674041,0.109940832604,18.0766985075,-33.499806121,42,9.10118688012,0.109579,0.00519252230195,0.158005414777
18.5615810828,-0.096433,0.095912123121,0.114593004624,39.6209231833,24.7218821805,-0.596917484829,7.82523e-05,1.0,30.2538214785,32.0373,13.7861558927,0.0960296,50.8742345122,17.7522,0.341626290484,0.112032849697,15.1702715048,-32.2434308153,43,8.17206438309,0.111736,0.00489037186567,0.154511527544
18.1331932502,-0.100864,0.100063493884,0.108945397102,47.55757709,24.4309584444,-0.524239743545,0.000101039,1.0,26.5525416823,32.5919,12.8447583244,0.100116,61.2712664736,17.7522,0.393240603575,0.115573628762,5.11200681077,-24.4569928421,44,10.0356967716,0.115341,0.00550923328921,0.149836301426
18.8028937833,-0.10149,0.101112561068,0.111377809,44.6677493585,24.3279216424,-0.516233325506,8.70353e-05,1.0,29.3007734242,32.8453,14.639327196,0.101236,49.479863977,17.7521,0.344175595638,0.116928953665,14.6236123657,-29.9862060798,45,9.25491198085,0.11661,0.00515602337275,0.167659429236
19.0953641865,-0.103158,0.10295609212,0.117607572774,34.9308759649,24.7196128978,-0.578570748477,9.69e-05,1.0,21.7898688476,33.2356,13.8909717821,0.103121,51.5783622273,17.7519,0.372551691218,0.118354705203,7.56731126117,-33.1262679188,46,8.73008885163,0.117988,0.0052648798362,0.154360025605
18.0243054531,-0.10247,0.102458870779,0.100772151549,38.7780940401,23.2023612105,-0.563828105022,8.70904e-05,1.0,21.701225605,33.5505,15.9454170504,0.102565,50.3117840997,17.7518,0.347926135455,0.11830494899,6.78758274594,-34.1459616089,47,10.1173351282,0.117983,0.00519186959399,0.179634463081
18.3368455108,-0.104335,0.104165361183,0.107884599083,32.8390677724,24.3217906741,-0.521027859445,9.79555e-05,1.0,18.2773493408,34.019,13.9700174617,0.104283,57.2841797974,17.7499,0.38705161976,0.119974166223,-5.44618524135,-31.0724034263,48,8.95346816536,0.119652,0.00546223843041,0.154142659367
18.0991234784,-0.10584,0.10538476176,0.109791475718,45.0266853522,24.2389258234,-0.507077226096,0.000103155,1.0,20.7498723705,34.3504,14.1652676436,0.10551,52.5505552446,17.7494,0.387873722993,0.121053626792,-24.8445952293,-27.5580079376,49,16.8848477483,0.120692,0.00557957617913,0.156812826377
17.0109464042,-0.106638,0.106147384644,0.0901994721009,44.692654024,23.2254367683,-0.540404618826,0.000110697,1.0,23.1145330171,34.7024,15.3443912281,0.106305,49.4072130361,17.7495,0.321354088355,0.121805254057,3.14581568138,-30.7027378299,50,11.9326666441,0.121443,0.00556041550417,0.178761774209
18.0278296495,-0.108153,0.107596718691,0.106830260473,39.6949412041,24.0626748035,-0.491371572588,0.000111274,1.0,22.4252301673,35.0312,14.9133355544,0.107696,48.7238780823,17.7496,0.347727134602,0.123151469529,-11.670068354,-29.2162913602,51,13.3943772799,0.122848,0.00585676776327,0.16961090942
18.4537969704,-0.108207,0.107592456866,0.114359235529,30.518949278,24.5638203649,-0.544647900542,0.000117405,1.0,20.1390529872,35.2945,11.7556754166,0.107757,45.8940594632,17.7497,0.324035332501,0.123374543767,12.0852080837,-24.675372224,52,6.32576757514,0.122982,0.00579841750736,0.137406561936
19.3230852864,-0.110607,0.109764388062,0.122765057932,38.3884652766,25.2401931948,-0.543617095819,0.000112955,1.0,18.6584452438,35.5022,13.1156240125,0.109923,47.7635688516,17.7498,0.338445920034,0.125255521455,-2.60965734719,-27.8490573089,53,12.8071680536,0.124942,0.00578168036284,0.152238904731
18.2607657937,-0.110235,0.109363880431,0.109151440431,42.2305493974,24.1728023966,-0.513031126335,0.000117144,1.0,19.326279502,35.8395,12.9012126534,0.109513,50.1184456262,17.7498,0.308048369345,0.125066248812,-34.2476485525,-28.6448699879,54,21.8697216419,0.124701,0.00586661850285,0.146203395806
18.2822907029,-0.112339,0.111096705502,0.104018708607,37.9172885849,23.5926916082,-0.549623343635,0.000139927,1.0,21.0793141761,36.2063,14.6545531751,0.111282,51.0025838912,17.7503,0.352924700014,0.126623327797,-16.8830966755,-35.1126249102,55,17.1342165525,0.126197,0.00623535100865,0.169366658791
18.5347296383,-0.113305,0.11245544743,0.112705248354,33.1568049048,24.4705804003,-0.507923732977,0.000133,1.0,21.3355362405,36.5251,13.2797253314,0.112569,51.1994077091,17.7503,0.359800723519,0.128182413518,6.12635914127,-29.2953337179,56,7.21198892497,0.127866,0.00619710457029,0.150463580087
18.668466071,-0.115441,0.114420282101,0.117063059784,42.0252210296,24.9293123081,-0.523653563605,0.000121959,1.0,27.4495426729,36.8947,11.7386566739,0.114569,45.4100244698,17.7503,0.312006397974,0.129627132727,11.5481908226,-23.3300041153,57,9.54236438608,0.12927,0.0059547172043,0.141943369809
