MinEsReturn,AverageQ,QFunRegParamNorm,PolicyRegParamNorm,AveragePolicySurr,AverageDiscountedReturn,Epoch,AverageEsReturn,MaxReturn,AverageAction,StdEsReturn,Iteration,MinReturn,AverageAbsQ,AverageY,AverageQLoss,StdReturn,AverageReturn,AverageAbsQYDiff,AverageAbsY,MaxEsReturn
-16.6330711151,-1.1505,11.4916,11.7097,0.366675,-1.97559647187,9,-4.26209929894,-1.72877420009,0.207364,3.94962085646,9,-5.17435736357,1.21103,2.72974365204,18.3273,0.492015106326,-3.7471258603,3.88024148461,2.90031463037,16.6697711502
-16.5624665224,1.15523,11.7583,12.2943,-1.51566,-7.97206359677,10,-8.19103430624,-8.05753923341,0.999981,2.7246592512,10,-8.45293940884,1.33551,1.19532352092,0.482486,0.0657574602768,-8.25552122727,0.431411721252,1.44420880175,1.90293872929
-16.3565736401,0.429512,11.9645,12.3176,-0.487142,-7.97369773816,11,-7.63445515644,-8.04295923445,0.999996,1.60668273333,11,-8.42895599736,1.33974,0.43183883737,0.0685062,0.0677244340528,-8.25718829797,0.19957286096,1.3554593268,0.789697047331
-19.1636405199,-0.41431,12.4556,12.9404,0.440866,-9.58969864345,12,-8.33423735,-10.097728074,0.990407,2.05194690471,12,-10.505728276,1.91121,-0.415401383461,0.0955388,0.0655855229567,-10.3138822048,0.23380936337,1.91747896438,-4.05709077767
-47.2494495486,-0.823493,13.3889,13.3153,-0.403101,-5.19794844852,13,-10.5327980642,-5.66883502908,0.996589,7.80332066685,13,-11.1049786087,2.2784,-0.821270784786,0.121634,1.28633121815,-8.53926380856,0.260683997438,2.2886054609,-2.87890784132
-29.0391774332,0.157169,14.33,13.5569,-1.80361,94.9242664478,14,6.09537301882,620.742417105,0.844698,73.5371035742,14,91.5303005594,2.57422,0.160081583043,0.138009,153.78737078,364.541826139,0.2742062145,2.58673774907,259.14285249
-9.02662603345,1.04162,15.0998,14.119,-2.98791,117.720788623,15,124.230008094,299.027421683,0.890154,155.716199015,15,262.496826002,3.11027,1.04364420191,0.17061,7.20531644129,277.033860854,0.288305020278,3.1254199748,463.237199821
45.6399828494,2.20703,15.8887,14.8995,-4.15578,117.02893593,16,214.111094239,357.548716774,0.837901,122.012914526,16,289.699462304,3.81727,2.20863998689,0.200252,12.1824835417,308.077095034,0.298950459943,3.83533025551,371.892427277
153.676493075,3.52492,16.6764,15.4803,-5.44621,86.2601785682,17,297.555906041,488.378451333,0.830251,68.0555150396,17,83.6275901455,4.82355,3.52705544993,0.311111,132.577499747,232.556638753,0.33322794902,4.84168447914,368.954281133
-2.1476715269,4.72702,17.4235,16.2234,-6.62241,31.9511651867,18,122.339679627,92.0775677929,0.865035,130.810258584,18,19.7470174041,5.81359,4.72988053542,0.439932,15.6984546219,41.6995222294,0.367158829691,5.83169640669,373.969964949
