AverageY,AverageAbsQ,MinReturn,AverageQ,MinEsReturn,AverageDiscountedReturn,AverageAbsQYDiff,MaxEsReturn,PolicyRegParamNorm,StdEsReturn,AveragePolicySurr,Epoch,AverageEsReturn,AverageAction,AverageReturn,Iteration,AverageAbsY,MaxReturn,QFunRegParamNorm,StdReturn,AverageQLoss
5.86817907589,5.94221,-132.880845195,5.86272,-123.953103637,9.81426608919,0.472882755105,-123.953103637,24.0252,0.0,-6.58061,30,-123.953103637,0.47931,-70.5689243028,30,5.96274302498,-23.2819130272,24.3267,27.7926374175,0.4845
6.26081241409,6.32798,16.9006297513,6.25542,-98.6153720785,30.6980886348,0.496883285272,-98.6153720785,24.4829,0.0,-7.00749,31,-98.6153720785,0.577356,91.4901994245,31,6.34745534539,136.72161524,24.8096,41.0713431509,0.574734
6.61569491936,6.66673,-40.2596044867,6.60942,54.5048637727,20.1236088616,0.486460824002,54.5048637727,24.8586,0.0,-7.37914,32,54.5048637727,0.573837,20.2257103903,32,6.6845170929,71.8256186453,25.1881,32.6922328369,0.556817
6.98959497698,7.03534,-57.761125999,6.98323,-29.407219288,12.6903386157,0.511748796559,-29.407219288,25.2321,0.0,-7.78828,33,-29.407219288,0.611245,56.0120663702,33,7.05291011003,129.429060314,25.6338,55.4274280069,0.613348
7.41650990272,7.45049,141.815996011,7.41023,79.9238782965,23.7652665736,0.510624010297,79.9238782965,25.5479,0.0,-8.212,34,79.9238782965,0.600542,219.172008046,34,7.46687303931,303.058094456,26.0802,50.663150144,0.598526
7.61801654613,7.64455,123.820479206,7.61133,24.1438480304,38.4204268463,0.52295884865,24.1438480304,25.954,0.0,-8.42766,35,24.1438480304,0.643491,262.256934917,35,7.66078715534,520.448380282,26.4898,118.597314383,0.636576
8.32403667885,8.34521,-673.376495893,8.3188,113.142554359,-7.29143252538,0.5598413639,113.142554359,26.3397,0.0,-9.19186,36,113.142554359,0.704206,4.09503187288,36,8.36000554746,162.777724692,26.9034,231.446571878,0.827662
8.96237613643,8.97611,198.544406005,8.95583,379.692137377,27.657041041,0.564468547308,379.692137377,26.799,0.0,-9.84514,37,379.692137377,0.686602,256.515797769,37,8.98844159157,310.031339786,27.2758,39.1315554528,0.794597
9.32909661163,9.33363,-21.4184958677,9.32145,195.654375398,-1.28355514885,0.578428789608,195.654375398,27.1747,0.0,-10.2576,38,195.654375398,0.731668,103.349274194,38,9.34681965976,238.764786517,27.6951,74.735661372,0.863759
9.87012991971,9.87634,228.224968864,9.86412,264.091979978,53.092452195,0.587060984241,264.091979978,27.4239,0.0,-10.7761,39,264.091979978,0.70506,402.195816112,39,9.8875474241,533.469934924,28.0513,80.2200720958,0.790861
10.5058156385,10.507,323.974449035,10.4995,280.74789099,41.0180766807,0.619680996167,280.74789099,27.7053,0.0,-11.3503,40,280.74789099,0.729078,442.818503714,40,10.5177025478,524.991769453,28.4235,64.2058320582,0.945353
11.1042352764,11.1041,456.663336347,11.0986,292.505895442,69.8822973872,0.629664881702,292.505895442,27.9511,0.0,-11.9495,41,292.505895442,0.760899,615.598695224,41,11.112641123,737.176210194,28.7995,78.8217186571,0.928687
11.5640203478,11.5597,445.507698504,11.5569,340.010663428,88.0594581837,0.64035874582,340.010663428,28.24,0.0,-12.3913,42,340.010663428,0.851417,750.982284178,42,11.5698795673,1296.38168309,29.1555,237.245305135,0.940446
12.3727441598,12.3683,875.748350217,12.3669,450.890384524,142.065788783,0.656538403022,450.890384524,28.6079,0.0,-13.2572,43,450.890384524,0.909519,1542.26397108,43,12.3770594656,1760.76434381,29.543,254.460192244,1.03326
13.0109581486,13.0057,101.180518384,13.0048,454.476982212,95.7276878979,0.667531814881,454.476982212,28.9356,0.0,-13.9233,44,454.476982212,0.798087,822.863586454,44,13.0134493418,1561.28772767,29.8609,342.593791486,0.994476
13.5971472587,13.5925,510.685807435,13.5918,547.409642932,73.6033996637,0.694153618204,547.409642932,29.2347,0.0,-14.5268,45,547.409642932,0.721798,596.50096848,45,13.6000170413,857.926242355,30.2533,92.8763420944,1.31757
14.2215637759,14.2162,856.496445663,14.2154,489.691732794,119.001395741,0.701509024319,489.691732794,29.4886,0.0,-15.1539,46,489.691732794,0.807736,1112.8143879,46,14.2233160401,1513.27829725,30.5829,225.022797217,1.24584
14.9917800206,14.9858,858.272294809,14.9857,345.244864114,130.000303805,0.701667053408,345.244864114,29.7484,0.0,-15.9573,47,345.244864114,0.821429,1265.20666626,47,14.9934242763,1762.11394696,30.9477,308.670957866,1.24464
15.9726476602,15.9674,383.760087728,15.9671,549.18262956,110.603201732,0.709790745436,549.18262956,29.9666,0.0,-16.9945,48,549.18262956,0.785934,669.65693741,48,15.9737314868,1109.13393456,31.2532,239.335733975,1.2491
16.9027547488,16.8966,512.899072226,16.8966,911.703487442,131.284136824,0.718161159258,911.703487442,30.24,0.0,-17.9378,49,911.703487442,0.812645,1093.69884136,49,16.9034133156,1878.3113762,31.5587,435.353882551,1.3325
17.681802291,17.676,516.967699357,17.676,400.34856299,138.838695555,0.709076051659,400.34856299,30.5557,0.0,-18.7263,50,400.34856299,0.823239,1194.19550609,50,17.6824764498,1839.19241656,31.9075,514.062543916,1.19005
18.910651616,18.903,572.339442983,18.903,1035.8165949,109.70790712,0.747513381916,1035.8165949,30.8497,0.0,-19.9666,51,1035.8165949,0.790229,751.672641427,51,18.9115236131,1004.31725951,32.2096,131.59400313,1.42521
19.6398848464,19.634,421.408059178,19.634,686.40207876,171.942533124,0.766894583159,686.40207876,31.1282,0.0,-20.68,52,686.40207876,0.842228,1630.71166781,52,19.6409773048,2293.17733105,32.5563,538.693318012,1.69313
20.9459700516,20.9381,1885.77952494,20.9381,444.759386868,151.913555215,0.753386028289,444.759386868,31.3977,0.0,-21.9927,53,444.759386868,0.889493,1954.60197761,53,20.9465918247,2000.98909896,32.8329,33.6272524526,1.38517
22.025039477,22.0211,1986.56819684,22.0211,856.366827818,177.21479377,0.766970231903,856.366827818,31.7209,0.0,-23.0767,54,856.366827818,0.900484,2114.07752875,54,22.0258197247,2251.49221263,33.1735,82.5032740499,1.36767
23.2806195505,23.2723,914.055270429,23.2723,1114.22194173,187.496689744,0.800164669201,1114.22194173,32.0034,0.0,-24.3142,55,1114.22194173,0.833356,1536.60401633,55,23.2813215127,2367.88070915,33.4965,560.355137405,1.74236
24.1979864524,24.1922,1480.2594892,24.1922,1089.28945368,216.729133252,0.806756898978,1089.28945368,32.2602,0.0,-25.2206,56,1089.28945368,0.875429,2369.20945395,56,24.1985260376,2687.93955443,33.8306,390.658482231,1.82792
25.1723803987,25.1635,852.565047978,25.1635,953.585132231,169.685776099,0.817035670757,953.585132231,32.5785,0.0,-26.2131,57,953.585132231,0.758687,1124.15692609,57,25.1728496179,2016.77137328,34.1487,310.774857604,1.67087
26.1843192223,26.1779,742.779057793,26.1779,589.047273303,165.201092378,0.853427283543,589.047273303,32.8583,0.0,-27.2285,58,589.047273303,0.787195,975.236069161,58,26.1850163429,1423.5349662,34.4343,190.519988428,2.21927
27.0119833923,27.0049,765.580530483,27.0049,1141.81935827,182.693124407,0.858189763977,1141.81935827,33.1755,0.0,-28.0738,59,1141.81935827,0.815164,1430.63889134,59,27.0126772733,2181.34771711,34.7834,441.151628338,2.22171
28.040577508,28.0337,1971.94438111,28.0337,505.712983931,194.568762154,0.883855451906,505.712983931,33.4539,0.0,-29.1252,60,505.712983931,0.88651,2272.40829805,60,28.0411286705,2356.0409434,35.1092,104.19951631,2.31042
29.103983109,29.0963,831.094771957,29.0963,928.427824193,204.728889285,0.880294713238,928.427824193,33.7977,0.0,-30.2344,61,928.427824193,0.783174,1442.6961967,61,29.1046559395,2665.27976354,35.5018,513.356242558,2.3141
30.2235952274,30.2159,769.139935125,30.2159,698.468993149,182.59786048,0.89103520884,698.468993149,34.0743,0.0,-31.333,62,698.468993149,0.801047,1233.80137782,62,30.2241715803,2369.61941643,35.7911,544.884897506,2.44768
31.838265978,31.8304,1084.69497008,31.8304,1735.89043967,227.911857627,0.934062724605,1735.89043967,34.3139,0.0,-32.9523,63,1735.89043967,0.858899,1892.94731146,63,31.8389330666,3135.81804712,36.1008,791.408536467,2.68179
33.1323367462,33.1234,1243.23697886,33.1234,1386.6932046,236.472444565,0.964217259271,1386.6932046,34.5779,0.0,-34.2537,64,1386.6932046,0.906132,2571.65070605,64,33.1330134654,3077.64491708,36.5026,537.922254724,2.7369
34.5756568444,34.5671,862.596559988,34.5671,1827.32398758,156.565393919,0.973188600049,1827.32398758,34.9074,0.0,-35.7572,65,1827.32398758,0.729012,1044.25522166,65,34.5763639714,1280.28639905,36.7459,132.796741315,2.77256
35.5431729713,35.5346,1056.4630332,35.5346,818.711524188,207.625496557,0.981019066557,818.711524188,35.2378,0.0,-36.7217,66,818.711524188,0.773349,1535.65221862,66,35.5436910922,3062.62782756,37.1166,553.941812435,3.07394
36.7659273376,36.7588,639.275552987,36.7588,939.217921648,161.064047739,1.0221827781,939.217921648,35.5192,0.0,-37.9639,67,939.217921648,0.788798,1189.85480634,67,36.7665840987,1937.58980777,37.4935,333.658383878,3.38256
37.800591829,37.7912,957.977686842,37.7912,973.884991526,175.908546066,1.02953468952,973.884991526,35.7453,0.0,-38.9697,68,973.884991526,0.770497,1367.55337204,68,37.8010965078,1837.45929562,37.8103,283.799206277,3.30635
39.1584553623,39.1471,1856.6633313,39.1471,746.463953677,207.711669124,1.08937889577,746.463953677,36.0405,0.0,-40.3768,69,746.463953677,0.909112,2466.54834271,69,39.1595493282,2834.12931728,38.1998,300.534490488,3.68441
40.9003243929,40.8898,825.348705353,40.8898,2032.03785944,136.225689135,1.08579888436,2032.03785944,36.2797,0.0,-42.0834,70,2032.03785944,0.77522,1109.61500946,70,40.9009410392,1528.32719585,38.4901,208.2015617,3.87126
42.1340275537,42.1263,276.231831536,42.1263,1910.52860602,206.30655741,1.11645241902,1910.52860602,36.5663,0.0,-43.3305,71,1910.52860602,0.84146,1645.89694957,71,42.1345628171,2695.62387486,38.8285,693.765195052,4.31436
44.0190250406,44.0082,931.479398978,44.0082,2260.12443624,190.370619285,1.14753699969,2260.12443624,36.8094,0.0,-45.2844,72,2260.12443624,0.88077,2102.62810457,72,44.019605571,3212.71965276,39.183,603.851438985,4.10294
45.665388217,45.6514,946.151570471,45.6514,876.282110662,210.755841737,1.19775246871,876.282110662,37.095,0.0,-46.9342,73,876.282110662,0.830634,1607.53417184,73,45.6661928269,3122.13878097,39.5608,703.510153112,5.18512
46.9856185763,46.9757,954.033582327,46.9757,1286.68733535,204.684258175,1.17905562164,1286.68733535,37.3276,0.0,-48.2616,74,1286.68733535,0.875619,2016.39651731,74,46.9861911344,3080.51247971,39.8989,882.172591627,4.33489
48.8635600816,48.8515,1960.76696668,48.8515,1905.54394423,245.530336106,1.28358608657,1905.54394423,37.543,0.0,-50.1538,75,1905.54394423,0.917183,2682.90829518,75,48.8641358504,3283.89778336,40.2253,407.094487949,6.07682
50.0992019586,50.0869,930.12162854,50.0869,1840.34987383,165.316533195,1.26329916007,1840.34987383,37.8302,0.0,-51.3657,76,1840.34987383,0.827497,1423.2518762,76,50.0996452757,2667.17682793,40.6083,499.568409508,6.20452
50.9845255922,50.9717,833.232912716,50.9717,622.56768021,237.666418307,1.2678686099,622.56768021,38.1257,0.0,-52.3104,77,622.56768021,0.895263,2499.46379308,77,50.9851559457,3614.79940758,40.9831,999.470075546,6.32386
52.2505391863,52.2395,2988.5197493,52.2395,773.324741903,252.320808916,1.28216241052,773.324741903,38.4262,0.0,-53.6138,78,773.324741903,0.95271,3186.6014797,78,52.2511624467,3347.22298669,41.3365,96.9107756394,6.0893
54.0390948297,54.0247,811.994290618,54.0247,2048.97295093,217.387682477,1.38419718224,2048.97295093,38.7266,0.0,-55.4422,79,2048.97295093,0.904973,2559.78839964,79,54.039659803,3293.65911282,41.8119,819.098949588,8.65203
55.2044187698,55.1908,814.137569867,55.1908,555.317089687,224.46815641,1.35497823592,555.317089687,39.0351,0.0,-56.6121,80,555.317089687,0.895363,2105.8975561,80,55.2049421864,3150.77234899,42.2001,883.441230055,6.87697
57.2860424656,57.2707,708.749363228,57.2707,2019.83688812,227.738654414,1.38513880112,2019.83688812,39.2622,0.0,-58.6485,81,2019.83688812,0.897777,2125.13718464,81,57.2865096092,3406.37315001,42.55,881.686985142,7.47747
59.0711568727,59.0615,106.39869235,59.0615,1978.88477335,205.248271012,1.36595055888,1978.88477335,39.5397,0.0,-60.4485,82,1978.88477335,0.86852,1343.06863045,82,59.0717328786,3305.99932399,42.8864,990.15289451,6.02331
61.2264577717,61.2114,1260.27878659,61.2114,2032.90047826,280.02299772,1.5123909116,2032.90047826,39.8345,0.0,-62.617,83,2032.90047826,0.93503,3012.79057918,83,61.2272486409,3695.36168033,43.2639,718.010439637,9.77395
62.6479541138,62.6344,288.428944457,62.6344,1985.74771207,144.108828653,1.44219498641,1985.74771207,40.1265,0.0,-64.0702,84,1985.74771207,0.895397,1076.87952921,84,62.6484006382,1813.99890266,43.6643,469.267936283,8.46568
65.1037642258,65.088,1589.69953337,65.088,2192.56483334,278.717331481,1.48067488693,2192.56483334,40.4325,0.0,-66.4737,85,2192.56483334,0.931188,2745.55901784,85,65.1041636093,3718.44912282,43.9645,731.114412857,7.76222
66.8396414175,66.826,1043.66193791,66.826,2353.71410918,273.105379007,1.56195698796,2353.71410918,40.7137,0.0,-68.2308,86,2353.71410918,0.952074,3390.44552193,86,66.8401975141,4012.55785273,44.3154,798.330159705,11.0645
68.7260736167,68.7074,3648.94265812,68.7074,2407.38048685,302.003970782,1.54167566741,2407.38048685,41.0072,0.0,-70.1294,87,2407.38048685,0.95834,3762.45683336,87,68.7263922173,3877.86450125,44.6323,78.5887111831,9.51849
71.0775590638,71.0669,587.692474628,71.0669,2512.65229164,205.970823464,1.55501507568,2512.65229164,41.2469,0.0,-72.4883,88,2512.65229164,0.886378,1180.23811945,88,71.0780122141,3160.37511141,44.9229,709.60230688,9.24523
72.4537121098,72.4392,498.218417155,72.4392,2031.69608562,298.896007189,1.60266087489,2031.69608562,41.5202,0.0,-73.9347,89,2031.69608562,0.917768,2877.59805272,89,72.454106415,4031.148771,45.2752,1213.08599927,10.2328
73.9097320643,73.8932,3038.44088431,73.8932,742.334227798,271.304288428,1.73645142754,742.334227798,41.7952,0.0,-75.3559,90,742.334227798,0.967829,3251.15291273,90,73.9101398984,3401.43077928,45.7501,117.405812642,13.244
