AverageAction,MinReturn,MaxReturn,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,MinEsReturn,AverageAbsQ,AverageQLoss,StdReturn,Iteration,PolicyRegParamNorm,AverageEsReturn,AveragePolicySurr,AverageReturn,StdEsReturn,Epoch,AverageAbsY,AverageY,AverageAbsQYDiff,MaxEsReturn
0.202297,37.0,42.0,32.2222356506,18.9272,0.221886,3.0,0.222291,0.000355728,1.24537575806,31,23.8045,12.7564102564,-0.258539,38.7065637066,10.7264182583,31,0.22191903305,0.221912614267,0.00897198807943,64.0
0.105179,33.0,35.0,28.9760718804,19.2874,0.231814,3.0,0.232221,0.000416589,0.221506668778,32,24.1396,13.7397260274,-0.269899,34.0442176871,10.2101579788,32,0.231855203869,0.231845098055,0.00980395349758,49.0
0.339123,43.0,47.0,36.1322026138,19.7302,0.242463,3.0,0.242855,0.000450625,0.690764471839,33,24.5015,12.8860759494,-0.281694,44.6133333333,9.85462346258,33,0.242499794118,0.242490814926,0.00999757997191,55.0
0.190475,86.0,89.0,58.5629190517,20.1459,0.251507,2.0,0.251937,0.00046762,0.732915043677,34,24.9293,14.2857142857,-0.292346,87.6608695652,9.33372205216,34,0.2515512418,0.251541811512,0.00985436815694,38.0
0.356438,44.0,114.0,39.3672124262,20.5021,0.264324,2.0,0.264803,0.0005465,10.6972496806,35,25.3995,16.65,-0.305974,50.2763819095,14.6194220132,35,0.264388807422,0.264385749473,0.0108038940999,82.0
0.150314,41.0,42.0,34.0153624373,20.8571,0.274563,3.0,0.275135,0.000645274,0.482197942284,36,25.7033,16.9661016949,-0.315928,41.367768595,14.8574766908,36,0.274586533812,0.274585304199,0.011448512953,80.0
0.11291,26.0,49.0,30.3391042789,21.1744,0.283253,2.0,0.283926,0.000648211,10.2458415673,37,25.9729,13.3918918919,-0.326715,36.4981818182,10.4219331707,37,0.283319851779,0.283312933447,0.011871776794,57.0
0.142303,36.0,38.0,31.0370771819,21.5235,0.293217,3.0,0.293927,0.000637978,0.18039714482,38,26.3423,12.4375,-0.337832,36.9741697417,10.1413063138,38,0.293256671552,0.293242288924,0.0116080396094,52.0
0.130661,35.0,36.0,30.2729533863,21.8509,0.301705,3.0,0.302432,0.000710322,0.327128436103,39,26.7412,15.9677419355,-0.348357,35.8781362007,10.7282679688,39,0.301779007005,0.301734730074,0.0120397796052,40.0
0.115289,33.0,34.0,28.7851815989,22.2182,0.313254,3.0,0.31422,0.000882696,0.415739709642,40,27.0904,13.8142857143,-0.360576,33.7777777778,9.62926025514,40,0.313356653223,0.31330019119,0.0136613967619,39.0
0.102592,33.0,35.0,29.0002403575,22.4815,0.321511,3.0,0.322404,0.000821225,0.28091614136,41,27.3017,15.8939393939,-0.369176,34.0782312925,11.8910824594,41,0.321633938292,0.32154611201,0.0129990592779,59.0
0.141087,35.0,36.0,29.9485408464,22.7682,0.3317,3.0,0.332656,0.000905872,0.493056331662,42,27.585,12.3333333333,-0.380353,35.4169611307,11.7294606404,42,0.331835576164,0.331753066281,0.0134680474813,74.0
0.0612025,175.0,348.0,84.8443047247,22.9502,0.344283,3.0,0.345221,0.000924109,36.2539596541,43,27.7519,11.5057471264,-0.393165,192.094339623,7.95659715173,43,0.344407147282,0.344316336124,0.0133854100988,37.0
0.142516,35.0,37.0,30.2430615417,23.2584,0.352236,3.0,0.353495,0.00113189,0.389334859283,44,27.9339,12.1325301205,-0.40183,35.8357142857,9.66645059432,44,0.35239493382,0.352263669184,0.0147130812426,50.0
0.170963,38.0,40.0,32.2286008388,23.4986,0.361888,3.0,0.363097,0.0010905,0.672923241051,45,28.0276,11.6395348837,-0.411467,38.7104247104,8.28547733491,45,0.362173354057,0.361952230642,0.0141169647665,43.0
0.129943,45.0,150.0,57.6077767379,23.7963,0.370125,2.0,0.371265,0.00113432,30.2769739746,46,28.2026,11.511627907,-0.423484,89.9642857143,8.66125318024,46,0.370326837815,0.370173121523,0.0146110921876,48.0
0.0608608,707.0,1000.0,99.9863859383,23.9624,0.380278,3.0,0.381359,0.00109272,95.5603742352,47,28.3445,10.9120879121,-0.433623,956.181818182,9.51187615291,47,0.380479720622,0.380321500045,0.0142484340047,51.0
0.0808148,128.0,146.0,74.8203687492,24.1945,0.388708,3.0,0.389983,0.00129271,5.15345305972,48,28.5998,11.2888888889,-0.443344,137.356164384,10.0135956961,48,0.388928990446,0.388742996392,0.0151971794858,62.0
0.341449,117.0,382.0,76.5219829915,24.3639,0.39791,3.0,0.39922,0.00131952,69.8957363376,49,28.7608,11.8571428571,-0.452911,159.603174603,11.4102531765,49,0.398109951478,0.397937830631,0.0153876827391,84.0
0.0741016,1000.0,1000.0,99.9956828753,24.5509,0.405987,3.0,0.407205,0.00130721,0.0,50,28.9654,11.3295454545,-0.46238,1000.0,10.5504433243,50,0.406165941429,0.406010899123,0.0153410761366,58.0
0.170774,1000.0,1000.0,99.9956828753,24.8227,0.414418,3.0,0.415763,0.00145962,0.0,51,29.1452,13.5342465753,-0.471497,1000.0,11.1700212675,51,0.414678862653,0.414466544104,0.0166245246889,50.0
0.0500318,344.0,1000.0,99.3012202615,25.0445,0.421775,3.0,0.423021,0.00140309,237.470222695,52,29.3363,11.4269662921,-0.479735,673.4,9.05896742442,52,0.422008744635,0.421810491569,0.0163964491625,44.0
0.187355,1000.0,1000.0,99.9956828753,25.2618,0.433195,3.0,0.434742,0.0015845,0.0,53,29.5492,12.0722891566,-0.491742,1000.0,10.2555105758,53,0.433591008285,0.433249418612,0.0172910907396,48.0
0.043437,1000.0,1000.0,99.9956828753,25.4592,0.442812,3.0,0.444192,0.00146703,0.0,54,29.6426,14.2857142857,-0.502458,1000.0,13.1324492952,54,0.443115808899,0.44285467213,0.0161936888212,74.0
0.0868265,1000.0,1000.0,99.9956828753,25.6857,0.449402,3.0,0.450772,0.00162933,0.0,55,29.8342,13.3648648649,-0.509328,1000.0,12.2767351108,55,0.449657204652,0.449434156293,0.017254567057,74.0
0.120344,124.0,415.0,84.9363218993,25.8808,0.45778,3.0,0.459121,0.00168933,59.6902839665,56,30.0524,10.6526315789,-0.517816,203.3,8.51100639859,56,0.45803554845,0.457842200364,0.0173683545588,42.0
0.428829,1000.0,1000.0,99.9956828753,26.1793,0.466159,3.0,0.467801,0.00171304,0.0,57,30.1976,13.6164383562,-0.527835,1000.0,12.7576247811,57,0.466402238708,0.46616957912,0.0181973816,90.0
0.381739,1000.0,1000.0,99.9956828753,26.2424,0.475323,3.0,0.476571,0.0017556,0.0,58,30.3145,13.8194444444,-0.53678,1000.0,13.4787140716,58,0.475612549608,0.475420179603,0.0171286587217,66.0
0.32431,169.0,1000.0,95.0048597503,26.4768,0.482479,3.0,0.483868,0.00176447,253.289100871,59,30.472,13.1842105263,-0.544727,455.391304348,11.9083236329,59,0.482696730884,0.482523426242,0.0178073401683,48.0
0.142204,1000.0,1000.0,99.9956828753,26.7028,0.490353,3.0,0.491945,0.00180381,0.0,60,30.6288,11.8,-0.553758,1000.0,12.0536057578,60,0.490695960898,0.490429986257,0.0179645322114,71.0
0.268167,281.0,1000.0,99.4564442091,26.824,0.49917,3.0,0.500715,0.00203707,206.69796706,61,30.7366,12.9466666667,-0.563153,934.636363636,12.6679578289,61,0.499506674085,0.499217336644,0.0188790949962,52.0
0.189787,119.0,926.0,95.546545031,27.0225,0.507023,3.0,0.508653,0.0021373,237.740973879,62,30.8853,14.1111111111,-0.573858,472.954545455,13.1704167187,62,0.507278834708,0.507030999103,0.0189649785983,64.0
0.251818,92.0,344.0,79.3939082348,27.1983,0.516945,3.0,0.518525,0.00196518,60.1100852964,63,31.038,14.671875,-0.583637,174.862068966,13.9944795896,63,0.517160702955,0.516952147866,0.01824935901,77.0
0.0714733,1000.0,1000.0,99.9956828753,27.3266,0.523367,3.0,0.525072,0.00227958,0.0,64,31.1744,16.5846153846,-0.592169,1000.0,17.8065608546,64,0.523790950537,0.523483800853,0.0200341043991,82.0
0.177374,1000.0,1000.0,99.9956828753,27.4848,0.532806,3.0,0.534344,0.00199109,0.0,65,31.2922,14.776119403,-0.60123,1000.0,15.9250304206,65,0.533124094937,0.532856990627,0.0183956235314,76.0
0.177907,1000.0,1000.0,99.9956828753,27.6549,0.54377,3.0,0.545205,0.00205499,0.0,66,31.3446,11.488372093,-0.611318,1000.0,12.2832313244,66,0.543969589584,0.543776580746,0.0182904801467,69.0
0.114993,1000.0,1000.0,99.9956828753,27.8717,0.55105,3.0,0.552915,0.00222946,0.0,67,31.4433,12.7564102564,-0.619896,1000.0,11.6939452857,67,0.551455737675,0.551111823342,0.0193833239966,53.0
0.197683,174.0,1000.0,98.4143496277,28.0174,0.562073,3.0,0.564109,0.00269077,237.4583043,68,31.5728,12.3703703704,-0.629537,924.909090909,13.1885139369,68,0.562469705628,0.562151980882,0.0213394733024,83.0
0.058685,1000.0,1000.0,99.9956828753,28.2254,0.567173,3.0,0.569337,0.00256691,0.0,69,31.7121,12.9240506329,-0.637087,1000.0,10.7335651844,69,0.567624429648,0.567181956924,0.0210716705348,62.0
0.0448076,1000.0,1000.0,99.9956828753,28.5184,0.57509,3.0,0.577224,0.00270437,0.0,70,31.8133,10.5684210526,-0.646704,1000.0,8.57125260339,70,0.575769835311,0.575138778829,0.0209985544171,47.0
0.0695287,1000.0,1000.0,99.9956828753,28.632,0.582601,3.0,0.58468,0.00249215,0.0,71,31.9781,12.3456790123,-0.654783,1000.0,12.8947883949,71,0.583300720311,0.582651656963,0.0200407493202,97.0
0.0708855,1000.0,1000.0,99.9956828753,28.7141,0.591343,3.0,0.59352,0.00291461,0.0,72,32.0496,14.7014925373,-0.665933,1000.0,12.9430612141,72,0.591860876473,0.591404289558,0.0221583259358,52.0
0.118004,131.0,447.0,78.1301118825,28.8459,0.602296,3.0,0.604285,0.00277498,53.5362118226,73,32.1901,14.0972222222,-0.676903,160.031746032,13.5320193556,73,0.602600029376,0.602373924792,0.0215249681286,70.0
0.079415,129.0,1000.0,90.4476002244,28.9814,0.608337,3.0,0.61026,0.00275921,264.887853176,74,32.2969,11.7831325301,-0.684378,381.592592593,13.03660111,74,0.608615718392,0.608415107916,0.0208235809823,99.0
