AverageAbsQ,AverageReturn,MaxReturn,AverageEsReturn,AverageQLoss,AveragePolicySurr,Epoch,QFunRegParamNorm,MaxForwardProgress,MaxEsReturn,StdForwardProgress,AverageForwardProgress,MinForwardProgress,StdReturn,PolicyRegParamNorm,MinEsReturn,MinReturn,AverageY,AverageDiscountedReturn,AverageAbsQYDiff,StdEsReturn,AverageAction,AverageAbsY,AverageQ
0.275303,-21.6359803022,-8.38457661826,-20.5719989318,0.000296707,-0.246501,29,13.7779,-0.198063365891,-9.08521058564,0.0534771346059,-0.337252395589,-0.527487096603,4.84836043425,14.2246,-30.8516197149,-35.5605191929,0.249564753187,-11.6216938368,0.00917914113555,5.47069324221,0.985038,0.275473528644,0.249547
0.263364,-22.4472979335,-2.68505773595,-22.9717380769,0.000274487,-0.231228,30,13.9431,-0.15352460806,-5.11710514691,0.0558793480969,-0.346865509912,-0.480750424307,5.59800924855,14.2034,-29.024796534,-34.3515822103,0.234419734821,-12.0958335605,0.00862310649994,5.52865140996,0.990339,0.263651684543,0.234404
0.250829,-21.9240718761,-1.47672775195,-19.6521238504,0.000263972,-0.213121,31,14.1653,-0.136952065043,2.30563037448,0.0625218693273,-0.338735709364,-0.499220389665,5.84418826789,14.0434,-30.9456120868,-38.1110985817,0.217401814798,-12.0138863768,0.00856139999576,8.02904840481,0.989454,0.251087794584,0.217388
0.240006,-23.1483854738,-0.162539209928,-23.5542230045,0.000278337,-0.199375,32,14.3597,-0.142947337698,-5.54958616497,0.063517456507,-0.355941396475,-0.504080634646,6.02221466129,13.9879,-31.7513988075,-34.5106143529,0.202285002643,-12.3601828746,0.00850159795001,8.47354203616,0.979963,0.240308727388,0.202271
0.229425,-21.6688043394,-3.78844284488,-25.5099145048,0.000252207,-0.182194,33,14.6111,-0.156029932009,-16.1353542727,0.0693717490397,-0.338203591103,-0.485665325366,6.39959493379,13.927,-30.5226889726,-36.5455959226,0.18748226723,-11.6261592313,0.00821636845842,3.90197505899,0.965934,0.229637269833,0.187517
0.215544,-0.652516649317,50.4154768139,-14.0355755023,0.000243815,-0.168028,34,14.7846,0.295803841137,10.0412186835,0.0585086109345,-0.0920359085546,-0.279598567185,7.18463849433,14.072,-34.1892321351,-16.7250075185,0.16953077536,-0.57668465701,0.0080918572431,13.4455528547,0.957022,0.215915617584,0.16952
0.202941,-1.5494243847,24.4842232296,-2.567032614,0.000284083,-0.158134,35,15.0178,0.0779325621112,8.96869917145,0.0524829539768,-0.100766355876,-0.37248614124,5.67108306426,14.1086,-9.16013934249,-19.1486238391,0.154212577843,-1.10795806603,0.00916981589225,4.32385124457,0.967681,0.203168207648,0.154218
0.193492,21.3679608016,55.0271891645,2.53845052817,0.000240423,-0.141616,36,15.1667,0.352733097571,35.8089497883,0.132610493415,0.0661262330701,-0.234181666335,15.2343056147,14.1366,-7.57288316453,-8.88682778743,0.145722246826,12.1690138995,0.0082701458275,10.7435250434,0.962307,0.19381804739,0.145724
0.182967,-22.9854524282,-8.25407464038,-19.5294769126,0.00024769,-0.133375,37,15.3344,-0.192626167327,-1.03310834978,0.0557974549154,-0.351502934402,-0.47423910378,5.2146686467,14.2709,-31.1485130248,-34.9208811191,0.140734673972,-12.5057086051,0.00828339882616,9.10335010139,0.982124,0.183251910693,0.140744
0.169679,-21.238354131,-4.18900449607,-20.9265457178,0.00019913,-0.11535,38,15.6079,-0.146312242673,5.61936413681,0.0699261717467,-0.331955584967,-0.501673239977,6.33061926185,14.2827,-29.7794113335,-34.2088392639,0.12500918817,-11.4576656205,0.00801040521203,8.61577436737,0.999964,0.169974272186,0.125009
0.155167,-21.4219053783,5.76829143392,-19.525257318,0.000195399,-0.0974363,39,15.7931,-0.0694482209666,2.39131821108,0.0679276719241,-0.338362964249,-0.496425290955,6.45668130091,14.3198,-29.8202915439,-32.3009841218,0.105543691146,-11.2146427411,0.00760090419743,7.74637033347,0.982416,0.155621716108,0.105537
0.144773,-22.7466918591,-6.18567139996,-21.9494287726,0.000202527,-0.082864,40,15.9893,-0.166518553489,2.80607774555,0.0637549738073,-0.349408186594,-0.483762013405,5.91540863154,14.3372,-28.9718473259,-35.3742722449,0.0896851663391,-12.2889171205,0.00754643024358,7.6028571051,0.971647,0.145229971775,0.0896841
0.134377,-21.7857355057,-0.0614621645619,-20.0574045288,0.00018918,-0.0712318,41,16.2721,-0.124631011429,0.76012301844,0.0576634719154,-0.338747069967,-0.463950059586,5.34895202197,14.385,-27.3435337739,-33.3051060505,0.07589202929,-11.6892743695,0.00746224668947,7.44323401991,0.979144,0.134764907115,0.0758502
0.127943,-21.8830595883,4.32702499952,-19.8574620057,0.000222696,-0.0596392,42,16.5475,-0.0878652306258,1.04837197928,0.0651946729856,-0.341588509729,-0.54908513355,6.1333597777,14.6161,-32.7331360762,-38.4389067232,0.0642976338254,-11.6602080162,0.00812641147333,7.70605042094,0.953017,0.128304607146,0.0643014
0.119186,18.4842150234,57.3663396009,7.11424162542,0.000203492,-0.0475205,43,16.7439,0.382889609756,51.4959803012,0.206775098308,0.00169026425262,-0.535724865363,21.2819138998,14.9016,-34.8682941555,-35.6431345468,0.0521246415428,10.0697277918,0.00758394583291,28.6451870871,0.968387,0.11952895342,0.0521219
0.112428,15.3771332349,47.9953978286,-10.2565887212,0.000201678,-0.0395524,44,16.9495,0.301398485162,24.4073183266,0.148201208891,-0.00232395234124,-0.427731958617,14.3225388995,14.898,-25.6144726106,-26.8115563934,0.0428185399129,8.8672744856,0.00754763588068,15.0995208177,0.976392,0.112905581093,0.042838
0.10718,18.9494823927,51.1469396549,14.0910458639,0.000196702,-0.0322805,45,17.1114,0.321479308821,43.7248588274,0.153091696331,0.0337930247593,-0.379756248258,16.028056198,14.9668,-22.5191355664,-23.245592697,0.035639882623,10.7634823767,0.00764704535243,18.5017613692,0.970745,0.107633565991,0.0356369
0.102376,25.7970130119,58.6389019113,28.0122288973,0.000193946,-0.0258911,46,17.2374,0.39056823092,45.1361211149,0.147553826332,0.0988485945344,-0.208929049564,16.1713866811,15.0699,2.23320472236,-7.95520283282,0.0293739999382,15.1236329297,0.0073226209885,14.2554976459,0.98931,0.102792884056,0.0294284
0.0979942,22.6089899809,56.731148435,20.3800603903,0.000213505,-0.0223552,47,17.425,0.375396377898,42.0884438216,0.134171428053,0.0727513408133,-0.210942091043,14.5691221261,15.1138,1.60731537463,-10.4122127854,0.0251798451519,13.5639242206,0.00774132030638,10.9702988303,0.994442,0.0984795686349,0.0252142
0.0948792,27.5557643255,48.8339872677,23.0760853091,0.000203835,-0.0162833,48,17.6022,0.304634114829,44.609005182,0.139580957798,0.112339869615,-0.201010626728,14.619618203,15.2093,-20.4372915245,-4.6938611581,0.019569345979,16.2475471798,0.00779429783866,19.3433939607,0.983686,0.0954970256067,0.0195788
0.091479,26.0161771361,55.1466413856,18.7128703541,0.000211633,-0.0130172,49,17.7536,0.355863334525,45.5431300382,0.13464817871,0.102658136364,-0.168847747921,14.6651407255,15.346,-3.26119576746,-2.55821210625,0.015787124597,15.4596801755,0.00775883653319,15.0946193136,0.992856,0.0921949192623,0.0158228
0.0894902,13.9041691798,57.0035324975,5.64693732208,0.000209125,-0.00937306,50,17.8929,0.377897003313,37.5090244244,0.19364857739,-0.0247845790642,-0.309383493968,19.8690314447,15.3795,-13.4252679453,-18.6072915068,0.010395789114,9.24901450278,0.00782297800576,15.7360642648,0.980409,0.0901212720957,0.0104346
0.0883394,17.0837583596,55.3328912988,12.8436629289,0.000218798,-0.00867429,51,18.0287,0.359805249294,52.4728827689,0.18528251872,0.0127389395719,-0.282554512156,18.7890815021,15.6393,-10.9196861522,-14.8110347603,0.00845056677282,11.0076859491,0.00813838822131,18.4300333299,0.969138,0.0889273213883,0.00847446
0.0867298,-10.8984035409,0.809944303421,-10.3092545153,0.000215154,-0.00583839,52,18.2303,-0.116376740136,13.7818327204,0.0472918348584,-0.228596739951,-0.348683352185,4.8299497882,15.6972,-19.2711450573,-22.9969487509,0.00440254166283,-5.86863215058,0.00798958329424,7.53031903947,0.993226,0.087254788394,0.00439765
0.0840747,-11.8468904862,2.01908081108,-10.7904490253,0.000222444,-0.00441723,53,18.4089,-0.101435316263,4.62446188629,0.054452034354,-0.240132475818,-0.37091223602,5.53758394155,15.7387,-19.4901399597,-24.0828175126,0.00323560366757,-6.35871741218,0.00804560277693,7.69889543764,0.984203,0.0848238963604,0.00325674
0.0816129,-11.5088343011,7.85889225227,-6.77932729377,0.000212251,-0.00119994,54,18.5432,-0.0728020167215,49.826456881,0.0813288272599,-0.250887478407,-0.503804681094,7.55554893197,15.8546,-18.7749858904,-33.5750369819,0.000568966505803,-5.88528749159,0.00771603328905,16.8782550338,0.970846,0.082379569851,0.000603216
0.0809258,8.3038909564,42.978607571,-5.43556372586,0.000222024,-0.00303744,55,18.7252,0.229052329863,27.1953560928,0.109373873179,-0.0640181105687,-0.435894147572,11.9837802572,16.0617,-13.9971665658,-27.3650050008,0.00105459155982,5.33567396126,0.0079416739895,9.90966719168,0.985676,0.081505732085,0.00105563
0.0807746,-3.44516846767,31.9058022307,5.81615999875,0.000201286,-0.00397193,56,18.8443,0.122660905429,27.7840994216,0.108062495629,-0.179699678993,-0.564903259851,11.1560009413,16.0976,-9.8837868302,-38.7435905003,0.00182038236557,-1.11271030907,0.00757399782941,10.5075385849,0.982638,0.0813135604866,0.00183114
0.0802875,3.77994216214,40.202459933,1.66162633363,0.000195409,-0.00675293,57,18.9995,0.226748883653,29.4313487393,0.140849912911,-0.115296597342,-0.566799866,13.8389438025,16.128,-26.4342643633,-38.5264367253,0.00365015091209,3.07754206162,0.0073873438428,15.4331523882,0.984101,0.0807314226318,0.00368805
0.0789113,-8.32830957743,27.5808586244,-2.42121111281,0.000209875,-0.00640343,58,19.1345,0.097975321571,24.1866017761,0.121351338744,-0.23360742442,-0.47189215959,12.1233961234,16.1698,-17.3197700033,-29.7301148778,0.00358587457137,-3.92063734904,0.00762389575556,11.2016534643,0.974667,0.0793701269506,0.00358761
0.0787954,3.81932246243,31.1003771117,-2.05782140031,0.000209521,-0.0062994,59,19.281,0.168338345445,21.9290084516,0.108766523577,-0.110986339249,-0.42171541129,10.9768976754,16.2076,-24.1752377857,-24.3015054294,0.00393745947874,2.84962494979,0.00764745025721,15.161929221,0.982422,0.0793360967832,0.00396397
0.0790703,15.5969922154,56.0793209167,21.9665459933,0.00018908,-0.00838474,60,19.4877,0.37168162101,38.7529393488,0.121697039751,0.00840770196994,-0.324625628628,13.0575364657,16.2613,-0.318461983239,-16.0060100677,0.00611719864986,9.70578551606,0.00743385787971,12.298580721,0.9919,0.0795121498567,0.00613581
0.0801511,16.6004887394,50.8057522631,17.6681775197,0.000219002,-0.0105991,61,19.585,0.342754553509,43.9556037808,0.11238414122,0.0223090601573,-0.321096251294,12.1401766439,16.3746,-5.77376405872,-18.6446535983,0.00813135976419,10.4738160454,0.00787006527012,14.041727887,0.994801,0.0806765872311,0.00816075
0.0811092,23.6161653689,57.794219436,25.1061775789,0.000208466,-0.0107271,62,19.7555,0.405126638282,51.1729614085,0.14554313796,0.0808871924453,-0.224120126372,15.894183823,16.417,-0.318307284763,-10.8983134025,0.0094901851471,14.1329933281,0.00787033793191,15.9955353694,0.986757,0.0815953565731,0.00950148
0.0815794,24.4404038844,59.6345958492,20.5533107398,0.000219087,-0.011285,63,19.9899,0.409739073396,57.1127139066,0.161563119833,0.0920714504398,-0.382805345275,17.426941738,16.5137,-6.328241037,-23.3135225641,0.0103544678555,14.8692083607,0.00811387316902,14.5022040208,0.988274,0.082078087498,0.0103242
0.0826604,22.9379028044,51.6134857201,20.6760674479,0.000226926,-0.013697,64,20.1469,0.338688384934,44.6343679765,0.147512656015,0.073622864233,-0.269545451893,15.8599485677,16.5816,-16.3530166033,-13.0537963104,0.0119959665308,13.8452015037,0.00833945322815,16.832449087,0.993526,0.0831341335676,0.0120206
0.0836048,21.4032888716,50.9865862323,9.45647749842,0.000191035,-0.0161148,65,20.3247,0.310617180991,35.3632090318,0.158566557068,0.0464133045798,-0.461104903193,15.6328984257,16.616,-16.3912430218,-30.1860851416,0.0142921742054,11.8655647812,0.00783473588436,15.8312814853,0.994852,0.0839383343067,0.0143159
0.084694,14.6260976367,47.6017289356,16.1471673047,0.000235184,-0.017873,66,20.4955,0.319326038172,40.6064401256,0.163580659344,-0.0195842823367,-0.487104920985,15.8037292697,16.6739,-8.58303671968,-31.9282310647,0.0158846239628,7.97854553685,0.00866146308844,12.1895694424,0.978114,0.0852132713948,0.0159375
0.0861432,14.6146453922,44.6264237854,9.81548609685,0.00023023,-0.0154625,67,20.7096,0.264155565138,32.5506901494,0.146661164043,-0.0158651195344,-0.435812634246,14.3690744652,16.6564,-28.1555333093,-27.08944587,0.0159635051531,8.15519932151,0.00846355249193,16.2823548025,0.998699,0.086651433498,0.0159893
0.0869344,13.6707393399,49.3294503783,12.8416342681,0.000263124,-0.0179683,68,20.8761,0.29839253343,33.9731762532,0.146147439483,-0.0308895981196,-0.417170076334,14.151921063,16.7102,-14.3385275565,-22.9206577409,0.0164061302746,7.27263094955,0.00892901637527,13.0697345496,0.98722,0.0873837005931,0.0164498
0.0885492,21.3461525277,46.8277380955,24.1110236484,0.000239022,-0.0189602,69,21.0275,0.282228125844,42.6446340054,0.154727728887,0.0455647886429,-0.329991272617,15.2101008497,16.7919,4.18229094075,-15.4767930304,0.0176902454371,12.5437236034,0.00872211488008,10.880160063,0.981639,0.0890927795002,0.0176916
0.0910111,17.4376241266,55.1346002215,16.8319854603,0.000230257,-0.0215176,70,21.2076,0.34371305391,46.2781415804,0.172225664405,0.00824717818613,-0.457752235923,16.9729985048,16.8634,-29.7480486244,-27.6172952909,0.0202909503052,9.75161678431,0.00860847857489,21.9992614265,0.975694,0.0913564285316,0.0203222
0.0929893,21.4919427802,48.7869983987,13.8159162066,0.000255938,-0.0234148,71,21.4303,0.310355138459,35.4804865047,0.140437457137,0.0436668955594,-0.378508214862,13.7901908374,16.9487,-6.98355039989,-22.5518986983,0.0217530947129,11.8602180628,0.00909646891875,12.1088131668,0.984266,0.0934649442238,0.021771
0.0946861,15.6636304204,44.4492887647,14.3038469698,0.000245405,-0.0245459,72,21.5946,0.249302303848,41.3449393594,0.132109195043,-0.0103528895888,-0.438691864778,12.8522494865,17.0684,0.821925078352,-28.628215999,0.0229492243216,8.52953438185,0.0088610206977,10.6817678832,0.982616,0.0950428134377,0.0229816
0.0965185,15.4035822131,46.1448500976,15.9135907915,0.000292826,-0.0275687,73,21.8369,0.262777896948,30.0811530779,0.136911622846,-0.00609610857769,-0.408613137248,13.3787753092,17.2012,-1.09190716751,-23.7106674253,0.0249670241175,8.63997997371,0.0098402878035,9.52441531213,0.983619,0.0970164220557,0.0249974
0.0992022,20.1282141262,48.3140042696,19.6343117061,0.000266447,-0.0312014,74,21.9809,0.313261041195,48.9445534753,0.149056283876,0.0380034007802,-0.368612278321,14.4798355983,17.2528,-1.93510006038,-19.7328262737,0.0279910818409,11.51542765,0.00922411153991,13.0508424413,0.980577,0.0997609908774,0.0280215
0.102092,19.8958646438,47.6933005455,24.0983591029,0.000274586,-0.036383,75,22.1536,0.279709821486,43.8342371332,0.140386058768,0.0285288908146,-0.314660544068,13.7044968471,17.3268,-9.22477491195,-14.6425377621,0.032613180032,10.9387616002,0.00953115934241,14.5285683145,0.979421,0.102584633153,0.032639
0.104519,20.8938634816,50.0892263979,20.1341325314,0.00027671,-0.0412168,76,22.3002,0.307482559323,38.2904102309,0.172281290149,0.0472889744337,-0.441411118365,17.115328886,17.4026,-11.5439359027,-30.2712325765,0.0364406211067,11.9050868845,0.00953626915954,14.7911880102,0.975093,0.105043976543,0.0364755
0.107041,27.3688959558,44.7073769076,24.3716391574,0.000286254,-0.047149,77,22.4599,0.279341193173,41.0135599401,0.11083358938,0.110019952046,-0.263786668825,11.2343348387,17.4571,-2.52671693436,-14.3601338768,0.0425166321637,15.5797409447,0.00963269932768,12.6407028809,0.977189,0.107460703622,0.0425142
0.110222,21.4517525001,49.2033218056,15.7420678722,0.000313455,-0.0535567,78,22.6316,0.317369697465,46.1245348761,0.140391937906,0.049806437644,-0.314900646288,13.880859995,17.5383,-16.9511452891,-13.4335183708,0.0479266053433,12.0589608247,0.010109833561,18.3122598642,0.982005,0.110757895418,0.0478997
0.116094,19.1810777538,48.8802345627,28.957895905,0.00029759,-0.0595934,79,22.7892,0.297893926034,43.6250816181,0.161298344118,0.0248950915253,-0.415570611646,15.7929877104,17.5976,1.11007595245,-26.0553779565,0.0542315938029,10.859232801,0.00987677278853,11.8203861126,0.983,0.11656257602,0.0542218
0.119736,21.703997325,50.3363309971,25.9243919603,0.000307781,-0.0641057,80,22.9382,0.297985087627,52.8716142157,0.136432895379,0.0498738313267,-0.393967075818,13.555324685,17.6202,1.25249809624,-24.8127534469,0.0589886398682,12.1470235824,0.00984287261794,12.7932480118,0.970298,0.120247066562,0.0589923
0.123738,21.4863126333,49.481882135,15.9166503943,0.000294612,-0.0686715,81,23.1568,0.30194357649,41.0664195943,0.155582776782,0.046400291666,-0.379143015002,15.5176591752,17.6155,-7.50702693056,-25.4328973746,0.0636226987797,12.1063976509,0.00982889187085,13.8391753234,0.97429,0.124166075308,0.0636531
0.127896,19.5053396478,53.4290041999,25.4619599564,0.000321863,-0.0707974,82,23.339,0.334902026735,38.0996493227,0.183276570878,0.0268621205289,-0.535546645949,18.0713739344,17.6774,9.84612037387,-35.5330452893,0.0669455679378,10.9414382875,0.0101708397378,9.60802474857,0.987625,0.128436331887,0.0669159
0.131447,-0.477943439214,37.8992555522,9.26254553938,0.000308438,-0.0742581,83,23.4924,0.177246935292,42.6085001167,0.158702420831,-0.177848112029,-0.553540598638,16.1648223063,17.774,-15.3404882448,-37.0867510146,0.0700192465001,0.213596421905,0.0100371591189,17.6416118937,0.958115,0.131909032662,0.069991
0.132617,-2.8168094116,49.6246147651,8.85433827659,0.000385578,-0.074737,84,23.7065,0.287615248798,39.146419405,0.206468992142,-0.194150111385,-0.49369641866,20.6037756376,17.8922,-26.0018857447,-34.4992387478,0.0707008017789,-0.908602065553,0.0110141173729,22.846137595,0.966793,0.133204540141,0.0706353
0.135003,-5.04532922186,47.1858481807,-10.874659607,0.000353231,-0.0796038,85,23.8601,0.298494941618,26.2185676673,0.198073035923,-0.2215626153,-0.528845091847,20.4008494449,17.9816,-32.5665484875,-38.2242992296,0.0741334572949,-2.84273371612,0.010712599954,18.979969263,0.976234,0.135512120414,0.0740979
0.136508,8.00828472332,45.425760199,10.0540728395,0.000320897,-0.0802638,86,24.0306,0.268144421176,34.9705716061,0.180860983245,-0.0953458385333,-0.456894143136,18.4020655034,18.1198,-34.2178728066,-29.5754122193,0.076127053031,4.28243545897,0.0100859157919,20.4093834708,0.96056,0.137089405793,0.0761216
0.137824,4.73027353264,45.7819975985,9.21926731664,0.000287983,-0.0796503,87,24.1299,0.258679457966,36.867067064,0.178492610608,-0.122829745699,-0.45409979227,18.3622735355,18.1427,-18.9252727631,-30.9701130094,0.077302564595,2.44141033341,0.00965253468884,19.1908602875,0.968713,0.138334245671,0.0772889
0.138891,4.89644229327,48.9780074336,9.13308462779,0.000316394,-0.0812553,88,24.3137,0.290842592368,49.1561909622,0.202231257382,-0.123165032708,-0.455249486303,20.6864428866,18.1744,-16.6286968106,-33.1169493127,0.0776376355649,2.49348876555,0.010187919488,20.8676468292,0.972484,0.139351250547,0.0776286
0.141268,0.341642020955,43.5100218871,2.56314720585,0.000385569,-0.0860059,89,24.4992,0.258953651287,30.1504855719,0.190157738706,-0.16886415462,-0.484858891525,19.3375330559,18.2064,-33.717905516,-30.9103788395,0.0820271870446,-0.0487547997338,0.010949841954,20.5606639951,0.975936,0.141938509092,0.0820809
0.141548,-4.22453617307,43.0449520638,9.78527617852,0.00034506,-0.0841576,90,24.7013,0.271404174795,25.8432602496,0.186805371534,-0.213805783637,-0.511240890946,19.5327198915,18.1975,-27.0418865271,-36.5616902326,0.0818581691175,-2.57053760095,0.0105524047135,15.307124864,0.983439,0.142078114019,0.0818344
0.141701,-2.95711488976,46.1786916444,0.2104752038,0.000340509,-0.0855325,91,24.8585,0.275048325081,25.5201009853,0.190904031554,-0.195937255149,-0.505293722048,19.6322573776,18.2402,-32.6044488697,-35.2884594775,0.0827320216136,-1.65926007285,0.010255544745,21.8332196444,0.986197,0.142167500809,0.0827039
0.139183,-6.39052872195,37.8257953866,-4.24663189131,0.000327793,-0.0844332,92,25.0062,0.224376658099,26.5850307482,0.193821072726,-0.229298035208,-0.537694535388,19.3736219189,18.2986,-28.3236334679,-37.4314675775,0.0817781567103,-3.46543076969,0.0102308458431,18.3564862111,0.989169,0.139650350783,0.0817621
0.13884,-1.92153418708,51.5204024071,-1.45879987298,0.00030101,-0.0850662,93,25.0974,0.319423295697,36.6527122066,0.194648776822,-0.184833566598,-0.507989664723,19.3538793235,18.2942,-25.8076012197,-33.8060895823,0.0821450551922,-0.250702490206,0.0100004705516,18.9727781114,0.963079,0.139365960494,0.0821134
