MinEsReturn,Epoch,MaxEsReturn,AverageAbsQ,StdReturn,StdEsReturn,PolicyRegParamNorm,MaxReturn,Iteration,AverageQLoss,AverageReturn,AverageY,AverageAction,AverageQ,AverageAbsQYDiff,AverageAbsY,QFunRegParamNorm,MinReturn,AverageDiscountedReturn,AverageEsReturn,AveragePolicySurr
-18.7769517879,9,1.48450498354,0.795567,0.0365349002807,3.28960227967,11.7818,-8.00204225036,9,5.57005,-8.12539120273,2.03222987823,0.563067,0.557769,2.13812511869,2.28958581131,11.5817,-8.22157549395,-7.52928208366,-9.6398362024,-1.09613
-17.0049205268,10,0.755862344434,1.22847,0.0632868269854,1.74924236768,12.6371,-7.95253096318,10,0.361963,-8.09831434801,0.782118448768,0.975599,0.762314,0.401568392852,1.33128917011,11.8812,-8.2509323871,-7.81904829796,-7.71911492425,-1.35309
-13.8893379304,11,288.511726841,1.40414,56.3858958677,42.7495511629,12.9188,447.89528318,11,0.0506072,86.8605198355,-0.167385877532,0.990774,-0.169699,0.17026784238,1.41443000528,12.0609,51.1156748269,58.8629702608,0.222990740031,-0.557149
-38.8207461475,12,168.363743247,1.8886,8.94416915069,63.8574123718,13.5123,-2.96735535971,12,0.0662749,-12.0128864017,-0.0007384450327,0.955795,-0.00290159,0.190121879949,1.89702411958,12.4423,-26.7847181303,-3.38281567639,10.006389385,-1.16882
-45.5298542796,13,331.728642631,2.32311,71.9346622471,124.690430225,13.7047,457.813378214,13,0.102156,94.3908692692,0.292733854586,0.999789,0.290977,0.229209155672,2.33656475355,13.0359,52.7997621389,60.1427785708,68.7115103869,-1.62938
51.8684551252,14,365.285320146,2.96248,22.2735518388,116.420120897,14.5576,168.195844303,14,0.16055,89.2859696434,0.859077258124,0.809913,0.857716,0.273807410611,2.97971636386,13.8099,53.977761185,56.7499167628,189.439121151,-2.2775
73.4321935711,15,376.632716932,3.6608,103.533824711,123.402439353,15.6085,389.285302059,15,0.270203,166.303214428,1.60762424693,0.824268,1.60522,0.331511451447,3.68202639869,14.7175,55.5501746493,73.427090285,264.83508814,-3.24427
41.7916278602,16,348.314764715,4.46988,123.07139934,114.460483912,16.2788,522.870633255,16,0.394828,394.449297861,2.59170953902,0.813013,2.58932,0.388681765622,4.49119976098,15.6802,91.6132272323,112.221301497,190.919818163,-4.26455
12.7081165322,17,352.9146835,5.38932,19.6396737694,118.691740717,17.1056,297.261714099,17,0.489392,259.693909133,3.69808624684,0.663885,3.6952,0.42187281144,5.41257592805,16.4715,227.280221005,118.378542179,222.92197276,-5.35469
4.94076490939,18,332.36762002,6.36954,65.8432196101,112.932140153,17.9992,446.87106711,18,0.69936,274.017698668,4.78945019877,0.821029,4.7874,0.468867065733,6.39308331881,17.3084,75.3785239869,113.844957491,217.660815885,-6.52261
15.5781843901,19,320.476157161,7.31184,26.6571726491,113.793127222,18.5983,353.6506387,19,0.888397,271.135091929,5.90179276292,0.626772,5.89898,0.52084485303,7.34190121073,18.2268,221.976356052,119.819746607,148.509805081,-7.66673
107.690641606,20,311.496973035,8.40676,42.3637657386,72.2680042308,19.1983,448.885786285,20,1.10336,298.786567835,7.13416318385,0.613621,7.13047,0.563396771467,8.43569418296,19.115,163.510355476,114.241843059,231.735801753,-8.98112
20.7653616629,21,300.952846269,9.50096,53.1331612373,95.3887798271,19.7601,553.20928812,21,1.23302,361.099432773,8.38199806861,0.691966,8.37821,0.602892996005,9.52701695634,19.9818,274.708653297,131.198379163,179.932884235,-10.23
8.80226409823,22,303.14100355,10.6542,21.056950126,116.496080956,20.3272,441.097371663,22,1.56188,368.01229236,9.67418793692,0.818504,9.66735,0.667340784676,10.6822269259,20.795,328.53145759,138.164232336,207.405603868,-11.5729
55.3947641122,23,407.715257407,11.9224,56.6931479986,114.960186899,20.8718,385.227113902,23,1.54526,284.765749687,10.9968955138,0.763013,10.9911,0.690365622025,11.9437963395,21.5031,155.745590458,125.298564626,222.934091017,-12.8812
66.5009544413,24,246.143738858,13.0702,67.165000312,63.7290001487,21.3868,474.263041474,24,2.10153,300.167262811,12.1931142403,0.783179,12.1872,0.7871315486,13.0921786425,22.378,88.6063319969,120.488270587,176.659145057,-14.1102
65.6069734539,25,261.463824645,14.2952,61.8476824241,75.6994396625,21.8596,536.687301052,25,2.36976,334.518125976,13.4979588579,0.80999,13.4899,0.848372071757,14.3206501284,23.2216,253.229827279,125.059717441,156.654938636,-15.4671
79.871234556,26,309.555732584,15.6628,64.6518637882,72.9008963112,22.4949,747.392716692,26,2.89176,203.365942412,14.8974089372,0.804121,14.8892,0.942102161764,15.6884837781,24.1218,142.526515768,112.154638786,180.84420225,-16.9276
39.1235570182,27,423.560413569,16.9969,87.0771209416,137.534811025,23.0946,812.438577018,27,3.04301,328.658269141,16.2983744979,0.825594,16.2906,0.979916635554,17.0179148718,24.9338,244.890653194,113.780914658,196.512433874,-18.3834
78.9621760826,28,293.980464158,18.2208,66.4774336173,73.9587117042,23.6454,569.237273916,28,3.82388,307.593310857,17.5552448113,0.842302,17.5438,1.04691999996,18.242015116,25.6532,132.321037871,110.485336756,220.157579817,-19.6509
25.4588491958,29,244.022015094,19.483,40.616913399,92.8214246501,24.1552,328.52037062,29,3.96525,257.502657155,18.8353397028,0.830943,18.8273,1.11220934672,19.5029602527,26.3762,146.316345524,118.795753038,137.994249428,-20.9139
