Iteration,AverageAbsY,AverageAbsQYDiff,AverageQLoss,MaxEsReturn,AverageY,StdReturn,MinReturn,AverageDiscountedReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageEsReturn,AverageAbsQ,MinEsReturn,StdEsReturn,QFunRegParamNorm,AveragePolicySurr,AverageQ,AverageReturn,MaxReturn
19,9.6923555105,0.30868492982,0.37739,177.759260342,9.68093053237,1.23092321102,173.982286322,113.137954792,19,17.0596,0.708317,143.768693425,9.69445,62.2916363744,41.3325880698,21.1888,-10.9471,9.67916,176.150530326,179.421460608
20,11.302477343,0.343384606073,0.469714,191.795033454,11.2937976482,1.75170192045,172.626530119,113.120893479,20,18.6061,0.934322,167.999387251,11.3046,96.1204468194,24.2536196855,22.3337,-12.7719,11.2917,175.91529374,178.91709887
21,13.1172098998,0.391793950828,0.653066,182.448957501,13.1078686483,1.01459907397,171.846938362,112.170749522,21,19.7464,0.968742,168.823935784,13.1193,125.466090918,16.5465904485,23.419,-14.8138,13.1054,173.999648532,176.733235561
22,15.0037510796,0.447280384876,0.78722,178.197740327,14.9953672346,1.21387598715,171.294033701,111.81568249,22,20.7365,0.967546,170.470528067,15.0067,134.938903627,11.5194817904,24.566,-16.7894,14.9923,173.481753117,176.70669225
23,16.8795362532,0.503460076737,1.06669,191.726669296,16.8722493178,1.12692137537,170.719016781,112.068018473,23,21.8168,0.963065,171.610893933,16.8832,123.342085041,16.1498380071,25.722,-18.7187,16.8697,173.523532054,176.813876585
24,18.6809484936,0.521185089859,1.10736,184.23098197,18.6731140117,1.41151687597,167.163976944,110.744393841,24,22.6134,0.945171,140.268646249,18.6847,20.8629253416,58.2874550202,26.7559,-20.5339,18.6698,170.412964272,174.08092369
25,20.5048686356,0.553652960105,1.24186,191.982376179,20.4972469909,1.1592822419,168.765197901,111.137598256,25,23.4169,0.973899,155.61020198,20.5084,72.6136212984,33.0048316968,27.8648,-22.3803,20.4939,171.44705844,174.542658524
26,22.3014451641,0.5795942521,1.31714,185.236080682,22.2940815626,1.10637962303,169.017641853,111.565644426,26,24.0417,0.955284,158.131600001,22.3073,64.1878806101,30.622317763,28.8237,-24.1886,22.2907,172.225433425,175.362748617
27,24.0790568595,0.624070757696,1.54918,196.740255576,24.0743823497,1.04215761335,170.306937319,112.158925626,27,24.6355,0.811127,147.631345602,24.0867,33.0397942402,50.0432279684,29.8288,-26.0155,24.0718,172.933311351,175.234770219
28,25.7035660324,0.638927549039,1.58813,177.291429537,25.6985344666,1.1056607503,169.474965077,111.576473883,28,25.3278,0.736555,153.72099101,25.7112,27.4480869297,41.1213544517,30.7865,-27.6324,25.6957,172.063228965,175.201794892
