AverageQLoss,AverageEsReturn,MinReturn,PolicyRegParamNorm,AverageQ,AverageY,AverageDiscountedReturn,AverageReturn,AverageAbsY,Epoch,AveragePolicySurr,StdEsReturn,MaxReturn,MaxEsReturn,AverageAbsQYDiff,AverageAbsQ,AverageAction,Iteration,MinEsReturn,QFunRegParamNorm,StdReturn
0.0650179,155.997738797,-53.1811955819,23.8664,2.7562,2.75685871587,50.3371667199,122.249848222,2.8456203728,35,-3.12251,101.086492691,450.535381913,248.104145123,0.156991747444,2.84294,0.898,35,-20.2006662329,22.197,132.030728903
0.0757181,120.125287509,-25.0420535348,24.1564,2.87678,2.87777505345,49.7673246434,147.977213398,2.9673664816,36,-3.25342,165.386099475,1055.33759437,469.551143539,0.168518019757,2.96354,0.855428,36,-0.226586561887,22.6988,236.048345884
0.078258,18.551340442,-43.7196434404,24.5414,2.96019,2.96081981682,23.8560124967,41.6124058875,3.054643294,37,-3.32168,20.694200659,223.826797867,52.8734121783,0.169594138632,3.05166,0.878173,37,-9.24013801184,23.1871,77.4425167073
0.0878886,68.5339545381,-34.3908249873,24.903,3.03548,3.03655443782,64.7842426063,196.312281945,3.13237181111,38,-3.39147,124.036177248,483.026782441,282.664868871,0.175241931313,3.12925,0.854794,38,-63.3283810173,23.6271,131.486590892
0.0913248,227.813224662,30.7993536815,25.3485,3.14019,3.14123890307,83.1941965721,177.477338137,3.23259515573,39,-3.50987,96.2290337819,313.900602209,406.382383261,0.183392285102,3.22956,0.871231,39,140.459211575,24.052,65.7872523001
0.107807,48.7626626394,-56.9769918578,25.7409,3.25293,3.25344405841,51.6038916988,85.8606087182,3.34287840434,40,-3.6326,86.3131417294,298.704065111,236.562049744,0.192578766024,3.33975,0.889249,40,-27.1937699087,24.5479,68.6697288582
0.109539,123.388780167,78.6884183542,26.1112,3.37173,3.37299660752,88.5578678104,288.300914694,3.45479729806,41,-3.76158,150.443758685,742.386839632,421.495866889,0.196774742396,3.45247,0.889809,41,-43.756076544,24.995,143.296181471
0.120371,77.8653112887,-10.1543597966,26.5263,3.50431,3.50565903348,54.3312009412,104.232824408,3.58656124201,42,-3.89845,62.3667253515,353.547356243,172.100493889,0.204942884038,3.58421,0.881599,42,-1.11777808336,25.396,83.401879542
0.133713,74.9600968811,52.3679249387,26.9724,3.60615,3.6080386419,69.6134262596,221.42521424,3.68100387636,43,-4.01273,81.1097710509,858.046545329,208.366943483,0.212940398463,3.67766,0.897232,43,-9.77585957858,25.8868,214.693268146
0.119721,237.353346435,20.8422270124,27.2841,3.74278,3.74360543356,52.9562869101,131.471362804,3.81481870316,44,-4.14383,99.5898406457,487.678439876,355.210200259,0.215326642884,3.81243,0.875619,44,83.0422463069,26.3461,123.050994768
0.148546,106.603853617,-91.791863907,27.7163,3.88411,3.88594728497,-3.93395173158,-9.47396187982,3.95029721409,45,-4.28834,104.277667285,379.341896433,251.110255558,0.227021960984,3.94747,0.874026,45,-12.5922866556,26.8007,79.055856574
0.14405,126.801339521,-45.3932708905,27.9133,4.04251,4.04454846109,18.6739191416,167.471352986,4.09470439017,46,-4.43935,127.223105261,899.777355781,322.25181128,0.230271478111,4.09256,0.873933,46,-2.62499731445,27.2215,332.453682645
0.17017,156.542994603,-21.3673151484,28.2096,4.15653,4.15742471429,35.9604549181,127.616240522,4.20685809919,47,-4.55659,133.918358066,345.601444394,379.002031744,0.239165060462,4.20534,0.869586,47,0.460022845413,27.6394,104.787442495
0.16343,116.580696143,-8.53696415886,28.4963,4.28054,4.28238801654,49.7825525787,153.213886914,4.3271071226,48,-4.69352,165.354675097,751.617939847,416.225392094,0.241976296542,4.32473,0.855065,48,-23.6630919161,28.0388,158.75506077
0.173544,76.143407949,-6.16047677153,28.7664,4.44415,4.44585017348,49.9962888287,196.495108666,4.48765264132,49,-4.86354,121.643278067,480.414397866,408.213250096,0.247885091692,4.48564,0.836609,49,-6.1304348835,28.432,173.199657938
0.200001,75.7926674691,-4.54902664569,29.0697,4.60108,4.60309757673,18.6128596979,110.405507846,4.63901811937,50,-5.02913,112.092543559,1084.24052563,348.8609726,0.25950331176,4.63726,0.860565,50,-11.9852849893,28.8144,269.466829539
