MaxEsReturn,AverageAbsQ,AverageAbsY,MinReturn,AverageAbsQYDiff,StdReturn,PolicyRegParamNorm,Epoch,MinEsReturn,AverageAction,AverageEsReturn,AverageQ,MaxReturn,StdEsReturn,AverageDiscountedReturn,Iteration,QFunRegParamNorm,AverageY,AveragePolicySurr,AverageReturn,AverageQLoss
-110.417475596,0.718138,1.48213298391,89.6582006125,1.21170509722,23.8815466954,11.7789,9,-248.193086075,0.220057,-172.790218523,0.637664,174.200048679,38.3162868666,8.34274916451,9,11.5825,1.46751734853,-0.957112,129.469821271,2.18355
-269.896085102,0.768873,0.80423117787,-536.101300084,0.316906850354,0.753207658144,12.4637,10,-269.896085102,0.894722,-269.896085102,0.684617,-533.404804379,0.0,-52.1150932295,10,12.2432,0.694255483009,-1.90982,-535.09818084,0.215381
-420.786424451,0.944357,0.960994277453,-608.878521939,0.186381433579,2.07233185816,14.7023,11,-420.786424451,0.99514,-420.786424451,0.832598,-601.235913422,0.0,-59.7646874483,11,12.8939,0.834594426947,-1.97488,-605.597585878,0.0585304
-407.553635119,1.43711,1.44887656018,-538.818277616,0.199770062211,1.52752139719,14.9529,12,-407.553635119,0.905154,-407.553635119,1.25791,-534.659234389,0.0,-47.2644120376,12,13.6787,1.25890448955,-2.20133,-536.721556741,0.069297
-423.268512488,1.98409,1.99703638031,-506.048425425,0.230545560307,1.85391051517,15.7623,13,-423.268512488,0.85383,-423.268512488,1.79685,-500.447238895,0.0,-43.4891564343,13,14.5142,1.79925188887,-2.74085,-504.210142228,0.0941276
-418.642214928,2.46735,2.48180682938,-930.897001403,0.261333289984,9.01471358763,16.3941,14,-418.642214928,0.800794,-418.642214928,2.19523,-904.090614413,0.0,-81.1614883383,14,15.4655,2.1967111187,-3.11849,-917.371607126,0.121828
-403.526059505,2.73485,2.7540107958,-442.593069366,0.298681319959,6.89022751277,17.5995,15,-403.526059505,0.652479,-403.526059505,2.47483,-418.49303444,0.0,-35.6352485352,15,16.4144,2.47655335246,-3.20196,-427.635536402,0.158338
-366.876716396,2.85323,2.87736655217,-322.744961172,0.322493829408,4.46903952388,18.5006,16,-366.876716396,0.537672,-366.876716396,2.65821,-305.578479105,0.0,-23.5547278695,16,17.2708,2.65949431583,-3.19182,-312.172874041,0.183903
-323.503678099,2.94852,2.97344060067,-319.638664584,0.335469437496,6.31337910581,19.2215,17,-323.503678099,0.541295,-323.503678099,2.71108,-301.168226383,0.0,-19.9063778887,17,18.0361,2.71236394621,-3.17911,-312.866570964,0.198557
-301.866715139,3.05971,3.08381327454,-162.508448772,0.349961751468,5.79350820659,19.8557,18,-301.866715139,0.321915,-301.866715139,2.73814,-142.21763816,0.0,-9.7056212577,18,18.7322,2.73931209116,-3.21256,-154.780544419,0.218876
