StdForwardProgress,AveragePolicySurr,AverageY,AverageQLoss,MinReturn,MaxReturn,StdReturn,AverageAction,MinForwardProgress,AverageDiscountedReturn,AverageReturn,AverageEsReturn,MaxForwardProgress,AverageForwardProgress,Epoch,PolicyRegParamNorm,AverageAbsQYDiff,AverageAbsY,StdEsReturn,MaxEsReturn,AverageQ,MinEsReturn,QFunRegParamNorm,AverageAbsQ
0.00751072225237,-0.00625748,0.0160151245309,0.000835285,-6.57881721775,3.06791838744,1.59373943441,0.998399,-0.0250259393483,-1.7902187046,-1.94117273392,1.25618580153,0.0202419123231,-0.00350445454399,9,16.0304,0.0229972770656,0.0205941545897,3.42258583272,10.66559781,0.00170102,-6.76443723144,15.0023,0.0199734
0.0273950561416,-0.0037366,0.00189403816568,0.000131133,-13.2977582116,10.3397290755,6.0084054401,0.971196,-0.0484349730037,1.66273129929,1.89273380486,-1.03251550404,0.0620338251954,0.0218650961582,10,16.5587,0.00554992901237,0.0157816157121,2.84216734357,4.65916472919,0.00137171,-7.3910557579,15.3337,0.0150071
0.00336704116888,-0.0325567,0.0265248758627,0.00017111,-7.29230457508,-1.41328053877,0.757110617582,0.999297,-0.0148036459483,-4.23081049607,-4.44208695054,-0.662820510574,0.0107918729606,-0.00253561046464,11,16.8373,0.00706000494089,0.0355169058282,3.56276723425,7.57749215855,0.0264489,-5.96215172985,15.7132,0.0335894
0.00671684535214,-0.0286862,0.0331009754052,0.000266754,-1.95438772897,6.77558024948,1.42020631075,0.999898,0.000933844032428,2.04685833232,2.2617921023,1.22593707585,0.0422857760758,0.0201457389675,12,16.9726,0.0075716010947,0.0431178368664,2.01077233147,6.12111329309,0.0329452,-3.86187987737,16.0146,0.0410553
0.00707515964024,-0.0248787,0.0267340500463,0.000228962,-2.28563910398,6.60032996222,1.49759834583,0.987282,7.80163853067e-05,1.92957704377,2.13878291888,1.72073964683,0.0407277067259,0.0198179163606,13,17.0827,0.00733074859042,0.0432181977822,1.69984425383,5.71854277864,0.0268503,-4.19304629888,16.3899,0.0419484
0.00868764387174,-0.0411627,0.0266071974729,0.000218274,0.947463837844,12.8431352355,1.83805187356,0.991764,0.0157827405602,5.60988925481,6.35487182135,6.15788330121,0.0719524538273,0.0420320196553,14,17.1145,0.00847865157831,0.0484753093682,2.20256851923,10.6384462515,0.0265076,-0.474599281217,16.8805,0.0475142
0.00873071120467,-0.0884138,0.0611798659639,0.000286368,-0.817450508284,11.9141425375,1.83733487808,0.986136,0.00978641038914,5.40793460425,6.13259081888,6.32990828189,0.0688144457719,0.0413448482077,15,17.085,0.0103494594567,0.0785422075504,1.31098559063,9.33501564528,0.0611321,3.07460926108,17.3212,0.0772064
0.00867084675985,-0.119104,0.0964811136755,0.000347029,0.411811600706,11.8608988511,1.82591597156,0.988077,0.0154033815963,5.40133970497,6.11271823635,5.68800935576,0.070299303229,0.0415164467712,16,17.1551,0.0112435498144,0.108111992826,2.02942634615,9.63727339714,0.0962763,0.0922457652528,17.6729,0.106768
0.0111321690241,-0.155328,0.129792835872,0.000420148,-13.1441151748,5.05134987851,2.47336765293,0.971552,-0.0400732573972,-5.16501404087,-5.76102043256,3.9389232298,0.0347573752385,-0.00951777123093,17,17.2371,0.0124828329936,0.136901662215,4.46773582409,10.233602264,0.129608,-9.63117804727,18.0864,0.136065
0.0083333059013,-0.161527,0.145611243663,0.000453513,-0.652003136543,12.2680347268,1.79188865394,0.972302,0.0123724249465,5.30524984577,6.00888728228,2.73453045703,0.0706772323205,0.0409870696879,18,17.2728,0.0133400974055,0.150038336009,5.10795244083,9.23424077815,0.145541,-9.68917893479,18.544,0.149226
0.00825990239062,-0.171127,0.157855913864,0.000525598,-0.705742028981,10.684861987,1.76589568684,0.985655,0.0122971615381,4.04970786646,4.5717792744,4.46557029573,0.0651260906209,0.0359260595742,19,17.354,0.0137233723461,0.161483878572,1.97687449979,7.82546465113,0.15761,0.000774120075316,18.999,0.160651
0.00918103345424,-0.196731,0.176910756076,0.00052035,0.470639280598,10.5933498772,1.80106930189,0.972433,0.0105962209004,5.10282406784,5.76842927598,4.6496123218,0.0616158722181,0.0383659862886,20,17.5241,0.0143073196602,0.179516810738,2.24654451709,8.99875515065,0.176709,-1.75169537109,19.409,0.178923
0.00858057155902,-0.248314,0.218316506271,0.000673873,-0.860889249348,9.53724920143,1.79726881781,0.960875,0.0043989232491,3.97164821196,4.50749311033,5.54102635619,0.0544020105726,0.0296861891736,21,17.6711,0.0165042295392,0.220906746571,2.10864599906,8.60622566558,0.218071,-2.21108956921,19.9425,0.220438
0.00878512888366,-0.288325,0.258068655661,0.000721757,-0.144755540906,12.5863229541,1.85415243165,0.9405,0.012375649842,5.28274010277,6.01509794558,5.85738084907,0.0705645129281,0.0405725192196,22,17.7197,0.0168928119118,0.260955113953,1.90541606505,9.46790034554,0.257838,-0.42611622478,20.3702,0.260323
0.0083252569662,-0.30676,0.285622245998,0.000810588,1.29328332315,12.8651443321,1.73883764679,0.976668,0.0173565725511,5.80993877588,6.62533328665,5.95456995397,0.0723964342201,0.0429070763882,23,17.7681,0.0174480891025,0.287751911117,2.33376421027,10.4406848696,0.285232,-0.761029222457,20.7187,0.287138
0.0085250440095,-0.327148,0.309226941372,0.000765114,1.14042062406,12.6921314466,1.78657990694,0.975945,0.0163171154618,5.77277791974,6.5805928105,6.29219536256,0.0723727884861,0.0425158081526,24,18.0326,0.0170773513812,0.311045105487,1.65821474254,9.85428875259,0.309025,1.59806860013,21.1747,0.310655
