Epoch,AverageEsReturn,AverageReturn,MinReturn,AverageQLoss,PolicyRegParamNorm,MinEsReturn,AverageAction,AverageAbsY,Iteration,AverageAbsQ,StdEsReturn,AverageQ,QFunRegParamNorm,AverageDiscountedReturn,AverageAbsQYDiff,MaxReturn,AverageY,AveragePolicySurr,MaxEsReturn,StdReturn
9,9.82912506121,9.20460809695,9.08975394389,3.50483,11.2289,1.67400423414,0.217241,1.45132411973,9,0.372752,6.84992697099,-0.321731,11.1299,8.78148574271,1.77305521261,9.33521647847,1.45132411973,0.0437628,57.8462928673,0.0475744928532
10,5.23012126292,5.26701492078,5.10965275571,0.0546277,12.4068,2.37653234883,0.978903,1.17199531566,10,1.15992,2.60668965555,1.15017,11.4258,5.10851463289,0.119571352836,5.3694917136,1.15965398075,-1.22417,18.3335531283,0.0399665604076
11,7.40662173054,5.29854818406,5.08600716709,0.00942892,12.6072,3.35286518883,1.0,1.33788271157,11,1.33792,3.13537390809,1.31776,11.7536,5.13755994804,0.0612562126232,5.42659631471,1.31820602358,-1.30999,21.7174598517,0.0425107532878
12,6.96980825997,5.29597971708,5.07172644591,0.0142992,12.6102,4.38296645977,1.0,1.69313699584,12,1.693,2.6171881825,1.66289,12.384,5.13493947363,0.0728578221146,5.40123016689,1.6632822735,-1.64015,20.5885613075,0.0418186530535
13,6.18005464717,5.29763849422,5.07329018851,0.0221551,12.6161,1.07076800839,1.0,2.09626123973,13,2.09569,2.00899288978,2.05917,13.2469,5.13642425889,0.0857708545975,5.41637537723,2.05967053987,-2.01201,14.7755802086,0.0429229719209
14,9.91859175732,38.8110878356,36.7337319204,0.0300417,12.948,4.43390105287,1.0,2.4484178213,14,2.44812,9.74937404163,2.40428,14.1598,34.4903058312,0.096822149881,41.8695342669,2.40467133663,-2.47138,48.4882790624,0.926177732539
15,41.9924710996,38.7362701618,36.6580233885,0.149772,12.9581,16.6509793855,1.0,3.50178980959,15,3.50002,8.43889433977,3.46628,15.2742,34.4300154682,0.164264503436,40.7061432732,3.46858145294,-4.21328,77.6027765105,0.8895026405
16,41.5051942651,38.826222783,36.5954768959,0.306076,12.9673,34.1463064571,1.0,5.03818741777,16,5.03722,3.72178663436,5.01193,16.6863,34.5004549681,0.220266070351,40.7418298353,5.01410164016,-5.90976,54.9858775508,0.9117662781
17,51.0832614425,57.3122301128,47.6196543162,0.385214,13.9949,10.1435139762,0.625916,6.4538104843,17,6.45431,24.4102677473,6.43175,18.3095,48.4613717489,0.263693614284,69.4171510672,6.43350399989,-7.45951,169.047409873,7.03028486395
18,90.3676069602,147.569669434,140.647371778,0.453168,15.8045,36.3751644728,0.651937,7.80668341446,18,7.80883,33.1544844666,7.79056,19.6826,100.720097918,0.299366537782,155.36643797,7.7919792656,-9.01618,152.645148786,3.5099428736
19,151.016360987,174.794381805,169.351384944,0.518205,17.0102,77.1287571278,0.562751,9.23478444211,19,9.2362,36.5883803675,9.21959,20.6932,112.366026941,0.33162570847,177.600365483,9.22252730008,-10.6423,214.066138696,1.37814218916
20,143.246345384,167.290290892,155.331743597,0.692407,18.0157,14.5070549766,0.439227,10.7971492116,20,10.8,42.3807186796,10.7862,21.7938,109.514100856,0.383842081937,175.987492182,10.7882816151,-12.3528,186.828828526,4.59150270247
21,159.659466767,172.062893232,163.039819706,0.902193,18.9084,122.565316265,0.544541,12.5533440562,21,12.556,21.0184350822,12.543,22.8669,111.64978927,0.417461004729,178.103697262,12.5458339622,-14.2593,180.657310599,3.80783798275
22,156.703018074,174.265272023,170.766602171,1.10596,19.8627,58.9668134679,0.581709,14.3190707125,22,14.3241,31.6966164352,14.3096,24.0899,112.545148857,0.470798195826,176.65942851,14.312227138,-16.1274,178.064285289,1.28875852763
23,156.367291039,169.908297506,163.412801908,1.44691,20.8404,11.1445636737,0.563604,16.1404218152,23,16.1456,46.0292783374,16.1307,25.2829,110.5879854,0.533520556173,174.226575093,16.1344542072,-18.0467,179.112506295,2.3913558584
24,176.002099161,174.431465679,165.072820439,1.58448,21.6857,148.22107518,0.513036,17.9447945403,24,17.953,12.4011829938,17.9379,26.485,112.143257623,0.568493946563,184.413064099,17.9390797689,-19.9483,193.477020915,5.85612509826
25,168.746573252,176.036187953,167.060311448,1.79986,22.4455,86.3321386262,0.643307,19.8501491273,25,19.8581,31.9010531068,19.8422,27.6976,113.156226887,0.607703556203,180.423759157,19.8450598798,-21.9101,200.053856348,2.48272442752
26,153.899728481,184.072732098,170.260043197,2.07803,23.0966,16.1412435173,0.56017,21.7154998925,26,21.7226,49.7825732519,21.7063,28.8499,115.968616754,0.643865500422,188.334666134,21.7104067499,-23.8374,196.120461687,2.68413268593
27,141.817455226,178.558978338,174.771098847,2.27522,23.8113,30.9357700286,0.568346,23.5468806194,27,23.5566,50.9987966072,23.5392,30.1402,114.114158538,0.679742604984,182.251020194,23.5426860321,-25.7109,185.353561225,1.47726500241
28,156.83735134,181.812383846,171.990865476,2.44549,24.508,38.6662683893,0.663017,25.4433735063,28,25.4548,49.5070187738,25.4369,31.2582,114.951812906,0.700730141672,186.127004713,25.4393211027,-27.6995,194.014636485,2.21575298741
29,164.337092429,172.520845775,162.116834976,2.76116,25.0476,93.9727647993,0.648922,27.1825043035,29,27.1951,31.3033665996,27.1761,32.3613,111.637301318,0.744218839737,178.757469412,27.1786103574,-29.4352,201.354439783,2.57789537925
30,163.971498221,175.981152105,167.644664993,2.82069,25.6252,5.62630296535,0.688149,28.931547152,30,28.9435,49.814978442,28.9252,33.4651,113.11623984,0.763669723662,182.038245155,28.9281114669,-31.214,195.105731228,2.16185668239
31,139.303287821,177.646054998,171.450776063,2.83922,26.3065,15.7207362078,0.670843,30.7391570212,31,30.7499,66.0981726138,30.731,34.285,113.968319796,0.782407304124,182.714542686,30.7352187197,-32.9935,188.74967278,2.5807562178
32,149.360126647,177.581013346,170.111411483,3.49248,26.8082,13.2352915224,0.701443,32.2905620812,32,32.3056,59.8217186411,32.2852,35.1684,113.997184937,0.809217308009,184.417603857,32.2870151625,-34.5701,192.987166768,3.58899157881
33,157.911111376,173.128240341,167.947476167,3.34742,27.3492,67.8637468686,0.746581,33.9266266838,33,33.9425,44.8795307836,33.9199,36.0402,111.859011963,0.817221353761,176.598031715,33.9233220523,-36.2052,221.942693513,1.93223744586
34,163.991187813,165.819813677,153.271413745,3.55508,28.0021,76.8125560165,0.687301,35.4988546166,34,35.5133,36.8204810485,35.4922,36.8284,109.021390707,0.830000664909,176.572210695,35.4950969613,-37.7456,190.780272355,5.9377501956
35,180.751293242,185.658572862,178.358961608,3.4355,28.4332,151.880102458,0.617378,36.9557419118,35,36.972,16.4212375064,36.9495,37.46,117.437213725,0.831781826399,191.644443859,36.9521650899,-39.2205,212.955197318,3.53627376536
36,165.627298877,181.43819788,175.441961957,4.14502,28.8108,13.5792699671,0.632233,38.4680654687,36,38.4819,49.1047034763,38.4584,38.1882,115.418992466,0.90465130573,187.960721944,38.4632113535,-40.7318,208.560133495,3.050772882
