MaxEsReturn,AverageAbsQ,MinEsReturn,AverageQLoss,AveragePolicySurr,StdReturn,AverageEsReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageAbsY,QFunRegParamNorm,AverageReturn,AverageDiscountedReturn,StdEsReturn,MaxReturn,AverageY,Epoch,Iteration,AverageQ,AverageAction,MinReturn
20.0,0.136099,2.0,0.0846446,0.0534455,3.04301469342,5.12981015906,10.517,0.253030082825,0.116931260566,10.4975,21.2462845011,19.189785506,2.19451225979,28.0,0.116931260566,9,9,-0.136099,2.96067e-05,16.0
44.0,0.123711,3.0,0.000427357,-0.129292,0.322734059575,14.2714285714,12.982,0.00994643355424,0.124043587242,10.6435,4.88189360664,4.78754247978,10.5097525166,5.0,0.124043587242,10,10,0.123517,0.972308,4.0
14.0,0.16022,2.0,0.000299439,-0.173756,0.485817584795,2.93548387097,13.1747,0.0106644586717,0.16028862741,10.7948,2.38175756132,2.36416058585,1.21643275064,3.0,0.16028862741,11,11,0.160209,0.999996,2.0
11.0,0.203866,2.0,0.000376506,-0.186753,0.487373710317,2.83569405099,13.1586,0.012154397827,0.203863018062,11.1691,2.388344877,2.37061681395,0.738404709804,3.0,0.203863018062,12,12,0.203857,0.999994,2.0
5.0,0.228293,2.0,0.000414679,-0.201392,0.48901830712,2.74175824176,13.0738,0.0123972847535,0.228340590941,11.7712,2.39578342118,2.3779073311,0.523421947342,3.0,0.228340590941,13,13,0.228293,0.999969,2.0
38.0,0.256519,2.0,0.000572277,-0.311181,0.691015004068,6.51633986928,15.1502,0.0149039035304,0.256566811904,12.531,41.1810699588,33.8906154719,6.90940873643,43.0,0.256566811904,14,14,0.256519,0.0361608,40.0
106.0,0.35859,5.0,0.00119027,-0.436299,1.49632705183,35.9259259259,16.4597,0.0206881288132,0.358678584041,13.5479,61.2317073171,45.9513839478,23.1691460319,64.0,0.358678584041,15,15,0.358581,0.750691,58.0
99.0,0.440878,13.0,0.00155459,-0.53777,0.847854954984,44.1304347826,17.5365,0.0226847549555,0.440929180587,14.5764,55.7944444444,42.9200102985,22.4660213924,58.0,0.440929180587,16,16,0.440849,0.561039,54.0
96.0,0.523671,7.0,0.00196266,-0.630916,51.750256305,38.7692307692,18.9399,0.0249065908295,0.523645108317,15.6545,108.268817204,62.635634774,25.5227013465,346.0,0.523645108317,17,17,0.523579,0.686496,55.0
115.0,0.601515,12.0,0.00219283,-0.721656,24.6450502838,42.1666666667,19.8568,0.0259312547935,0.601545841037,16.6484,91.9174311927,59.2308616882,26.9144735949,194.0,0.601545841037,18,18,0.601398,0.617493,60.0
79.0,0.680351,2.0,0.0028248,-0.813864,19.2347522828,24.475,20.8312,0.0283793166486,0.680219990148,17.6455,62.3043478261,45.7051566114,18.1851415997,195.0,0.680219990148,19,19,0.680136,0.647452,46.0
67.0,0.759861,3.0,0.00349107,-0.90082,29.5938163444,22.4,21.6375,0.0305572730458,0.759764347684,18.6008,94.5566037736,59.8711887607,15.8161661319,222.0,0.759764347684,20,20,0.75963,0.600758,53.0
60.0,0.837664,3.0,0.00400441,-0.986706,17.4680251889,17.5087719298,22.3801,0.0321276311959,0.837538763733,19.5447,80.064,54.6792286744,12.6340153596,164.0,0.837538763733,21,21,0.837337,0.622102,62.0
90.0,0.915838,4.0,0.00460476,-1.07457,2.85088071143,19.0,22.962,0.0336932659307,0.915560299561,20.4642,55.2197802198,42.5679700332,17.0625928707,62.0,0.915560299561,22,22,0.915451,0.55778,48.0
49.0,0.99102,3.0,0.00540581,-1.16343,0.694125263058,18.2962962963,23.3082,0.0367379690692,0.990464422248,21.5109,49.1519607843,38.9800531683,12.025635626,51.0,0.990464422248,23,23,0.990303,0.443472,47.0
77.0,1.06694,3.0,0.00590512,-1.24802,0.984729264954,20.32,23.7069,0.0377579802335,1.06646769301,22.4683,46.623255814,37.4078517282,16.2683004644,49.0,1.06646769301,24,24,1.06637,0.425008,44.0
74.0,1.1506,3.0,0.00658215,-1.33929,1.21800385668,16.8070175439,24.0171,0.0393074426239,1.15004104847,23.2693,43.9122807018,35.6773767279,15.7183975306,49.0,1.15004104847,25,25,1.14995,0.289455,42.0
63.0,1.22083,3.0,0.00753302,-1.41936,0.929824227768,18.2456140351,24.5399,0.0415962650645,1.22025855632,24.1009,40.9306122449,33.7226974179,13.0737190534,43.0,1.2202559299,26,26,1.22003,0.271707,39.0
46.0,1.30082,3.0,0.00879251,-1.502,0.534280625155,17.0,25.0521,0.0438309537992,1.29994523533,24.9327,39.8844621514,33.0241326685,13.7301580974,41.0,1.29994142178,27,27,1.29978,0.181933,39.0
51.0,1.37195,3.0,0.00995856,-1.5852,0.641791696981,19.5384615385,25.5221,0.0465080636131,1.37083928757,25.7666,40.2489959839,33.2686361111,13.923501906,42.0,1.37079212266,28,28,1.37059,0.195625,39.0
46.0,1.45197,4.0,0.0123289,-1.67681,0.52987661844,15.1060606061,26.0636,0.0506064222654,1.45036008038,26.5515,38.5,32.0857122577,11.0715699085,40.0,1.45027993226,29,29,1.45014,0.225268,37.0
74.0,1.52872,4.0,0.012452,-1.76705,0.534808810312,19.2156862745,26.5043,0.0499197042525,1.52753312023,27.2892,38.3409961686,31.9770779395,15.7819874062,40.0,1.52741577899,30,30,1.5272,0.16948,37.0
50.0,1.61403,3.0,0.014241,-1.85658,0.365200364889,17.4561403509,26.8517,0.0540393995213,1.61257028082,28.0085,37.841509434,31.6352693231,12.5587324417,38.0,1.61253331853,31,31,1.61232,0.146045,37.0
49.0,1.68459,3.0,0.0143882,-1.93549,0.485579331721,18.6,27.1704,0.0529067467103,1.68306437827,28.7091,35.6192170819,30.090817329,13.6136295341,36.0,1.68301546625,32,32,1.68286,0.0955565,35.0
65.0,1.76088,3.0,0.0144864,-2.01987,0.228346040101,14.7462686567,27.686,0.0538417480645,1.75911908777,29.2748,34.9825174825,29.6426840182,12.7271519408,36.0,1.75904943686,33,33,1.75892,0.259145,34.0
79.0,1.83933,3.0,0.0175745,-2.09691,0.416807289455,16.1111111111,28.0867,0.0586484924029,1.83691826505,30.0703,36.2238267148,30.5145540778,15.5115022464,37.0,1.8368094741,34,34,1.83668,0.160632,36.0
57.0,1.91537,3.0,0.019174,-2.18267,0.509072164915,14.5588235294,28.3665,0.0598312653065,1.91315788996,30.6226,35.5709219858,30.0567943651,12.7767969301,37.0,1.91309566985,35,35,1.91277,0.253563,35.0
60.0,1.97739,3.0,0.0238647,-2.25308,40.6179913652,13.0256410256,28.6438,0.0660016960995,1.97528945297,31.2899,77.2213740458,50.3560543443,12.0490177906,203.0,1.97521854963,36,36,1.97503,0.0447756,42.0
44.0,2.05398,2.0,0.0214438,-2.33706,221.832868233,12.1111111111,29.156,0.0623508539186,2.05112670329,31.8841,768.5,99.3392632341,9.39923821447,1000.0,2.05094170735,37,37,2.05088,0.0330362,253.0
95.0,2.11708,3.0,0.0259943,-2.42027,0.0,12.5802469136,29.603,0.0693962547169,2.11399616308,32.4094,1000.0,99.9956828753,13.1081580455,1000.0,2.11368394398,38,38,2.1134,0.00115481,1000.0
58.0,2.2029,2.0,0.0271377,-2.50103,0.0,11.6162790698,29.9838,0.0703711222663,2.1997066673,32.9338,1000.0,99.9956828753,9.70155658171,1000.0,2.19941771279,39,39,2.19932,0.00203428,1000.0
43.0,2.25889,3.0,0.0286652,-2.57634,0.0,12.4375,30.3521,0.072354871241,2.25571170008,33.5219,1000.0,99.9956828753,9.87654260103,1000.0,2.25535800673,40,40,2.25506,0.107583,1000.0
75.0,2.33826,3.0,0.0311371,-2.66627,0.0,12.8974358974,30.6106,0.0744579868894,2.33506640296,34.0691,1000.0,99.9956828753,11.8154502758,1000.0,2.3349555999,41,41,2.33465,0.159306,1000.0
34.0,2.41214,2.0,0.0317201,-2.75018,0.0,10.3092783505,30.8886,0.0756364562704,2.40955236918,34.6477,1000.0,99.9956828753,7.23445482346,1000.0,2.40944406368,42,42,2.4094,0.189717,1000.0
37.0,2.50194,2.0,0.0346766,-2.84148,0.0,8.98198198198,31.189,0.0784791243731,2.49862193235,35.2544,1000.0,99.9956828753,6.3316479246,1000.0,2.49859793694,43,43,2.49827,0.258358,1000.0
40.0,2.56842,2.0,0.041258,-2.92765,0.0,9.9696969697,31.4514,0.0863841766318,2.56444022356,35.918,1000.0,99.9956828753,7.13570414504,1000.0,2.56429921519,44,44,2.56378,0.253649,1000.0
44.0,2.6555,3.0,0.042596,-3.01347,0.0,11.4157303371,31.667,0.0848047733729,2.65163519907,36.4702,1000.0,99.9956828753,8.70594397074,1000.0,2.65127954712,45,45,2.65136,0.331699,1000.0
53.0,2.7307,2.0,0.0441679,-3.10218,0.0,11.7058823529,31.8554,0.0883663984823,2.72650383099,37.0821,1000.0,99.9956828753,10.6349297179,1000.0,2.7263415826,46,46,2.72622,0.298984,1000.0
44.0,2.81587,3.0,0.0463219,-3.18668,0.0,12.6794871795,32.0396,0.088853213686,2.81166364972,37.4739,1000.0,99.9956828753,9.45636888861,1000.0,2.81157889542,47,47,2.81129,0.427134,1000.0
61.0,2.88464,3.0,0.0527287,-3.27328,0.0,15.3636363636,32.2837,0.0936266875898,2.88007626614,38.0271,1000.0,99.9956828753,12.6570573961,1000.0,2.8800495687,48,48,2.87982,0.37625,1000.0
92.0,2.96071,3.0,0.055627,-3.35156,0.0,14.6617647059,32.6146,0.0972238616322,2.95577063526,38.4717,1000.0,99.9956828753,14.7773776768,1000.0,2.95572794336,49,49,2.95535,0.244401,1000.0
87.0,3.03531,3.0,0.0549686,-3.43242,0.0,13.1842105263,32.9272,0.0973853736865,3.03000717755,38.915,1000.0,99.9956828753,12.3381207798,1000.0,3.02994871334,50,50,3.0299,0.306841,1000.0
76.0,3.09412,3.0,0.0573879,-3.51357,0.0,15.7741935484,33.2488,0.100109062523,3.08924141395,39.3033,1000.0,99.9956828753,15.8107959797,1000.0,3.08912734037,51,51,3.08842,0.206199,1000.0
45.0,3.18172,3.0,0.0609142,-3.60393,0.0,10.8602150538,33.5163,0.101169546199,3.17663230591,39.7809,1000.0,99.9956828753,7.76757998855,1000.0,3.17653825429,52,52,3.1765,0.242042,1000.0
83.0,3.27595,3.0,0.0651291,-3.68371,0.0,14.1857142857,33.8029,0.103422865803,3.27017747083,40.1989,1000.0,99.9956828753,13.9624934911,1000.0,3.270141517,53,53,3.26965,0.185588,1000.0
65.0,3.34578,3.0,0.0658621,-3.77482,0.0,12.8227848101,34.013,0.103398716806,3.34011210331,40.6591,1000.0,99.9956828753,11.0473772518,1000.0,3.34003540341,54,54,3.33984,0.238048,1000.0
94.0,3.41541,3.0,0.0777981,-3.85108,0.0,14.0428571429,34.2691,0.111379184147,3.40928775076,41.1016,1000.0,99.9956828753,13.4996674184,1000.0,3.40920391913,55,55,3.40924,0.172445,1000.0
