AveragePolicySurr,AverageAbsQYDiff,PolicyRegParamNorm,AverageQLoss,MaxEsReturn,AverageAbsQ,QFunRegParamNorm,Epoch,StdEsReturn,Iteration,AverageReturn,AverageEsReturn,AverageAbsY,StdReturn,MinEsReturn,AverageY,AverageQ,AverageAction,MinReturn,AverageDiscountedReturn,MaxReturn
0.111543,0.881936187438,13.2983,1.04434,142.740749344,0.237407,11.1193,9,15.229726033,9,53.4138723867,12.3511077715,0.801044873569,2.1272801962,-0.888045434893,0.494799490856,-0.229007,0.00583991,48.7269990894,40.9400305317,58.997313988
-1.03249,0.104744448083,14.1042,0.0301979,86.681954119,1.09996,11.7016,10,15.0640966093,10,40.7865429893,41.5281685773,1.11135959569,3.73652019111,5.54829412656,0.869318197105,0.863706,0.76558,33.550422362,29.374172677,49.1534692557
-1.75923,0.125979769252,15.4734,0.0504281,112.015051125,1.79799,12.7589,11,23.4843943557,11,38.7396209621,59.9069611578,1.80062351387,0.937122154488,20.9994758353,1.55246454702,1.55173,0.948366,36.6278807826,34.4309316005,41.850392994
-2.69216,0.17044135781,16.3493,0.113567,61.7217328852,2.66718,14.227,12,6.859726876,12,41.7778558297,45.2961921772,2.67022401543,1.13012517811,28.3582536204,2.4320664166,2.43099,0.795099,38.6758008338,36.8416589115,44.0415161144
-3.86277,0.218176595528,17.1139,0.214352,147.208838472,3.70917,15.6536,13,39.2623005079,13,94.2412177836,76.0621470804,3.71237627653,1.02912419032,6.09871984223,3.50304920767,3.50114,0.399721,90.9460063368,72.9088081835,97.6683364271
-5.2275,0.259849711357,18.236,0.31311,180.590337565,4.91773,17.0088,14,41.3749546093,14,80.4162327451,83.2116122019,4.92183414238,0.791458568905,35.7863319501,4.73133968278,4.72856,0.629237,77.6817667784,64.0385461977,82.1785417516
-6.72107,0.304370475465,18.912,0.453624,180.790834469,6.29789,18.4314,15,54.7033304974,15,165.477215967,119.331972048,6.30155904725,2.96576786394,20.1989424953,6.12676240933,6.12428,0.692564,157.668413114,108.724785119,169.811782284
-8.32443,0.357746787989,19.6259,0.663969,177.541305176,7.82525,19.7514,16,47.7374341432,16,172.384385947,153.454344921,7.82883375612,1.50120290715,18.0374303719,7.66760129559,7.66459,0.700785,168.309134291,111.706696986,175.013026789
-10.0298,0.41576651868,20.2971,0.925659,182.52699873,9.43622,21.1495,17,52.1658431898,17,171.523092247,141.170373219,9.44015559224,1.38493440764,30.0975194684,9.29559528721,9.29198,0.782634,169.035231576,111.128443972,174.570287768
-11.8513,0.45196837224,20.8833,1.09737,187.546972542,11.1356,22.6364,18,50.9397579091,18,170.860341363,150.229586684,11.1396750728,1.00736108768,16.6087522078,11.0071607865,11.0023,0.607907,168.535608333,110.912843027,173.547664729
-13.7483,0.504302670463,21.526,1.31982,185.594736498,12.922,23.9905,19,24.327693548,19,171.821747677,157.900351941,12.9253300543,1.13131074717,103.822147837,12.8102336527,12.8055,0.640161,169.119617458,111.334959836,175.271897853
-15.6689,0.544116858912,22.1286,1.51843,178.948674115,14.7154,25.3707,20,45.7188695686,20,171.873816711,149.893692385,14.718241364,1.48993091662,45.8319449169,14.621718639,14.6158,0.477438,168.91799162,111.351232314,174.33512275
-17.6156,0.593100963067,22.8423,1.7787,188.775937414,16.5638,26.6777,21,49.6117012429,21,172.678379954,129.514414812,16.5634396199,1.16517430966,62.8816785463,16.4809033676,16.4772,0.498429,169.576784909,111.587699451,175.333751893
-19.6082,0.626240633508,23.5984,1.979,220.14760264,18.4724,27.8788,22,41.232458177,22,172.841297133,162.533837218,18.4730910361,1.29985830697,79.2678397799,18.4038916462,18.3979,0.464299,166.802161652,111.743562011,175.741417082
-21.6294,0.63155149318,24.3052,2.14983,191.838713092,20.4041,28.9648,23,50.5561982062,23,171.4623037,144.150496211,20.404823694,1.47517353401,48.1792289309,20.3524470349,20.3457,0.557439,168.296993622,111.025753827,174.552505813
-23.5942,0.684876595199,25.0046,2.42196,214.552556097,22.3068,30.1614,24,72.2484205983,24,170.449904757,101.981822712,22.3051340878,1.25538874605,14.2001146001,22.2648714145,22.2595,0.714814,167.869829992,110.58139329,172.999718267
-25.4738,0.700469288775,25.6662,2.63247,187.394712833,24.1171,31.3042,25,62.8242777945,25,183.34770959,97.90782773,24.116341198,1.61493262073,16.1076126615,24.0819149192,24.0759,0.516517,178.308513353,116.212502628,187.163853156
-27.4023,0.768333301961,26.4559,3.2868,328.985430656,25.959,32.3073,26,81.2079226483,26,189.152379835,80.982617923,25.9573663124,12.592301676,30.3423071285,25.9276473851,25.9223,0.652574,179.046709364,118.365108312,225.126019122
-28.8845,0.774901793497,27.0061,3.28614,107.038420192,27.3219,33.3998,27,17.1955076262,27,245.177530039,52.8723998263,27.323422635,15.660484931,31.2390471439,27.2941986298,27.2863,0.554681,179.886876308,139.462433328,266.981036813
-30.5909,0.806635805476,27.4627,3.55318,71.7980380766,28.9072,34.3637,28,13.36303311,28,194.960908836,58.0797205618,28.9035153939,14.3272227443,27.1133667298,28.8775763839,28.8744,0.605605,183.491903849,120.104403092,250.370912683
-32.0781,0.847214666483,27.8827,4.08332,75.0573905599,30.3129,35.3661,29,12.2943447686,29,123.505086245,64.1097901119,30.3125435081,3.26604753917,28.9115204178,30.2896633798,30.2823,0.608596,118.371005239,88.8994978967,132.669053723
-33.7022,0.880099821455,28.2837,4.44524,130.073504898,31.8485,36.2987,30,34.7249750061,30,129.854444782,68.9666941276,31.8432527891,8.7870850496,17.0569444367,31.8236542565,31.8195,0.759675,122.147404596,91.5926616708,177.776199963
-35.3932,0.920672761499,28.7134,4.98342,214.088685678,33.4789,37.2979,31,78.981037123,31,185.977197033,110.665683253,33.4776236711,1.32418515667,9.58066391363,33.4574809955,33.45,0.647992,182.280335492,116.670698309,189.486972765
-36.9009,0.944634099496,29.1193,4.92357,254.46266033,34.9981,38.183,32,69.2333704171,32,206.089714093,90.0002886863,34.9925732057,36.3236108089,32.7633832526,34.973013173,34.9662,0.665723,177.266922461,124.485994641,279.045054803
