AverageDiscountedReturn,Epoch,AverageQLoss,StdReturn,AverageY,StdEsReturn,AverageEsReturn,AverageAbsQ,MinEsReturn,AverageReturn,AverageAbsY,QFunRegParamNorm,Iteration,AverageAbsQYDiff,MaxEsReturn,PolicyRegParamNorm,AverageAction,MinReturn,AveragePolicySurr,MaxReturn,AverageQ
-0.0935935962292,9,0.00225153,0.0069446331835,0.0326641267278,55.4599547238,9.15220082413,0.0338253,-33.4829609602,-0.936280160798,0.0326641267278,10.3168,9,0.0349864209412,93.8651537442,10.2596,0.00937217,-0.94989066724,-0.0407679,-0.930713079998,0.0143533
-9.83874883676,10,0.000612362,0.281273995668,0.0220531907295,45.1235750937,54.2922198208,0.0224766,-9.47388062175,-98.282717807,0.0220584659414,10.7207,10,0.00464744508059,88.3244256021,11.2553,0.983811,-98.7498449969,-0.0230201,-97.9753256483,0.0220907
-6.34688991311,11,0.000290613,0.531493058324,0.0340593862487,40.8526001354,40.5057057727,0.0339992,-17.2682760612,-63.4422768451,0.0340598205827,11.0382,11,0.00346855083566,69.5590518218,11.4082,0.635058,-64.0550275123,-0.0340055,-62.5236356098,0.0339986
-8.25337045754,12,0.000180797,2.12926095163,0.0396380022624,37.0410839086,44.0795490131,0.0396251,-6.6853438139,-82.8070968896,0.0396383494261,11.2623,12,0.00316764379138,80.653826728,12.4831,0.8289,-85.2461387567,-0.0395499,-78.2167948776,0.0396251
-2.43262931703,13,0.000120743,0.00529279885522,0.0417750055308,50.4917770117,40.2372092366,0.0417618,-10.2545677751,-24.3279461775,0.041775333763,11.6202,13,0.00307782109063,90.7289862484,12.9056,0.243523,-24.3350891196,-0.0416141,-24.319779102,0.0417618
-0.453444611389,14,5.94279e-05,0.0167436545858,0.0412134523144,68.8204113612,5.54090619238,0.0412115,-63.2795051688,-4.52727872386,0.0412140481048,11.7928,14,0.00239186267757,74.3613175536,13.6454,0.0453181,-4.55429117598,-0.0416975,-4.51079015883,0.0412115
-0.462447699834,15,2.54809e-05,0.0140016061215,0.0407916682474,0.0,-16.9282001752,0.0407918,-16.9282001752,-4.61785272717,0.0407921239327,11.9428,15,0.00194324225294,-16.9282001752,14.2947,0.0462248,-4.64847767338,-0.0413393,-4.60006669775,0.0407918
-2.4903201572,16,7.67939e-05,0.268767336056,0.0409158915555,0.77049037311,-30.7396457192,0.0409054,-31.5101360923,-25.022508046,0.0409163069974,12.2956,16,0.00282365019882,-29.9691553461,14.6137,0.250476,-25.5402281766,-0.0414431,-24.6649137632,0.0409053
-7.62773593492,17,5.45791e-05,0.489296974026,0.0391664398377,0.0,-0.15826312396,0.0391551,-0.15826312396,-76.4814349515,0.0391671014549,12.4438,17,0.002228448234,-0.15826312396,15.4043,0.76558,-77.1915279533,-0.0396598,-75.955779078,0.0391551
-4.98465421389,18,5.14871e-05,0.475193318172,0.0400953672511,4.46865521059,-55.6566298111,0.0400942,-60.1252850217,-49.9623618898,0.0400959952083,12.6519,18,0.00218402006651,-51.1879746005,15.3068,0.500124,-50.778432445,-0.0406494,-49.5615577915,0.0400942
