AverageAbsQYDiff,Epoch,AverageQLoss,AverageAction,MinEsReturn,AverageAbsQ,Iteration,AverageDiscountedReturn,MaxReturn,StdEsReturn,StdReturn,AveragePolicySurr,AverageY,QFunRegParamNorm,AverageEsReturn,AverageReturn,MaxEsReturn,AverageQ,PolicyRegParamNorm,MinReturn,AverageAbsY
3.64458193875,9,18.0159,0.207072,-17.4764956675,1.2876,9,-2.05129572289,-2.24904054831,4.08844660388,0.513513036797,0.400329,2.43710014342,11.4913,-4.27845917121,-3.84053771247,15.5967416903,-1.07035,11.7099,-5.57646891212,2.61046029089
0.397734473367,10,0.427133,0.999989,-19.1892103302,1.34572,10,-7.97622700601,-8.06977832066,3.07838143782,0.0675732250689,-1.55612,1.21361195813,11.8268,-8.21759606989,-8.25984166818,2.31553386517,1.17829,12.3654,-8.42985545808,1.4443197162
0.182764111339,11,0.0587702,0.999481,-17.5559924781,1.33387,11,-9.48946263603,-10.020184873,1.39269424433,0.0814266244574,-0.574642,0.531849389784,12.1045,-7.57275313523,-10.2249359861,-4.71046328465,0.529468,12.6209,-10.4485591995,1.34732324765
0.191220807543,12,0.0632671,1.0,-33.0499551242,1.79034,12,-5.30018159487,-5.96571958532,6.53093169828,1.30857796334,-0.865327,0.0443795211936,12.7197,-11.3333186336,-8.64198256904,3.91165613026,0.0435778,12.9778,-11.0743847497,1.79671737208
0.212843533841,13,0.0802348,0.846952,-20.5871408603,2.18178,13,-5.44894585524,-5.91555766709,3.61919331905,1.31389862055,-1.62378,0.454674176079,13.5448,-10.8146001557,-8.82346407729,-5.47139440501,0.452944,13.1118,-11.308112685,2.19071881351
0.242828742897,14,0.110094,0.546041,-23.7215923968,2.62087,14,108.399378199,461.472358521,19.1687389593,53.6944081693,-2.2166,0.779040302626,14.445,-5.89798119728,350.70916196,52.35523663,0.778315,14.2822,168.39812941,2.63039122234
0.265081479826,15,0.148514,0.61963,228.637352963,3.28194,15,99.2341292215,993.541012599,34.0189774914,148.558361179,-3.28836,1.50406394547,15.193,281.137471175,342.173970971,322.80332668,1.50296,15.3452,146.039046993,3.29277538989
0.283635250485,16,0.185933,0.773213,94.2065575284,4.05371,16,84.823600653,483.581268654,124.151129118,126.830909613,-4.44179,2.69447988399,16.037,244.258565029,222.510314705,414.966672085,2.69276,16.044,95.8796121191,4.06826421036
0.317914636117,17,0.277534,0.662031,17.0303096386,4.99991,17,22.3509010355,13.9799467214,149.124002933,1.3969673164,-5.62632,3.8589083953,16.8938,216.231585833,11.7548830254,384.009397584,3.85815,16.7749,8.24071913327,5.01367470868
0.354136790447,18,0.350066,0.638507,-20.4700185942,5.99464,18,96.6085105701,616.537059149,155.928588794,127.723222793,-6.73156,4.97739708967,17.7638,150.794692446,302.074934539,358.664390297,4.97581,17.5775,99.8227698609,6.00817685956
