StdEsReturn,PolicyRegParamNorm,StdReturn,AverageAbsQYDiff,AveragePolicySurr,MaxEsReturn,AverageEsReturn,AverageReturn,AverageAbsQ,AverageY,AverageQ,QFunRegParamNorm,MinReturn,MaxReturn,AverageQLoss,AverageAction,AverageAbsY,MinEsReturn,AverageDiscountedReturn,Iteration,Epoch
6.70474801772,11.2298,0.0476893789846,1.72727032117,-0.00289269,57.9567091639,9.71604425978,9.21280077542,0.306486,1.48176490621,-0.245505,11.1297,9.09154567925,9.33520563866,3.34891,0.219092,1.48176490621,1.46238056983,8.78893558144,9,9
2.02378668105,12.171,0.0409208142506,0.122944183529,-1.24408,17.9623786245,4.1583927702,5.29709685808,1.18025,1.18118142516,1.17173,11.4836,5.08023949779,5.40582966026,0.0558175,0.957809,1.19286860413,2.41882681064,5.13604803377,10,10
17.3183248096,12.7241,0.947583596577,0.0711142543312,-1.50284,58.603660548,23.6343874241,38.7059146278,1.42087,1.40337753248,1.4028,11.9665,36.6512086628,41.7115442406,0.0144675,0.999976,1.42103493798,4.90797793157,34.4057308666,11,11
9.62703152033,12.747,0.949460808852,0.103209302802,-2.34457,83.7875717884,41.3475184628,38.7436826789,2.09869,2.07274419673,2.07163,12.843,36.574154903,40.8155987426,0.045436,0.999983,2.0983902042,3.03369146717,34.4358616495,12,12
34.5098390953,13.3228,5.50347219446,0.150055649471,-3.43632,180.779192049,55.6251496159,170.798207968,3.08572,3.06321545262,3.062,14.2802,157.776371053,177.19015218,0.10796,0.858606,3.08573659362,30.6588220937,111.361828133,13,13
57.7095598303,14.6822,2.31636862789,0.199055559225,-4.69808,192.50511497,136.453523081,171.214416589,4.21989,4.19819725899,4.19652,15.6264,164.773137232,174.573610179,0.182827,0.799719,4.21923875659,3.60157093187,111.115310699,14,14
32.8310767038,16.5321,13.2603803009,0.248802789611,-6.12031,190.801215738,160.683115703,145.604154242,5.51075,5.49133643254,5.48986,17.1095,124.090387887,169.524865703,0.297745,0.797749,5.50937656917,68.2257580775,100.002797322,15,15
55.1399729982,17.7454,1.74353797931,0.279463459498,-7.68997,191.277563658,143.538704364,168.70580806,6.94733,6.93054461392,6.92838,18.4788,163.876642771,171.468141642,0.376077,0.74195,6.94635088497,3.59906013238,110.06446837,16,16
54.1004874967,18.6725,1.70964028,0.328791374327,-9.38189,202.397247277,147.788958487,169.927841215,8.5072,8.49137556805,8.49012,19.7706,164.662872147,172.726251532,0.524925,0.671232,8.50431624238,12.5302082519,110.842248608,17,17
41.3068283011,19.9331,1.33240546247,0.372510530419,-11.0585,175.237935369,140.668460903,171.653928302,10.073,10.0594477311,10.0572,21.2317,168.743439996,174.100065377,0.667283,0.577458,10.0699239574,42.0257680485,111.424233164,18,18
41.2809780187,21.4574,1.28328229195,0.396621088076,-12.8342,178.06566007,148.561031888,170.695593353,11.7303,11.716423252,11.7148,22.5288,166.875229925,173.375418735,0.790333,0.715509,11.7259365159,44.7611890545,111.036454685,19,19
26.1909288828,22.4931,1.16011171993,0.440749548452,-14.7381,181.66699759,162.726325262,170.482569611,13.5095,13.4962419564,13.4935,23.8207,168.394405377,173.039500395,0.902758,0.688913,13.50470663,89.7495421848,110.849847914,20,20
36.201832586,23.5434,1.6833550335,0.461333334652,-16.6406,179.382165766,158.730641428,171.419756295,15.326,15.3129440984,15.3098,24.981,165.226852407,175.14565287,1.04881,0.581298,15.3209157887,44.9986430792,111.259522997,21,21
37.1757353233,24.5089,1.33196754576,0.494560598945,-18.507,192.252021635,154.786868836,171.839030369,17.1335,17.1190616953,17.1167,26.2409,165.609370107,174.585884809,1.20537,0.655893,17.1264234377,52.4162552314,111.430999859,22,22
31.8904212037,25.5267,2.62976971045,0.538331155233,-20.407,212.005714451,164.749856733,172.687676307,18.9651,18.9526774808,18.9494,27.3983,165.555164261,178.053371632,1.51573,0.657765,18.9585461961,92.3757118646,111.68952443,23,23
10.6103394687,26.4717,4.52312769242,0.553917644259,-22.3403,191.747814223,173.768270308,184.322675282,20.7863,20.7727418551,20.7699,28.4636,177.478902382,196.089551426,1.58422,0.749365,20.7787585242,147.968334771,115.868955104,24,24
27.9983760598,27.3576,2.13448736219,0.601850578437,-24.3704,192.590878396,170.460649716,181.742990109,22.7177,22.7037778944,22.7008,29.5773,176.701220343,187.430103405,1.79158,0.656246,22.7092905174,94.7670162423,115.19209546,25,25
49.4402863447,28.1409,3.21913709256,0.651883340347,-26.2352,190.37612352,157.374830927,182.662885294,24.5423,24.5276645226,24.5236,30.6526,177.2410341,193.561340864,2.15817,0.850375,24.5334082081,15.7841194679,115.591222861,26,26
44.9595939501,28.8182,4.21719801495,0.672807338031,-28.285,202.606631594,154.684751471,186.925750649,26.4986,26.4810227686,26.4767,31.5766,179.091055681,197.142054502,2.48189,0.790557,26.4885281554,44.1611118039,116.512322782,27,27
26.7168488772,29.4074,1.98059948934,0.715476195287,-30.0756,202.223895784,165.346178168,182.995880808,28.2676,28.2488904978,28.2454,32.5862,177.861315389,186.69341131,2.8717,0.819326,28.2572885924,97.6415221487,115.989272203,28,28
50.2803540301,30.028,2.73897278608,0.753469841158,-31.8701,209.617905153,158.36805402,182.956936997,30.0735,30.0522570698,30.0496,33.4713,173.456014335,188.020022882,3.06996,0.782591,30.058534484,44.3738413065,115.975976972,29,29
47.7176259006,30.6317,4.30387980317,0.788379479329,-33.6362,200.070720982,160.960915684,190.259599943,31.7774,31.75603558,31.7522,34.3824,180.235589679,196.001304485,3.28729,0.776379,31.7627382656,43.3418612843,118.559874841,30,30
39.88642975,31.0318,2.91776405047,0.826780462756,-35.5438,216.192068956,167.742524278,172.422283396,33.6274,33.6105877466,33.6068,35.3051,163.094261444,177.27938133,3.71092,0.791448,33.6147732292,49.9748276857,111.496883544,31,31
63.4849096174,31.5919,2.56393382437,0.859515169032,-37.1904,188.638350532,137.105009318,179.925478093,35.3094,35.2917458523,35.2869,36.2463,171.444091599,183.86682075,4.09212,0.773464,35.2964695515,9.12943433924,114.826862106,32,32
40.7815015225,32.046,2.43642701487,0.87324227869,-38.9804,228.587015386,156.607980086,176.297771776,37.04,37.0219816327,37.018,37.0692,167.385615693,180.786134525,4.29064,0.800785,37.0260508787,91.1704073232,113.270961023,33,33
39.2550021428,32.5076,2.34625754575,0.911125860309,-40.6727,201.851984339,158.243101374,182.818919787,38.7106,38.6914264782,38.6878,37.923,175.8277576,186.550455792,4.88428,0.781441,38.6956463156,69.1587036077,116.105065648,34,34
48.7041524345,32.9347,5.51293014005,0.907013547945,-42.332,220.09851278,157.266437231,171.715869797,40.3441,40.3242542483,40.3207,38.7019,161.205507983,182.395489672,4.53311,0.747511,40.3273174579,29.2385205337,111.286721181,35,35
