PolicyRegParamNorm,StdReturn,AverageAbsQ,AverageDiscountedReturn,Iteration,MinEsReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageReturn,AverageQLoss,AverageQ,AverageAction,MinReturn,Epoch,AverageY,MaxReturn,StdEsReturn,MaxEsReturn,AverageAbsY,AverageEsReturn
11.7816,0.0401776579556,0.8146,-7.45087154855,9,-17.5520048122,-1.0406,2.93486792888,11.5829,-8.04506910032,9.59713,0.391051,0.55325,-8.15873597302,9,3.32591855075,-7.92188884322,3.27844101178,3.33987923551,3.32591855075,-9.59949564643
12.5789,0.0828762819263,1.60123,-8.03921539346,10,-15.5146340269,-2.47561,0.387857206053,11.8771,-8.32814023039,0.358438,1.59399,0.999955,-8.51497731894,10,1.60544507984,-8.1093350202,1.68047373053,-2.7172243729,1.63427761042,-7.72233371778
13.0626,0.064777370217,1.1244,-7.81507100768,11,-12.6239973601,-1.52189,0.166047119992,11.9898,-8.09233098361,0.0506897,1.09725,1.0,-8.26481132299,11,1.1010689105,-7.92426704441,1.77086793377,0.319285994844,1.13236539831,-7.32153521251
13.143,0.0629260860657,1.09104,-7.8154430128,12,-15.1110750764,-1.3174,0.129554036322,12.1625,-8.09272934127,0.0285723,1.04421,1.0,-8.24820417924,12,1.04602204545,-7.93570168953,1.83741032775,-3.9158460559,1.09658143134,-7.39079213523
13.1447,0.0657264917325,0.929225,-7.81516062489,13,-12.4229890876,-0.838785,0.108174738028,12.3153,-8.09243181365,0.0195433,0.801325,1.0,-8.24361638401,13,0.802008603209,-7.93502804545,1.61071244345,-3.56116387883,0.933542569652,-7.33892745405
13.1448,0.0621666973603,0.736721,-7.81329166996,14,-12.5686580988,-0.267298,0.0965446091963,12.4882,-8.09048621465,0.0159872,0.407819,1.0,-8.24139422512,14,0.40761046208,-7.93866863073,1.5394378118,-4.19705242329,0.741075423265,-7.37894752746
13.1533,0.0650498309554,0.592421,-7.81591998441,15,-14.6360182931,0.243089,0.0855921473776,12.6617,-8.09322108719,0.0132687,-0.0430747,1.0,-8.26103605059,15,-0.0438540594003,-7.92395264079,1.77336071463,0.753542079064,0.59513931558,-7.46795471167
13.1533,0.0650859031812,0.556652,-7.81412006188,16,-12.2757942149,0.544487,0.0737566152377,12.8677,-8.0913535482,0.0103937,-0.413671,1.0,-8.25816101303,16,-0.414755398128,-7.93471855256,1.55699531847,-4.12422762597,0.557663958709,-7.3298895716
13.1533,0.0650422603212,0.576284,-7.81478380151,17,-14.8006702463,0.590789,0.0584943692571,12.9992,-8.09203006416,0.00653351,-0.570848,1.0,-8.26120895968,17,-0.571696327139,-7.92425559159,1.76537388312,-0.608772947271,0.577356798048,-7.26408204356
13.1533,0.0652350235077,0.578831,-7.81536928004,18,-14.8276653763,0.559733,0.04909579173,13.1064,-8.09264397386,0.00475307,-0.578506,1.0,-8.25186902585,18,-0.578937033624,-7.93848383592,1.69919710873,0.707423977885,0.579281860521,-7.34445117967
13.1533,0.065077249196,0.550869,-7.8143999241,19,-11.5798563773,0.536707,0.0420737650495,13.2246,-8.09163629228,0.0035591,-0.550671,1.0,-8.23947602391,19,-0.550952696319,-7.94006591041,1.55884837226,-0.0881405268826,0.551056284895,-7.36595863751
13.1533,0.065094800429,0.545483,-7.81409280842,20,-13.5075353979,0.55276,0.0366609734747,13.3592,-8.09133626562,0.00275223,-0.545415,1.0,-8.25341299543,20,-0.545539767651,-7.93370035228,1.7192372883,0.0537654612012,0.545571726037,-7.54424021451
13.1533,0.0646685047662,0.561573,-7.81609158515,21,-12.213301948,0.57938,0.0334854940774,13.5195,-8.09340072157,0.00233187,-0.561476,1.0,-8.25393526013,21,-0.561665732714,-7.91941360125,1.48221159863,0.864087023844,0.561686471499,-7.22701737472
13.1533,0.065592598044,0.582415,-7.81483377143,22,-11.5658831149,0.601528,0.0307106152923,13.7215,-8.09208593142,0.00204039,-0.582326,1.0,-8.24021267124,22,-0.582531315027,-7.93969361279,1.55151422929,0.712612415201,0.582561802249,-7.37768746075
13.1533,0.0655035931105,0.595988,-7.81677034757,23,-13.5652234879,0.605316,0.0267066777334,13.9309,-8.09409525274,0.00155051,-0.595905,1.0,-8.25293662995,23,-0.596084198032,-7.9388278912,1.48206088658,-4.05148539412,0.596118105725,-7.20685789506
13.1533,0.0637005952129,0.600767,-7.81354235952,24,-11.7771461714,0.604371,0.0237227487779,14.1156,-8.09075634993,0.00126289,-0.600724,1.0,-8.26417487102,24,-0.600892076008,-7.93380812449,1.37591596998,-3.93650818848,0.600911498459,-7.21929425787
13.1533,0.0648069987914,0.59925,-7.81580369107,25,-12.7752228092,0.598469,0.021683328838,14.3408,-8.09309940104,0.000998998,-0.599226,1.0,-8.26829442899,25,-0.599351770506,-7.92047046187,1.73018247944,-0.503173430699,0.599372618917,-7.25483041529
13.1533,0.0655244565935,0.595692,-7.81764206183,26,-12.3465050333,0.595912,0.0197091499668,14.5533,-8.09500377828,0.00078958,-0.595664,1.0,-8.23995010147,26,-0.595749883697,-7.94042156843,1.46728883507,-3.53706934104,0.595759922416,-7.39790877251
13.1533,0.0648868144604,0.59575,-7.81514356742,27,-12.1696688597,0.597833,0.0191220505679,14.7843,-8.09241257215,0.000881432,-0.595734,1.0,-8.25246392639,27,-0.595865638039,-7.92506941778,1.47288414584,-2.78872395605,0.595878792718,-7.34335578566
13.1533,0.0650767329768,0.594035,-7.81349551262,28,-14.3179919328,0.595901,0.0190970071651,14.9704,-8.09070281967,0.000943473,-0.594018,1.0,-8.2593039013,28,-0.594153543509,-7.94656870642,1.83194147151,0.601418000383,0.594173823499,-7.35259002001
13.1533,0.0639039627778,0.59318,-7.81475708538,29,-12.9923025708,0.595968,0.0178361560194,15.2282,-8.09200426258,0.000789696,-0.593163,1.0,-8.24942768564,29,-0.593241936379,-7.93087050637,1.59957554368,-0.404921493439,0.593257929078,-7.24349341894
