Iteration,AverageAbsY,AverageQLoss,MinEsReturn,AverageAbsQYDiff,MaxReturn,StdEsReturn,PolicyRegParamNorm,QFunRegParamNorm,AverageY,AverageDiscountedReturn,AverageAbsQ,AveragePolicySurr,AverageAction,AverageReturn,StdReturn,MinReturn,Epoch,AverageEsReturn,AverageQ,MaxEsReturn
30,1.50125956613,0.00771644,-241.587949229,0.0550493581523,11.4457630057,0.0,21.7584,17.179,1.50118195351,-10.0243884362,1.50088,-1.57809,0.60147,-269.524390204,406.396461918,-914.684432166,30,-241.587949229,1.50088,-241.587949229
31,1.50393839775,0.00815968,-224.43480055,0.0542864137844,-142.318908953,0.0,22.1505,17.5584,1.50385545075,-16.9530743128,1.50358,-1.57155,0.572439,-279.799019498,59.0505460797,-377.014657212,31,-224.43480055,1.50358,-224.43480055
32,1.50039244496,0.00705146,-239.00430976,0.0529387087374,-14.3249990704,0.0,22.6072,17.9382,1.50030856013,8.96080619743,1.49993,-1.55924,0.733173,-31.6269633329,8.53634303603,-43.8719053853,32,-239.00430976,1.49993,-239.00430976
33,1.49257097231,0.00789411,-213.011321215,0.0528330658122,-101.942104695,0.0,23.0001,18.3459,1.49245672862,-34.6832614237,1.49231,-1.5479,0.753073,-391.275481592,156.787765428,-584.04153406,33,-213.011321215,1.49231,-213.011321215
34,1.48987814048,0.0067531,-169.464304321,0.0498903886452,-456.70543747,0.0,23.2663,18.7038,1.48979084249,-37.9411634664,1.48958,-1.54307,0.737645,-531.817221309,58.1324930571,-633.542336314,34,-169.464304321,1.48958,-169.464304321
35,1.4813672245,0.00586226,-167.630102709,0.0484515713641,-127.341046157,0.0,23.5529,19.0574,1.48132606482,-38.3547223199,1.48105,-1.53533,0.710168,-410.026307271,116.772380402,-548.151987754,35,-167.630102709,1.48105,-167.630102709
36,1.47260062085,0.00668729,-190.26422173,0.0499727821407,34.45840955,0.0,23.8673,19.4752,1.47250857993,-2.1955730166,1.47239,-1.52561,0.643496,-32.9639162005,35.4010309597,-87.3508598617,36,-190.26422173,1.47239,-190.26422173
37,1.46770866946,0.00761367,-22.0978104754,0.050131718493,-128.396257187,0.0,24.3143,19.8124,1.46759344291,-21.0258498649,1.46733,-1.51935,0.691588,-169.490986116,28.5383240572,-215.183167918,37,-22.0978104754,1.46733,-22.0978104754
38,1.46339167553,0.00636659,-48.4906554679,0.0497793808414,357.815065029,0.0,24.6524,20.1439,1.46328231654,11.8635112704,1.4631,-1.5156,0.662259,214.18453395,105.089565094,-12.6454008682,38,-48.4906554679,1.4631,-48.4906554679
39,1.46392790335,0.00623185,11.3903790193,0.0491790379627,-63.3358052535,0.0,24.9532,20.4682,1.46384408228,3.89810569997,1.46371,-1.51584,0.676059,-153.981294747,49.517203708,-240.633554591,39,11.3903790193,1.46371,11.3903790193
40,1.45402501461,0.00633005,-121.626755026,0.0504822418186,-256.714331819,0.0,25.2467,20.7918,1.4539288839,-9.46336733007,1.45369,-1.50911,0.738199,-327.127020737,58.3268483667,-472.143108614,40,-121.626755026,1.45369,-121.626755026
41,1.45974081207,0.00705295,-16.3447407085,0.0519442514688,-111.856295994,0.0,25.5505,21.1828,1.45967232974,-4.84507398424,1.45942,-1.51397,0.746286,-275.369931208,74.7397216966,-396.39367082,41,-16.3447407085,1.45942,-16.3447407085
42,1.45803293511,0.00622734,-42.7802341286,0.0517459259665,-113.544576096,0.0,25.9124,21.517,1.4579621179,-3.19344251253,1.45787,-1.51231,0.775149,-169.189762942,27.9119374247,-210.804083063,42,-42.7802341286,1.45787,-42.7802341286
43,1.46860903123,0.00798651,-29.4205947055,0.0541748534195,-21.1371278985,0.0,26.1534,21.9339,1.4684795035,-6.7049283076,1.46817,-1.5217,0.687039,-103.225645783,48.346607707,-156.709266843,43,-29.4205947055,1.46817,-29.4205947055
44,1.46840733716,0.00662942,22.461044442,0.0526300433988,207.175658777,0.0,26.4191,22.2513,1.46834925994,19.492472353,1.46816,-1.52081,0.734428,153.990901676,37.2288977912,104.065455805,44,22.461044442,1.46816,22.461044442
45,1.47755049889,0.00784021,-40.7474676774,0.0540750401076,47.4059898713,0.0,26.8422,22.6403,1.4774372184,14.9135685232,1.47727,-1.53138,0.723277,-61.3502188571,51.0005715494,-156.322787017,45,-40.7474676774,1.47727,-40.7474676774
46,1.46529231737,0.00758304,-29.5736643082,0.0545990601097,160.106932257,0.0,27.1898,22.9369,1.46517822845,23.8890452899,1.46499,-1.51946,0.755403,103.36832133,25.4527073148,56.9093504714,46,-29.5736643082,1.46499,-29.5736643082
47,1.48307578851,0.0087438,-11.7852555735,0.0570196588765,164.76145077,0.0,27.5244,23.2738,1.48293391975,20.8035099715,1.4827,-1.53948,0.655347,60.3734317713,67.1182966648,-94.1170210792,47,-11.7852555735,1.4827,-11.7852555735
48,1.4829113711,0.00721739,30.6997324259,0.0551239250068,82.7898491315,0.0,27.7728,23.5711,1.4828510511,20.6698131172,1.48261,-1.53966,0.695959,31.6832938539,31.5765175121,-34.3355096771,48,30.6997324259,1.48261,30.6997324259
49,1.50753394885,0.00744551,73.3657600648,0.0555767675661,-87.1253438952,0.0,28.0692,23.9086,1.50742169582,12.702464466,1.5072,-1.56537,0.720951,-181.633140942,52.7503597479,-286.037722116,49,73.3657600648,1.5072,73.3657600648
50,1.52465339324,0.00768249,34.9082625828,0.0561662600437,117.026530222,0.0,28.2814,24.2467,1.52454651882,22.7444322468,1.52426,-1.58167,0.661168,45.5719280992,43.6517253873,-41.0854152095,50,34.9082625828,1.52426,34.9082625828
51,1.52956622234,0.00874495,35.4538911593,0.056705196682,248.111680833,0.0,28.5915,24.5757,1.52944355528,32.2289762709,1.5291,-1.58592,0.681134,178.855602066,40.0892156968,112.696797518,51,35.4538911593,1.5291,35.4538911593
52,1.54165600866,0.00816445,61.2670003965,0.0568452234333,146.250822166,0.0,28.9256,24.9184,1.54151856483,19.4889490702,1.54144,-1.59818,0.732121,51.5066200867,112.676242215,-275.987709888,52,61.2670003965,1.54144,61.2670003965
53,1.55551772863,0.00811639,130.614311767,0.0578249149246,83.1061279708,0.0,29.2368,25.2149,1.55541011509,8.99137521385,1.5552,-1.61193,0.643596,57.3042309409,22.9963249762,11.9036030587,53,130.614311767,1.5552,130.614311767
54,1.57081862511,0.00837404,114.805320896,0.0581809709837,101.961930226,0.0,29.5198,25.5425,1.57074724619,14.3506545291,1.57045,-1.62865,0.709322,61.6038485837,32.0576512152,-5.96920176411,54,114.805320896,1.57045,114.805320896
55,1.5879120903,0.00863439,124.894872827,0.0594289296709,288.55345149,0.0,29.7744,25.8553,1.58783216645,17.2498271977,1.58771,-1.64564,0.738043,227.673374121,39.1136434933,149.970960522,55,124.894872827,1.5877,124.894872827
56,1.61036342702,0.00843768,125.846137382,0.0598042433974,305.128010028,0.0,30.0342,26.103,1.61028246618,28.4227867411,1.60984,-1.66628,0.771499,231.331465335,43.5796673917,157.629047928,56,125.846137382,1.60984,125.846137382
57,1.62446384489,0.00769246,135.022565902,0.0582420338437,164.951147851,0.0,30.2848,26.3624,1.62440447755,6.0082974412,1.62428,-1.68455,0.819826,30.9751191208,201.437082751,-539.545417085,57,135.022565902,1.62428,135.022565902
58,1.64341278481,0.0098532,137.458045661,0.0615144051565,592.99863371,0.0,30.5978,26.6423,1.64328578156,34.2274422577,1.64298,-1.7032,0.686122,482.823863424,114.645917949,164.37479244,58,137.458045661,1.64298,137.458045661
59,1.67227741682,0.00876972,120.367716143,0.0604030759686,329.209743639,0.0,30.8371,26.901,1.67218507905,24.2200342449,1.67191,-1.73014,0.813038,273.964623347,42.3355771855,194.246907564,59,120.367716143,1.67191,120.367716143
60,1.69497613949,0.00921871,225.08321837,0.0615584896372,430.604836049,0.0,31.071,27.1386,1.69486991178,29.4607971336,1.69455,-1.75421,0.793197,337.222280521,56.9999867119,231.377208353,60,225.08321837,1.69455,225.08321837
61,1.73759226927,0.00989048,321.948436066,0.0628597747436,780.05047526,0.0,31.2503,27.4626,1.73749829321,63.4422741959,1.73718,-1.79958,0.773937,680.444576749,108.355630365,439.222395196,61,321.948436066,1.73718,321.948436066
62,1.76647934202,0.00890121,203.179446033,0.0614473395054,560.904857382,0.0,31.4762,27.7476,1.76641430925,40.9391148382,1.76619,-1.82896,0.643863,506.329210519,38.8915469334,429.638508019,62,203.179446033,1.76619,203.179446033
63,1.79834673718,0.00948071,239.481831337,0.0621905350614,408.81053264,0.0,31.627,27.9983,1.79826851398,16.7189072995,1.79797,-1.85904,0.681942,344.609797678,45.5003165682,267.644735991,63,239.481831337,1.79797,239.481831337
64,1.83359646564,0.00961129,192.131831222,0.0628606574362,840.357460056,0.0,31.8328,28.277,1.83349312591,37.4980504084,1.83309,-1.89546,0.757627,612.735201837,119.180934203,412.329046871,64,192.131831222,1.83309,192.131831222
65,1.8775798015,0.00998934,176.608997305,0.0636566626653,781.809425422,0.0,32.0761,28.4999,1.87748294723,54.5107165447,1.87712,-1.94137,0.782324,675.502948322,105.167083816,495.365384958,65,176.608997305,1.87712,176.608997305
66,1.92010192364,0.00997665,191.254535931,0.0635092688493,459.465227799,0.0,32.2756,28.7046,1.92003537605,27.0776239143,1.91974,-1.98319,0.839351,384.128468888,44.2366961132,329.855636157,66,191.254535931,1.91974,191.254535931
67,1.95249473192,0.0111455,302.186946791,0.0646208206955,692.617464985,0.0,32.4766,28.9866,1.95237667769,29.531374296,1.95208,-2.01639,0.772067,476.375900833,180.51411281,154.254720956,67,302.186946791,1.95208,302.186946791
68,1.9736301288,0.0111776,187.290478473,0.0662254775257,745.964111094,0.0,32.6586,29.2378,1.97354422855,40.6682628585,1.97322,-2.03771,0.885769,201.682666898,405.993014981,-385.235001749,68,187.290478473,1.97322,187.290478473
69,2.00090831,0.0119832,-404.343515448,0.0677012021763,1063.00385891,0.0,32.8655,29.5191,2.00077825735,70.3864766172,2.00031,-2.06896,0.862412,573.061100219,480.317861814,-447.207090757,69,-404.343515448,2.00031,-404.343515448
70,2.04960156146,0.0114981,275.931227987,0.0685701451027,847.497031673,0.0,33.0742,29.7678,2.04952050375,33.7680575027,2.04911,-2.11859,0.870658,399.322696087,378.760162145,-541.253531236,70,275.931227987,2.04911,275.931227987
71,2.09872494534,0.0125409,380.741546272,0.0694270715708,935.429167281,0.0,33.2099,30.0171,2.09864450914,67.3896775679,2.09833,-2.16674,0.82441,596.01410945,273.196066991,82.2894517421,71,380.741546272,2.09833,380.741546272
72,2.14703174687,0.0128212,599.74667735,0.0702968059054,875.283829796,0.0,33.4376,30.275,2.14693953066,84.8170992147,2.14658,-2.21593,0.840777,470.943571212,245.549721419,-81.7770913533,72,599.74667735,2.14658,599.74667735
73,2.20460044233,0.0137049,370.790950068,0.0722043642007,779.296793269,0.0,33.6607,30.5526,2.20446880653,62.1645656991,2.20398,-2.27285,0.873307,583.64838489,84.2250742525,433.942034698,73,370.790950068,2.20398,370.790950068
74,2.26127181613,0.0136692,591.748716387,0.0732917064642,786.292773935,0.0,33.8561,30.8403,2.26118244971,75.6201380156,2.26072,-2.33268,0.892229,587.275909406,88.9814142666,443.836724473,74,591.748716387,2.26072,591.748716387
75,2.30228597762,0.015893,511.545541458,0.0759527377443,1103.49663293,0.0,34.0647,31.1146,2.30220045838,104.890913694,2.30179,-2.37285,0.868211,624.492217894,229.665417898,390.902308441,75,511.545541458,2.30179,511.545541458
76,2.34866619019,0.0148753,340.089741061,0.0758165282399,1076.7825611,0.0,34.3222,31.3279,2.34858706778,88.5098342253,2.34804,-2.42575,0.873599,725.34533285,234.822244563,402.376427715,76,340.089741061,2.34804,340.089741061
77,2.3987735999,0.0149073,367.565508563,0.0757959558062,1520.11494236,0.0,34.5374,31.5302,2.39871369179,105.494367666,2.39824,-2.47492,0.8663,1206.18552912,252.980685446,674.835764065,77,367.565508563,2.39824,367.565508563
78,2.4649605143,0.0150802,410.711747132,0.0766423007031,890.135793203,0.0,34.6779,31.7786,2.46487479803,52.7525870995,2.46445,-2.54339,0.892121,494.993396892,144.712456184,347.636802201,78,410.711747132,2.46445,410.711747132
79,2.50945585919,0.0183276,708.215655464,0.0806441402359,794.988330422,0.0,34.8869,32.0434,2.50936775764,74.5430800502,2.50899,-2.5845,0.862083,565.262498598,156.438722571,237.474949177,79,708.215655464,2.50897,708.215655464
80,2.56037147795,0.0176037,230.955399056,0.0806758478003,1388.21605351,0.0,35.085,32.3246,2.56027569893,110.531927436,2.55976,-2.63993,0.877577,781.534056871,387.21852197,169.042936892,80,230.955399056,2.55975,230.955399056
