AverageQLoss,MinReturn,MaxEsReturn,MaxReturn,AverageQ,AverageDiscountedReturn,AverageY,AverageAction,PolicyRegParamNorm,AverageAbsY,StdEsReturn,Iteration,StdReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageAbsQ,MinEsReturn,AveragePolicySurr,AverageReturn,AverageEsReturn,Epoch
3.07817,9.10444437477,60.6555886444,9.35784086564,-0.178065,8.80179521428,1.49519640025,0.218828,11.2294,1.49519640025,7.10745382508,9,0.0479151792853,1.6732615532,11.1303,0.245849,2.06941652523,-0.0519451,9.22694264203,9.8058653191,9
0.0560076,4.79469110661,38.5487976821,4.94801985663,1.19352,4.74386815314,1.20271244117,0.945689,12.1848,1.21544429181,3.33519921896,10,0.0301276161506,0.125237178584,11.4638,1.20288,2.96785943758,-1.2729,4.87159993559,4.56484045699,10
0.013567,5.10729059596,50.4015929149,5.4108514635,1.42093,5.13538476934,1.42157828408,0.999997,12.3975,1.43966890688,5.54259908472,11,0.0419015568069,0.0709666687495,11.8846,1.43958,4.68723157494,-1.42665,5.29639182656,7.66201287835,11
0.0175588,36.7353681945,40.9408821057,40.8749528389,1.78858,34.4560946627,1.78913891463,0.999996,12.6811,1.81781981762,4.25358005128,12,1.0191662109,0.0798241181524,12.5864,1.81867,4.66158742124,-1.79334,38.7699812503,7.14310048935,12
0.0627324,36.6617371548,73.1403823723,41.9069364627,2.51321,34.4982272983,2.51458917553,1.0,12.711,2.54752097974,7.44949508546,13,0.947992565622,0.118654852089,13.6575,2.54773,16.9511575821,-2.92959,38.822195015,42.4542928066,13
0.162528,36.7154937963,64.7972227605,41.7764030702,3.67456,34.4664262851,3.67614799196,1.0,12.7157,3.70270718669,7.33849841939,14,0.937024285982,0.170447072857,15.1172,3.70253,16.3890831554,-4.17137,38.7819703313,42.0612000427,14
0.24446,36.5943261954,69.6427768057,40.7208709143,4.83105,34.4824836762,4.83250691746,1.0,12.7205,4.85505313484,6.52505204246,15,0.903132204096,0.210935865619,16.6762,4.85526,18.0217078428,-5.43722,38.805024474,40.9006125205,15
0.268918,36.6731594196,79.8604478392,40.6698367863,6.05252,34.4798748197,6.05402695437,1.0,12.7222,6.07397863239,6.98984676707,16,0.892069066808,0.235557633996,18.141,6.07502,36.0995032194,-6.77856,38.7974128216,42.428756007,16
0.29682,50.2692296451,70.0787901109,69.2610533192,7.34016,49.9472051044,7.3415092028,0.836338,13.8179,7.35897837148,8.57428573655,17,3.27720363632,0.263818118323,19.3767,7.36086,22.4253435743,-8.16968,59.2297538203,43.9296690708,17
0.30508,175.326806142,183.940761871,180.080641259,8.64632,113.477670882,8.64850860271,0.555151,16.2071,8.6627790708,53.3376985097,18,1.03825908583,0.274138908253,20.3936,8.66405,38.1905693035,-9.69951,177.160863584,116.461861406,18
0.412161,173.264284506,180.468989578,177.131766907,10.0208,112.544067187,10.0233778388,0.676805,17.3461,10.0367136565,49.3165920169,19,0.960209096454,0.312105367856,21.3484,10.0374,3.72401354021,-11.2343,175.217122012,155.365663754,19
0.559862,173.693477957,180.117679693,177.340156212,11.6357,112.67064411,11.6377333575,0.687999,18.2995,11.6473543591,38.4018742562,20,0.903321225564,0.357595509523,22.4,11.6489,31.9854903301,-12.9758,175.430848341,162.308472904,20
0.759967,171.815111817,190.184678635,176.911035061,13.3353,112.259824398,13.3377005476,0.831993,19.1965,13.3469046507,31.1425875194,21,1.16905746125,0.398107063211,23.487,13.3485,66.7510626938,-14.7929,174.081536215,168.561613806,21
