MaxEsReturn,StdReturn,Epoch,AverageQ,AverageAbsQ,AverageQLoss,MaxReturn,MinEsReturn,AverageY,AverageAbsQYDiff,MinReturn,AverageAction,AveragePolicySurr,AverageAbsY,Iteration,QFunRegParamNorm,StdEsReturn,AverageEsReturn,PolicyRegParamNorm,AverageDiscountedReturn,AverageReturn
55.5440461426,0.0483535928537,9,-0.143223,0.193865,0.960025,9.34785771384,1.58021867081,0.681664010508,0.824886881278,9.10263506175,0.21975,-0.0637693,0.681664010508,9,11.1298,6.71880227603,9.76112854735,11.2292,8.79375613674,9.21823628537
7.03738861437,0.0175500327516,10,0.332408,0.333854,0.0302241,3.12284484589,2.8717176159,0.335155416713,0.0907764720939,3.04873114256,0.99997,-0.429123,0.335238911628,10,11.2415,0.80458087598,3.76247155438,11.7214,3.03708507144,3.0862795023
7.47611933359,0.01764402536,11,0.28007,0.283354,0.00419604,3.12274835823,2.70593810667,0.280310920248,0.0382452655701,3.04933699827,0.999992,-0.311962,0.280416367156,11,11.3217,0.716892221634,3.66480726781,11.846,3.0375861037,3.08679606569
17.2201975737,0.061394604552,12,0.250326,0.254577,0.001242,6.02289301348,3.03682388768,0.250325385661,0.0231244244389,5.70406174305,0.999994,-0.264027,0.250668741942,12,11.3593,1.60687686742,4.28809506053,12.1587,5.67729781756,5.83612044357
16.6026038798,0.0601109338587,13,0.242365,0.246072,0.000756605,6.00438869935,5.27996172711,0.242353461127,0.0190531165405,5.69722639284,0.999999,-0.277968,0.243242971539,13,11.402,2.02865909456,7.07306712542,12.1652,5.67795468072,5.83670066332
30.3612878105,0.061914900004,14,0.228989,0.23287,0.000595727,6.01696824087,4.5686237022,0.228959103201,0.0172012291231,5.70007678675,0.99999,-0.235149,0.230594644721,14,11.4817,3.71695506983,7.38992910876,12.1593,5.67747592168,5.8363074372
89.0454532134,0.871263121252,15,0.22112,0.224705,0.000709493,41.8543054189,5.48890694545,0.221175490215,0.0161633432219,36.7595997074,0.999968,-0.293021,0.223396119357,15,11.5598,18.3298843234,33.2007509357,12.4524,34.5467385221,38.8844219776
52.0630058017,0.892321910713,16,0.284927,0.286393,0.00100404,40.8096314948,16.4589472689,0.285018313434,0.0182411244936,36.6975399581,0.99998,-0.338777,0.285180377387,16,11.7195,5.1951715117,41.1932566103,12.4789,34.4703911084,38.7858450824
50.2077382652,0.873458091825,17,0.306839,0.308101,0.00079345,40.6559354778,6.16831600801,0.306925752815,0.0169672892808,36.7831576438,0.999998,-0.352591,0.30710184764,17,11.9089,6.54234396011,39.9920333868,12.6052,34.5320035872,38.8652874104
173.6121269,2.89293205196,18,0.322811,0.324183,0.000741014,182.907397496,6.30874783763,0.322838543477,0.0167310102978,168.565836721,0.927617,-0.365882,0.323189340177,18,12.1207,23.3486822604,45.2832854546,13.7228,104.943880536,175.286618599
216.835647901,2.7742756859,19,0.329707,0.331576,0.000618803,124.961201397,18.7624850388,0.329747755418,0.015671876537,113.02644077,0.920324,-0.384678,0.330795282202,19,12.3326,55.289517602,125.813438621,14.9522,86.0855191882,119.26550813
174.459803265,2.80496016654,20,0.343015,0.345328,0.000682076,131.429153072,8.90236123169,0.34307344303,0.0153785017857,115.584544524,0.946262,-0.394463,0.344756162601,20,12.5827,35.3695979159,95.6624986099,15.9261,87.6744980681,122.058372751
187.713585148,1.66165218151,21,0.354573,0.356642,0.000686916,176.000440052,57.266133042,0.354647655825,0.0152752377664,167.735354451,0.954531,-0.406269,0.356107100978,21,12.8189,40.7287084469,138.417444117,16.9216,110.937208566,171.036047499
198.473630774,2.74383053842,22,0.367935,0.369802,0.000778403,178.587606706,47.3012388798,0.368054694305,0.015766164178,166.983043079,0.950641,-0.42038,0.369356338496,22,13.1661,48.3703805472,140.099751021,17.9607,111.846324582,173.62751609
188.249472099,16.0526933753,23,0.378084,0.379597,0.000744255,187.42551416,83.9064621212,0.378143658019,0.0153369196377,136.757443664,0.822874,-0.428914,0.379075462126,23,13.5137,38.7097275206,143.208285071,18.8099,106.642541245,162.587495874
227.107622846,6.06430211591,24,0.391386,0.392209,0.000818452,154.404516815,9.29953597744,0.391458131001,0.0151307748514,125.241248974,0.832022,-0.440647,0.39177310899,24,13.8518,58.8848989395,164.909562329,19.4115,95.8176286261,140.703256285
231.079447719,2.67826397643,25,0.40222,0.402802,0.000787777,187.183200518,101.140242011,0.402331840437,0.0150893968907,173.94317758,0.874513,-0.453397,0.402438286102,25,14.169,28.8937735575,181.601695875,19.843,113.923943264,180.067720758
199.546738769,1.51557659386,26,0.416703,0.417214,0.000930748,101.887616233,4.58815482019,0.416795999126,0.0155173446464,95.1230104588,0.883924,-0.466241,0.416841729339,26,14.6015,60.7212635164,120.427545982,20.5435,74.5875595651,98.4753883758
198.407170697,22.5296481902,27,0.430078,0.430534,0.000796966,219.633688234,17.6316700254,0.430173615106,0.0147933176234,102.123203418,0.836176,-0.478907,0.4302160264,27,14.9619,48.8647613404,109.916018599,21.1799,119.861816772,206.67580982
222.275339776,3.69756220241,28,0.442749,0.443215,0.000874479,191.541381014,31.8774336137,0.442857280523,0.0153402763295,173.42965865,0.76864,-0.492075,0.442891482859,28,15.3438,53.0567630983,175.086011899,21.9548,113.130412949,181.514862962
209.716160817,1.89838698103,29,0.45239,0.452811,0.000805725,127.098912289,18.015755399,0.452473976492,0.0148872309046,117.431778111,0.65399,-0.499602,0.452504947755,29,15.7108,68.1357330399,146.391127856,22.1846,85.696221381,122.23546491
248.414332442,1.05286987618,30,0.465084,0.465618,0.000751537,106.984104245,45.3518633308,0.465130098052,0.0145114877948,100.718118454,0.47917,-0.518714,0.465166698756,30,16.0536,65.5370099598,157.629033628,22.6309,74.9285200089,102.847267803
288.057245212,20.5541677118,31,0.480604,0.481062,0.000913161,352.467148775,5.01649135335,0.480738918188,0.0158722928436,232.783375126,0.776018,-0.531253,0.480771071185,31,16.4379,74.5287814215,172.936439277,23.2006,140.797996369,316.583027451
637.211529213,9.86663188257,32,0.503353,0.5038,0.00104595,232.085080564,8.2726303295,0.503446726018,0.0159952224132,179.830741177,0.727596,-0.552066,0.503473862536,32,16.7968,198.924897904,226.669682746,23.6361,115.387810495,202.504847431
472.258306148,17.2215000107,33,0.524826,0.525271,0.00125964,1186.34070478,12.8853384264,0.524970329615,0.0172798665933,1134.0482596,0.648635,-0.576612,0.525001678232,33,17.1571,145.266652423,222.190484448,24.033,128.230647789,1165.62301716
334.83624093,49.3469048619,34,0.545246,0.545697,0.00121387,558.837020079,47.0277278983,0.54537656419,0.0175004325725,268.380179992,0.761703,-0.595597,0.545404069745,34,17.582,103.556229805,172.043629508,24.3562,138.419261106,461.123933844
382.784900078,72.3294639447,35,0.568322,0.568771,0.00132104,388.61235474,14.3217240986,0.568450945879,0.0175222297372,123.112896778,0.702995,-0.61802,0.568485295894,35,17.964,105.430362399,169.040773434,24.7073,144.239089656,328.447047084
580.630204401,43.4222377894,36,0.582397,0.582897,0.00148771,509.885411739,70.7192962632,0.582474668898,0.0183031822851,192.073580401,0.684673,-0.631162,0.582509227891,36,18.2919,170.559997346,282.890636042,25.2274,114.039084576,246.486270412
407.800398695,56.2270278508,37,0.598834,0.599334,0.00144234,487.360575195,19.3386975631,0.599018161875,0.0179577736114,196.872667489,0.74946,-0.645643,0.599046655131,37,18.6567,119.302550439,148.564355494,25.5394,136.763320432,402.292910723
390.019355337,16.1124401103,38,0.61744,0.617973,0.00164469,418.568624252,185.9135428,0.617557043257,0.0191354500705,357.992409502,0.765169,-0.66348,0.617595097317,38,19.0145,63.6731342011,299.279354987,25.9388,147.028010693,386.227754732
464.563553508,7.96699892724,39,0.63625,0.636743,0.00159128,455.387329775,99.5510274366,0.636369898704,0.0184711379908,421.9439778,0.753092,-0.683711,0.636398813068,39,19.3525,144.322397957,269.303616316,26.2323,138.514297433,437.026758201
415.631069523,10.4167413369,40,0.654598,0.6551,0.00163174,444.982443391,12.548451108,0.654689994424,0.0188237785754,392.370387137,0.717958,-0.698578,0.654729791836,40,19.6835,128.965262491,256.705227203,26.4921,141.874263606,430.041219489
