Iteration,MaxReturn,AverageQLoss,MinEsReturn,AverageAbsY,MinReturn,AverageY,AverageAction,Epoch,StdReturn,AveragePolicySurr,QFunRegParamNorm,StdEsReturn,PolicyRegParamNorm,AverageQ,AverageAbsQ,AverageEsReturn,AverageReturn,AverageDiscountedReturn,AverageAbsQYDiff,MaxEsReturn
9,9.36295090169,3.59288,1.50738641579,1.52943865393,9.11873760267,1.52675862738,0.218223,9,0.0485606906114,-0.0165325,11.1298,6.68441616495,11.229,-0.249754,0.31703,9.70797182952,9.24269544088,8.8163790164,1.77651246823,57.7099118141
10,5.32475947767,0.0488967,2.43722254876,1.16907229039,5.06869120861,1.15577039187,0.935005,10,0.0400478186761,-1.21516,11.4959,3.95768459592,12.5639,1.14679,1.15726,5.98460179818,5.23277625802,5.07715617944,0.111307850372,40.4923714145
11,40.6572137231,0.0103229,4.47663110978,1.36751765348,36.6680395177,1.34696740786,0.999999,11,0.961117608203,-1.4191,11.9488,14.5843784243,13.371,1.34651,1.3678,14.5206261833,38.723240042,34.4192275889,0.0609583083946,49.5376309781
12,40.6868961294,0.0343541,37.1263276644,2.03493438903,36.7072356565,2.00632479569,0.999999,12,0.966019557149,-2.27243,12.9707,2.85262511756,13.3658,2.00571,2.03555,40.7539740801,38.751003155,34.442653104,0.0892668598404,52.5040406732
13,174.27211023,0.0844693,12.5007768883,3.0057037382,163.417810101,2.97692373512,0.725161,13,2.83602148107,-3.33874,14.6224,43.1078269555,13.9331,2.9762,3.00614,65.5788547631,169.628251372,110.170116046,0.129063582236,176.556126494
14,168.815669385,0.135729,72.7937394426,4.09148896142,150.339466549,4.0670572962,0.803329,14,4.14468446106,-4.56869,16.3189,30.3757813296,15.3443,4.06634,4.09251,156.435475577,160.01937534,106.47954958,0.166074075445,184.825562315
15,172.703461643,0.216647,23.1974534229,5.35759650027,161.830253568,5.33516839841,0.833636,15,2.35289338059,-5.94262,17.9721,55.8873271335,17.585,5.33398,5.35884,128.064577444,168.487425769,109.937189379,0.203458162558,177.23561052
16,170.90428931,0.31829,32.9056791547,6.748743461,160.073191149,6.72912481234,0.747605,16,2.74728084917,-7.45387,19.6948,56.1011867867,19.5881,6.72815,6.7513,132.991772509,167.539955305,109.206376112,0.24226893038,176.715456917
17,171.576491854,0.420547,37.7727578191,8.27165603807,164.170283591,8.25386887235,0.672883,17,1.6379107619,-9.10447,21.2892,41.8241926768,21.315,8.25246,8.27412,147.37254615,168.692821281,110.345766478,0.276627535507,176.483128864
18,174.688224163,0.50701,12.2980926985,9.86393552553,166.52015288,9.84597599075,0.761906,18,1.72873971533,-10.8284,22.8064,53.789975503,22.7577,9.84406,9.86733,135.366024922,171.186931304,111.377800488,0.306158599147,187.933164757
19,171.471131765,0.682044,51.3083735931,11.5320268339,164.920299408,11.5163522814,0.773698,19,1.09797477834,-12.6315,24.37,33.2684552773,24.0418,11.5151,11.5366,152.971255474,168.54604105,110.201994996,0.35389083004,173.579827844
20,171.756636215,0.738852,14.7245635977,13.283962974,164.923341679,13.2699290166,0.792077,20,1.32606979638,-14.5069,25.8693,46.530611878,25.0153,13.2685,13.2893,143.793623368,169.159725554,110.385824085,0.386831579817,182.295816028
21,174.741137075,0.79412,113.393491153,15.1086911485,167.465122978,15.0951907412,0.738438,21,1.44012110962,-16.3962,27.3464,18.5858129123,26.1067,15.0924,15.1138,168.205660015,171.499679066,111.350350721,0.403499422982,194.658630434
22,175.438576524,0.881159,30.9386885001,16.9248882239,168.009117346,16.9145062424,0.753525,22,1.49386927132,-18.2968,28.6736,40.4557902579,26.9046,16.9126,16.931,152.771153463,171.494308888,111.488804047,0.427110368672,190.919725124
23,176.232741283,1.11745,36.7549090114,18.7650885544,167.387636055,18.7564491911,0.680598,23,2.03916571193,-20.1655,29.8704,46.2297509227,27.5217,18.754,18.7718,144.879433222,172.569260607,111.584781636,0.49058513655,181.731424925
24,180.855703011,1.21969,68.4342138469,20.5178988872,168.72462227,20.511162332,0.705784,24,3.09734920636,-21.985,31.0191,31.9640420681,28.1043,20.5082,20.5244,149.858252371,175.425143152,112.485973146,0.502007397573,187.722868319
25,184.070938886,1.47837,74.0165683554,22.3516289915,173.726718515,22.3452161065,0.684484,25,2.49769542281,-23.8685,32.1676,31.687439673,28.7065,22.342,22.3593,157.315642587,179.888500396,114.592076186,0.543745282315,183.809730971
26,196.995879518,1.98882,18.0929245193,24.1508948757,172.401734427,24.1439325628,0.796885,26,5.39548744852,-25.7094,33.2728,58.9216304041,29.3051,24.1402,24.1588,134.863028766,186.350607385,118.027694291,0.606500319774,198.109055685
27,186.4225321,2.41149,13.2563152027,25.9343289553,168.462150901,25.9261890051,0.754069,27,4.08221930542,-27.5263,34.2806,64.3569940921,29.937,25.923,25.9429,142.822519097,177.121336484,113.865539788,0.663144767862,206.95542616
28,184.505196397,2.89775,37.0189621116,27.7400783268,159.417323931,27.732656756,0.789263,28,5.83629513176,-29.3825,35.2616,60.7782352274,30.5325,27.728,27.7481,149.746552273,170.684339712,110.989512717,0.72257064855,232.294272389
29,192.482691294,3.32271,68.67944102,29.4984119974,170.861428699,29.493023072,0.77424,29,4.43177639389,-31.2276,36.1935,49.536149511,31.0197,29.4892,29.5072,153.248593905,183.735150282,116.947025266,0.756056122647,248.852508577
30,201.408322175,3.57202,60.4286129937,31.4158291805,60.5554329154,31.4117946549,0.857803,30,31.3390935622,-33.1785,37.1015,51.2241089474,31.5686,31.4081,31.4268,154.718502021,148.652992804,99.6317136547,0.788730493641,220.641143174
31,477.120853151,4.22641,16.8408471744,33.1860601241,169.313245281,33.1822884771,0.809987,31,81.1917372395,-35.0578,38.0932,71.5639300042,32.0292,33.1804,33.1986,164.492149014,349.091683908,170.358922795,0.850865794031,271.377744833
32,481.605118164,5.02684,105.707094438,35.1460399906,245.379217267,35.1418555585,0.841174,32,93.1049494985,-37.0874,38.9847,104.283667137,32.5199,35.135,35.1556,271.587682058,338.888576451,167.413732485,0.934574871822,460.057696277
33,465.618120659,5.33038,45.8113219772,37.2148911421,209.546342782,37.2088886735,0.779678,33,37.2520675853,-39.2359,39.7403,130.330668874,32.9201,37.2058,37.2299,261.283760528,289.154271364,152.818919559,0.975393271477,454.303121903
34,369.293030649,6.05765,209.349577465,39.3668795176,335.428368737,39.3604634136,0.83906,34,8.75470578484,-41.4726,40.5671,43.0043875222,33.2519,39.3558,39.3804,251.304218671,350.250824043,173.066724016,1.02533348432,329.363046827
35,497.727019543,6.4246,40.2824412583,41.4319712876,335.783837409,41.4267318281,0.796969,35,52.3767298357,-43.6021,41.3748,103.909112117,33.6269,41.4215,41.4469,220.593508288,390.467956016,181.077347091,1.07347191444,367.144154843
36,663.491799428,7.19702,38.3112116386,43.5713690968,182.567515642,43.5662936501,0.768955,36,146.479480507,-45.8222,42.2415,156.071990172,33.9303,43.5637,43.5927,295.492803825,439.593169075,184.021041852,1.11370101285,536.851526905
37,367.05651953,7.69288,39.9864211152,45.7482364905,337.620717337,45.7391109339,0.778451,37,8.30013099775,-48.0495,43.1027,129.058086448,34.2015,45.7329,45.7673,212.948884105,345.713165743,170.683976509,1.17686431715,409.809860672
38,347.751979931,8.62259,16.5555837937,48.0298534253,307.448192614,48.0230038537,0.735846,38,8.52614725211,-50.4206,43.9389,128.478779972,34.6409,48.0182,48.0533,187.811661527,339.126851137,168.404662836,1.24997129731,452.782221125
39,370.448015891,9.09999,10.9335624894,50.2466310706,335.117191704,50.2370096072,0.692759,39,9.44839087857,-52.7001,44.7697,122.114628922,34.9684,50.2299,50.2687,201.379428728,351.425428312,174.078719434,1.29032051317,367.379258798
40,403.775800114,9.90067,64.1856610914,52.3858704152,350.408819955,52.3666524782,0.679898,40,9.96344198283,-54.8228,45.6192,117.455755654,35.2964,52.3618,52.4124,242.386541131,378.772484326,182.928137125,1.34422851141,381.852811819
41,428.857872599,11.2195,40.8041652639,54.6888475931,319.034955623,54.6554799361,0.705824,41,15.9554082421,-57.1541,46.5204,140.002290734,35.6667,54.6479,54.717,264.995655478,377.340472992,181.978556888,1.43392025881,416.871546018
42,414.96673852,11.2688,9.86222297231,56.9401264116,371.250461818,56.8997262483,0.680916,42,8.26560789149,-59.4963,47.3334,126.941024701,36.0133,56.8946,56.9721,243.639775899,398.064184299,187.861954729,1.45197179112,392.766784637
43,375.154129826,13.6153,26.2028434853,59.2151501619,360.696036191,59.1745581058,0.677432,43,3.55937425057,-61.8999,48.249,133.230098844,36.4311,59.1647,59.2466,186.232129822,366.968273202,179.323192976,1.58628105411,397.714782215
44,388.828902277,14.7582,38.3228379892,61.7685151216,255.771952835,61.7295246113,0.673362,44,32.763228115,-64.4787,49.0528,110.649952845,36.8786,61.7234,61.8038,290.846543791,337.952237935,169.692508279,1.61760822136,456.693030361
45,371.684810222,15.0247,17.2560913762,64.0027763192,231.740446973,63.9712871133,0.713042,45,34.477066471,-66.754,49.9104,139.353885123,37.2763,63.9631,64.0429,252.016124714,329.12794373,166.490555771,1.66144248422,403.617456605
46,392.934416933,16.1363,33.5534648837,66.4367503436,274.02997578,66.4059463862,0.680951,46,22.9473368046,-69.3025,50.6959,159.158237369,37.7238,66.3984,66.4786,197.217657496,360.837294958,174.880023191,1.72341509811,582.957102476
47,1737.36623474,17.1358,18.5978220463,68.7383949333,350.256810011,68.712680265,0.702892,47,211.554847017,-71.6932,51.5153,130.024256362,38.1432,68.7066,68.7814,280.88261871,424.070290786,181.050701549,1.77894241381,443.872532672
48,390.654432131,17.2171,38.3248048468,71.0947069335,170.672065018,71.0714683035,0.742732,48,55.0645909173,-74.0946,52.3109,120.942695595,38.5944,71.0617,71.136,241.981606317,288.610382379,153.295675242,1.82556043658,439.368312593
49,396.966963145,16.3871,11.826234763,73.5691685491,133.318769189,73.5488225902,0.782184,49,68.3841868877,-76.5596,53.0632,145.140141803,38.9809,73.5435,73.6146,235.035598031,277.657842594,148.543706152,1.81884275537,409.673509806
50,356.872515762,18.1542,227.526646843,76.0634791759,126.553988442,76.0448419445,0.781153,50,41.1446821795,-79.1459,53.8351,142.964492731,39.3761,76.0353,76.1067,343.186055846,156.033020163,102.770807252,1.88817253669,674.428951778
51,385.792060998,19.0362,7.56245789597,78.146345955,131.108375508,78.1317933516,0.775909,51,60.2493903801,-81.2494,54.5857,134.461780122,39.7272,78.1224,78.1954,197.254205419,226.339735719,130.837537513,1.93212139487,391.037700828
52,539.704647179,18.3645,55.3092887654,80.6894984425,123.211046965,80.6768206322,0.759367,52,69.3333978453,-83.8266,55.2242,131.142955009,39.975,80.6684,80.7324,291.253363978,270.735075386,146.658806059,1.91405599001,456.23605184
