MinReturn,Iteration,StdEsReturn,AverageAbsY,MaxReturn,MinEsReturn,Epoch,AverageQ,AverageY,AverageQLoss,PolicyRegParamNorm,MaxEsReturn,AverageEsReturn,AverageAbsQYDiff,AveragePolicySurr,AverageReturn,QFunRegParamNorm,AverageAbsQ,AverageAction,StdReturn,AverageDiscountedReturn
9.08876161403,9,6.66562213128,1.47483208825,9.31814356581,1.67907469132,9,-0.223942,1.46688853687,3.20447,11.2298,56.4212715093,9.67834651128,1.69083099718,-0.00814069,9.20294673569,11.1298,0.289934,0.22004,0.0466716845192,8.77986883232
5.08938754728,10,1.94037419288,1.19310779332,5.40891952727,2.44158295018,10,1.1722,1.18164235931,0.0570759,12.1733,19.6532209552,4.50457736277,0.123427902246,-1.24851,5.29754765072,11.4637,1.18089,0.999928,0.0424883721318,5.13648250247
5.08664459152,11,6.05506675,1.38223684583,5.41710342072,4.77267596731,11,1.36384,1.36433519325,0.0104536,12.2572,53.3412479335,8.00664539317,0.0642362896252,-1.36836,5.29804932728,11.7784,1.38231,0.999997,0.0435122797346,5.13693698454
36.7628765958,12,15.2387602687,1.78072838796,40.7913089475,4.43895270859,12,1.75365,1.75434341524,0.0204722,12.5596,78.0464859044,14.0537853425,0.0831747049951,-1.89743,38.735235604,12.4808,1.7811,1.0,0.915023045042,34.4295495807
36.6764028653,13,6.9863431496,2.75123379394,40.8702310564,28.241227486,13,2.72442,2.72623433765,0.0877586,12.5517,77.6839156672,42.7517115751,0.136213977006,-3.15533,38.8320113196,13.8098,2.75057,0.999999,0.956066078383,34.5073167362
36.7281685057,14,15.9053249195,3.86548901552,40.8648884654,32.8923229295,14,3.84358,3.84537530507,0.179845,13.7854,136.689868514,44.0249167177,0.185217450586,-4.39694,38.7464257569,15.3868,3.86529,0.929565,0.825265926138,34.437759993
167.817004902,15,54.6610424227,5.07591003994,175.766168348,16.685841739,15,5.05764,5.05921692854,0.271466,15.6706,178.80941848,107.562661442,0.229794455793,-5.73469,172.539312211,16.9978,5.07678,0.789533,1.79916443331,111.137712541
96.6868181935,16,27.8107980106,6.44013019458,100.917096443,94.0038240185,16,6.42472,6.42631337583,0.350426,16.8502,184.605587946,143.367326066,0.264194165859,-7.25568,99.0095685616,18.4021,6.44171,0.715977,0.867664251876,75.8752658206
117.532246587,17,52.8609215325,7.97205432393,174.977845278,12.326366244,17,7.95853,7.96003717193,0.468443,17.8605,208.860632523,136.072896062,0.298162646078,-8.87153,121.520943943,19.4722,7.97488,0.704375,9.57102675847,88.156780457
173.60252866,18,38.7496349508,9.51739689807,182.483518685,36.0898719922,18,9.50557,9.50824770093,0.71098,19.109,179.86371739,151.062027599,0.355175338835,-10.5509,178.127088484,20.7386,9.52034,0.472557,1.90957550236,114.058596922
176.161450108,19,53.1505430018,11.0819953988,188.354180852,42.6239644208,19,11.0715,11.0733889618,0.919701,20.4433,191.138563484,136.417037204,0.397395421137,-12.2085,183.963960568,21.9314,11.0868,0.468785,2.66186433449,116.067684738
165.014284816,20,39.3878201895,12.7733400698,181.676040867,90.8236586173,20,12.7638,12.7665518151,1.08536,21.447,222.635223833,164.660388592,0.438090516737,-13.9993,177.832562567,23.0967,12.7781,0.612324,2.62011650872,114.232248687
170.413351766,21,48.5488647818,14.5454765819,180.689832646,15.0100246145,21,14.5361,14.5383167258,1.32725,22.4735,188.701492869,158.527775532,0.463158909144,-15.8959,174.949523655,24.2061,14.5497,0.571585,1.70010080944,112.757435884
165.981772392,22,19.2608307377,16.3542272846,180.75388827,144.519846066,22,16.345,16.3476944012,1.55992,23.2806,207.918542719,182.183772172,0.529085477012,-17.7967,176.461912232,25.2433,16.3602,0.628832,2.05642133835,113.539330759
167.922514374,23,38.0003951682,18.2050839896,180.456662609,58.1040355922,23,18.1942,18.1992321771,1.94102,24.1673,192.181260025,163.273594573,0.58648496384,-19.7274,176.337619281,26.4525,18.2087,0.682647,2.48252964703,113.292219118
168.008522136,24,15.4297039225,20.0283545371,180.070951298,124.610504966,24,20.0193,20.0223181564,1.90221,25.0273,186.853104323,172.001420506,0.589253461117,-21.66,174.629054939,27.4936,20.0351,0.644765,2.98863311718,112.739369159
167.110415752,25,6.77630196396,21.9395294055,176.087136983,168.441654302,25,21.9296,21.9338119034,2.07568,25.749,193.76602235,175.258807648,0.632477071585,-23.5978,172.750501483,28.4172,21.9455,0.631104,1.74763982692,111.826337726
171.129493213,26,36.4326825621,23.8063143176,176.454020366,48.6289055188,26,23.7982,23.8004899406,2.21571,26.365,196.088922265,155.611844223,0.663539150154,-25.5522,173.466280248,29.4131,23.815,0.699153,1.10510888059,112.283475684
168.490958413,27,49.9823151308,25.6866539139,177.158850139,40.7508484527,27,25.6761,25.682133261,2.77828,26.9419,216.18242196,157.027237865,0.726989033236,-27.4558,173.748051886,30.3417,25.6949,0.751575,2.17935783869,112.443931238
167.409519209,28,35.5267210005,27.4760458653,180.130658549,69.0188757808,28,27.4666,27.4710474188,3.01003,27.5753,183.226036501,158.069169327,0.751668340492,-29.2871,174.523298891,31.2624,27.4855,0.761817,2.45425808006,112.742289427
171.463056887,29,40.2847088775,29.2899202679,178.057579992,52.9175506652,29,29.2802,29.2858876614,3.23624,28.1345,192.808870751,158.119920759,0.77019265742,-31.1241,174.875311779,32.1198,29.2999,0.714262,1.38754512368,112.652295138
172.627009159,30,48.6722194601,31.0020053384,186.741618746,7.16181603126,30,30.9948,30.9982270694,3.53548,28.6245,189.466403568,162.864970181,0.81164912421,-32.8983,178.640101342,33.0027,31.0145,0.770088,3.00517157779,114.481556497
178.554079441,31,36.1804711173,32.7327534585,187.815405861,81.3391487195,31,32.7224,32.7271039331,3.62175,29.1371,187.643529965,148.632247467,0.835111435427,-34.6815,185.006973964,33.7976,32.7476,0.731326,1.82237026875,116.969983561
179.359897059,32,59.7970994593,34.4600451551,191.488110535,12.1009117596,32,34.4505,34.4551888988,4.55089,29.658,188.189341091,149.848514896,0.903656380949,-36.4062,185.123365256,34.6244,34.4766,0.778679,2.3001347525,117.035653666
