MinReturn,Iteration,StdEsReturn,AverageAbsY,MaxReturn,MinEsReturn,Epoch,AverageQ,AverageY,AverageQLoss,PolicyRegParamNorm,MaxEsReturn,AverageEsReturn,AverageAbsQYDiff,AveragePolicySurr,AverageReturn,QFunRegParamNorm,AverageAbsQ,AverageAction,StdReturn,AverageDiscountedReturn
181.455628605,33,33.0467060031,36.1836035304,187.882350123,95.2559941057,33,36.1719,36.1765370346,4.01092,30.0781,221.208272275,177.915284253,0.878962275286,-38.1785,185.589383781,35.3543,36.2006,0.804321,1.15178251251,117.153389362
60.6283863249,34,47.8637797007,37.9504772324,179.97087308,58.1692493765,34,37.9411,37.9457322661,4.79427,30.4514,207.17059101,153.288274007,0.940179685346,-39.9521,166.483212919,36.1071,37.9717,0.812156,29.5455529336,108.402554836
182.415193225,35,31.0975075785,39.4285278233,189.080359076,82.3759586736,35,39.4212,39.4242656374,4.57459,30.8288,197.273857925,166.54001758,0.949424511376,-41.4747,186.666497849,36.7999,39.4484,0.78248,1.42187752066,117.551079033
183.438606102,36,55.8601078952,41.2282914115,191.31457502,24.7395414241,36,41.2194,41.2239318495,5.41761,31.2542,203.180003182,156.218906292,0.998965637125,-43.2922,186.525329231,37.5396,41.2505,0.746449,1.68975594715,117.550360287
185.214056027,37,46.3740475456,42.7675055874,191.093657074,38.5106697765,37,42.7572,42.7621437545,5.6518,31.6597,227.18362128,169.838431937,1.04351635641,-44.8267,188.363029432,38.2595,42.7901,0.767539,1.39020008158,118.317188421
64.5937109348,38,45.2459874989,44.1755919422,187.491676581,58.0564074098,38,44.1662,44.170880707,5.84674,32.0074,185.975264328,138.929986701,1.06326229666,-46.3261,184.934764512,38.903,44.2018,0.689755,11.5447049901,116.74287306
187.54531554,39,51.4764016449,45.8738555472,198.357957278,39.315265147,39,45.8635,45.8689534693,6.51549,32.5152,214.757504159,150.670009063,1.10017155539,-48.0376,192.519254969,39.5877,45.9024,0.703184,2.50487930703,118.883930029
185.159714018,40,41.8746409241,47.4018806923,192.819200021,57.3362841939,40,47.3947,47.3967997295,6.18724,32.9907,209.179325815,170.405050493,1.08111855669,-49.6024,189.547693876,40.2868,47.4312,0.772051,1.56940436956,118.738057336
185.668126763,41,48.2901625861,49.029523485,188.290867376,58.5611746777,41,49.0203,49.0241835359,6.73218,33.4243,209.960987165,162.107697784,1.12168545781,-51.1838,187.023863736,40.8277,49.055,0.702237,0.634467563601,117.642271713
184.992831088,42,70.0596976234,50.4266058657,194.201196287,12.5709220218,42,50.4172,50.4217898539,7.85437,33.8408,204.55236593,130.80398455,1.16506312673,-52.5974,190.657916203,41.4383,50.4535,0.685935,1.59893840159,119.027698718
184.255320936,43,61.261743575,51.9114504354,193.005544511,32.57951954,43,51.9005,51.9049471064,7.75687,34.2567,202.790255326,134.73402574,1.18105716261,-54.1143,189.298709853,42.0625,51.9395,0.788364,1.84255329583,118.527827208
180.783606087,44,58.8998537789,53.3293333366,191.795460569,35.2318859673,44,53.3209,53.3243634064,7.97772,34.6554,201.56833405,147.687423311,1.20458207758,-55.5566,186.864640249,42.6446,53.3589,0.749242,2.21858661351,117.655841095
160.988933604,45,60.4681802839,54.7588170283,185.704551113,18.9304017689,45,54.7479,54.7530305548,8.94352,34.9914,199.340524757,127.475241815,1.25815875577,-56.982,175.368351541,43.1764,54.7881,0.75511,5.22569376031,112.919115889
193.029422684,46,61.8428871077,56.2088435482,205.826314798,11.9743071772,46,56.1982,56.2025711418,9.12069,35.3288,209.039334695,144.175441348,1.25698566197,-58.4923,198.497836133,43.7117,56.2419,0.705303,2.78648060841,122.419384921
201.736520373,47,76.4167495135,57.776911477,209.754086399,10.4675120777,47,57.7665,57.7714063695,8.04231,35.6081,246.778122534,135.868237095,1.2378776378,-60.0636,206.754923154,44.2233,57.8066,0.755372,1.65024739405,125.738075174
192.170505072,48,56.469073346,59.1580997692,203.458539032,49.5738642049,48,59.1466,59.1534412475,10.9544,35.897,224.610641626,152.295911476,1.34080296902,-61.496,199.230624991,44.7864,59.1886,0.79268,2.70091663467,122.616258907
186.109259804,49,38.0333469605,60.4453463353,205.683422708,53.4564095862,49,60.4326,60.4370606973,11.0233,36.1526,199.810114851,170.843270789,1.36709606648,-62.8312,199.286308252,45.3513,60.4761,0.759914,4.84458642912,122.595115169
204.705030625,50,57.4891957561,61.9955719527,211.947178537,21.3782573416,50,61.9888,61.9918726827,10.4047,36.4227,200.013919826,146.529619342,1.35652814831,-64.3025,207.289286365,45.9389,62.0278,0.739642,1.56914147824,126.011040908
186.288836834,51,41.3017737559,63.4263036353,203.684709194,60.675272578,51,63.4146,63.4209972948,9.65594,36.6846,206.273138115,177.464568234,1.34348757372,-65.7861,196.905613928,46.3703,63.4574,0.694661,3.87871952111,121.721683758
187.655759467,52,75.086717903,64.6839168546,194.991414618,17.2061427955,52,64.6698,64.6771374114,11.2446,36.9172,208.527939776,124.93274642,1.38953626474,-66.9629,191.335068498,46.8377,64.7182,0.796467,1.60990334825,119.834005309
194.766248491,53,64.7700377506,65.9945769412,203.817770548,15.136297732,53,65.9847,65.9898884691,10.4125,37.1997,215.804585432,151.559573742,1.37875727981,-68.327,198.567473665,47.3348,66.0303,0.749338,1.96224624853,122.663165685
200.84822653,54,66.264543774,67.375457302,208.375554748,20.668726638,54,67.3666,67.3688697161,11.873,37.4725,216.833360449,139.812377407,1.46302420361,-69.7697,205.089759212,47.8363,67.4141,0.691338,1.67211840261,125.434156406
174.493783509,55,75.983044971,68.8875341581,203.875565637,12.4687934701,55,68.8746,68.883043134,10.9092,37.6925,212.57455919,138.650010173,1.40202257405,-71.2898,188.408396009,48.2298,68.9221,0.717657,6.16826174891,117.807175105
199.22826757,56,72.2897864604,70.0649094706,217.205589393,9.42839436063,56,70.0537,70.0599315491,12.5124,37.9451,207.596585191,134.103660275,1.4933195123,-72.5407,207.901885501,48.7502,70.1019,0.775088,3.34610809068,126.727593236
214.205202791,57,52.0477449259,71.2473947054,222.971482787,31.6841519331,57,71.2326,71.2414728405,14.2329,38.0993,208.703610495,165.139408979,1.53104676814,-73.7973,217.745533246,49.1935,71.2857,0.758934,1.97553350617,129.738502084
205.870342617,58,32.1414176248,72.908592398,220.79688835,123.278604057,58,72.8979,72.9037180119,13.6228,38.3552,221.199658983,183.521002774,1.49684259895,-75.4663,214.38616165,49.556,72.9492,0.778748,2.63339604645,128.686085684
199.609047795,59,67.4451679953,74.2558027637,209.583803345,9.43744067835,59,74.2479,74.251608661,15.5527,38.5927,226.470148161,157.345684232,1.57553121747,-76.8425,204.308927965,50.0413,74.3032,0.700991,2.00742082313,124.868065904
206.716791489,60,62.2224101517,75.7648147318,216.567948228,9.20976183784,60,75.749,75.7603306238,12.5106,38.8205,225.982352284,159.122917636,1.49948618402,-78.3855,211.173968396,50.5229,75.8041,0.671247,2.27863728669,127.155213717
192.1405829,61,53.0049747631,77.0072066639,207.373524293,21.0826471727,61,76.9994,77.003694328,15.1384,38.9907,209.910680928,162.124134706,1.60961652647,-79.7139,198.735329616,50.9801,77.0559,0.66841,3.63803309248,122.776850455
207.538630667,62,63.0905822952,78.5584131777,221.494761476,20.4933188098,62,78.5505,78.5552049296,14.5861,39.1468,219.968777939,164.8226676,1.599643583,-81.2248,214.70885073,51.4224,78.6043,0.70066,2.99557098371,128.666214447
190.083491604,63,85.306311554,80.0356823036,218.728186811,8.97028820221,63,80.022,80.0300287462,18.7513,39.3063,234.467045097,121.584260901,1.73553229686,-82.8499,208.175458285,51.8714,80.0775,0.656431,9.2861104188,125.714654511
220.490919413,64,75.2054259623,81.4196194049,232.169480149,10.6980244624,64,81.4065,81.4145330211,14.5546,39.4815,222.564451833,150.423327577,1.59856806115,-84.153,225.964953604,52.2853,81.4651,0.579898,2.77606911697,132.963937155
202.676621848,65,75.3584233748,82.5938247218,219.369935729,8.89806583066,65,82.581,82.5881401194,16.6196,39.6039,223.086756393,153.241041867,1.66602618815,-85.3534,207.239391427,52.7419,82.6319,0.620196,2.80218940747,124.763403942
218.575419229,66,67.8563551117,84.0676566305,230.668700585,17.1487555493,66,84.0545,84.0628746215,19.4596,39.6692,231.888441829,175.021748261,1.74053682457,-86.8153,226.367048138,53.1968,84.1062,0.571681,2.14749875836,131.904472899
228.290649566,67,77.7339966038,85.6125589716,333.099810298,28.4343109372,67,85.6013,85.6087503771,17.8932,39.7473,274.840823162,152.097109842,1.68692576932,-88.3395,315.287332023,53.5564,85.6575,0.512688,17.7402823888,160.504926347
216.876460781,68,91.8983051548,86.7315904586,451.20751676,27.7246833437,68,86.7178,86.7255005331,18.0317,39.9772,319.177713874,168.574126251,1.71719332774,-89.5109,335.911282763,54.0269,86.7728,0.61363,29.7473122337,163.933162472
300.143400496,69,99.8307186262,88.1840561669,564.241765136,12.8532069976,69,88.169,88.1771591993,18.5639,40.1694,330.939423869,159.406627053,1.79072088969,-91.0918,466.618536692,54.4798,88.2378,0.672622,64.8911172218,190.960638424
298.095276658,70,138.581931002,89.7590238499,846.167880943,8.26291903131,70,89.7333,89.7411198298,18.759,40.4115,359.05484584,209.951553829,1.81715455567,-92.7113,637.206667771,54.9224,89.807,0.692617,156.758978088,209.995092426
497.199513825,71,127.606881442,91.128315578,610.917903195,85.4920947243,71,91.1005,91.1095303248,20.0398,40.663,539.260067526,238.721102218,1.83365982763,-94.0748,589.659831477,55.3595,91.1731,0.66565,24.8734792831,213.241488736
208.630367562,72,116.782077586,92.3749440093,231.367283037,11.5646641143,72,92.3411,92.3532334496,24.1983,40.8808,453.93698635,179.425602727,1.96684735668,-95.4736,217.486665547,55.7175,92.4205,0.501655,3.86067618797,128.048162801
224.389029657,73,132.567871673,94.493664861,749.173429335,17.7997470724,73,94.4697,94.4772901434,22.3636,41.1301,525.790863385,160.143035203,1.93860654347,-97.6762,583.144824108,56.0315,94.538,0.680837,105.964720942,184.229807799
222.238861879,74,101.958645048,95.6699096773,394.723651116,5.32982468703,74,95.6382,95.6511576829,25.017,41.3784,341.116118937,186.985882815,2.03137880276,-98.9285,328.651615973,56.4122,95.7179,0.672926,51.0733736307,153.989687751
157.800446968,75,217.504404973,97.2312713486,565.742179585,12.6546242977,75,97.2065,97.215433218,26.5417,41.5868,666.351667503,250.353902869,2.13511184541,-100.561,503.299139757,56.8183,97.2781,0.593252,53.9652257735,188.392618625
291.13606523,76,123.122061692,99.0622212996,576.395522286,6.93716762752,76,99.0405,99.0505661881,25.5703,41.7936,330.16936885,155.475983699,2.12080765327,-102.451,440.835254819,57.1374,99.1164,0.62264,67.6300361911,172.984450809
122.828210785,77,185.824536227,100.574410213,498.920956542,5.35503356655,77,100.544,100.562208447,29.8628,42.0574,663.323384963,169.993762607,2.21757075612,-104.046,217.572403535,57.5726,100.616,0.584228,115.929576447,114.587646724
254.426386568,78,141.687461133,102.268792164,546.105261399,11.515788538,78,102.243,102.256084457,28.826,42.3467,404.015545378,173.048384166,2.26686381185,-105.858,343.67424338,58.0464,102.32,0.668137,73.5187017777,165.657149564
453.462108063,79,135.60572001,104.256720523,987.615563728,50.2340446892,79,104.236,104.244673447,28.7941,42.5664,516.74622247,254.36692032,2.28396434766,-107.884,603.857387422,58.5023,104.306,0.632735,137.246924423,201.958830584
252.458260945,80,94.3883196109,105.635633193,462.033997951,8.13255321917,80,105.605,105.621772744,34.1877,42.7353,330.472420334,232.292516551,2.37010073959,-109.38,311.241791203,58.9179,105.684,0.486195,58.9678861429,150.126044742
770.354990752,81,172.166204732,107.352304651,1122.12514777,59.4156210522,81,107.324,107.338973576,33.4079,42.9307,590.585923078,249.117428448,2.49945985343,-111.182,925.907964178,59.4074,107.409,0.596076,85.5510898269,216.971466299
393.140689528,82,146.609984935,109.480177757,608.058477191,22.9994530563,82,109.451,109.466378175,36.5646,43.1745,491.185059386,237.166885431,2.49506815307,-113.254,438.748334882,59.8097,109.535,0.543269,38.3361859175,171.795453591
281.472939305,83,92.9208508287,110.84894885,572.784842318,97.6425430173,83,110.817,110.832871765,35.8863,43.3524,460.834532764,292.302299349,2.54284617356,-114.822,308.24161268,60.289,110.898,0.448606,49.8112710709,147.314986626
331.709884141,84,80.167347128,112.698881482,531.664843553,140.828880707,84,112.667,112.68042034,35.2593,43.5289,436.362160344,263.002954335,2.58301612083,-116.62,356.775330196,60.7177,112.761,0.442718,29.2599502441,155.643311453
324.909682133,85,113.898074281,114.535079775,493.701881948,26.3801569603,85,114.495,114.509086453,33.3884,43.6892,385.090647489,210.684841972,2.59936872304,-118.398,363.341511962,61.1383,114.611,0.503706,51.1819823002,154.001638636
269.733156505,86,112.901263512,116.396401863,399.68812447,7.45062837657,86,116.36,116.374703236,36.6449,43.8297,348.819004266,149.34211809,2.66276728536,-120.446,310.48141828,61.6054,116.453,0.550979,25.1973512825,147.415828405
239.211860111,87,144.863288518,118.258577453,756.136441134,7.9732682188,87,118.217,118.234869132,39.7462,43.9909,318.43001388,170.150541563,2.77863819787,-122.394,372.300438892,62.0738,118.327,0.604336,107.563125019,156.262582355
19.6868867569,88,76.8732936237,119.984993866,429.703385009,129.15202736,88,119.938,119.95301363,41.4207,44.159,362.698544451,286.191306661,2.82353352542,-124.096,313.672325637,62.5247,120.057,0.548884,68.4808382178,138.736753708
307.719184361,89,158.623259108,121.420841558,341.981830643,13.2999194569,89,121.373,121.388986798,37.3557,44.3464,479.328458908,196.783484357,2.82439816743,-125.52,321.775969555,63.0241,121.501,0.540383,7.49997730486,146.236604401
317.135114537,90,139.026588801,123.614031798,516.123359029,17.09301122,90,123.574,123.58382308,39.9288,44.5381,433.991510815,242.751472295,2.84833040643,-127.7,408.185350669,63.3909,123.699,0.560094,72.8155269013,158.528763317
282.745898766,91,132.288017848,124.890242127,321.37567501,10.0142544408,91,124.842,124.857480161,42.2464,44.7484,354.476641728,140.246108267,2.93833700776,-129.051,300.57450911,63.8463,124.963,0.599517,7.73282945613,142.949985937
250.321863193,92,120.701158561,126.663056721,495.598126793,11.4685444223,92,126.611,126.627979998,48.4933,44.9182,356.181446406,170.595861862,3.01927553038,-130.729,368.523509549,64.2941,126.747,0.643058,53.9899053062,163.744902469
299.966577897,93,147.357993505,128.55860485,719.773856262,8.38147569701,93,128.496,128.510538948,43.544,45.0766,525.771358584,163.579088185,2.96709338637,-132.763,387.595854485,64.7267,128.656,0.599804,86.3117428712,162.207535358
184.817681145,94,160.343651348,129.93125286,693.83795403,7.25158957629,94,129.866,129.883431181,48.1844,45.2323,558.012621604,141.928999211,3.09353812199,-134.161,243.505844994,65.2014,130.032,0.650444,97.2186103268,127.265434872
277.777872948,95,154.195027722,131.303778149,483.882760003,14.3892357726,95,131.235,131.249938857,52.3706,45.4263,434.592836569,195.636808728,3.14189262776,-135.517,347.040722162,65.627,131.403,0.670205,65.3008376944,162.609236963
196.755522134,96,122.008170568,133.059574344,871.702263212,12.911024272,96,132.98,132.998039997,50.9591,45.5766,326.633464803,159.864506042,3.13973754492,-137.168,536.111616214,65.9821,133.16,0.705306,179.996506106,185.19124879
287.526057191,97,138.241997614,134.785840932,563.464663734,13.8468049865,97,134.707,134.719169177,48.8293,45.7066,456.39699861,209.006807141,3.11754305481,-138.967,413.153618292,66.3971,134.881,0.676264,52.54722894,183.410787299
192.03032925,98,113.286573014,135.875760567,586.625977887,15.4412548801,98,135.8,135.812972095,53.7655,45.8669,354.53986066,170.018048595,3.18068253625,-140.097,355.295449843,66.8032,135.99,0.679682,95.528666798,168.552966722
247.985229941,99,173.34902859,137.415191136,532.136916866,49.906042746,99,137.333,137.352441109,54.9842,46.0681,465.621294122,234.28336125,3.30035373807,-141.715,391.291579014,67.1354,137.517,0.671348,70.496486942,176.959440384
247.850811198,100,112.324965256,139.026015292,532.546451477,8.49476581144,100,138.942,138.963918171,58.3329,46.3011,323.648413306,123.556246794,3.30142511745,-143.249,402.90373072,67.5845,139.127,0.68205,68.2628882605,175.361350786
340.538220598,101,94.6038810704,140.416076758,535.166642096,42.6741397662,101,140.342,140.355052653,48.8404,46.4336,365.260314015,247.336346739,3.18643838409,-144.578,434.92157713,67.9291,140.519,0.716804,39.8814389765,191.294914828
299.962491342,102,107.15888132,141.729153934,528.032999007,7.32488191724,102,141.656,141.673396795,61.1351,46.622,294.5136007,158.176992398,3.36275286224,-145.907,426.3801512,68.3751,141.827,0.72251,67.1555186762,187.633056018
341.07701161,103,121.506927178,142.864512889,524.602429209,10.0285969305,103,142.798,142.820132413,54.2077,46.7987,407.899773097,182.93863777,3.31763522132,-147.208,458.039663247,68.7241,142.973,0.775961,29.0773334972,201.822356953
314.461397411,104,149.582166137,144.495155533,539.171273945,14.8119592778,104,144.445,144.452805256,63.4595,46.9537,430.442573237,207.787665743,3.49290243125,-148.813,421.169308579,69.0735,144.608,0.750024,63.0803043695,191.890054431
406.598133421,105,111.091723947,145.778275272,504.996445859,25.9554162365,105,145.713,145.734027862,60.8761,47.0936,377.536282227,227.240623014,3.39927184675,-150.162,435.488157349,69.4247,145.873,0.750064,12.9084586893,195.529907264
306.681224366,106,140.724393036,147.638977136,501.659094021,11.4248083369,106,147.587,147.594806342,58.5397,47.2878,429.912980639,227.011331846,3.34290142647,-151.834,348.758881058,69.8009,147.745,0.774912,33.8128488562,173.609783654
268.749180284,107,176.602748307,148.504874282,566.00037336,9.52083685788,107,148.439,148.455386965,61.5071,47.4549,488.662222344,235.12493692,3.44477386278,-152.926,400.465377468,70.1102,148.605,0.770039,78.4032735305,185.227638254
320.475746181,108,96.2420871324,149.718703589,496.334509402,25.6123885947,108,149.643,149.661370731,63.1085,47.609,350.136212879,201.663189236,3.5201665967,-154.183,419.373421963,70.4436,149.827,0.736254,28.9735174285,190.795512458
343.098728666,109,121.782488483,151.602541543,605.231095483,15.4962291544,109,151.546,151.563047334,59.4926,47.7723,325.387587674,168.293543462,3.38393473085,-155.966,428.531103536,70.7785,151.703,0.752131,46.2292168275,192.878480733
253.862901717,110,157.846606759,152.416667482,556.622780736,8.6004999822,110,152.366,152.381726742,62.2705,47.9271,532.420395352,210.486387924,3.54261941427,-156.794,390.455879514,71.1794,152.525,0.737788,65.1392671023,181.16651362
257.450790066,111,141.58472679,153.897849015,547.777930165,7.43086636131,111,153.848,153.857350685,61.1689,48.1244,490.246116052,248.353476186,3.45498786651,-158.384,380.853760912,71.528,154.006,0.756299,80.5374956801,179.508161442
417.695921368,112,103.585478948,155.194667022,465.809038437,8.68400681758,112,155.144,155.159615671,64.1777,48.3034,330.054315791,197.927252342,3.58454292062,-159.609,438.120664561,71.9515,155.306,0.77575,13.6124173152,197.349452137
343.618017197,113,168.29464464,156.652942458,540.461334714,33.2586016948,113,156.596,156.61144471,69.729,48.4647,496.481182437,217.564851999,3.60459831411,-161.185,423.11276966,72.3027,156.772,0.788237,38.9986520864,193.3119234
394.241739738,114,171.343342943,158.21731592,458.923603961,9.04588376488,114,158.162,158.179646818,65.3591,48.6273,493.222516491,211.795783623,3.58283360956,-162.674,422.122476644,72.6259,158.33,0.788519,13.3952805753,192.326155375
390.210886476,115,155.332758464,159.233629562,927.259002625,7.7792468331,115,159.171,159.191944892,73.966,48.7952,434.780721896,236.765006158,3.66576665452,-163.7,660.056638085,72.9758,159.345,0.787453,160.742562166,215.133506994
551.341917511,116,142.016040136,160.754449416,984.864630951,7.90525323808,116,160.686,160.698514738,76.0165,48.9459,413.542777828,244.75181186,3.76926774356,-165.31,872.538481116,73.3386,160.87,0.769859,70.1329423279,236.455464622
341.698242499,117,167.017352632,162.449967195,706.514526001,10.8661314504,117,162.386,162.397209641,81.1784,49.0988,483.029843163,269.26533059,3.8158267717,-166.946,529.704583547,73.6761,162.578,0.747157,87.9688586935,208.92617375
614.19713687,118,205.309638062,163.992726565,893.079104976,32.9913724767,118,163.918,163.933593715,78.2502,49.2605,571.188877721,252.640682596,3.80234648685,-168.366,801.820337079,74.0416,164.118,0.777044,53.8413674147,219.442310911
381.059711899,119,150.990543914,165.414489773,831.554663762,27.8865809925,119,165.339,165.353991093,74.1141,49.4478,514.35225498,191.845906677,3.72393427674,-169.924,613.230286129,74.3536,165.544,0.761085,130.097603925,215.469794677
273.256312022,120,106.064897209,166.582459293,844.888406841,12.0077720903,120,166.476,166.49733704,76.4999,49.6411,355.672207346,207.363677004,3.77943384593,-171.056,478.126591589,74.6986,166.7,0.789187,188.021852264,182.619754607
299.62245536,121,183.200293041,167.730145781,1169.42210187,11.8578521926,121,167.638,167.651744085,76.4925,49.8412,526.192062643,238.473407953,3.75045178783,-172.204,754.831600706,74.9908,167.868,0.767724,164.642047001,217.77367468
307.290835663,122,187.517892923,169.110173606,1244.05401287,9.19581217829,122,169.0,169.01412681,79.9762,50.0257,563.134202027,252.490866121,3.85818558518,-173.592,775.483399122,75.3588,169.248,0.740199,188.342357234,221.737470888
283.396668299,123,165.466089586,170.70698199,1364.31838823,16.1370057056,123,170.615,170.630490955,88.7735,50.156,483.100381418,294.162134723,4.01249191224,-175.228,665.207464309,75.6909,170.857,0.771214,388.737423249,191.444126504
377.153121607,124,214.62911097,172.475967161,843.25021412,8.63356065689,124,172.376,172.393363596,87.1578,50.3528,607.845514704,337.029346073,3.96510340428,-176.994,498.966263322,76.0303,172.623,0.783847,184.422981636,188.758640625
302.292108708,125,218.947377819,173.889503165,1284.8042986,7.53356427429,125,173.802,173.816091063,81.1051,50.4516,744.820927526,267.246899017,3.83190579821,-178.454,506.957320933,76.3376,174.016,0.764442,283.112261382,178.729761134
598.796405484,126,187.068470828,175.453791275,802.282012357,36.9137112314,126,175.359,175.374398225,87.8095,50.6022,653.294329143,266.649685468,3.95899222348,-179.998,733.704156121,76.7598,175.592,0.733423,49.8074727467,234.022992744
