MaxForwardProgress,AverageDiscountedReturn,AverageAbsY,StdEsReturn,MaxReturn,QFunRegParamNorm,AverageQLoss,StdForwardProgress,PolicyRegParamNorm,AverageY,MinReturn,AverageAbsQYDiff,AverageQ,MinForwardProgress,AverageAbsQ,AverageEsReturn,AverageAction,MaxEsReturn,AverageReturn,StdReturn,MinEsReturn,AveragePolicySurr,Epoch,AverageForwardProgress
0.109613374642,13.7238889238,0.20985380532,6.98135939474,26.6509000906,25.0172,1.34368,0.0232011649846,16.1082,0.20985380532,6.27673686142,0.979715899865,1.18561,-0.0309988988737,1.18561,9.83872131958,1.0,62.5819456621,14.7520789729,4.13864986313,2.31061412575,-1.17515,9,0.0215202520576
0.0944566927552,13.7639051892,0.252124351506,5.10119116633,26.2964071814,25.5298,0.0280398,0.0228706738082,16.121,0.251303918875,6.11778566348,0.10733535249,0.256033,-0.042484633107,0.266848,17.040436885,1.0,33.7817575444,14.8040865152,4.33393347116,8.42190607959,-0.285353,10,0.0220394764144
0.0961205992889,13.680217031,0.351860653588,5.60282071415,28.5204027535,25.8215,0.00770594,0.0231005656675,16.1231,0.351846869419,6.42775529105,0.0631737880363,0.351741,-0.0401363878879,0.351825,17.0332201747,1.0,47.3846898337,14.7043861955,4.2249125514,9.84346215225,-0.387558,11,0.0213790644327
0.0958013298588,13.7102371291,0.438028757493,3.51042739666,26.2164144927,26.5204,0.0070082,0.0224817591722,16.1238,0.438028757493,5.953406541,0.0579054796967,0.437406,-0.0454301912674,0.437482,16.2375727837,1.0,23.636484705,14.7334283456,4.1036198554,8.21328436644,-0.459648,12,0.0217203682568
0.0902254176957,13.9482903336,0.502430023444,4.54250737997,27.6151773441,27.5134,0.00733238,0.0227076430494,16.1248,0.502430023444,6.22840433912,0.0580377637394,0.501907,-0.0426769715713,0.50199,16.1940423136,1.0,32.3716771197,15.0234343415,4.43581447794,5.40275329258,-0.513394,13,0.0222086819616
0.113894505322,13.756433222,0.552974264194,9.4982881966,28.0150272123,28.6884,0.00773302,0.0241713490889,16.1253,0.552974264194,5.94881459139,0.0593340101691,0.552395,-0.0466102453365,0.552548,17.4814806083,1.0,83.1057263303,14.7902483321,4.25281084038,5.29464365104,-0.557569,14,0.0220070529343
0.0891018114864,13.668656626,0.598587596727,5.54935393528,25.9838468019,29.7732,0.00802888,0.0219045015737,16.1253,0.598582979848,6.35066438912,0.0602557060261,0.59788,-0.0301561890644,0.598115,17.1962019484,1.0,36.4359398121,14.6957839378,4.29993620734,8.41842171232,-0.606558,15,0.0214940146022
0.0856941693938,13.6373806394,0.643177323224,4.4712085533,27.0906166071,30.7023,0.00875081,0.0219691302374,16.1255,0.643176950428,6.14862751241,0.0621704030606,0.642604,-0.0342125395928,0.642877,16.4298051419,1.0,31.5176577164,14.6604394178,4.22174685051,7.47523025162,-0.655133,16,0.0205654415901
0.0949552979419,13.4709098775,0.681953715555,4.52123383643,26.1201141667,31.6366,0.0092336,0.0207417836445,16.1255,0.681953715555,5.996075218,0.0639985537152,0.681376,-0.0329627738276,0.681722,16.5904537373,1.0,32.182806712,14.4675801322,4.02628733253,7.15370644562,-0.696234,17,0.0192798263323
0.105344416551,13.4824901582,0.726986520059,6.72173971997,31.1418488492,32.5469,0.00973255,0.0225654671146,16.1256,0.726986520059,6.03428965412,0.0658413942592,0.726448,-0.0304865738785,0.726934,16.1678744414,1.0,48.2414600587,14.487009839,4.24413917182,7.2497073673,-0.748696,18,0.0195280221725
0.0920106925437,13.8977928603,0.764699701311,4.96419415644,25.4775095809,33.4789,0.0109341,0.0226384147481,16.1256,0.764699701311,6.72220557704,0.0697047709007,0.76418,-0.0316023194854,0.7647,16.1478184102,1.0,40.0330712399,14.9628431672,4.25319853999,6.1231300357,-0.786514,19,0.0213613398302
0.0966308712348,13.908656157,0.802879033081,4.7462311848,29.1838233716,34.4935,0.0119687,0.0230799842202,16.1256,0.802879033081,5.38946704876,0.0736215982896,0.802261,-0.0386241298265,0.802871,15.2622927172,1.0,29.3473598677,14.9680976047,4.20814617959,3.10294570619,-0.826632,20,0.0221250765451
0.107677673637,13.7416782187,0.831433033453,5.60789334384,26.361696575,35.4098,0.0128654,0.0230670008107,16.1257,0.831433033453,6.48421490757,0.0767265486328,0.830902,-0.0351393016892,0.831631,15.9049606316,1.0,39.3291087695,14.7745487587,4.25278942962,1.89737172119,-0.855046,21,0.0220262671449
0.0955293789854,13.6631934827,0.856595352538,5.96488064841,28.439038221,36.3415,0.0134548,0.0220234153727,16.1259,0.856593856391,5.94325156731,0.0788829439015,0.856003,-0.0283444671467,0.856736,16.5553787292,1.0,41.9599968701,14.6962596293,4.32971365056,7.67048707967,-0.879994,22,0.020472091686
0.0956037264067,13.9538453045,0.877142690835,4.79981950952,24.4595016347,37.2619,0.0143857,0.0229792866769,16.1259,0.87713792824,6.03607419436,0.0807117557748,0.876525,-0.0308105435008,0.877215,16.3591571215,1.0,29.6562800961,15.0190951075,4.23775827509,7.83645487685,-0.896281,23,0.0227886481758
0.0953122085801,13.6824589405,0.893525654658,5.88811383108,25.2821173739,38.003,0.0140548,0.0218264589829,16.126,0.893521213199,5.6060260214,0.0801313324095,0.89284,-0.0367416544564,0.893722,16.1477611328,1.0,48.7217155627,14.7092386965,4.23058776903,7.88313655125,-0.909814,24,0.021235385223
