PolicyRegParamNorm,MinEsReturn,AverageQ,Iteration,AverageReturn,Epoch,QFunRegParamNorm,AveragePolicySurr,AverageDiscountedReturn,AverageAbsQYDiff,AverageQLoss,AverageAbsQ,AverageAction,StdReturn,MaxReturn,MinReturn,AverageAbsY,AverageY,StdEsReturn,AverageEsReturn,MaxEsReturn
11.1818,1.29523480274,-0.699623,9,12.0838231556,9,11.1659,0.445694,11.3514066657,1.44172727843,2.73731,0.699623,0.0402251,0.24523078267,12.7226097883,11.3794675702,0.742363237817,0.742104230353,16.2294514362,14.9451937427,118.558241121
12.4233,0.322571226744,0.45205,10,1.70583331608,10,11.2483,-0.535795,1.71117027863,0.0992560078125,0.0374063,0.453682,0.998358,0.0805486852847,1.90122790095,1.50060235147,0.457907656435,0.45544338556,0.79678197498,2.35352562774,4.99206224975
12.7132,1.02824655206,0.435285,11,1.70027028113,11,11.3438,-0.490535,1.70576190783,0.0523400365139,0.00780735,0.438617,1.0,0.082002925202,1.88830525814,1.49466816829,0.439587994058,0.436046355383,0.551119511683,2.29037715073,4.26074585511
12.851,0.775688317074,0.501972,12,1.70225411879,12,11.4658,-0.533812,1.70765066958,0.0401409961183,0.00446428,0.509434,1.0,0.0793325387692,1.90325394844,1.4981263892,0.507411582872,0.502321582836,0.62696506292,2.38587563471,4.81969999761
13.592,-0.478749875376,0.510837,13,52.0399632363,13,11.5979,-0.535195,42.0326232388,0.0350649190227,0.00309316,0.524103,0.907564,3.06783115902,64.9202119873,46.0192339857,0.521942103611,0.510929915858,5.82470962825,2.93141708694,53.9223055434
13.8119,19.443754,0.568863,14,47.6293472974,14,11.9208,-0.658386,40.1797523223,0.0436363091519,0.00549141,0.582688,0.904704,3.64089103781,88.1690676854,45.0707705781,0.581897897742,0.569325363144,9.87225513609,46.201062815,76.6255055994
13.9652,5.61785230381,0.693774,15,38.8129708157,15,12.3265,-0.792615,34.4942777446,0.0457608054101,0.00702717,0.703861,0.999974,0.884639640556,40.7495590852,36.7453739915,0.703164321053,0.694239004758,10.9375719701,43.6016732344,87.620864373
13.9884,15.0250183828,0.837274,16,38.6744302876,16,12.9187,-0.957115,34.3805983899,0.0502844804264,0.00921212,0.844547,0.999997,0.945935047871,41.8870800904,36.5550712519,0.844227461113,0.837717959034,5.40432563514,41.2797320697,54.2581168808
14.0031,6.28012128369,1.00016,17,38.7838806582,17,13.507,-1.14446,34.4682313089,0.0506524026288,0.00898692,1.00707,0.999999,0.897863986087,41.7961109188,36.7223982964,1.00698436634,1.00072141296,6.65784923487,40.6845043332,58.3043921953
14.0126,19.7640020806,1.152,18,38.7517388008,18,14.074,-1.31032,34.4414270587,0.0525164476183,0.00990619,1.15777,1.0,0.978277117299,40.6744315971,36.6899349707,1.15788483144,1.15237486444,9.1420391176,42.8338479444,86.1564331216
14.0207,33.3644223761,1.2995,19,38.7699190217,19,14.6671,-1.46513,34.4579280058,0.0513092684687,0.00895682,1.30481,1.0,0.872663510514,40.8106796939,36.7301613016,1.30486210088,1.29989118041,4.23540847627,41.9050186155,53.4435298824
14.0278,36.5458945062,1.45422,20,38.793517389,20,15.2109,-1.6203,34.4754034717,0.0532734211588,0.00966913,1.4593,1.0,0.967373491164,40.7615445249,36.5704493663,1.45941073681,1.45471133589,3.97864354282,41.3502621405,60.0253996732
14.0339,30.3166659128,1.58638,21,38.8377157879,21,15.7567,-1.75493,34.5101419436,0.0540973285803,0.00945532,1.59157,1.0,0.929900822946,41.7688852476,36.581029183,1.59155160059,1.58688354574,5.19164644096,41.7817597003,63.8405565266
14.0394,5.18872625034,1.71016,22,38.7586330707,22,16.3403,-1.87429,34.4471441567,0.0564778011549,0.0106769,1.71498,1.0,1.00618065072,40.7268704129,36.6172173587,1.71483295647,1.71056305613,8.54840748859,41.2753918438,72.3300827702
14.0437,8.55005218733,1.81452,23,38.823240322,23,16.8784,-1.97874,34.4987779792,0.0585865001706,0.0108237,1.81991,1.0,0.911958346525,41.809363065,36.6250442813,1.81957253445,1.81488708686,10.3264120212,41.1947252758,93.4852558674
14.0466,36.8381264703,1.9235,24,38.8191287235,24,17.4876,-2.08311,34.496372255,0.0614520192873,0.0123661,1.92814,1.0,0.898342641613,40.8730694762,36.68300248,1.92790194522,1.92398699308,5.0550789621,41.7197478528,67.8613978381
14.0509,23.3665288778,2.0121,25,38.8518713851,25,18.0382,-2.17378,34.5230332747,0.063490250981,0.0133796,2.01676,1.0,0.888022697089,40.6819753193,36.727990025,2.01637435268,2.01250355112,5.59651088242,41.4003863963,60.4587896597
14.0558,35.0118113537,2.0928,26,38.8338726198,26,18.6019,-2.24794,34.5070452192,0.0684495473841,0.015949,2.09712,1.0,0.948219327596,40.7209161436,36.6595515295,2.0971050142,2.09347419276,5.2020302488,42.1776862528,64.8233524285
14.059,22.8317209006,2.17607,27,38.707770776,27,19.1612,-2.31414,34.408033418,0.0657494519117,0.0147309,2.17991,1.0,0.99365267764,40.744676803,36.7344180685,2.17960105324,2.17636652695,4.77460297112,41.6144279327,54.1920904067
14.0638,5.12526561458,2.20801,28,38.753826948,28,19.7368,-2.33857,34.4451964291,0.0681531389558,0.0154113,2.21182,1.0,0.952591177625,40.7896536606,36.7021425906,2.21152423213,2.20840284652,6.53286909538,40.4195293356,54.1536339144
14.0653,37.1780472006,2.24928,29,38.8428846192,29,20.3293,-2.36968,34.5155160612,0.0670947086624,0.0150613,2.25296,1.0,0.914417958188,40.7569527928,36.7324003246,2.25285516289,2.24967160192,8.03600054997,43.5571150515,72.329517452
