MinReturn,PolicyRegParamNorm,AverageQ,StdEsReturn,StdReturn,AverageReturn,AverageAbsQYDiff,AverageAction,Epoch,MaxEsReturn,AverageQLoss,AverageY,QFunRegParamNorm,AverageAbsQ,AverageEsReturn,Iteration,MaxReturn,AveragePolicySurr,MinEsReturn,AverageDiscountedReturn,AverageAbsY
66.2497753246,11.1615,-0.92724,33.3198762358,4.4933437556,80.6260385087,1.13727331302,0.030359,9,198.099338831,1.68701,0.210033641673,11.1652,0.92724,36.3608841311,9,88.4479626841,0.660182,2.38084429131,59.6834918425,0.296339557286
3.29257676355,11.6092,0.139829,1.79323038778,0.112892224484,3.58946689746,0.0700620442315,0.999339,10,22.9378768429,0.0153012,0.140158476113,11.1698,0.229135,4.36161763599,10,3.95072676972,-0.259882,1.13915747194,3.53514601509,0.228033848297
5.70390456765,11.8208,0.255716,1.34060513756,0.0606991487116,5.83851996047,0.045955626998,0.999366,11,17.6812146157,0.00511111,0.256161103402,11.2451,0.259562,4.29704300291,11,6.01489500082,-0.267367,3.15752937631,5.67972839226,0.25945999595
5.70148430422,12.6318,0.362229,4.55844736908,0.0572662870287,5.8281395026,0.0470919272548,0.918967,12,30.746517664,0.00574941,0.363020283784,11.4663,0.365191,7.58822626405,12,5.99698375833,-0.427167,4.14841796309,5.66905956998,0.364713247065
5.68933713613,13.4682,0.520233,2.65562194716,0.0580662509566,5.83163461144,0.0441388443045,0.914475,13,24.7690673524,0.00537318,0.520858865625,11.7665,0.523435,6.5861239211,13,6.0020714675,-0.586826,2.80196633267,5.67242589156,0.522756241596
36.6154178328,14.3342,0.636194,8.1803369273,0.924665217333,38.7360883113,0.0423500905876,0.897401,14,48.6073154772,0.00525986,0.636665210182,12.1025,0.640138,8.84499111357,14,40.6819733122,-0.68563,5.03025334539,34.4234920237,0.639076811284
71.958036504,15.3483,0.742538,43.4865970249,3.32346616132,77.6418398879,0.0457238270143,0.893449,15,174.672827396,0.00690258,0.742939194362,12.5501,0.745912,66.6788278277,15,88.1223350153,-0.826609,23.2285039386,62.183555325,0.744831740411
162.554532185,16.8776,0.915422,43.08615912,2.57772025611,168.012802655,0.0534434655103,0.956619,16,182.415259718,0.0103963,0.915926577774,13.0833,0.918178,133.865353593,16,173.382477266,-1.00209,40.0934849692,109.363990076,0.917455293472
163.41639277,18.7406,1.10313,50.9820482537,1.87975741936,170.267338275,0.0621388074024,0.927094,17,187.464012283,0.014627,1.10384986337,13.7659,1.10545,145.948125686,17,173.892229412,-1.20716,15.1813391323,110.914488669,1.10511238874
170.579318613,20.1607,1.28982,53.2263197511,3.28610691403,176.82335828,0.0646579490309,0.757549,18,192.457847651,0.0180177,1.29040640607,14.4171,1.29232,140.055980831,18,183.23026565,-1.40207,7.78017972023,113.008311228,1.29170411454
