AverageAbsQYDiff,StdEsReturn,AverageAbsQ,AverageReturn,AveragePolicySurr,AverageDiscountedReturn,AverageQ,Iteration,MaxReturn,MinReturn,AverageQLoss,AverageAction,PolicyRegParamNorm,AverageAbsY,MinEsReturn,QFunRegParamNorm,MaxEsReturn,StdReturn,AverageEsReturn,AverageY,Epoch
1.72132529415,6.92017959173,0.250653,9.22396135639,-0.0411835,8.79907156474,-0.199258,9,9.34747228331,9.11025462399,3.3165,0.219554,11.2294,1.52206682685,2.74129120087,11.1303,55.7005389385,0.0470821556857,9.93809638903,1.52206682685,9
0.128226388196,3.8318152144,1.17698,5.15664616824,-1.24947,5.00737651145,1.16843,10,5.2594913173,5.03875804482,0.0584244,0.937909,12.1268,1.18986896724,2.42446185549,11.3743,31.3419544341,0.044319175602,5.09109105168,1.17869277845,10
0.0777233516291,18.5654644211,1.40816,38.8569345967,-1.49152,34.5076402158,1.39066,11,40.6811431851,36.6437619573,0.0165415,0.970792,12.8575,1.40816240089,1.07847646004,11.6923,68.248722023,0.979881029066,21.7563680943,1.39146270343,11
0.123076584765,4.93187935753,2.08034,38.8151326986,-2.28398,34.4927236487,2.05257,12,40.6685655564,36.708011341,0.0608492,0.999999,13.002,2.08146643965,29.9111803154,12.3555,61.913159371,0.96625494306,40.5871999692,2.05453832499,12
0.168013923181,6.86444539987,3.02775,38.8227944475,-3.3187,34.4993856196,2.99839,13,40.7075067871,36.7189486484,0.125139,1.0,13.0144,3.02836750275,36.052332253,13.4426,79.0736316761,0.992074209669,42.5412460841,3.00080597056,13
0.219189336321,3.69718419661,4.13731,38.7735129016,-4.54346,34.4596435899,4.1105,14,40.7596987273,36.7635276516,0.209965,1.0,13.0253,4.13812491122,36.3706314444,14.6339,57.6072811088,0.895383372715,41.0368384942,4.11301232251,14
0.254933032703,6.27824982907,5.33572,38.7721195125,-5.88017,34.4603916332,5.31629,15,40.6113547353,36.6092347841,0.281669,1.0,13.0316,5.33607989856,22.8918980804,15.9893,62.7391959726,0.897756576532,41.9873282042,5.31869130097,15
0.279181731221,6.40788062384,6.57916,38.7958761956,-7.1993,34.4778337386,6.56061,16,40.7171178439,36.7184490527,0.317909,1.0,13.0355,6.57849170011,6.40184864674,17.251,51.8098926494,0.91633488326,40.9874230153,6.56297902137,16
0.291725927708,7.00847310512,7.83243,38.6712852001,-8.51987,34.3778282923,7.81576,17,40.6336611849,36.7001087263,0.321276,0.999999,13.0276,7.83183116356,6.27978353963,18.2821,56.0693865916,0.965264085018,40.2955289294,7.81814101105,17
0.303036518496,31.4871198133,9.13981,163.619021367,-9.98889,108.034287925,9.12352,18,175.869940476,152.903807751,0.32278,0.871997,14.6673,9.13769421772,37.1145036588,19.1974,175.272511025,4.81184489931,55.8145958011,9.12514383773,18
