AveragePolicySurr,AverageReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageY,AverageQLoss,AverageAbsQ,StdEsReturn,AverageAbsY,MinReturn,MinEsReturn,AverageQ,Iteration,StdReturn,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageEsReturn,AverageDiscountedReturn,QFunRegParamNorm
-43.5645,170.805470619,34,25.5809,0.36633,41.1005037491,8.88794,41.1179,76.9514042954,41.1169600937,163.517729136,9.63739557729,41.0869,34,2.95446576016,257.093487388,1.31461425556,177.66783085,128.960808356,107.226930582,37.7713
-46.1628,244.751436534,35,25.8251,0.253378,43.6179692053,9.05046,43.6388,78.6980339755,43.6336043647,238.340406594,38.1019836955,43.6074,35,1.9988195076,235.846854115,1.32577032508,248.342729763,148.964092919,137.829674624,38.5413
-48.3148,240.434602328,36,26.0231,0.426649,45.955840405,10.8463,45.9791,88.3233153787,45.9733785915,217.846062034,20.587500188,45.9455,36,10.3151879623,272.063331769,1.43732119958,262.405665978,171.018285671,138.760055026,39.2678
-50.6684,303.798837801,37,26.3032,0.0957026,48.1336114973,12.3235,48.1549,99.5545429514,48.1475963846,254.807724748,5.66134273226,48.118,37,31.1309872321,293.049445796,1.51406793745,406.732564123,201.02951163,126.384632461,40.1492
-53.0025,277.183005223,38,26.6011,0.171053,50.555585543,13.3557,50.5788,81.7705052872,50.5688476646,253.46089897,40.510728603,50.5483,38,9.90848036394,302.232017031,1.5510631519,297.432933386,153.487901852,127.172468193,40.8792
-55.1342,219.84062631,39,26.8597,0.380917,52.6771923499,14.0035,52.6959,54.1736991248,52.6923798145,206.001470206,96.728226936,52.6639,39,7.87875734203,281.762749847,1.63456158421,251.829568798,233.641855421,128.632624401,41.6208
-57.3608,268.126655355,40,27.0505,0.194893,54.9436937276,14.5276,54.9701,65.0479025229,54.9566701737,249.58068545,68.9547918218,54.94,40,9.23929375387,291.469561142,1.62328027537,282.339534184,217.953644664,126.748384004,42.3565
-59.3928,255.541326958,41,27.3501,0.314435,56.902874785,17.2405,56.9274,88.4036621023,56.9164861073,247.439503016,3.48421178972,56.89,41,3.54486524521,272.883442859,1.72660982726,261.751075205,183.588060012,127.746380488,43.2308
-61.7308,252.804500828,42,27.6162,0.251208,59.235003455,15.3899,59.2567,87.0615777958,59.248580803,230.59605089,16.0377298003,59.2209,42,10.5902252385,288.212730658,1.71662957824,272.892344897,162.486158474,128.41822835,43.9355
-63.7238,277.384734139,43,27.9509,0.499755,61.2174127961,20.0347,61.2455,94.5675026754,61.231395249,253.13726786,51.3829479713,61.2105,43,14.4107177741,304.376749724,1.89763873202,318.497369355,195.165457163,148.715543389,44.7652
-65.9326,299.377427263,44,28.2705,0.495628,63.2916117537,17.1387,63.3161,89.777511571,63.3057345152,256.969946558,23.8551720436,63.279,44,14.3884633751,330.611079413,1.80304449312,320.583999245,178.503786598,150.807987934,45.4018
-68.5151,236.010042111,45,28.626,0.447147,65.834547487,18.9623,65.8671,91.5427009223,65.8524617036,231.2561786,32.7821208831,65.8182,45,2.05696503046,355.517538963,1.8604657736,240.219624376,232.22398668,135.061294266,46.2334
