AveragePolicySurr,Iteration,AverageQLoss,PolicyRegParamNorm,MinEsReturn,AverageAbsQYDiff,Epoch,MinReturn,MaxEsReturn,AverageAction,AverageQ,AverageAbsY,StdEsReturn,AverageAbsQ,QFunRegParamNorm,AverageDiscountedReturn,AverageReturn,AverageY,StdReturn,AverageEsReturn,MaxReturn
-1.2163,9,5.72711,11.7815,-18.2742552237,2.12199067212,9,-8.19893435389,1.86946517607,0.557354,0.651727,2.39344426128,3.32239419255,0.954978,11.5825,-7.5006991364,-8.0955786893,2.17233978691,0.0376314401676,-9.73971700588,-7.95248776235
-1.36053,10,0.329373,12.7004,-14.6411252702,0.376038313944,10,-8.52361881202,-2.44912158146,0.999854,0.790696,1.32491618754,1.69926331003,1.23074,11.9566,-8.03793022107,-8.32676527764,0.806797879554,0.0822444370197,-7.70079285344,-8.09137513674
-0.0719511,11,0.0399846,13.0577,-11.0108320771,0.152121301767,11,-3.9474583194,0.812584539352,0.999995,-0.182759,1.37544175046,2.20731145756,1.36715,12.1707,-3.65797958429,-3.78443275843,-0.181736609731,0.0704737436053,-5.05782259089,-3.54904142596
0.679207,12,0.0560109,13.0597,-4.21255868335,0.178643319917,12,-3.96314243761,4.33594328661,0.999997,-0.786054,1.90438097067,0.823891866048,1.90139,12.6498,-3.65879285439,-3.78528766532,-0.785796423163,0.0718691552247,-3.2686701703,-3.55647860709
1.88337,13,0.0721697,13.061,-3.94646090558,0.19662793642,13,-3.94695004202,0.672633594861,0.999997,-1.66671,2.38468540449,0.511469355986,2.38203,13.3552,-3.65584884286,-3.78230104918,-1.66811986747,0.0709381885082,-3.40287227902,-3.54892344599
2.82889,14,0.0815071,13.0621,-3.9131628219,0.204257117655,14,-3.95199286592,-0.822277539816,0.999998,-2.57268,2.84144795612,0.538573647756,2.83527,14.2078,-3.65866756722,-3.78510622295,-2.57561919032,0.0707247739202,-3.31510505704,-3.55149830836
2.44966,15,0.0994896,13.8529,-12.2033608509,0.217515715869,15,-16.9994713097,454.566972851,0.999921,-3.24809,3.33357863616,47.5100541881,3.32308,15.1046,-5.21209732832,-10.4483572926,-3.24927481757,2.53971051246,1.53795493654,-6.87365507264
0.048068,16,0.102834,14.5268,-45.4040291513,0.226873427638,16,51.5190737912,0.766600675885,0.943006,-1.85856,2.78489148187,12.9508470543,2.77775,15.8871,81.7490564432,630.537773663,-1.8554238648,340.518772132,-17.7780990301,921.119227905
-1.12561,17,0.095827,14.9648,-32.9196715126,0.219136312541,17,-10.9244244024,122.792901858,0.970123,-0.872599,2.77662229805,58.0704932978,2.76926,16.7341,-4.61500110846,-7.77146441879,-0.87176273844,1.35085561906,42.2010063625,-5.53201907467
-1.87005,18,0.112272,15.8172,-38.6323504382,0.231714816272,18,49.1989748976,120.260531294,0.749973,-0.145971,3.00325380025,41.1593179846,2.99461,17.6455,57.9053821655,79.8854817739,-0.145112185568,20.5678941012,0.444599060178,152.169641426
