MinReturn,AveragePolicySurr,AverageReturn,AverageQ,MaxEsReturn,AverageAction,MaxReturn,Iteration,StdReturn,AverageAbsY,PolicyRegParamNorm,AverageEsReturn,MinEsReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageAbsQ,AverageDiscountedReturn,Epoch,AverageY,StdEsReturn,AverageQLoss
-8.29306003789,-1.00405,-8.19374261819,0.455378,2.80276518751,0.560466,-8.07314762897,9,0.0364051257156,2.3284808176,11.7812,-9.71397168692,-17.1180707424,2.09946368103,11.5829,0.702614,-7.593402297,9,2.13059497384,3.25735538601,5.59047
-8.24592933777,-1.40821,-8.08848949906,0.78231,-2.3798382811,0.987284,-7.92597558109,10,0.0637567776193,1.32938851886,12.6002,-7.7867330327,-17.4831785957,0.402249702495,11.9083,1.2277,-7.81066024703,10,0.801883486407,1.70793116326,0.358661
-8.25105900649,0.185544,-8.09420957588,-0.23609,0.63112077427,0.999984,-7.94061784724,11,0.0646019182575,1.39479840286,12.6838,-7.27979938081,-12.6355849925,0.178878350789,12.1288,1.38454,-7.81687228895,11,-0.234710364571,1.79075421321,0.0544956
30.9670845478,-0.126649,37.9347697493,-0.752179,95.1464113347,0.999981,42.9897136541,12,3.10441180463,1.96546250187,13.0037,11.8248962093,-13.9260068952,0.20015277828,12.5332,1.9605,30.1976173927,12,-0.750891202137,25.2823070624,0.0722406
30.3719491823,-0.628311,37.7636108472,-0.450038,93.707433,0.999982,43.1035843701,13,2.97325224475,2.38721860877,13.0052,19.1279292118,-1.05661800265,0.224765401398,13.1441,2.37961,30.0788047363,13,-0.448906613182,21.3590966339,0.0919604
-35.1147439743,-1.16615,-30.4240016175,-0.237638,86.112762661,0.872562,-23.6639774526,14,3.17474141169,2.79614526263,13.7573,18.9696462188,0.0785607149983,0.250281060531,13.8867,2.78709,-13.1285819348,14,-0.236021008373,19.2199068053,0.115912
-38.1313054459,-2.49076,-27.1920126833,0.531984,-7.62807518926,0.962022,-13.8598339752,15,7.86612962166,3.19234137329,14.4767,-35.4928418073,-87.2503028382,0.296792383181,14.7565,3.17992,-0.901736547543,15,0.535503745029,26.9430964651,0.178937
52.791635746,-3.62639,85.6880585996,1.63063,449.881132301,0.999958,247.336621227,16,30.1191740882,3.76130944006,14.8316,176.101248949,-32.0030096075,0.339582200042,15.5985,3.7453,60.03648316,16,1.63415463481,186.405998586,0.258066
53.1949875938,-4.83,92.0197005395,2.76112,270.164375451,0.999984,333.921982095,17,43.2853648626,4.53967459129,14.9546,135.321715722,15.6292192524,0.348809775773,16.4386,4.52141,61.8141550387,17,2.7635105902,89.1450234483,0.311256
52.7967899179,-5.87824,100.086353649,3.78293,204.23502395,0.999999,444.114965466,18,83.6125290485,5.28141564273,14.9709,77.8760923899,24.0739389475,0.380962712005,17.3143,5.26009,61.0163457145,18,3.78608382915,61.7210902077,0.40114
46.8724644236,-6.94495,83.8466633924,4.86742,369.339645802,1.0,354.794980673,19,44.8416549294,6.16279079481,15.107,273.187278623,114.759751408,0.41654460052,18.1312,6.13944,58.511815617,19,4.87027562859,100.68713996,0.525472
48.7459909777,-8.22902,108.80365763,6.06727,381.899310439,0.999998,534.472451781,20,90.1530701767,7.17747933318,15.4919,217.426224598,138.419494948,0.449357152982,18.9438,7.15395,63.542602694,20,6.07002296275,96.5301677356,0.68123
57.4996227719,-9.24961,108.49724229,7.20166,430.316856803,0.901143,467.503641144,21,72.1146995196,8.24217073769,16.2576,223.465860531,10.9190055591,0.45432410503,19.629,8.21998,62.2777714719,21,7.20407275078,135.919425538,0.668997
59.6117929026,-10.6242,254.717957575,8.33412,398.610339457,0.807161,403.570069453,22,58.2885873571,9.32332160255,17.8813,204.161995081,3.30729626992,0.541788510012,20.4261,9.29948,110.029689055,22,8.33803586437,142.242023807,0.98149
933.850322688,-12.1382,1011.60999867,9.74845,289.956210661,0.716893,1070.45243208,23,43.7061033683,10.5941724032,18.6696,147.640138466,3.72407111485,0.605067784404,21.0519,10.577,87.0526718616,23,9.75447845833,84.486028068,1.24152
47.0079761008,-13.6199,198.266982323,11.2412,360.781649501,0.739049,512.012917313,24,138.02622868,12.0097461508,19.2974,192.459561982,2.77515975945,0.656160370337,21.6326,11.9932,80.8914508429,24,11.2464246488,125.352313736,1.44403
28.6811425447,-14.9093,394.860030765,12.5703,258.440008334,0.773448,696.3463314,25,192.358423007,13.2821761673,19.7361,125.852786672,6.97371964295,0.724698503145,22.3188,13.2633,98.6337075897,25,12.5752959942,89.1364482428,1.71736
18.1590397012,-16.4144,264.490438529,14.122,442.505511887,0.857319,573.58216592,26,152.96403263,14.777693649,20.4338,239.26512486,-9.43696352249,0.770339014476,22.969,14.7643,97.1415284835,26,14.1299415265,157.814782842,1.87229
25.7853586948,-17.6476,238.831947799,15.3981,365.482729271,0.805123,451.744845706,27,154.448358489,16.0140889002,20.9525,281.334538524,73.6819426236,0.823301087585,23.5472,15.9968,88.0418113682,27,15.4050008708,106.931051694,2.1846
12.8216761673,-18.7261,139.513928668,16.5543,357.178721934,0.837247,581.104586249,28,161.990537161,17.1665508792,21.399,142.249836197,19.6948323117,0.911876750803,24.1891,17.1454,59.7236039898,28,16.5603043274,108.313183051,2.83699
37.1009550182,-19.9596,259.389207898,17.687,379.95198233,0.829302,563.489845381,29,124.021548946,18.2887101594,21.7449,231.474819163,94.8122526829,0.931464419585,24.8493,18.2735,98.0538267445,29,17.6953452598,111.796020146,2.92081
16.5940515054,-21.3929,261.888862862,19.0969,334.110404819,0.818404,389.963846263,30,109.221508639,19.6840947122,22.099,212.120022021,62.2023612469,1.01024073818,25.4942,19.6654,101.243063154,30,19.1052781452,89.1096745308,3.69979
48.9585394675,-22.5194,285.065259765,20.164,446.114597438,0.85945,387.097710874,31,56.5365863819,20.7353756717,22.5049,229.707330292,99.2316963426,1.04697565061,26.0154,20.7175,111.840045848,31,20.1729686078,117.917965441,3.72903
43.160024476,-24.0417,268.20707242,21.6557,435.231001867,0.789903,525.099416806,32,115.753147121,22.1454010527,22.9248,206.583662993,74.2782408603,1.13043991253,26.6273,22.1268,101.740108273,32,21.6668767338,121.454235571,4.40151
16.5876934362,-25.2544,283.449364139,22.9048,306.25208264,0.756785,596.158841387,33,187.285895223,23.3226150473,23.2888,240.346451314,198.733838146,1.17480754924,27.14,23.3086,87.5969333722,33,22.915221297,47.135664298,4.74853
-33.2296217789,-26.4597,97.0972494744,24.0158,278.117231891,0.822634,945.564334788,34,211.689216577,24.4091967612,23.6085,99.8069440496,-6.30042103785,1.21489946194,27.6447,24.3902,39.3826031885,34,24.0244320796,98.9745104559,4.83748
67.5754379766,-27.7976,271.396027555,25.3803,431.147063395,0.821807,855.469288181,35,130.394389955,25.7541137558,23.9355,119.352604364,22.3413690246,1.29674324783,28.2452,25.7343,97.6883188289,35,25.3906810468,157.365815928,5.40569
51.9930932889,-28.8328,275.518320357,26.4414,355.276061962,0.770182,462.222669472,36,97.2536560103,26.8075770319,24.2341,160.997375032,27.6968217271,1.3477682245,28.7736,26.7852,103.958169997,36,26.4520225885,119.696007402,5.82243
204.113319006,-30.0467,326.040338061,27.5278,427.342286952,0.820087,896.466147735,37,128.263289214,27.8888968343,24.5315,233.603278016,135.240775525,1.4340185019,29.3076,27.8699,110.987264185,37,27.5361879645,112.217070935,7.25437
212.903848098,-31.5433,349.314712844,28.9929,415.10807566,0.822677,967.947899734,38,148.988217783,29.3351314834,24.7953,235.256926078,83.5578240873,1.53420475166,29.9117,29.3193,107.714009858,38,29.0031600944,124.946603829,8.25601
27.3987021084,-33.1312,191.740547908,30.544,343.95783917,0.793059,861.934650616,39,131.428238653,30.8730783433,25.037,207.903836334,18.991787425,1.55510779766,30.4764,30.8563,80.7514665776,39,30.5567689732,129.916337901,8.02459
122.457388198,-34.4004,270.478362315,31.8829,457.481329692,0.828054,652.143989509,40,94.0274332445,32.1873571146,25.3015,218.875259479,16.0720715904,1.63834944132,30.9309,32.1701,109.32686507,40,31.8978622187,132.338325515,9.15885
138.55591675,-35.802,318.668411705,33.2508,390.704033269,0.850025,638.973024229,41,177.724012756,33.5262817214,25.5008,247.387042712,113.46195654,1.67499791461,31.4908,33.5152,89.2329046466,41,33.2601660456,101.963796022,9.38681
150.49333838,-37.6142,310.518097911,35.0657,306.542608031,0.843224,1139.3068546,42,251.793315766,35.3262275389,25.6967,138.343091456,63.1243853661,1.78467588492,32.0035,35.3062,96.8143424631,42,35.0820354617,69.9186435352,9.88612
178.075215428,-38.9786,385.200289529,36.2292,248.048588723,0.868645,813.163795471,43,260.967118014,36.4753026037,25.9612,143.480472392,31.9939327853,1.8851533613,32.4931,36.4538,82.8463397081,43,36.244891857,84.0943229734,12.3918
140.346789486,-40.9338,216.179229007,38.1281,567.696552748,0.864715,779.509568045,44,109.511512991,38.3364348894,26.1401,200.750700727,12.4061680396,1.88347963237,32.9767,38.3278,94.1992603526,44,38.1394314904,168.748303096,11.5436
