MinEsReturn,MaxForwardProgress,AverageAction,StdForwardProgress,AverageY,Epoch,StdReturn,AverageReturn,MaxEsReturn,AverageQ,MaxReturn,QFunRegParamNorm,StdEsReturn,AverageAbsQYDiff,AverageEsReturn,AverageQLoss,AveragePolicySurr,AverageDiscountedReturn,AverageAbsY,AverageForwardProgress,MinReturn,AverageAbsQ,PolicyRegParamNorm,MinForwardProgress
-29.8341009038,0.053512304064,0.00209665,0.0159110052695,0.0250140272788,9,3.23342775603,1.32560104441,8.81721651548,0.0272395,10.3795750692,14.0993,3.2278235279,0.0228995073088,-1.55468591461,0.00118363,0.106424,1.02640074481,0.039223306648,0.00901337646023,-8.45597602692,0.042749,14.1539,-0.0393174639954
-26.3177789051,0.0518243010582,0.76297,0.0100722105318,0.0279115968468,10,2.08474181023,2.00288369351,5.59875725466,0.0293577,9.9758456527,14.3617,5.10668831738,0.0182857299285,-1.3771050328,0.000717265,-0.0345541,1.69469808618,0.0371156678708,0.0134683019506,-3.76980708283,0.0356689,14.5088,-0.0148512828267
-98.2019903911,-0.254388895273,0.940802,0.0617779674662,0.0294207572725,11,12.6106283686,-89.5942217781,12.7152807351,0.0301019,-53.3910125455,14.8235,27.2701950654,0.0130940003649,-9.72229865526,0.000321933,-0.0386511,-52.3403146905,0.035618322581,-0.432716906618,-120.642850009,0.0343656,14.8804,-0.584007059771
-88.7464759632,-0.301792654161,0.948161,0.0587955551037,0.0308214308567,12,12.0857484134,-88.7135992244,-23.0291992951,0.0302073,-62.6168118633,15.2108,23.9801436622,0.0102325976426,-60.4030313203,0.000184782,-0.0396689,-52.7482873243,0.0346710593188,-0.426577881629,-119.396178798,0.0325558,15.0972,-0.57859626733
-95.6490237336,-0.253535497659,0.977966,0.085108358253,0.0281702692198,13,17.2899920315,-90.3835828093,8.17819061787,0.0271309,-53.8845056047,15.5797,32.5858284666,0.00901901926224,-51.0228731562,0.000140918,-0.0330058,-53.0403980538,0.0330853623584,-0.433684089657,-121.326299063,0.0305226,15.3654,-0.58702464073
-92.690840221,0.0374353420153,0.997955,0.008910461874,0.0239207459696,14,1.85649821725,1.36631624677,3.97213552539,0.0228641,6.91135195676,15.9405,19.4117887688,0.00888453601643,-5.01425598948,0.00013443,-0.0279145,1.12968230595,0.03125214714,0.010965751883,-3.6947497375,0.0285389,15.4995,-0.0131197650965
-3.25246559609,0.0392189812919,0.999423,0.00853150381482,0.0236422444697,15,1.78159728962,1.33500084831,5.47371657649,0.0229485,7.23218967659,16.2851,1.28190313579,0.00887475062923,1.01880436256,0.000134463,-0.0303456,1.10235576816,0.0317513271171,0.0108235178828,-3.80234928276,0.028898,15.6886,-0.0140670078022
-1.66860955169,0.0425656687897,0.975861,0.0085845678194,0.0259408541567,16,1.80956223132,0.882663075602,3.41147796109,0.0253513,7.66538124544,16.6851,0.99447736359,0.00962251651953,0.949691673309,0.000162441,-0.0332823,0.705233297539,0.0340448482408,0.0102142960615,-4.01888950713,0.0310856,15.8345,-0.0132519082979
-2.17601211881,0.0390546276034,0.982204,0.0091285885855,0.02584420548,17,1.91863214899,1.49835191887,4.35860310933,0.0258409,7.40134529298,17.1398,1.16499979022,0.0107974748804,0.85975999726,0.000219307,-0.0335421,1.25684019471,0.0342218438174,0.0118426205715,-5.14261625497,0.0316773,15.9186,-0.0197409741883
-4.49926623873,0.00519628830107,0.982734,0.00387911172835,0.0243082208081,18,1.43064018124,-5.35725413875,3.84915262843,0.0255439,-1.65182311824,17.6581,2.06899518182,0.0121428041404,-1.68870773433,0.000317661,-0.0345345,-5.11516839667,0.0327502278468,-0.00599391668046,-8.98409335179,0.0312229,16.0213,-0.0195350212491
-5.57333149801,0.00721494369024,0.998989,0.00393636109207,0.0223822539282,19,1.38215541708,-5.42411321901,-1.02987385904,0.025922,-1.06575243296,18.0757,0.771504519271,0.0140178502499,-3.00743002993,0.000552992,-0.0367976,-5.17322150085,0.0295931261402,-0.00587475804492,-8.58759255432,0.0303686,16.127,-0.0182443950989
-4.78968884616,0.00710686746544,0.999476,0.00383868713014,0.0249656890127,20,1.38506013521,-5.33187200402,-1.41649557226,0.0310822,-1.41140660732,18.4561,0.660541991172,0.0170525039179,-3.05259346353,0.00102928,-0.0439978,-5.08556725112,0.0308199740296,-0.00566226745645,-8.8204396404,0.0339082,16.2174,-0.0185486247718
-5.49587758833,0.00525622041062,0.9979,0.00391039158706,0.0268550565266,21,1.41732900521,-5.30363933035,-1.24113881404,0.0361958,-1.60507666541,18.9698,0.700109199107,0.0211955012247,-3.10366396405,0.00187975,-0.0518511,-5.05869141729,0.0331773737171,-0.00560498699483,-8.81312651443,0.039504,16.3245,-0.0189156319953
-5.54895585237,0.00651047579074,0.999537,0.00396274235114,0.0301621914583,22,1.429137334,-5.33460881897,-1.20446881316,0.0438466,-1.29281717862,19.5359,0.71868343904,0.0272808363914,-3.08459404453,0.00341953,-0.0634496,-5.08782181394,0.0377609528267,-0.00564444089313,-8.67179516869,0.0481572,16.4393,-0.0186105139135
-4.52307652346,0.00596383544866,0.99993,0.00394566363781,0.0366573514081,23,1.44577158424,-5.21211095289,-1.0103034954,0.057657,-1.38481354932,20.0947,0.715144900932,0.0374433937584,-2.99545631006,0.00692896,-0.0851761,-4.97234717961,0.0455758248503,-0.00545089076048,-9.12191757546,0.0629173,16.5591,-0.020419947408
-4.91076718812,0.00493607691912,0.99994,0.00389138716714,0.0485337057317,24,1.41902336066,-5.22796789786,-0.980603979678,0.0794002,-1.64803201888,20.7203,0.72372878368,0.051258774771,-3.07366878847,0.0133102,-0.117068,-4.98667287514,0.0580823935158,-0.00541028625292,-8.4762303428,0.0846765,16.6664,-0.0178828376187
-4.91930692163,0.00676354459537,0.999981,0.00390187347298,0.0647591201914,25,1.42781899308,-5.20030000643,-1.24318637894,0.111466,-1.21988094454,21.5353,0.670227326727,0.0727486234108,-3.12548557668,0.0288435,-0.164571,-4.96063344492,0.0738571223276,-0.00536833138744,-8.39859285215,0.116161,16.7667,-0.0176128634998
-5.19521054986,0.0072488211481,0.99772,0.00387239409515,0.0922125688053,26,1.48574041992,-5.00230409161,-0.286444046732,0.169153,-1.11284510281,22.384,0.727659577037,0.112136669264,-3.05965879198,0.0699757,-0.250685,-4.77495507937,0.100681986068,-0.00519515008486,-8.83880839225,0.173502,16.9263,-0.0193206812875
-4.54508690154,0.00643561348999,0.999938,0.00388294004452,0.129990676075,27,1.47158308713,-4.98065860913,-0.732497116517,0.247658,-1.31727395212,23.3321,0.74182363245,0.166136425908,-3.08752895589,0.154949,-0.370156,-4.75397787263,0.138698703242,-0.00509358878124,-8.81010531076,0.251997,17.0717,-0.0185351686279
-5.52121044116,0.00811514071276,0.999963,0.00397694848986,0.186530487843,28,1.49884710479,-5.02544017291,-0.831998604728,0.373801,-1.27160844818,24.3097,0.699374650736,0.255189042276,-3.07390417764,0.373016,-0.541247,-4.7971163376,0.195799684591,-0.00526296304674,-8.7852382679,0.37753,17.1885,-0.0185959360795
-5.15251833768,0.0067541187969,0.99999,0.00386624987064,0.25914768971,29,1.45519510944,-5.10287560405,-1.49924257248,0.536559,-1.22736530473,25.326,0.666470216272,0.368643158237,-3.10006330123,0.772519,-0.760603,-4.87123362269,0.268173943474,-0.00546741632963,-8.78624793071,0.53922,17.2853,-0.0185983754513
-5.48033666098,0.00627411194897,0.999693,0.00396134214807,0.355258342675,30,1.4782540676,-5.02302487957,-0.707708901573,0.754369,-1.30422194457,26.4083,0.678297984937,0.522182214411,-3.00972537487,1.49495,-1.03247,-4.79443594349,0.363613703026,-0.00520812430398,-8.57855705635,0.757766,17.3762,-0.0182313607924
-4.64306893015,0.00764585247662,0.998759,0.00409733924358,0.461561278374,31,1.51885711364,-5.04462705294,-0.959858039122,1.00449,-1.00544073918,27.4166,0.719787825508,0.703160920847,-3.03760731636,2.61157,-1.33858,-4.81542144275,0.468417631177,-0.00531140800183,-8.78979693494,1.00541,17.4634,-0.0183984936413
-4.71527411616,0.00533682016503,0.994419,0.0038882309525,0.605036454164,32,1.47561305015,-4.98447652424,-1.41345554257,1.3338,-1.52929608075,28.5386,0.695964975851,0.935475523788,-3.05491655977,4.5113,-1.74286,-4.75918758828,0.610615359702,-0.00525992610357,-9.18637109214,1.33462,17.5512,-0.0202039150659
