AverageEsReturn,StdEsReturn,StdReturn,AverageReturn,MaxEsReturn,MinReturn,AverageQLoss,Epoch,AverageQ,Iteration,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQYDiff,AverageAction,AverageAbsQ,MaxReturn,QFunRegParamNorm,AveragePolicySurr,AverageAbsY,AverageDiscountedReturn
-9.70121291817,3.23292716482,0.0368904134728,-8.13572378587,4.17180915058,-8.2498762695,10.162,9,0.42468,9,-18.5749897839,3.16413247437,11.7812,2.98415776915,0.559472,0.802878,-8.01583749773,11.5829,-1.01465,3.16424338393,-7.53678623603
-7.78602680998,1.75162085381,0.0818573610602,-8.29916941241,0.123411716751,-8.49228332396,0.369572,10,1.70176,10,-18.2600552061,1.71341784355,12.5876,0.393164087439,0.996079,1.70666,-8.06881737399,11.8823,-2.54393,1.71370943806,-8.01112130199
-7.31737425705,1.76751678262,0.0656484406618,-8.09059453841,0.404218110553,-8.24022987502,0.05885,11,1.32554,11,-12.9000381061,1.32995060022,12.7712,0.174850524096,0.999997,1.34137,-7.93822509009,12.0194,-1.76363,1.33028025072,-7.81339119489
-7.40230138698,1.84676424028,0.065061746815,-8.08786574919,-4.07258011079,-8.25266559433,0.0335268,12,1.31431,12,-15.5625751253,1.31616561981,12.8792,0.138316199148,0.999897,1.33175,-7.92044448128,12.1904,-1.58965,1.31850205504,-7.81073661536
-5.38333690743,1.47749129323,0.129309905396,-6.77716481935,0.235883402612,-7.1750089179,0.0226943,13,1.2142,13,-8.30912945588,1.2152960882,13.1534,0.11503496084,1.0,1.23117,-6.39856380035,12.3781,-1.51113,1.22438183591,-6.34299153188
-5.00594043371,1.42947617804,0.134293310543,-6.77747687609,0.188549471014,-7.15748688667,0.0147521,14,1.16355,14,-6.90724742488,1.16445075249,13.1531,0.0921870983928,1.0,1.17401,-6.37237871232,12.4892,-1.33005,1.16813499247,-6.3434241089
-6.69131732206,2.06975794177,0.164644239573,-7.70442316762,0.969628916777,-8.48989710213,0.0122474,15,1.0071,15,-10.4547429182,1.00757260822,13.6957,0.0824419277427,0.984746,1.02216,-7.36893012538,12.6128,-1.09995,1.01603998448,-7.27985336438
-8.72220614797,2.06465716243,0.151989617199,-10.6624918643,0.687695387967,-11.1460082769,0.00876718,16,0.833631,16,-11.2496905213,0.833899199647,13.8075,0.0689669128881,0.999999,0.853847,-10.2331490914,12.6927,-0.917989,0.849258574264,-10.0002318658
-9.50212464203,1.69356751714,0.156263006329,-10.6597806097,-0.0912691419536,-11.0936368134,0.00607588,17,0.689884,17,-11.2963786462,0.690038831505,13.8136,0.0562797306653,1.0,0.707913,-10.1670433815,12.7824,-0.746801,0.704459402885,-9.99813791208
-9.59620089196,1.39752610311,0.15839019486,-10.6542837165,-3.92744122747,-11.1714258855,0.00424934,18,0.536281,18,-11.423393003,0.536322708806,13.8248,0.0462029387563,1.0,0.554171,-10.232390624,12.9004,-0.559069,0.551548853078,-9.9930111934
