AverageReturn,MinForwardProgress,MaxEsReturn,MinEsReturn,AveragePolicySurr,AverageAbsQYDiff,StdReturn,PolicyRegParamNorm,AverageY,StdEsReturn,Epoch,AverageAbsQ,QFunRegParamNorm,StdForwardProgress,AverageQLoss,AverageForwardProgress,AverageAction,AverageQ,MinReturn,AverageEsReturn,AverageAbsY,MaxReturn,AverageDiscountedReturn,MaxForwardProgress
14.0800266244,-0.0478266071001,63.5923373683,0.993046555812,-0.109073,0.0377235582443,1.74957512309,14.173,0.119628661687,11.8065445077,9,0.113053,14.0889,0.0221136619417,0.00267151,0.0197283355092,0.0107344,0.113053,8.86491979875,34.5144518768,0.119628661687,20.6615506852,13.233498958,0.101342612784
4.26047285551,-0.0412010874207,27.0175411347,2.86294618954,-0.135338,0.0178865223685,0.513627930469,15.01,0.126739963292,1.86310656074,10,0.126522,14.494,0.00743332544479,0.000843803,0.00128032094957,0.980195,0.126447,2.57888204476,4.64575612647,0.126739963292,6.41574868491,4.19293851832,0.0264109165165
4.27880287647,-0.0240916231753,6.08195204266,2.90999398596,-0.149708,0.012420353673,0.510323043772,15.2585,0.144683812396,0.534177621746,11,0.144576,14.8535,0.00755089373853,0.000450542,0.0013270740573,0.997419,0.144503,2.7388897943,4.23281794417,0.144683812396,6.51698978092,4.21074486913,0.0276138764792
4.45932608812,-0.0344575785805,6.06248463843,2.37757412619,-0.130978,0.00958316880683,0.691619710468,15.5448,0.136491911161,0.663924090439,12,0.136568,15.2806,0.00776213357837,0.000275944,0.0019904930466,0.94572,0.136435,2.45445529187,4.04601271373,0.136499235919,6.89489969502,4.38438144585,0.0314966244676
14.8696299618,-0.03131752274,54.5085314405,2.2597421749,-0.158299,0.0102241613967,4.90316272718,15.85,0.130060037091,7.53201596245,13,0.130137,15.8737,0.0308668321181,0.000335959,0.0232461761833,0.939331,0.129947,4.33378818433,7.20304602813,0.130070397727,56.4194483891,13.8111534077,0.341975853567
14.4227168921,-0.0399082928793,26.8328336667,7.48038360129,-0.200935,0.0126059615641,4.20882680328,15.9424,0.161566324188,4.31916161313,14,0.16157,16.4262,0.0228892743233,0.00046624,0.020056096523,0.985938,0.161382,5.94166878922,14.5801582629,0.161578231898,36.8692447313,13.431188732,0.138104282995
21.6876367966,-0.0263789221075,44.9862892295,4.83299694376,-0.199863,0.0133280210301,8.95201089514,16.0051,0.176581625567,7.55841568568,15,0.176708,16.8652,0.0728177710288,0.00050656,0.0747893642456,0.884625,0.176478,4.36401813171,17.8550735393,0.176600192718,56.9754821375,19.5865525134,0.432036590898
7.94112436232,-0.0906852439083,65.9328359925,4.84822731738,-0.200448,0.0127157021428,1.24882167433,16.0875,0.178646123089,19.8403004877,16,0.178817,17.2468,0.013812133503,0.000455741,-0.0328154791008,0.87173,0.178577,4.24563304864,26.4286191211,0.178655392479,12.7038267509,7.62802367019,0.0174405137804
18.7941487047,-0.171746408046,20.7506118549,4.93023997308,-0.208806,0.0142666682113,4.50897340273,16.2215,0.181650301618,2.46698564618,17,0.18187,17.7486,0.0426056941188,0.000596588,-0.0613107774938,0.814559,0.181634,9.8123012125,8.17951452339,0.18166894779,35.0487618824,16.9151841685,0.0661064765761
48.9469013567,-0.315315637264,78.3083041175,4.89000072359,-0.208926,0.0155835248061,19.3418143893,16.3679,0.190277766906,17.9723327794,18,0.190479,18.3507,0.0700250068812,0.000677404,0.0566809353066,0.847713,0.190266,16.6271243239,45.9997514151,0.190293813175,129.110806918,37.8097432374,0.157636264854
27.3976549357,-0.180468900356,61.9975375383,8.85856397782,-0.217312,0.015167489459,8.27933465359,16.4611,0.199546834449,12.7211775664,19,0.199703,18.9282,0.0548926298224,0.000679352,0.046549614716,0.789312,0.199501,9.44589636676,35.6132829331,0.199567488699,51.131804938,23.9075829128,0.177555672698
22.2694523115,-0.144098714784,56.1050552336,12.501104173,-0.223926,0.0154805756684,6.03808864479,16.4879,0.207307249743,10.6855065431,20,0.20747,19.4763,0.0445813102692,0.000771657,0.0643709958109,0.775291,0.207219,9.5614502227,27.1862022804,0.207322410001,41.2547278077,20.1235399811,0.264014228846
38.6643845792,-0.254357315616,67.1066233704,5.43702759689,-0.22816,0.0156071965027,18.9009877003,16.5301,0.213743691903,15.5281500412,21,0.213917,20.0554,0.148897608289,0.000817891,0.179910156431,0.71658,0.21371,3.95319825543,35.999853565,0.21375693948,99.0299937,32.1566221172,0.57755382705
49.7628645906,-0.122041245722,79.9707066646,4.57514202634,-0.232297,0.0155223226963,20.3926655897,16.6313,0.218527197135,20.5102308977,22,0.218732,20.6552,0.173499134764,0.000817207,0.309773367876,0.75608,0.218486,4.1460792795,46.8654497754,0.218539785438,80.4896445609,40.6502500942,0.551807831077
45.2474655422,-0.188485026626,74.9597332318,14.7066371895,-0.236891,0.0157177055231,17.8246882633,16.747,0.222593919344,15.4488096552,23,0.222831,21.2449,0.152106084842,0.000855168,0.25685795374,0.709214,0.222542,4.80837894891,48.2695245333,0.222607716922,78.9746796324,37.3712205791,0.512797451945
48.8852426189,-0.557631390805,68.2578449614,6.20392821148,-0.240984,0.0156076453987,19.7832182927,16.861,0.227372484734,20.4566085421,24,0.227625,21.7984,0.171561685275,0.00088603,0.279322744521,0.654468,0.22735,5.03124059411,49.177530506,0.227385577347,80.4089189788,39.7031839197,0.499136415808
