AverageAbsQ,AverageAction,AverageQLoss,Epoch,QFunRegParamNorm,MaxEsReturn,MinEsReturn,MaxReturn,AverageReturn,AverageQ,AverageEsReturn,AverageAbsY,AverageDiscountedReturn,Iteration,AveragePolicySurr,AverageY,MinReturn,StdEsReturn,AverageAbsQYDiff,StdReturn,PolicyRegParamNorm
22.2425,0.760194,3.40614,33,29.2662,437.919646463,-102.336059284,434.029179025,180.869365065,21.519,146.550365915,22.2484301158,75.6353478969,33,-23.646,21.5237561423,16.5994630629,182.345360703,1.04247484135,136.075403877,26.8862
23.3385,0.764105,3.51435,34,29.899,306.203949188,47.0298742134,444.113207713,195.977302635,22.6443,217.1435777,23.3475034953,106.334589792,34,-24.8617,22.6500875304,106.288677307,88.9225239065,1.08256038301,45.917603661,27.1535
24.8515,0.775911,4.11537,35,30.5674,234.690454112,12.1299588601,350.345027253,219.057689691,24.1893,138.011220689,24.8612197568,108.345190503,35,-26.4599,24.1954813073,132.704617717,90.1083850168,1.14205087258,56.8012030656,27.4615
25.8734,0.794322,4.62436,36,31.1626,467.491683759,59.8806155057,407.685286803,275.083892031,25.2518,198.260844995,25.8841052422,113.023349219,36,-27.6047,25.2584266215,128.365402722,190.399767509,1.21273486482,59.1332551521,27.7244
27.4034,0.83257,4.77035,37,31.7995,459.882395741,-5.6371542906,1179.27927208,312.094809634,26.8354,130.557906831,27.4138287166,84.0192323577,37,-29.2121,26.8451064407,18.0900708873,144.389072348,1.2807755808,337.085055476,28.0846
28.6671,0.844833,5.17065,38,32.4012,229.240475418,3.71789123386,883.720630168,239.256649021,28.1112,124.905403333,28.6755421553,80.2419607335,38,-30.5478,28.1178713335,102.365005586,79.6882694251,1.32371687383,205.278132571,28.4237
29.9599,0.805481,5.63866,39,32.965,264.794248639,42.692660133,822.581449966,262.551739045,29.4559,152.992354007,29.9707882468,82.9401120191,39,-31.9329,29.4619294071,28.6099376836,82.9505389194,1.39285446911,171.526835948,28.7293
31.3738,0.825562,6.0904,40,33.5315,292.706130131,18.0793897564,312.868447117,198.517773807,30.9011,151.001977149,31.3860652637,72.4767590034,40,-33.3883,30.9106184119,-11.8973738263,90.5511211974,1.44959433217,71.2612032219,28.9612
32.6973,0.788696,6.71836,41,34.0589,245.991505491,-46.2438882586,543.680829032,171.882684066,32.2455,88.7927982788,32.7130594281,68.4574199836,41,-34.7387,32.253125282,1.71484288966,107.71443076,1.5124979413,92.657827407,29.2266
34.0025,0.782407,8.05856,42,34.6056,291.93443201,-18.4921810873,440.091418068,163.887153768,33.5714,81.4128738638,34.0155004539,67.7428121763,42,-36.1041,33.5777045162,-30.4002293583,100.620621228,1.62584194797,74.2964672867,29.477
35.2962,0.703415,8.69249,43,35.2279,124.822951011,-2.38733219652,284.930298888,75.490039388,34.861,55.4179717283,35.3129835855,40.8544214829,43,-37.3919,34.8728265785,-70.8201612443,42.0051807729,1.69768937296,93.2429962603,29.773
36.4141,0.771177,9.04843,44,35.7307,124.232926271,-16.7141750579,945.261301861,201.14942733,35.996,13.2010090669,36.4284978292,50.7907681153,44,-38.5829,36.0054282931,-59.2222303506,38.6754571131,1.7386947645,176.239828823,30.0436
37.8647,0.721848,9.27628,45,36.287,454.67979577,12.4555887006,527.14880019,200.37674025,37.4849,235.216502916,37.8795600831,58.8488430414,45,-40.2054,37.497878198,-30.255633384,189.257459539,1.79137026039,121.45377408,30.3479
39.257,0.727046,10.0444,46,36.8109,225.740347361,-1.90504737705,587.146140371,153.282379196,38.9213,57.1194882387,39.2739137032,56.5010948906,46,-41.6737,38.9303102888,-44.401487997,74.6494736255,1.86521322329,133.908366737,30.6503
40.6104,0.729555,10.806,47,37.2967,236.968231107,-3.83353008801,410.427539054,66.2226717213,40.2982,52.1409438109,40.6240966617,31.9506746635,47,-43.0139,40.3090411799,-85.0401776901,81.3417243941,1.93391595917,100.537085752,30.8993
42.024,0.749246,11.9461,48,37.8114,222.627978545,34.6979824565,432.378613107,158.524886801,41.7359,147.511909675,42.0366969208,66.3692788068,48,-44.4767,41.7475007112,18.576409827,65.3574978167,2.01010878527,87.4604663153,31.1038
43.3969,0.756697,12.2252,49,38.2813,271.858278931,3.40809366508,566.98209833,322.972793887,43.1048,114.544102072,43.4109354777,108.960324453,49,-45.8736,43.1212019764,112.843367557,97.723869246,2.05955940918,106.261371958,31.3696
44.8835,0.77771,13.1621,50,38.7494,458.372909252,-53.7002214647,619.9202244,229.439143344,44.611,148.228563476,44.8960571427,85.0889896934,50,-47.3964,44.6215716467,22.0324461861,159.35697132,2.1211490395,128.216677816,31.6216
46.3193,0.761988,13.7759,51,39.2128,315.856359459,18.9623008154,352.049522043,237.537382064,46.0468,123.761145912,46.331809876,101.746632605,51,-48.8769,46.0619613935,78.2307890638,98.5710025573,2.17860913815,63.2635629077,31.8842
47.5933,0.761647,14.4668,52,39.6513,310.020024679,-28.4612419351,294.028490359,123.057198611,47.3331,69.8179916751,47.6026510068,62.8161592757,52,-50.0507,47.3413461205,-172.502319946,95.7231950366,2.18317600483,57.9841368309,32.1605
