AverageDiscountedReturn,Iteration,QFunRegParamNorm,PolicyRegParamNorm,AverageQLoss,AverageAbsQYDiff,AverageQ,AverageEsReturn,AverageAbsY,AverageReturn,MinReturn,Epoch,StdEsReturn,MinEsReturn,StdReturn,AverageAction,MaxEsReturn,AverageY,MaxReturn,AveragePolicySurr,AverageAbsQ
11.4249514469,9,11.1655,11.1819,2.94,1.54931709268,-0.824676,14.8136110455,0.725397536342,12.1688183351,11.4816411227,9,17.044411342,1.42472599666,0.261114238114,0.0391754,160.886337503,0.724641447937,12.78616187,0.534356,0.824676
1.83879010756,10,11.2787,12.2516,0.0389009,0.103613895986,0.468306,2.20981055443,0.474587405963,1.8369877083,1.61815186705,10,0.811305306892,0.0220448575601,0.081962280348,0.967263,5.13308748785,0.471874031096,2.03377214347,-0.55297,0.469846
1.70564456483,11,11.4349,12.895,0.00867864,0.0540049359335,0.449348,2.28136940325,0.453695931018,1.7001364494,1.43226328915,11,0.596512585115,1.09811821471,0.0795652180912,0.999932,4.36963322469,0.449928716187,1.87870470724,-0.484576,0.452092
0.439452774357,12,11.5738,13.5215,0.00482619,0.0417335221495,0.500831,2.0368164443,0.50585394671,0.290693016829,-0.0195735769637,12,0.960366545243,-0.761643255216,0.118880761988,0.994191,4.786939699,0.50124646039,0.584168141332,-0.523252,0.507022
0.441704822189,13,11.7569,14.0118,0.00422561,0.0399200755855,0.511372,0.907491678166,0.521636355907,0.29288469427,0.00780142700712,13,0.946380428771,-0.702571117562,0.112888592444,0.999813,4.10768514727,0.511449215032,0.593282044698,-0.521666,0.523667
34.2471867868,14,12.0477,14.8199,0.00624058,0.0447947572954,0.537127,29.7817286453,0.555023147449,38.5149050356,36.5338065538,14,16.9771571043,-1.25558864696,0.815369957336,0.999165,44.0271907309,0.537406291941,41.4217416103,-0.600459,0.555776
34.4487099403,15,12.4774,14.8448,0.00814182,0.0467815809952,0.659271,42.1209479877,0.677185123632,38.7626204231,36.6945317361,15,4.79400767949,28.5068011205,0.947172757286,0.999998,60.3606448811,0.659688500845,40.7791613354,-0.751299,0.676906
34.4286444584,16,12.9917,14.846,0.0103047,0.0503918503668,0.790395,41.2043059482,0.803431851451,38.7328323925,36.7578391095,16,5.32737839498,15.0026546346,0.929889099902,0.999999,50.740211194,0.79079686487,40.6316989205,-0.896778,0.803549
34.4937393884,17,13.6066,14.847,0.01104,0.0534025872327,0.935692,40.5798648574,0.946030972477,38.8165067989,36.5398835915,17,5.92782642899,6.2684306054,0.967179582405,0.999999,51.7814039065,0.936125437337,40.8324575636,-1.04987,0.945896
34.4952045623,18,14.2227,14.8485,0.0110447,0.0549944817603,1.08425,42.8424238552,1.09320238691,38.816681738,36.7117709612,18,6.12904593247,25.9701540909,0.888056538844,1.0,60.1407127616,1.08468203643,40.7587796289,-1.22875,1.09305
34.5023791153,19,14.8307,14.8518,0.00994524,0.0555486398732,1.2433,41.8533729479,1.25090478543,38.8270013661,36.627333121,19,6.24372559093,24.8236009084,0.912932490464,1.0,70.742882996,1.24384215984,41.949160469,-1.39722,1.25092
34.5357817985,20,15.3857,14.8575,0.0112958,0.0563588310633,1.39214,40.8156624184,1.3995399708,38.8685033674,36.6279219476,20,4.06141943549,26.2945531975,0.922875151424,1.0,53.9809856719,1.39254865122,40.6974708622,-1.54236,1.39963
34.4217431153,21,15.9021,14.8583,0.0102704,0.0561804785271,1.53421,42.0489475082,1.54132496378,38.7268339894,36.5976365095,21,7.82710851559,5.11730004853,0.888548914929,1.0,65.6188356254,1.53465525164,40.6601564855,-1.69328,1.54139
34.4611993505,22,16.5069,14.8561,0.0127141,0.0621416392436,1.67854,41.7545653388,1.6846941947,38.7771405152,36.6741211821,22,8.91213983314,3.07496412302,0.979829692479,0.999999,64.6429843123,1.67887540984,40.6599216229,-1.83695,1.68503
34.4706335554,23,17.0868,14.8698,0.0116628,0.0608576791377,1.78928,40.0527131915,1.79562715172,38.7869913865,36.6114006709,23,6.30535685699,8.50436187027,0.878730800675,1.0,52.6368010174,1.7895133133,41.7850413039,-1.95244,1.79558
34.4996736614,24,17.6289,14.8697,0.0141279,0.065186927335,1.90888,41.6152911538,1.91494682429,38.8245634445,36.730842592,24,5.21329002193,36.9438387949,0.950430648876,1.0,71.4637772796,1.90932278786,40.789590145,-2.06306,1.91488
34.4669495016,25,18.199,14.871,0.0135293,0.0660713400947,2.00264,41.5342487799,2.0082189317,38.7812287881,36.6456888606,25,7.06740016115,23.8289443425,0.896272305449,1.0,64.1190461836,2.00294759307,40.6771829153,-2.15524,2.0083
34.4907882817,26,18.8448,14.871,0.017455,0.0737161118687,2.09218,42.3331950374,2.09783070912,38.8136221055,36.6828623981,26,8.36295002217,18.7361537648,0.96126048781,1.0,62.9069028149,2.09279592534,41.7229237909,-2.23779,2.09769
34.4406911423,27,19.509,14.8678,0.017746,0.0741611147619,2.16167,41.1473609521,2.16660180138,38.7495963615,36.686302303,27,5.68217800467,22.1673267912,0.916872717776,1.0,60.5693344324,2.16181086035,40.7889933559,-2.30638,2.16703
34.4763674164,28,20.1809,14.8679,0.0168692,0.0755695377262,2.22182,40.5248268785,2.22673574496,38.794280576,36.6662790913,28,6.29251947858,8.56081629125,0.97829945153,1.0,58.6239238441,2.22228783167,41.809047601,-2.35795,2.22672
24.9341005818,29,20.7557,15.9582,0.0150174,0.0718022520249,2.26776,48.4655623222,2.27198411474,28.0010538121,24.6606358081,29,18.0904767893,31.4400506021,1.00889921941,0.955169,116.690261042,2.26809952703,31.4686917079,-2.42076,2.27219
35.8326092933,30,21.446,16.8806,0.0272341,0.0956815948266,2.41339,21.734624748,2.41757728043,42.6750320512,27.8063421448,30,9.6373049484,8.89742048795,7.6850793844,0.927959,57.1539313251,2.41396211453,67.2327024823,-2.85448,2.4174
131.976128963,31,22.2125,17.6279,0.0652206,0.136363909605,2.87677,68.0881393083,2.88157798647,354.814344987,251.921570316,31,85.1589776688,8.46312083004,29.3194176204,0.788776,375.842561255,2.87801387658,410.578563675,-3.33679,2.88056
123.748987577,32,22.941,18.3477,0.0828294,0.145412300415,3.22311,221.6730645,3.22747654447,258.993233297,146.931111042,32,107.566767429,17.3706741514,86.0501636297,0.6565,345.481336401,3.22429515031,385.260518067,-3.61072,3.22701
136.530204492,33,23.6364,19.0054,0.0992677,0.155088168649,3.46427,161.499185748,3.46876561866,284.742820574,202.887851801,33,112.739703889,29.0998867613,34.0679188062,0.793069,372.760780457,3.46569641535,325.507232165,-3.83118,3.46822
142.466602741,34,24.2742,19.89,0.100095,0.152741715072,3.6989,216.564242096,3.7027294931,339.573465707,234.037233214,34,92.2594774366,10.8710350166,57.6520872481,0.66902,321.414298916,3.69996590366,412.640065338,-4.05909,3.70275
146.972623513,35,24.9312,20.6444,0.105897,0.156802371429,3.92979,180.079297219,3.93343023628,287.468245055,275.545052877,35,114.097768847,30.1486888414,3.19646146124,0.762257,307.265144846,3.93078787047,293.142068407,-4.28114,3.93446
137.746870919,36,25.5425,21.31,0.1096,0.160384820411,4.16088,175.179671579,4.1651943751,267.148189007,230.042155616,36,94.4453628171,11.7316872992,14.1246296388,0.803812,302.960955611,4.16271818393,318.949042619,-4.50092,4.16535
120.952863562,37,26.1469,21.8715,0.116336,0.161739970306,4.37778,168.656253666,4.38147808129,207.386638543,126.18279874,37,80.9066166624,26.1757989211,20.7051366541,0.808661,294.822413898,4.37888525185,233.889355142,-4.72797,4.38315
83.9012352543,38,26.7065,22.2797,0.119494,0.165178214284,4.5943,163.688855832,4.59881969478,117.55888249,77.1909018551,38,65.0885056317,25.020020847,30.5455956497,0.854982,268.501308401,4.59591344158,168.124023697,-4.938,4.60056
