StdEsReturn,MaxEsReturn,StdForwardProgress,MaxReturn,StdReturn,AverageAbsY,AverageAbsQ,AverageQLoss,AverageAbsQYDiff,AverageForwardProgress,MaxForwardProgress,AverageAction,PolicyRegParamNorm,MinForwardProgress,AverageQ,AverageReturn,AverageEsReturn,AverageDiscountedReturn,Epoch,AverageY,QFunRegParamNorm,AveragePolicySurr,MinEsReturn,MinReturn
4.48482523448,13.7865777118,0.010583786525,5.36554697451,2.15868153985,0.0653240311869,0.223343,0.0866356,0.222689862262,-0.00108557113201,0.0305935719792,0.974397,17.1514,-0.037337918941,0.215846,-0.813752278743,-2.68148678267,-0.790955152258,9,0.0153894331124,18.461,-0.175975,-25.7272447705,-8.6790827474
4.95992965728,4.49864005143,0.0105710356006,6.47474755108,2.15640616752,0.0689586324744,0.0649748,0.00350575,0.0403698808879,-0.00160376422794,0.0334453910029,0.997619,17.2662,-0.0359204226047,-0.0303051,-0.978574047822,-0.21132507031,-0.950688810546,10,-0.0318227296525,18.9435,0.00702733,-29.3716422373,-7.93765968985
2.66287611683,7.59138665475,0.0111992422697,6.66192653339,2.25032447504,0.0566686522376,0.0531155,0.00089941,0.0218753350613,-0.000269696509196,0.0390846638505,0.997136,17.4201,-0.0333346035184,-0.00489511,-0.743204311778,0.0413838692026,-0.747223555735,11,-0.00478022975724,19.4191,-0.0315149,-5.25923378191,-7.64155777775
3.11204296601,7.21317575868,0.0120663589846,7.09334888293,2.41231390113,0.0621200137858,0.0592415,0.000672988,0.0192136730648,0.000734504583359,0.0407156787754,0.999758,17.4429,-0.0313688108528,0.0230381,-0.552171291697,-0.244068746004,-0.570956252499,12,0.0231481664424,20.0175,-0.0557937,-5.80784666587,-6.93762174184
2.80924149172,7.52313623129,0.00917561802035,6.04690933933,1.9197627543,0.0729286612097,0.0704947,0.000658718,0.0187038791909,0.00398225985295,0.0333799654216,0.929494,17.4916,-0.0218964682604,0.0430661,-0.0187824439387,-0.212484317949,-0.0999467698125,13,0.043166303189,20.7235,-0.069424,-6.23076592571,-5.44075057359
6.74034418597,5.39614252352,0.00846230577518,4.16070024941,1.83603003363,0.0829411344289,0.0803895,0.000772732,0.0194602152768,-0.00337866975231,0.0241701498655,0.941341,17.5924,-0.0259434744382,0.0532385,-1.8035125342,-0.622730382503,-1.66885629182,14,0.0532672161166,21.4315,-0.0757436,-44.9016931154,-6.61946746755
3.52930514764,9.19098532486,0.00860021748769,12.4915570348,1.77808521447,0.0913977643092,0.0889375,0.000847965,0.020256370574,0.0383958353009,0.0720936586267,0.94859,17.5415,0.0147946605522,0.0625431,5.62954809282,2.57301398095,4.97151953294,15,0.0625715733496,22.0346,-0.0856344,-8.26884028932,0.582817544315
2.92056477292,9.33904872899,0.00835480876259,9.72078461359,1.75673530633,0.10378968903,0.101594,0.000997826,0.0216034479994,0.0314755861909,0.0550998386956,0.932497,17.6095,0.00325719976002,0.0755386,4.7254592577,3.7428131598,4.17937229645,16,0.0755416929222,22.7375,-0.09688,-4.9537162489,-1.3621506239
2.33582656432,8.70433179337,0.00779436339877,9.14565635684,1.65256993222,0.118499294589,0.116328,0.00102789,0.0220994761145,0.0311205343362,0.0530394759476,0.967745,17.7412,0.00720735106961,0.0909751,4.60452841017,3.55620403492,4.08794976542,17,0.0909448136421,23.2976,-0.11387,-3.19716533716,-0.289657048098
1.77030620536,7.21291104781,0.00802995968927,9.75448629069,1.69843175579,0.135757561608,0.133732,0.00117428,0.0229722269089,0.0308475915097,0.0560340696022,0.963933,17.7858,0.0052111212189,0.108812,4.57505955105,3.66294457162,4.05205311403,18,0.108756862872,23.863,-0.133338,-1.37386347699,-0.951108961702
2.83541333336,9.68732063516,0.00812717321664,10.0816668764,1.71692753824,0.156110572211,0.15433,0.00138025,0.024329602808,0.0309047899967,0.0560592623188,0.952251,17.9196,0.0104333380313,0.13144,4.61257902246,4.04760663939,4.08302170093,19,0.131335296681,24.4583,-0.155147,-3.20876371406,0.124440726157
2.76312687509,10.3943096322,0.00843721468298,11.54864109,1.73309149246,0.174895137777,0.172977,0.001545,0.0250149545321,0.0325591617538,0.0663826547457,0.949969,18.1021,0.0025081632624,0.150794,4.92318951028,3.77810018696,4.35912446565,20,0.150764063623,25.0197,-0.176216,-4.39606325756,-1.41084945157
2.50233685338,9.93094301521,0.00801283582349,9.1231433895,1.67471355837,0.192861330699,0.191509,0.00150293,0.0251422691367,0.0325281785434,0.0542819377706,0.963278,18.3,0.00860294413185,0.171039,4.90683944337,4.31648079932,4.34645623671,21,0.170856221608,25.5713,-0.193502,-0.596998034975,-0.111040898135
2.60759071889,10.4842636094,0.00852254779491,10.9102521023,1.73887464323,0.211569647933,0.209949,0.00174927,0.0257824646158,0.035296195378,0.0636785751245,0.958385,18.447,0.0130340181073,0.190045,5.34686458223,4.31643657588,4.73100642394,22,0.190011230818,26.0573,-0.21526,-1.25031976918,0.565667083572
2.13584451855,9.26516449875,0.00853565131913,10.9248400314,1.80802883035,0.229201805173,0.227856,0.00167217,0.0264570233641,0.040681819776,0.0634525836986,0.933503,18.6138,0.0111544220621,0.208782,6.10580162835,5.03469230652,5.38846615591,23,0.208664884143,26.5635,-0.232154,-2.73006458578,-0.0541689282455
3.4452117663,10.1449463252,0.008697343655,10.9815341595,1.82847950041,0.246582624924,0.245027,0.00192706,0.028203560742,0.0407814029932,0.0639198070918,0.944527,18.8199,0.0166041787856,0.225631,6.13305824034,4.0731725911,5.41646058432,24,0.225574594178,27.1086,-0.250171,-6.40104178354,1.12782259309
