AverageY,AverageAction,PolicyRegParamNorm,AverageQ,AverageReturn,AveragePolicySurr,MaxReturn,QFunRegParamNorm,AverageEsReturn,AverageQLoss,MinEsReturn,AverageAbsQ,AverageDiscountedReturn,Iteration,AverageAbsQYDiff,MaxEsReturn,StdReturn,Epoch,AverageAbsY,MinReturn,StdEsReturn
25.3514982041,0.69282,24.6939,25.3467,171.461912788,-27.132,177.254957971,31.3235,155.183880723,2.25617,22.1775317681,25.3786,111.084204722,26,0.731699111276,206.985943006,2.21855338442,26,25.3725219513,166.599717983,55.7066793929
27.5810193666,0.650288,25.2532,27.5744,176.414091958,-29.388,183.122534239,32.3138,146.649007862,2.70204,8.43299631002,27.6083,113.098999394,27,0.795569497798,205.005193912,1.99164574222,27,27.6020261649,173.335128214,56.580057086
29.6770361394,0.606739,25.707,29.6713,183.620680262,-31.4772,188.969239096,33.388,128.680755084,3.01222,14.3097174507,29.7058,116.456970517,28,0.834932297006,187.079729076,2.44303434241,28,29.6969628067,175.016585738,55.8191049088
31.7778964572,0.550261,26.2296,31.7733,181.488359859,-33.5889,189.344953973,34.3675,162.512301574,3.20543,48.5707825424,31.8061,114.832761778,29,0.861056703603,214.309656933,3.72270506811,29,31.7939775155,173.192243204,52.0614908264
33.8710267317,0.517408,26.6968,33.8664,179.805243012,-35.6963,186.705593903,35.2875,168.093634582,3.52309,73.1133743598,33.9062,114.370345854,30,0.907264680533,206.506249575,2.11263483843,30,33.8895893783,174.048448415,34.3318335864
35.9056884408,0.521481,27.2245,35.9002,180.25746087,-37.7272,185.156814195,36.24,151.542340031,3.72197,14.1647302185,35.9415,115.102731532,31,0.935629092089,192.992647346,2.09634994442,31,35.9224143001,174.717911899,61.1657981596
37.8465609719,0.582351,27.6751,37.842,175.328548162,-39.686,179.008005057,37.325,134.903977586,4.81069,15.7106410717,37.8895,112.638459571,32,1.02515043828,203.985232668,1.75475868662,32,37.8641500094,171.695990371,69.0008883021
39.8036123021,0.570134,27.9901,39.7974,179.931749786,-41.6416,184.119408603,38.2732,137.634656171,4.9307,22.7983118257,39.8459,114.507187222,33,1.06189511272,221.000098875,2.11594458647,33,39.821319393,174.86284215,60.2966510577
41.6909259084,0.531603,28.3317,41.6862,201.032566462,-43.6443,206.432390138,39.2498,145.099501687,5.70194,55.5555333603,41.7402,123.089425406,34,1.121003668,184.797626177,2.28679865004,34,41.7100550454,195.232535178,41.5945905903
43.5979445211,0.560935,28.7429,43.5939,188.556556745,-45.571,193.649353943,40.2056,145.137627392,5.38632,14.12478975,43.6411,117.674116654,35,1.12399916133,211.691464444,6.85121458528,35,43.6146921844,166.18384859,62.8597741516
45.5757256517,0.628856,29.2046,45.5695,168.840485689,-47.5729,187.833529141,41.1219,150.341813191,6.28895,31.2010637758,45.6349,109.372912209,36,1.19244105578,211.851314063,9.35173874205,36,45.603625074,153.786984701,53.9941020569
47.2194891854,0.585115,29.6454,47.2148,203.701010688,-49.2567,208.658205654,42.0809,126.218498383,6.89819,9.2311956351,47.2911,123.320362374,37,1.26066300948,208.520568338,3.41434759361,37,47.2612714059,186.294313922,62.0486987258
49.0734873064,0.563611,30.1171,49.0668,223.007414036,-51.1521,260.220324391,42.926,163.234410083,7.28876,69.8557444411,49.1491,130.36138239,38,1.29083590119,212.740863385,13.8787771303,38,49.1191381847,179.92765893,48.0861110809
50.9554004217,0.556091,30.6369,50.9483,206.933300552,-53.1269,260.614413038,43.7639,153.96598336,8.57887,62.0531428894,51.0285,124.694839904,39,1.37615942535,222.329178122,16.7470670905,39,51.0000488308,183.702412325,50.1590631393
53.0181323047,0.517439,31.0518,53.0124,346.332380222,-55.227,478.570421092,44.536,217.577242147,8.67461,71.2199793676,53.0814,159.972295327,40,1.36961363671,349.945240615,86.0716232314,40,53.0526868127,198.810293536,70.0546511389
54.9922263963,0.633913,31.4396,54.9829,998.367442396,-57.269,2930.76784344,45.4241,196.049424794,9.06708,9.50993165932,55.0672,193.549761424,41,1.45123195445,593.971935242,694.579873597,41,55.0337186876,509.884484503,161.398075778
57.1782007146,0.624218,31.7664,57.1743,1647.6501622,-59.5626,2848.86749911,46.3626,198.059902203,11.7903,7.97712388054,57.258,206.128545225,42,1.56197132069,782.167009495,851.905035368,42,57.2192602103,384.013317927,209.096127949
