MinReturn,StdReturn,AverageReturn,AverageAbsQ,AverageAbsY,MaxEsReturn,AveragePolicySurr,MinEsReturn,AverageAction,AverageDiscountedReturn,AverageEsReturn,AverageQ,Epoch,Iteration,AverageAbsQYDiff,PolicyRegParamNorm,MaxReturn,QFunRegParamNorm,StdEsReturn,AverageY,AverageQLoss
15.7669398294,8.91394950647,31.3233731306,0.211902,0.344028167663,-103.57232892,-1.035,-219.258664928,0.128741,0.841114137377,-171.198077609,-0.169123,9,9,0.382438144348,19.6917,45.5929379785,19.515,35.8993289904,0.0752118026976,0.305218
-706.725960647,40.1737554123,-632.955040509,0.15624,0.162060355282,-219.665796718,-0.120125,-219.665796718,0.987297,-63.0960310051,-219.665796718,-0.10913,10,10,0.10652855436,21.4347,-590.812256739,19.6052,0.0,-0.109419602631,0.0288789
-592.857460318,1.00572176812,-591.24900276,0.0733562,0.0776907074648,-513.602529698,0.0170083,-513.602529698,0.996713,-53.3029367812,-513.602529698,-0.0471025,11,11,0.0504523228965,21.7178,-589.784502695,19.6547,0.0,-0.0467382033479,0.00423819
-378.57567887,50.3908796926,-301.445108906,0.0870399,0.0924198020976,-374.389311581,0.0567237,-374.389311581,0.962238,-38.4550497453,-374.389311581,-0.0647797,12,12,0.0423526900032,23.1374,-226.343043442,19.826,0.0,-0.0649169173746,0.00304255
-717.791091449,12.328070883,-696.585361002,0.0982418,0.105166774208,-365.64153132,0.0137341,-365.64153132,0.854216,-68.0146780126,-365.64153132,-0.077395,13,13,0.0414882593157,25.3424,-681.373763381,20.2066,0.0,-0.0774252780336,0.00305055
-153.131649671,12.3412844406,-131.455811238,0.0991752,0.106118678604,-445.33219205,0.0191712,-445.33219205,0.84565,-17.0703291357,-445.33219205,-0.0612619,14,14,0.0391261094589,28.0654,-113.00098421,20.7796,0.0,-0.0609663838425,0.00281383
-255.948686832,26.8824677955,-209.234444817,0.099501,0.105723280508,-353.850279732,0.00548604,-353.850279732,0.723773,-15.3117300807,-353.850279732,-0.0492812,15,15,0.0378614497213,30.3835,-168.947116106,21.4454,0.0,-0.0491759861,0.00269851
-198.946483704,88.7335164252,-46.7010579092,0.106266,0.111783241212,-322.815994449,0.00509662,-322.815994449,0.616003,7.21687860737,-322.815994449,-0.041861,16,16,0.0366227486211,32.3441,83.7984068221,22.3049,0.0,-0.0417702845382,0.0026119
-420.643279242,23.6132428493,-375.751866245,0.118462,0.122943070872,-396.152155743,-0.000434781,-396.152155743,0.629832,-20.6385856624,-396.152155743,-0.0387984,17,17,0.0347050458218,34.2923,-329.283759207,23.1877,0.0,-0.0387358476721,0.00235263
-193.088302175,11.1670815906,-174.356562416,0.129179,0.133276741317,-330.575824693,-0.00821557,-330.575824693,0.354762,-9.25381245219,-330.575824693,-0.0291554,18,18,0.0346374998858,36.2361,-157.89428679,24.2732,0.0,-0.0290026893872,0.00242792
-174.274745264,34.5375369794,-77.4499973108,0.137647,0.141230725664,-333.683596358,-0.0206941,-333.683596358,0.189638,4.69687670062,-333.683596358,-0.0177485,19,19,0.0333658149557,37.9285,-40.0272628024,25.4495,0.0,-0.0175659300969,0.00231264
-43.2382106551,21.1893020898,-8.8917852071,0.148366,0.151640930675,-254.645274697,-0.0329192,-254.645274697,0.258578,5.13933588092,-254.645274697,-0.00784022,20,20,0.0331583314927,39.8243,32.3603991253,26.7434,0.0,-0.00764607825723,0.00231931
-34.9763006984,47.2120374751,-8.53397344296,0.160101,0.162910119763,-210.809457963,-0.0508958,-210.809457963,0.110938,3.91902632062,-210.809457963,0.00589576,21,21,0.0327097121883,41.5894,129.585039032,28.0454,0.0,0.00613320274321,0.00233109
186.641813675,4.9888556672,194.162299218,0.170309,0.172882770224,-195.267043768,-0.0715052,-195.267043768,0.351238,21.4566255494,-195.267043768,0.0241114,22,22,0.0331120355423,43.1706,202.937799025,29.313,0.0,0.0243910576512,0.00244711
33.6219017664,7.09563809697,46.2033300147,0.18093,0.183468105497,-125.510378255,-0.0976248,-125.510378255,0.237182,9.85097104814,-125.510378255,0.0461201,23,23,0.034731546134,44.8085,61.3101147466,30.808,0.0,0.0464694322018,0.0027744
-81.0578335973,82.0174769976,31.9397319735,0.197589,0.200196190492,-67.1903796066,-0.128994,-67.1903796066,0.208725,19.3813827491,-67.1903796066,0.0760724,24,24,0.0362342161361,46.3337,199.584022196,32.2909,0.0,0.0763335393685,0.0030246
-123.195552841,160.771837454,347.333607683,0.207028,0.210444258064,-43.6229032825,-0.157483,-43.6229032825,0.480869,16.748937584,-43.6229032825,0.102989,25,25,0.0383904084001,47.8307,443.369018458,33.5717,0.0,0.103404735833,0.00347725
434.371953489,24.4900393611,473.563824401,0.222082,0.225679888083,127.647363475,-0.195977,127.647363475,0.706979,30.7846871044,127.647363475,0.139538,26,26,0.0386317792751,49.3269,513.534114622,34.8177,0.0,0.139907773945,0.00335288
314.347257581,58.7933861648,438.254803593,0.242025,0.245866762728,278.881227235,-0.244945,278.881227235,0.715747,41.5803550923,278.881227235,0.183041,27,27,0.0416086609798,50.8289,521.678363724,36.0564,0.0,0.183472202037,0.00381302
323.637759763,60.031817581,419.926550549,0.272433,0.276413412093,231.350926481,-0.308525,231.350926481,0.823012,46.5426654616,231.350926481,0.235529,28,28,0.0436405628656,52.4615,525.97286164,37.2549,0.0,0.235968643065,0.00404622
169.197522793,68.2504031176,308.418296873,0.322186,0.325726905532,322.115679775,-0.387693,322.115679775,0.847604,35.4393700652,322.115679775,0.303272,29,29,0.0470368870811,53.7268,434.479804874,38.3208,0.0,0.303696796844,0.00455907
-314.914754758,68.5804355572,-236.931772766,0.380308,0.382854228525,181.385538315,-0.459679,181.385538315,0.819077,-2.43145764196,181.385538315,0.372359,30,30,0.0491006537263,55.0792,-108.261730941,39.293,0.0,0.372849489871,0.00494366
426.436659392,33.2470314438,466.424662587,0.452212,0.45374788543,277.434898506,-0.535212,277.434898506,0.780483,45.8658378287,277.434898506,0.449093,31,31,0.0504177535135,56.2097,528.692307245,40.1946,0.0,0.44959356213,0.00527008
490.615270882,30.1814693169,541.496809854,0.52324,0.524348272827,303.446924095,-0.606559,303.446924095,0.765708,47.391802833,303.446924095,0.521453,32,32,0.0517878367585,57.1765,597.271721985,41.1335,0.0,0.522080859458,0.00545449
