MaxEsReturn,QFunRegParamNorm,StdEsReturn,AverageAbsQ,StdReturn,MaxReturn,Iteration,AverageDiscountedReturn,AverageY,AverageAction,MinEsReturn,AverageQLoss,AverageAbsY,Epoch,AverageEsReturn,AveragePolicySurr,AverageQ,AverageReturn,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff
49.0,18.6077,12.3672473188,0.218618,0.36606382738,35.0,31,29.0440572308,0.218138586694,0.2741,3.0,0.00031649,0.218311003155,31,15.2575757576,-0.255402,0.218126,34.1399317406,21.8948,33.0,0.00876987559857
45.0,18.999,9.77236725227,0.227029,0.496551724138,35.0,32,29.3416070066,0.22651164928,0.388951,3.0,0.000348247,0.226631645579,32,12.2098765432,-0.265622,0.226491,34.5586206897,22.2202,34.0,0.00905851557181
39.0,19.4021,9.58223152495,0.236558,0.373196594815,36.0,33,29.5709296729,0.236035971175,0.250121,3.0,0.000345082,0.236185277191,33,12.119047619,-0.274504,0.236021,34.881533101,22.5217,34.0,0.00897393189891
46.0,19.7756,10.7453333139,0.244902,0.467211657571,35.0,34,29.1734170103,0.244295613773,0.295552,3.0,0.00038329,0.244474842426,34,13.6438356164,-0.283041,0.244256,34.3219178082,22.7137,34.0,0.00922232161302
51.0,20.1437,9.5500989301,0.25301,0.324472382629,36.0,35,29.6178955082,0.252422873962,0.291336,3.0,0.000456155,0.25262085033,35,12.4074074074,-0.293633,0.252385,34.9477351916,23.0196,34.0,0.0102536711618
47.0,20.4313,9.46901704175,0.262157,0.0573536211122,34.0,36,28.2293154878,0.261377639842,0.375311,2.0,0.000552524,0.26169802309,36,11.7647058824,-0.303746,0.261362,33.00330033,23.2155,33.0,0.0108529191972
48.0,20.7109,10.3854978855,0.27134,0.439970478966,34.0,37,28.4153211989,0.270498024852,0.330094,2.0,0.00054288,0.270851541682,37,12.0853658537,-0.313153,0.270448,33.2624584718,23.5092,33.0,0.0110652759357
47.0,21.039,10.4607292925,0.280096,0.381710319579,33.0,38,28.0985895659,0.279237201408,0.291372,3.0,0.000636639,0.279538343423,38,12.7820512821,-0.322129,0.279216,32.8229508197,23.7196,32.0,0.0117190827977
40.0,21.288,10.7310752645,0.287137,0.959093869774,39.0,39,30.9014134314,0.286157353835,0.47096,3.0,0.000632931,0.28647845367,39,15.1692307692,-0.331524,0.286129,36.7830882353,24.0271,35.0,0.0117200556665
79.0,21.566,14.104126303,0.297112,1.00443384113,42.0,40,32.3681398708,0.295997807335,0.325767,3.0,0.000719823,0.296519512434,40,16.4677419355,-0.341484,0.295969,38.9182879377,24.3753,37.0,0.0124455291071
46.0,21.8742,12.5865539388,0.303835,1.4505022181,44.0,41,33.6559934317,0.302830882515,0.202772,3.0,0.000681262,0.303236680497,41,14.4492753623,-0.348837,0.302807,40.8367346939,24.6428,39.0,0.0120539317952
75.0,22.1018,14.0942821359,0.311671,2.45341055994,105.0,42,62.8990025079,0.310551212928,0.139625,3.0,0.000719578,0.310942531024,42,14.2941176471,-0.356789,0.310524,98.6862745098,25.037,94.0,0.0122046354154
80.0,22.3997,13.8457268588,0.320818,22.0913081559,151.0,43,74.1516749079,0.319578318673,0.378393,3.0,0.000815314,0.320092357603,43,15.1764705882,-0.365722,0.319565,137.876712329,25.4208,47.0,0.0130551204002
81.0,22.6254,14.3875310668,0.32739,38.9357213879,244.0,44,85.8766799281,0.326294580756,0.200203,3.0,0.000802855,0.326690480386,44,14.5507246377,-0.373289,0.326265,203.64,25.6131,115.0,0.0127508591736
