MinEsReturn,AverageQLoss,AverageEsReturn,AverageReturn,Iteration,AverageAbsQ,AverageAbsQYDiff,AveragePolicySurr,Epoch,PolicyRegParamNorm,StdReturn,MaxEsReturn,AverageAction,AverageY,MinReturn,AverageDiscountedReturn,StdEsReturn,QFunRegParamNorm,MaxReturn,AverageAbsY,AverageQ
1.97116871056,1.50201,9.92041359372,9.2103208453,9,0.279425,1.04255458524,-0.0369415,9,11.2285,0.0466686128687,55.2808099821,0.219975,0.834776458425,9.08555757633,8.7865837809,6.97041248799,11.1299,9.3230583231,0.834776458425,-0.207778
2.88848598379,0.0319856,3.75866515454,3.08592308632,10,0.42185,0.0944481310464,-0.520817,10,11.6888,0.0178094862283,6.49361738705,0.999972,0.424656307308,3.04923037414,3.03673620659,0.782052255066,11.2813,3.12236360068,0.425509778417,0.42108
2.70523431043,0.00382965,3.63200235126,3.08540434767,11,0.378019,0.0376803372502,-0.396556,11,11.7514,0.0174026570038,5.90979416569,0.999992,0.374682135355,3.04878366698,3.03623041322,0.592928019288,11.3518,3.12134117941,0.375623851578,0.374522
2.94790815671,0.0015455,3.86624198453,3.08437644911,12,0.380117,0.0261378121971,-0.362661,12,11.7785,0.0178232939347,9.74225331298,0.999992,0.375764742771,3.04863412412,3.03522923064,0.990997545483,11.4156,3.12165957266,0.377367976845,0.375764
2.55494362948,0.00140363,10.1513651625,38.7686040476,13,0.377493,0.0245689310227,-0.405781,13,12.3303,0.906066627965,45.1591275207,0.999999,0.372965950252,36.6665557719,34.4575518268,14.0097121742,11.541,40.711777853,0.375658270539,0.372943
8.53645566496,0.00321651,40.5100197025,38.7915415145,14,0.504859,0.031415016072,-0.591895,14,12.3397,0.942804984016,54.4980922768,0.999999,0.501329082764,36.7495926612,34.4735371056,5.87080362072,11.8141,41.8414239273,0.503295327666,0.501148
30.8159285865,0.0043997,42.314834665,38.7579163554,15,0.631305,0.0360568105304,-0.733959,15,12.5999,0.915371090288,52.5235486073,0.973464,0.628418784221,36.7717507712,34.4456770051,4.38367233582,12.2901,40.700454584,0.629966133536,0.62817
7.47254108999,0.00507124,42.9570644333,170.577840148,16,0.76913,0.0389555165641,-0.89213,16,13.5867,1.38623990987,120.913475886,0.861655,0.766997054156,167.336829197,110.136852479,14.3420997727,12.7943,173.420762108,0.768058855547,0.766612
58.7691070895,0.00529506,105.796700589,168.789603558,17,0.905381,0.0400810036669,-1.05528,17,15.1082,1.82685720438,181.01194595,0.856451,0.903322912434,163.039803688,109.512798971,37.4427904816,13.2978,171.793719936,0.904242984174,0.903036
85.8016064475,0.00629656,165.26827766,173.892321206,18,1.06148,0.0439167622986,-1.2364,18,16.1106,1.26868324549,196.517227723,0.837858,1.0596769647,170.769420611,111.810706782,33.6365882038,13.8018,178.034946519,1.06040647604,1.05933
46.798751159,0.00748953,139.952324905,38.5242879246,19,1.2027,0.0462373741874,-1.38304,19,17.1284,0.332365409777,201.587877025,0.898604,1.20151539197,37.7921611211,34.2398550377,55.4339172474,14.2411,39.2753781496,1.20221710052,1.20103
44.4457823594,0.0112633,102.812012412,203.116084738,20,1.3783,0.0534342181887,-1.57217,20,17.8932,112.833299746,457.349063635,0.87699,1.37674874588,118.205586228,117.035092843,91.6698243518,14.7634,433.171041272,1.37768583117,1.37617
79.6900561432,0.0167655,176.401288717,123.898707194,21,1.5512,0.0635464561563,-1.75256,21,18.6971,2.24160535418,369.27341574,0.891938,1.54988819879,115.592149024,89.0115015372,91.3250461341,15.3586,129.457089444,1.55067375717,1.54925
51.7598715632,0.0206737,161.034677091,288.97929919,22,1.73651,0.0686552864921,-1.93153,22,19.2894,38.86886002,338.80320727,0.762223,1.73529747235,207.327451619,150.864096156,90.4363580314,15.9459,389.811914737,1.73630162863,1.73453
61.0393651401,0.0239054,221.105883022,181.859447323,23,1.90509,0.0727234013347,-2.12193,23,19.9185,70.3531612262,425.713181972,0.804247,1.90406958099,142.277531496,112.173654864,123.074383455,16.4723,380.243367721,1.90478244579,1.90338
88.8009229511,0.0319497,273.196538425,369.907465221,24,2.09671,0.0810326042768,-2.32733,24,20.5372,6.55006593173,422.318679551,0.582991,2.09602202663,358.300796613,179.144565102,112.632269037,17.105,389.11709839,2.0964793516,2.09509
135.985658753,0.0376712,308.923540697,444.535020075,25,2.29074,0.0870805114198,-2.52405,25,21.1724,6.73339519392,484.650421975,0.661634,2.29008630988,419.425246061,198.864795686,94.5299758805,17.6152,460.924198057,2.29052740643,2.28897
29.1329273274,0.0403571,237.865922464,309.92837188,26,2.48058,0.0887297055678,-2.71459,26,21.7812,6.79785456018,460.406545962,0.596166,2.47966075282,288.590859575,159.157450421,145.18692433,18.1828,323.003513553,2.47998306532,2.47885
160.727519555,0.0465615,276.227965256,422.301566676,27,2.68791,0.0924306070454,-2.92305,27,22.3721,31.4645114609,405.377661954,0.651535,2.68677126084,347.944748089,182.980430837,74.9304999594,18.706,542.540863758,2.68723240469,2.6858
21.2015969683,0.0486689,235.818308233,358.045587216,28,2.86713,0.0952793057497,-3.10992,28,22.8839,33.5358564654,509.591128629,0.591905,2.86579429671,316.578363184,167.375937095,155.053885736,19.2625,424.651526712,2.86612262713,2.86507
107.317667485,0.0597404,250.189163883,255.174910598,29,3.06816,0.103560881393,-3.30864,29,23.4019,9.743840496,416.672648796,0.673652,3.06693029107,229.498926358,141.583838037,116.408869005,19.866,271.818294581,3.0672773385,3.06596
23.1960685321,0.0608001,214.323550984,308.346544877,30,3.25155,0.106851471895,-3.49722,30,23.8624,24.8967078761,321.968379571,0.686413,3.24985736018,255.82122568,146.556491718,97.6337789289,20.4943,353.516814144,3.25022436835,3.249
150.854382326,0.0625126,260.97494893,271.113121516,31,3.42135,0.105386970633,-3.67969,31,24.3158,6.54298853057,317.418295694,0.594246,3.4197927283,257.322585919,146.10550751,52.4928810338,20.9824,287.54324328,3.42020408794,3.41861
120.584520756,0.0772361,218.330036343,243.900139512,32,3.6341,0.114562587906,-3.86868,32,24.7851,3.49347338155,290.839805127,0.713765,3.63284435502,234.730304125,136.933732576,46.1312086083,21.4891,253.198896213,3.63312870276,3.63174
114.471785728,0.0854046,212.267223779,236.271835199,33,3.78487,0.12047898618,-4.03401,33,25.2243,9.0995835059,280.868075052,0.584868,3.78288590561,213.372755783,134.867408538,65.5500902235,22.0087,272.305424456,3.78318305045,3.78222
76.0912162315,0.0730171,226.712423052,327.759584149,34,3.96714,0.11371159013,-4.21803,34,25.8614,35.2833246674,278.176699139,0.671299,3.96562355033,274.393558426,149.410012193,52.7412292895,22.4738,403.753740148,3.96595121232,3.96461
7.94291021538,0.0861399,182.657297163,256.443648862,35,4.14118,0.125049233151,-4.38956,35,26.4044,8.27248500379,362.641333536,0.703839,4.13968042532,239.613204144,141.730766228,127.168437832,22.9788,283.558436277,4.14004096016,4.1383
71.4562410256,0.094365,219.62837919,370.770281964,36,4.32762,0.129042738946,-4.58422,36,26.8365,19.3265513601,279.655856803,0.640066,4.32568688399,271.721415859,173.211110463,62.8160924786,23.483,402.096763857,4.32597335868,4.32482
60.4166340677,0.101689,155.34718924,315.180620694,37,4.5,0.134547336558,-4.76213,37,27.231,8.12569305771,318.90357644,0.637322,4.49824778316,299.095145311,160.556259407,67.4963510485,24.0085,345.096615894,4.49857889525,4.49711
118.48476053,0.110823,218.625729302,331.70115559,38,4.69361,0.138974228807,-4.96313,38,27.6207,56.4093913965,412.928029809,0.635734,4.69163719648,160.904717396,157.719965458,83.5160001982,24.5287,423.895553882,4.6920290618,4.69057
48.8161372224,0.103315,162.6315659,413.556905217,39,4.8834,0.14117637305,-5.1552,39,27.9811,88.8001243371,317.513129972,0.711258,4.88105845396,177.68450837,162.08511817,79.5440871353,25.0716,534.460258618,4.8813702255,4.87961
91.0559191353,0.121304,311.548376808,215.808234566,40,5.07383,0.151147981919,-5.34567,40,28.3163,190.872820969,638.22334348,0.714167,5.07054379627,86.7297935767,109.006501227,164.411067243,25.5456,594.777767996,5.07110917911,5.06986
