AverageAction,AverageQLoss,MaxReturn,MinReturn,MinEsReturn,PolicyRegParamNorm,QFunRegParamNorm,AverageReturn,AverageAbsQYDiff,AverageAbsY,AverageDiscountedReturn,StdEsReturn,MaxEsReturn,AverageY,StdReturn,Epoch,AverageQ,AveragePolicySurr,AverageAbsQ,Iteration,AverageEsReturn
0.219167,3.22869,9.31379953743,9.06543630073,1.86956375798,11.2294,11.1301,9.18646736944,1.71793415949,1.47214719209,8.76469916897,6.96978929385,57.8256379692,1.47214719209,0.0482346284161,9,-0.245787,-0.010408,0.30367,9,9.85957525578
0.979382,0.054752,5.41901318797,5.08211643248,2.39352951022,12.2933,11.4335,5.29769026613,0.11941210779,1.1739224535,5.13653180939,3.1070255313,22.4708107254,1.16260785873,0.0429388681816,10,1.15301,-1.22788,1.16181,10,5.49952579009
0.999953,0.0115457,5.39718752501,5.08985209139,3.50281786139,12.6601,11.7963,5.29701705211,0.0672029802177,1.37160734344,5.13598461862,5.03013006792,39.8334679938,1.35551050499,0.0413969583107,11,1.35502,-1.34383,1.37168,11,7.51196128392
1.0,0.0214764,40.8897485744,36.6814974147,4.50785062268,12.9981,12.5296,38.810582516,0.0806520695466,1.80535070908,34.4902898644,17.3746526375,73.7870822035,1.78034331366,0.891065346282,12,1.77949,-1.98376,1.80539,12,18.5041890311
0.999999,0.0855055,40.7575956637,36.6975856238,26.1427407441,12.9972,13.8299,38.8348835992,0.135869825175,2.83793028423,34.5091703574,6.61632785518,72.6456413396,2.81448257742,0.929798327141,13,2.81291,-3.23901,2.8376,13,42.7568807666
0.715372,0.145855,100.123703341,89.1283699981,33.8190720762,14.6548,15.2443,94.608013806,0.171467811264,3.91913318368,73.2505313038,35.2275586978,170.27836094,3.89971850412,2.58604043103,14,3.89839,-4.4371,3.91973,14,72.0676356019
0.710287,0.224052,166.091301563,141.472267145,10.3003956726,15.967,16.7192,155.372020949,0.217469862547,5.1274084959,104.28803194,41.4831505815,169.026563701,5.11135404774,6.43728550316,15,5.11019,-5.77234,5.12882,15,114.970749411
0.697959,0.296966,175.807030855,170.500298036,20.0815516984,17.2275,18.0652,173.790307404,0.245639434213,6.49016142419,112.042476755,46.3611771561,188.152035646,6.47703025539,1.15612673498,16,6.47511,-7.2375,6.4918,16,138.822909928
0.692108,0.425884,175.936957168,167.263615021,12.6092673844,18.2702,19.3658,172.58832061,0.282913119328,7.97524323694,111.48019928,49.6283626478,203.910396104,7.96520835179,2.02726003913,17,7.96321,-8.84886,7.97744,17,151.86457197
0.637317,0.656379,174.25812175,166.762917548,108.37149191,19.3223,20.6454,171.42988923,0.340374085398,9.50901149948,111.117387757,20.2540277862,179.635555084,9.50161518501,1.55052435569,18,9.49916,-10.5245,9.51099,18,163.792384596
