MinEsReturn,MaxReturn,AverageY,AverageDiscountedReturn,AverageQLoss,MinReturn,Epoch,AverageReturn,AverageAbsQ,MaxEsReturn,AveragePolicySurr,StdReturn,AverageQ,AverageAbsQYDiff,Iteration,AverageEsReturn,QFunRegParamNorm,PolicyRegParamNorm,StdEsReturn,AverageAction,AverageAbsY
-12.7422688265,412.382472464,-0.0537334719138,66.4581696379,8.79091,63.0732447222,9,111.016699411,2.62601,256.547625079,1.84318,50.289629424,-2.52295,2.51993866575,9,38.8333776085,11.4908,11.8198,53.8149617677,0.0634409,0.620932654943
-39.180513886,-12.5108824756,0.318553675768,-12.0620246072,0.0960106,-14.9788315947,10,-13.1821177073,0.400011,6.75780462489,-0.462991,0.410536710355,0.310763,0.183766517156,10,-11.5875090362,11.4527,13.1062,9.13220153106,0.891443,0.409117161101
-16.1646941745,-8.84581321425,0.573711883907,-9.43355521102,0.0236566,-11.5571676614,11,-10.3419938655,0.573892,0.646054864654,-0.756987,0.600555560942,0.571591,0.113588750477,11,-9.54971107844,11.4779,13.8687,2.40018767772,0.952167,0.578419947434
-19.4839173386,-9.89812001741,0.704559346123,-10.050553956,0.0193425,-12.4982386322,12,-11.0705951195,0.708673,-1.83622498927,-0.789385,0.51815429534,0.703009,0.100620766326,12,-9.7936978769,11.5485,14.5084,2.50101527458,0.971239,0.711981581194
-11.9358971675,3.33760686841,0.748213315104,2.9013385846,0.0165624,2.39181646577,13,3.05123535266,0.75839,7.69124792681,-0.807139,0.150280828368,0.747163,0.090941022921,13,-3.139612939,11.6794,15.1523,4.82725790088,0.980126,0.76124957536
-1.06349592198,37.0876906686,0.779111634029,21.4848819241,0.0168646,21.7173702306,14,25.6177042657,0.801186,42.8361433639,-0.828539,3.2815111543,0.778089,0.0897551476492,14,11.8520263743,11.9342,15.74,12.6999527447,0.945636,0.80332372581
-0.183545014259,40.6763133493,0.825768934034,28.4840952431,0.0177315,29.6198110629,15,35.3581632987,0.861678,75.1672530908,-0.876581,2.69525603875,0.824536,0.091823871782,15,23.6396003653,12.3065,16.1581,18.1694672075,0.949009,0.864347670408
-1.38040546188,606.138142871,0.883410407446,63.0894993989,0.018395,45.2084056465,16,105.931593225,0.928266,294.050124618,-0.997453,87.73756197,0.882394,0.0931000001446,16,35.123036234,12.7737,16.6894,60.4558011286,0.910909,0.930857940886
-35.0134561814,625.788800251,1.10620286461,67.1595876449,0.0247287,55.9788282365,17,133.009783931,1.13696,211.937630523,-1.30328,127.972236279,1.10449,0.103995980054,17,23.8276993483,13.3519,17.0382,70.5771418365,0.907207,1.14096316592
-19.3025493214,331.522930114,1.27007072011,40.6727924691,0.0277612,-54.2812332324,18,62.9056030683,1.30094,167.331639605,-1.44814,92.899188712,1.26892,0.107624188222,18,51.1018487996,13.9721,17.5241,56.8773044133,0.919915,1.30413892102
-33.4670965947,119.082312467,1.41708801883,40.7514586932,0.0316985,24.1030453892,19,44.9659966494,1.45057,62.6076109824,-1.60316,20.9754307473,1.41567,0.113869410509,19,18.4531619502,14.5769,18.3106,29.0031783878,0.924364,1.45416498962
88.887014124,589.862383194,1.58403134653,110.47445172,0.0343224,117.752717503,20,464.6211334,1.61543,531.21149199,-1.75186,110.322880851,1.58271,0.118148076066,20,303.530851236,15.2103,18.6596,161.053688215,0.862192,1.61887610253
81.4026950556,922.025720747,1.71853165056,112.580892755,0.0391858,119.06709454,21,450.619406301,1.7559,377.167529542,-1.87104,185.746837372,1.71737,0.12508382618,21,221.567454078,15.8529,19.1003,110.447581515,0.758955,1.75883242988
-28.2345540468,836.103134737,1.84913679401,87.2441961712,0.045273,37.1130235261,22,291.298443019,1.88918,491.810327066,-2.00122,218.535513422,1.848,0.130555386607,22,123.73865066,16.5316,19.767,185.576208531,0.739549,1.89170437187
-5.91316882819,641.546297436,1.94741442123,83.0075656964,0.0483255,53.3832919817,23,253.856425366,1.98993,276.892893509,-2.10908,178.579172319,1.94626,0.136637983165,23,114.670839903,17.1059,20.3463,120.596945849,0.699956,1.99270604235
24.6085148536,879.483667794,2.08733592675,102.903516728,0.0535904,80.1069458054,24,299.603301217,2.12487,462.968680134,-2.25036,152.798189942,2.08588,0.143669660754,24,223.838209546,17.7085,21.0368,155.709061672,0.704525,2.12704531111
140.400077513,139.250827386,2.22246794419,39.7186715073,0.0573024,2.14465115776,25,44.2758284627,2.25613,483.294140531,-2.38658,29.8888440251,2.22082,0.148642221651,25,329.652744731,18.2677,21.8051,127.031861539,0.708304,2.25781629364
-22.4319232264,24.7410930507,2.3617954696,-5.19625063869,0.0661184,-75.1695284916,26,-21.676229515,2.39186,213.113706123,-2.55643,14.5572751708,2.36014,0.15726595439,26,27.1977720262,18.8824,22.74,70.011006977,0.806938,2.39307640214
28.9212702153,839.265719124,2.51727683693,55.5628666823,0.0696968,10.6945813013,27,230.70297095,2.54041,341.573901194,-2.70994,246.535797558,2.51554,0.163707494407,27,193.944978841,19.3932,23.5967,146.602771802,0.871962,2.54123448147
-17.5885495922,473.127568481,2.64895317441,34.0704278763,0.0843975,3.68506231123,28,82.5056199173,2.66757,281.241527278,-2.82969,109.320551083,2.64691,0.176322355798,28,52.3096925859,19.9321,24.4165,95.4119047807,0.858957,2.66769194753
