AverageY,AverageAbsQYDiff,Iteration,AverageEsReturn,AverageAction,AverageAbsY,AverageQLoss,AverageReturn,AveragePolicySurr,PolicyRegParamNorm,QFunRegParamNorm,StdEsReturn,MaxEsReturn,MinEsReturn,AverageAbsQ,AverageQ,Epoch,MaxReturn,StdReturn,AverageDiscountedReturn,MinReturn
0.811056067876,1.02020305843,9,9.74941365015,0.220184,0.811056067876,1.43969,9.22699940346,-0.0258564,11.2298,11.1293,6.74414137379,62.953264764,2.07175061238,0.252917,-0.209147,9,9.34894048362,0.0500896904822,8.80191006046,9.1176919751
0.429525092905,0.0991661777041,10,3.76598000016,0.999981,0.430429617231,0.0348854,3.08557736133,-0.526786,11.6934,11.3321,0.807960327845,7.11523124453,2.87599638795,0.427007,0.425905,10,3.12254009243,0.0175223353174,3.03640048189,3.04902488211
0.40004887787,0.0418549033121,11,3.66727256805,0.999993,0.400884225962,0.00524563,3.08569273033,-0.426957,11.7669,11.4554,0.744639934693,7.53740368368,2.72953393714,0.402851,0.39974,11,3.12228138436,0.0175449564906,3.03651319384,3.04772787815
0.398921370733,0.0281036969195,12,3.81222380409,0.99998,0.400104227225,0.00193498,3.08614356249,-0.388548,11.8471,11.5411,0.82237237917,8.53963028088,2.89425897494,0.403208,0.398846,12,3.12143633381,0.0181030845907,3.0369525713,3.04873764849
0.405880030908,0.0237107213622,13,6.23538034906,0.999999,0.408220338949,0.00124852,5.83709085627,-0.442488,12.2348,11.6439,1.86899631919,12.7842025665,2.55789017699,0.410298,0.405928,13,6.03053531603,0.0614251725643,5.67815256425,5.69030371838
0.455483049598,0.0224027619721,14,7.80782462484,1.0,0.457889221136,0.00112902,38.7921380797,-0.487179,12.4853,11.7959,5.34113383376,40.1971051888,4.51723912038,0.459213,0.455456,14,40.8210450268,0.957547800488,34.4752407461,36.6508270536
0.547501664789,0.0304568574586,15,41.6314179618,1.0,0.549658926455,0.00342172,38.7350949463,-0.670971,12.5036,12.0918,6.69778565087,69.2013454298,15.9343220472,0.550768,0.54728,15,40.7597620269,0.90022111468,34.4310349851,36.7394488325
0.73455158106,0.0383871265258,16,41.2752431209,1.0,0.735915958168,0.00636532,38.8190036254,-0.871679,12.5111,12.6092,5.07792400164,53.7798152573,16.6390903336,0.737012,0.734099,16,40.7704675107,0.95589186192,34.4939285422,36.7197685973
0.888244093991,0.0432249775955,17,39.7851761545,1.0,0.889571893531,0.00792419,38.7935075714,-1.0297,12.516,13.1718,6.70110966366,47.5155203909,6.24751366693,0.890943,0.888006,17,40.7088259747,0.942887921632,34.4770800042,36.6672327132
1.03594764755,0.0435930776659,18,41.5205247172,0.832004,1.03680773678,0.00753195,39.0030227034,-1.19652,12.6119,13.7203,6.997970093,60.0909781056,9.58182058608,1.03778,1.03566,18,41.7741755004,0.94650511818,34.6436093742,36.794803189
1.16965642189,0.0429562605376,19,71.9462129554,0.82868,1.17120995981,0.00608831,46.6309575683,-1.34909,13.9183,14.2695,36.8924039064,170.811022709,27.3977662283,1.17223,1.16929,19,50.6951570319,1.55032928789,40.6232903729,42.2321596025
1.3032031014,0.0446066605894,20,84.6696742699,0.792406,1.30539968219,0.00698932,84.8792640496,-1.50239,15.0915,14.743,41.9497241528,180.658627444,38.4000871772,1.30631,1.30291,20,86.4305691347,0.835855813029,66.8563377923,83.0753287312
1.44557798276,0.0454980346461,21,80.9034679105,0.810103,1.44708646593,0.00682127,96.1892695561,-1.66506,16.2327,15.2964,10.9378398771,100.349487255,50.1535396268,1.44793,1.4452,21,98.5009753803,0.939915983437,73.1440220304,93.5290987814
1.60288835247,0.0502599354716,22,85.3150712157,0.79012,1.60385152289,0.00829661,96.6986797602,-1.83469,17.047,15.7514,15.2385225294,106.642705658,42.7327022025,1.60457,1.60245,22,103.190617433,2.97850055966,73.5155766652,90.9300461681
1.75107063163,0.0536407471954,23,100.171615123,0.88005,1.75175134376,0.00987438,114.50429266,-1.98892,17.8239,16.319,29.37116088,128.935863177,31.2629318133,1.75271,1.75079,23,116.960772775,1.26181525072,82.7104763369,111.253965924
