MinEsReturn,MaxEsReturn,AverageDiscountedReturn,AverageY,AverageAbsQ,Epoch,AverageReturn,Iteration,QFunRegParamNorm,MaxReturn,AverageAbsY,StdEsReturn,AverageQ,AverageEsReturn,AveragePolicySurr,AverageAction,AverageQLoss,PolicyRegParamNorm,StdReturn,MinReturn,AverageAbsQYDiff
-690.971994408,-690.971994408,-126.906255668,1.71498402545,1.71479,30,-1169.1849364,30,14.9508,-1028.63626232,1.71499362323,0.0,1.71479,-690.971994408,-1.72368,0.996428,0.00281706,22.2989,90.6434569191,-1320.47233093,0.0190881371609
-953.562285122,-953.562285122,-53.7317061726,1.69439342759,1.69416,31,-587.780805633,31,15.4425,-482.775810871,1.69440172854,0.0,1.69416,-953.562285122,-1.70094,0.997104,0.00333497,22.5415,93.425920555,-726.483874871,0.0202839856216
-520.522667551,-520.522667551,-19.441954617,1.67906976515,1.67886,32,-417.563142028,32,15.884,-265.812515847,1.67907547152,0.0,1.67884,-520.522667551,-1.68667,0.996713,0.0023772,22.6738,79.0495701539,-600.048911657,0.0187126930182
-438.067362825,-438.067362825,-41.4896522649,1.66213991867,1.66199,33,-424.115943637,33,16.2677,-414.452887915,1.66215149454,0.0,1.66199,-438.067362825,-1.66737,0.999955,0.00298924,22.8755,6.15925859794,-432.719988535,0.0192190849334
-347.776053673,-347.776053673,-70.6662692377,1.64401167426,1.64381,34,-690.058857606,34,16.527,-674.030306808,1.64401986372,0.0,1.64381,-347.776053673,-1.64806,0.997324,0.00255727,23.0228,16.5216209043,-722.092728825,0.0178691589436
-441.785161987,-441.785161987,-54.1698822154,1.62665695087,1.62654,35,-541.726643153,35,16.8544,-438.217054056,1.6266632115,0.0,1.62654,-441.785161987,-1.63244,0.998353,0.00169937,23.2702,124.407957007,-829.250027596,0.0152957635496
-320.663902225,-320.663902225,-29.5355197797,1.60889340596,1.60874,36,-411.307508049,36,17.2906,-255.25118395,1.60890408622,0.0,1.60874,-320.663902225,-1.61647,0.998864,0.0025077,23.666,98.9161602474,-563.149984728,0.0178194902205
-300.042461625,-300.042461625,-69.9669538262,1.59134896896,1.59113,37,-581.7080815,37,17.719,-443.955208897,1.59136453015,0.0,1.59108,-300.042461625,-1.59915,0.995921,0.00328938,23.8588,139.75646144,-933.948640515,0.0196591881145
-440.077245367,-440.077245367,-67.9630768523,1.5764862559,1.5763,38,-709.149349883,38,18.0482,-593.530057173,1.57649444591,0.0,1.57627,-440.077245367,-1.58462,0.994626,0.00255309,23.9667,99.5780076933,-856.820158415,0.0168826573139
-342.650089285,-342.650089285,-54.0773977073,1.56046260064,1.56034,39,-529.768804277,39,18.3118,-88.8017224589,1.56047366876,0.0,1.56034,-342.650089285,-1.565,0.996983,0.00201391,24.3865,177.916728457,-740.838941905,0.0150315620036
-420.720164461,-420.720164461,-38.9386010027,1.54250484971,1.54237,40,-419.471046549,40,18.6904,-329.114503878,1.54251388356,0.0,1.54236,-420.720164461,-1.54804,0.997848,0.00196349,24.6501,66.1454556637,-554.961930213,0.0154434001198
-214.950375883,-214.950375883,-43.5084857419,1.5252592131,1.52512,41,-1076.76854739,41,19.0148,-887.094458548,1.52526945573,0.0,1.52512,-214.950375883,-1.53258,0.999038,0.00231373,24.9771,106.988257572,-1252.89388572,0.0163340734057
-437.717199199,-437.717199199,-98.3331101732,1.5118739931,1.5117,42,-808.681027483,42,19.2853,-693.287862171,1.51188460236,0.0,1.5117,-437.717199199,-1.52119,0.998541,0.00196088,25.2758,93.986209401,-1017.30719836,0.0150340481409
-509.067223888,-509.067223888,-48.6874638633,1.4988355796,1.49869,43,-565.884325415,43,19.568,-534.609071801,1.49884961881,0.0,1.49869,-509.067223888,-1.50344,0.997851,0.00286392,25.2502,27.3786034088,-630.664172623,0.0181771942586
-502.578743952,-502.578743952,0.881274247108,1.48169931185,1.48157,44,212.09218095,44,19.8037,304.672225825,1.48170643315,0.0,1.48157,-502.578743952,-1.48787,0.996171,0.00155489,25.3225,61.3630149883,125.01334903,0.0151797133859
-229.52260332,-229.52260332,-13.4657148927,1.4641746994,1.464,45,-234.340161341,45,20.0146,-72.2777815856,1.46418869166,0.0,1.46399,-229.52260332,-1.46902,0.99675,0.00277061,25.602,134.276177464,-585.876927918,0.016827903465
-145.732612707,-145.732612707,-54.0402980643,1.44577829688,1.44563,46,-587.059695787,46,20.3672,-278.751420541,1.44579083906,0.0,1.44563,-145.732612707,-1.45089,0.997549,0.00231928,25.8286,203.856340821,-792.384419618,0.0161319559222
